model	held_out_study	balanced_accuracy	balanced_accuracy_std	f1_macro	f1_macro_std	n_train_samples	n_eval_samples
capda-vae-oof-probs-cov-clr-ens	FengQ_2015	0.48662440666656553	0.0	0.4187511482580453	0.0	1490	154
capda-vae-oof-probs-cov-clr-ens	VogtmannE_2016	0.6634615384615384	0.0	0.4464150943396226	0.0	1540	104
capda-vae-oof-probs-cov-clr-ens	ZellerG_2014	0.5125270646458397	0.0	0.43076923076923074	0.0	1488	156
capda-vae-oof-probs-cov-clr-ens	YuJ_2015	0.774024024024024	0.0	0.515393244422286	0.0	1516	128
capda-vae-oof-probs-cov-clr-ens	WirbelJ_2018	0.7621794871794871	0.0	0.5154887902583362	0.0	1519	125
capda-vae-oof-probs-cov-clr-ens	YachidaS_2019	0.3503930016368634	0.0	0.3161656209502547	0.0	1028	616
capda-vae-oof-probs-cov-clr-ens	ThomasAM_2018a	0.4497126436781609	0.0	0.36047037539574855	0.0	1564	80
capda-vae-oof-probs-cov-clr-ens	ThomasAM_2018b	0.7165178571428572	0.0	0.6875	0.0	1584	60
capda-vae-oof-probs-cov-clr-ens	ThomasAM_2019_c	1.0	0.0	1.0	0.0	1564	80
capda-vae-oof-probs-cov-clr-ens	HanniganGD_2017	0.3474426807760141	0.0	0.2552380952380952	0.0	1563	81
capda-vae-oof-probs-cov-clr-ens	GuptaA_2019	0.7833333333333334	0.0	0.783273131425396	0.0	1584	60
