model	held_out_study	balanced_accuracy	balanced_accuracy_std	f1_macro	f1_macro_std	n_train_samples	n_eval_samples
capda-vae-oof-probs-cov-clr	FengQ_2015	0.5135306140674576	0.011919697907192694	0.4280278594303688	0.006549674060541314	1490	154
capda-vae-oof-probs-cov-clr	VogtmannE_2016	0.673076923076923	0.007850928662766614	0.459455032919635	0.008617210004023861	1540	104
capda-vae-oof-probs-cov-clr	ZellerG_2014	0.5117022373440562	0.004833780047316655	0.4306571128133067	0.0032221423416333556	1488	156
capda-vae-oof-probs-cov-clr	YuJ_2015	0.7580080080080079	0.02048692286075672	0.6743067593494616	0.1263233099224798	1516	128
capda-vae-oof-probs-cov-clr	WirbelJ_2018	0.7628205128205128	0.006280742930213255	0.5155606706896648	0.004423542963281038	1519	125
capda-vae-oof-probs-cov-clr	YachidaS_2019	0.3453858982673956	0.0006283138460952886	0.31184751176974024	0.0010337216817489353	1028	616
capda-vae-oof-probs-cov-clr	ThomasAM_2018a	0.46583652618135374	0.03288555963822962	0.37106488432373474	0.025899804613194414	1564	80
capda-vae-oof-probs-cov-clr	ThomasAM_2018b	0.7202380952380953	0.01528470132751053	0.6190981638624015	0.10317519176474674	1584	60
capda-vae-oof-probs-cov-clr	ThomasAM_2019_c	1.0	0.0	1.0	0.0	1564	80
capda-vae-oof-probs-cov-clr	HanniganGD_2017	0.36332700221589115	0.005627947066830921	0.26019561480327386	0.002482448775374288	1563	81
capda-vae-oof-probs-cov-clr	GuptaA_2019	0.7333333333333334	0.023570226039551553	0.5704760778501518	0.10385031011749055	1584	60
