model	held_out_study	balanced_accuracy	balanced_accuracy_std	f1_macro	f1_macro_std	n_train_samples	n_eval_samples
capda-vae-oof	FengQ_2015	0.4892454365771422	0.004418898165239176	0.4109497467941268	0.007760620493214233	1490	154
capda-vae-oof	VogtmannE_2016	0.6794871794871794	0.016343011261515314	0.4577039684498078	0.010844471628312428	1540	104
capda-vae-oof	ZellerG_2014	0.49011925628071623	0.004802401084659608	0.4096045965630269	0.004139779649367323	1488	156
capda-vae-oof	YuJ_2015	0.7228895562228895	0.02127993830508718	0.6442954008206695	0.12729876582162006	1516	128
capda-vae-oof	WirbelJ_2018	0.7811965811965812	0.00965566113478207	0.5252385549087318	0.007372550217314044	1519	125
capda-vae-oof	YachidaS_2019	0.3423618188743733	0.000938260711723897	0.30902827456979337	0.0006836617471798632	1028	616
capda-vae-oof	ThomasAM_2018a	0.48802681992337166	0.005418442767713001	0.3893618246272033	0.004803959510615043	1564	80
capda-vae-oof	ThomasAM_2018b	0.7239583333333334	0.01528470132751053	0.6251581352020333	0.0959505431379486	1584	60
capda-vae-oof	ThomasAM_2019_c	0.9833333333333334	0.015590239111558133	0.983330728759702	0.015592675467099802	1564	80
capda-vae-oof	HanniganGD_2017	0.35464432686654906	0.005718717359889385	0.23750350276737262	0.007854635827641152	1563	81
capda-vae-oof	GuptaA_2019	0.7111111111111111	0.028327886186626582	0.5654535742035742	0.12930574404156156	1584	60
