model	held_out_study	balanced_accuracy	balanced_accuracy_std	f1_macro	f1_macro_std	n_train_samples	n_eval_samples
capda-vae	FengQ_2015	0.42392357477812653	0.03276644375707456	0.3773944317744656	0.02733670865525	1490	154
capda-vae	VogtmannE_2016	0.483974358974359	0.027571555343085308	0.253670612697986	0.01380746945991223	1540	104
capda-vae	ZellerG_2014	0.44649996645047674	0.02018849257378568	0.4020503917168621	0.02543793094984869	1488	156
capda-vae	YuJ_2015	0.5683183183183184	0.02173098400354955	0.37678696804613215	0.04453951819167319	1516	128
capda-vae	WirbelJ_2018	0.4946581196581196	0.02497716101914952	0.3616802180766053	0.022560335403497493	1519	125
capda-vae	YachidaS_2019	0.3286000200670572	0.0037813601161543965	0.30673768854968764	0.008409229878320497	1028	616
capda-vae	ThomasAM_2018a	0.410405136937704	0.02123381002608163	0.373182137864093	0.028075551452414964	1564	80
capda-vae	ThomasAM_2018b	0.49404761904761907	0.03391747416679014	0.3765506286371991	0.016151639528735582	1584	60
capda-vae	ThomasAM_2019_c	1.0	0.0	1.0	0.0	1564	80
capda-vae	HanniganGD_2017	0.3355492244381133	0.012149450511018643	0.3191834128459106	0.013283173984054162	1563	81
capda-vae	GuptaA_2019	0.5222222222222223	0.051520102752753934	0.40210525083713494	0.05867996576066563	1584	60
