model	held_out_study	balanced_accuracy	balanced_accuracy_std	f1_macro	f1_macro_std	n_train_samples	n_eval_samples
xgb-baseline	FengQ_2015	0.5084663225880375	0.00446232188200875	0.43223606178373153	0.006376107245275035	1490	154
xgb-baseline	VogtmannE_2016	0.6314102564102564	0.011992491624275412	0.43476813387621277	0.007449915532748997	1540	104
xgb-baseline	ZellerG_2014	0.4869230504863044	0.006752726949462483	0.408558313245213	0.006316048485996369	1488	156
xgb-baseline	YuJ_2015	0.7512512512512511	0.018083935700840544	0.666303709045706	0.12590500057105217	1516	128
xgb-baseline	WirbelJ_2018	0.7536324786324786	0.010099403673586693	0.5200237621964474	0.0032073772789322137	1519	125
xgb-baseline	YachidaS_2019	0.34331279533030673	0.002064692646228271	0.3102154527713719	0.001964419392384933	1028	616
xgb-baseline	ThomasAM_2018a	0.4937384702710373	0.005225532793153766	0.39958444582100494	0.011214581772219439	1564	80
xgb-baseline	ThomasAM_2018b	0.6964285714285715	0.0018225370109993821	0.5291685642417249	0.10122540519298458	1584	60
xgb-baseline	ThomasAM_2019_c	1.0	0.0	1.0	0.0	1564	80
xgb-baseline	HanniganGD_2017	0.3648419481752814	0.025256580700168018	0.2925249371644087	0.029017368511336187	1563	81
xgb-baseline	GuptaA_2019	0.75	0.03600411499115479	0.5065117921141709	0.021976927247039608	1584	60
