clade_name	NCBI_tax_id	MV_FEI1_t1Q14	MV_FEI2_t1Q14	MV_FEI3_t1Q14	MV_FEI4_t1Q14	MV_FEI4_t2Q15	MV_FEI5_t1Q14	MV_FEI5_t2Q14	MV_FEI5_t3Q15	MV_FEM1_t1Q14	MV_FEM2_t1Q14	MV_FEM3_t1Q14	MV_FEM4_t1Q14	MV_FEM4_t2Q15	MV_FEM5_t1Q14	MV_FEM5_t2Q14	MV_FEM5_t3Q15	MV_MIM1_t1M14	MV_MIM2_t1M14	MV_MIM3_t1M14	MV_MIM4_t1M14	MV_MIM4_t2F15	MV_MIM5_t1M14	MV_MIM5_t2M14	MV_MIM5_t3F15
s__Escherichia_coli	0	59.3501	0.0	85.42333	46.70438	0.5477	0.0	0.02243	0.0	0.0	1.11421	0.2991	0.12317	0.16714	0.02327	3.4839	0.01737	0	0	0.0	0.0	0.0	0.0	0.0	0.0
s__Bifidobacterium_bifidum	0	16.16243	5.61882	0.20192	0.0	26.63938	0.0	0.0	19.20307	0.13643	0.03872	0.0	0.15732	9.28869	0.0	0.0	0.23433	0	0	0.0	0.0	0.0	0.0	0.0	0.0
s__Bifidobacterium_longum	0	7.79189	60.54102	0.49524	0.0	0.0	0.0	0.0	28.51001	0.05094	0.49039	0.0	0.29871	6.69999	0.32258	0.08095	0.36745	0	0	0.0	0.0	0.0	0.0	0.0	0.0
s__Enterococcus_faecalis	0	6.6011	0.04311	7.44248	0.0	0.27258	0.12616	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01651	0.0	0.0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
s__Ruminococcus_gnavus	0	2.56548	0.0	0.2293	0.0	0.0	0.0	0.0	0.09821	0.0	0.0	0.0	0.0	0.0202	0.0	1.41584	0.0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
s__Veillonella_atypica	0	1.4514	0.0007	0.01319	0.0	3.05152	0.63215	0.0	0.02293	0.0	0.0	0.0014	0.0	0.0	0.0	1.28647	0.0	0	0	0.0	0.0	0.0	0.0	21.28204	0.2073
s__Bifidobacterium_breve	0	1.06188	0.0	0.20274	9.92597	14.26779	79.77158	0.0	5.25666	0.0	0.0	0.0	0.31344	0.39146	0.0	0.56716	0.0	0	0	0.0	0.0	0.0	37.93493	0.0	2.07307
s__Klebsiella_pneumoniae	0	1.04001	4.58136	0.0	0.0	0.00605	0.03979	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
s__Veillonella_parvula	0	1.02434	0.03518	0.98999	3.56488	4.81842	5.82008	0.0	0.00616	0.0	0.00317	0.0	0.59644	0.0	0.0	28.95324	0.0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
s__Clostridium_sp_MSTE9	0	0.42079	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
