clade_name	NCBI_tax_id	MMPD11819740ST	MMPD13674240ST	MMPD13967032ST	MMPD15187820ST	MMPD15249256ST	MMPD15431352ST	MMPD16704201ST	MMPD17122405ST	MMPD17444064ST	MMPD18335439ST	MMPD19218411ST	MMPD19359459ST	MMPD19623701ST	MMPD20413160ST	MMPD21946553ST	MMPD23066988ST	MMPD23212378ST	MMPD24188488ST	MMPD25043039ST	MMPD27078321ST	MMPD27380896ST	MMPD27744413ST	MMPD29762767ST	MMPD29951127ST	MMPD30531062ST	MMPD33788863ST	MMPD33826006ST	MMPD34227989ST	MMPD34845324ST	MMPD36816868ST	MMPD37460080ST	MMPD37940420ST	MMPD39823498ST	MMPD41403504ST	MMPD44276157ST	MMPD44591718ST	MMPD45281271ST	MMPD45969642ST	MMPD47465864ST	MMPD50836218ST	MMPD52850328ST	MMPD54490160ST	MMPD56131850ST	MMPD58315584ST	MMPD59466593ST	MMPD60018995ST	MMPD65722427ST	MMPD69225512ST	MMPD76778172ST	MMPD78206795ST	MMPD79688031ST	MMPD79900020ST	MMPD89180418ST	MMPD91172559ST	MMPD91702294ST	MMPD91893113ST	MMPD93172239ST	MMPD94895988ST	MMPD97202411ST
s__Bacteroides_vulgatus	0	40.37592	0.43836	0.0628	0.0	17.31363	6.97426	25.11392	2.07133	0.37954	5.16358	5.59569	21.37691	12.44949	3.00112	19.64903	5.93037	2.10612	0.0346	0.45923	5.24284	0.0	0.11832	3.95366	3.94666	12.80617	6.17006	0.40975	2.27049	0.67724	12.75202	11.66601	1.52658	7.41403	1.62705	1.13562	0.70847	2.77511	7.68169	0.8485	0.27194	21.66676	2.26402	2.73563	23.7558	1.51277	14.30079	0.15165	2.8647	0.054	0.58243	10.84284	3.39676	0.04549	1.57005	3.46669	10.04475	0.5579	0.03574	0.8281
s__Roseburia_faecis	0	11.91204	3.13218	0.0712	1.22768	0.0	0.0	0.0	0.16427	0.02732	1.99421	0.0	3.3963	0.0	0.26298	0.63094	0.00213	0.78747	0.0	0.0	0.35021	2.15051	0.0	0.61276	0.19926	0.02976	0.14983	0.38708	1.06868	10.80664	1.81159	0.0	1.07235	1.37947	0.71845	0.25049	1.70154	3.02107	4.10589	0.0	2.77397	0.0	0.0	0.0	0.0	0.80808	0.79228	0.83245	4.26902	2.51228	0.14325	0.97976	11.18207	1.58735	0.42597	0.22964	0.24374	4.02087	0.50403	4.24098
s__Ruminococcus_gnavus	0	11.86648	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.69377	0.0	0.0	0.60271	0.0	0.0	0.0	0.20615	0.02125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.59774	0.0	0.0	0.0	0.0	0.47242	0.0	0.0	0.0	0.0	0.13666	0.0	0.0	0.0	0.0	0.02337	0.0	0.0981	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00161	0.0	0.0
s__Roseburia_intestinalis	0	10.37878	5.61191	0.02583	0.0	0.59217	3.36742	0.0	1.64374	0.0	0.78006	0.00362	4.77208	5.60477	1.96271	0.0	0.426	0.0	0.70949	0.0	0.0	0.0	0.0	0.04674	1.93168	0.0	0.0	0.0	0.0016	0.26558	1.99661	17.31798	0.43162	5.28531	0.0	0.00228	0.02068	0.0	0.50953	0.33422	0.0	0.0	0.0	0.1825	0.92803	0.0	0.02343	0.70759	1.36059	3.65227	0.04379	0.15879	0.6136	0.10983	0.0	0.13147	3.53356	0.099	0.14015	0.04316
s__Blautia_wexlerae	0	6.29687	0.0	0.01312	0.0	0.03756	0.05796	0.0	0.02038	0.0	0.0	0.0	0.0	0.03077	0.05459	0.30112	0.18538	0.0	0.54783	0.0	0.20677	0.0	1.40045	0.0	0.04132	0.71855	0.0	0.02874	0.0	0.90261	0.03822	0.0	0.0	0.26341	0.0	0.00255	1.4057	0.08642	0.00914	0.0	0.04211	0.02037	0.0	0.03673	0.22001	0.0	0.0	0.26691	1.34646	0.12014	0.0	0.03434	0.0	0.0	0.04269	0.04404	0.0	0.0	0.0	0.0
s__Eubacterium_eligens	0	3.60515	4.86841	0.18879	0.15973	0.0	0.71088	0.0	0.95772	0.0	4.7345	0.3053	0.0	0.0	1.40369	4.43714	6.52359	0.24866	0.0	0.0	2.05468	1.70479	0.0	0.16343	0.63448	0.0285	0.45682	0.54157	4.60388	0.52382	2.59349	3.41322	1.72706	2.72695	0.02462	0.59855	0.15331	0.34031	0.51702	0.04843	0.04149	0.0	6.26858	0.36092	0.13481	0.9563	0.0	0.55751	0.02247	1.72789	0.92062	0.18648	0.5292	1.09164	0.29474	9.82416	0.68238	0.32638	0.10286	2.17342
s__Bacteroides_thetaiotaomicron	0	3.3677	0.63736	3.94641	0.31766	0.75843	0.0	1.71809	0.0	0.0	0.02687	0.17778	1.27002	1.99325	0.38012	0.26942	0.0	0.16459	2.53314	0.02133	0.09336	0.0	0.18368	0.03941	0.0	0.33962	0.92365	0.0326	0.69024	0.0	0.89127	7.15713	0.28887	0.47538	0.16651	0.2859	0.00142	1.68726	0.13684	1.66768	0.03389	5.91514	0.0	0.0	0.0	0.24921	0.80639	0.0	0.5219	0.60443	0.0	0.1706	0.60743	0.0	1.62382	0.0	0.0	0.0511	0.01016	0.0
s__Faecalibacterium_prausnitzii	0	2.41853	7.01074	2.51301	2.16584	3.0261	25.44127	0.01861	4.17748	7.55396	13.52453	19.7835	7.84177	17.28844	5.11001	3.27885	8.31788	4.53499	5.33469	10.746	9.18334	2.72296	0.2479	2.34445	11.61389	1.66364	0.33211	4.08433	8.51485	4.80407	12.86616	12.96221	4.5713	18.2821	5.75833	17.81462	2.54118	2.26783	5.61487	7.0097	7.15056	4.55172	24.49772	11.93116	5.78713	12.29601	0.3017	6.17977	15.89193	5.87961	19.15781	0.6953	8.3876	12.53124	6.72913	9.2128	5.41864	6.99622	20.15495	6.50586
s__Coprococcus_comes	0	1.20126	0.89316	0.72827	0.0	0.71839	0.10862	0.0	0.23629	0.0	0.33664	0.39146	1.41311	2.11658	0.64571	0.11696	0.34037	1.05933	0.0	0.0	0.05771	0.58052	0.0	0.25452	0.67737	0.38611	1.22511	0.38976	0.14498	0.45708	0.08391	0.0	1.90881	0.47137	0.58959	0.07614	4.21686	1.0068	0.76448	0.30728	1.88618	0.0	0.8008	0.19632	0.28594	0.69996	0.01033	0.16421	0.0	0.11582	0.18907	0.1609	0.30739	0.74267	0.89141	0.25485	1.91586	0.05215	0.08359	0.0
s__Ruminococcaceae_bacterium_D16	0	0.93228	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01649	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02425	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00472	0.0	0.0	0.0	0.17545	0.0	0.0	0.0	0.22955	0.0	0.0	0.0
