clade_name	NCBI_tax_id	TRAVELRES1	TRAVELRES10	TRAVELRES11	TRAVELRES12	TRAVELRES13	TRAVELRES14	TRAVELRES15	TRAVELRES16	TRAVELRES17	TRAVELRES18	TRAVELRES19	TRAVELRES2	TRAVELRES20	TRAVELRES21	TRAVELRES22	TRAVELRES23	TRAVELRES24	TRAVELRES25	TRAVELRES26	TRAVELRES27	TRAVELRES28	TRAVELRES29	TRAVELRES3	TRAVELRES30	TRAVELRES31	TRAVELRES32	TRAVELRES33	TRAVELRES34	TRAVELRES35	TRAVELRES36	TRAVELRES37	TRAVELRES38	TRAVELRES39	TRAVELRES4	TRAVELRES40	TRAVELRES41	TRAVELRES42	TRAVELRES43	TRAVELRES44	TRAVELRES45	TRAVELRES46	TRAVELRES47	TRAVELRES48	TRAVELRES49	TRAVELRES5	TRAVELRES50	TRAVELRES51	TRAVELRES52	TRAVELRES53	TRAVELRES54	TRAVELRES55	TRAVELRES56	TRAVELRES57	TRAVELRES58	TRAVELRES59	TRAVELRES6	TRAVELRES60	TRAVELRES61	TRAVELRES62	TRAVELRES63	TRAVELRES64	TRAVELRES65	TRAVELRES66	TRAVELRES67	TRAVELRES68	TRAVELRES69	TRAVELRES7	TRAVELRES70	TRAVELRES8	TRAVELRES9
s__Prevotella_copri	0	34.46579	3.0928	0.0	0.0	73.50977	33.13134	0.00296	0.0	22.88285	52.99688	0.00769	13.78819	12.6387	0.0	0.0	0.0	0.00767	0.0	0.05618	0.0	0.0	1.95777	0.0	46.10196	1.30704	0.0	0.00042	0.00871	0.0	0.0	0.0	0.0	5.74162	0.0	38.07855	0.01593	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	74.0046	0.0	0.0	0.0	0.0	0.00636	12.89614	35.51868	0.0	0.0	0.00081	7.5546	0.0	0.0	0.0	50.93954	57.08337	0.0	0.00092	24.19198	68.66573	0.0	1.82655	0.00865	0.73106	0.1042
s__Barnesiella_intestinihominis	0	9.41698	1.07632	0.44478	1.01583	0.0	0.02606	3.09782	4.07047	1.62874	0.91263	1.07984	3.60496	1.24061	4.47391	3.99481	1.38985	3.85597	2.99814	2.16925	1.40415	2.08205	0.15754	1.63232	3.7815	2.46593	4.77667	1.36432	2.35495	2.51271	4.57385	0.0	0.0	2.10195	0.82676	2.30932	2.35558	2.23611	0.0	0.00193	6.17367	8.96218	2.0117	5.85089	20.77429	1.66805	8.10223	0.00095	0.0	0.0	0.0	1.28778	2.96686	0.1241	0.46118	0.0	7.25455	0.30252	1.52169	2.42184	0.20821	0.21272	0.0	0.0	0.16837	0.04759	1.1556	0.78371	0.06997	0.29007	0.47167
s__Alistipes_putredinis	0	7.83548	8.53696	6.51745	6.58925	1.6842	9.35769	6.0843	7.8341	2.17738	2.58962	5.63303	4.38689	2.32491	16.96652	11.89891	11.40173	15.31508	7.14939	3.46303	4.37842	8.78666	6.69538	0.0	2.29602	3.72359	9.91257	3.05677	5.99534	3.20907	4.04134	0.0	0.0	9.62799	0.0	6.18169	4.96001	4.46125	0.0	0.00501	6.50713	8.47897	0.00261	0.0	6.31627	1.67505	5.73462	0.0	0.00446	2.80118	12.82384	5.97125	6.68133	0.00895	0.01693	0.03671	13.25584	0.31441	8.00556	10.92388	0.07535	0.07952	6.60828	9.7259	3.32479	0.13105	3.0782	3.88834	3.08313	0.60453	4.02185
s__Faecalibacterium_prausnitzii	0	6.67466	7.78732	9.53513	4.48411	3.47408	12.67623	7.88122	12.68727	14.56687	4.60119	5.54225	6.43228	14.00088	10.09578	9.24037	13.12838	2.90001	3.36502	8.2538	13.2955	8.07049	7.31765	10.90555	3.88621	2.64568	2.23136	4.00077	2.29777	4.8962	10.19083	5.23781	8.30462	5.54319	14.85813	3.6196	15.13739	7.51303	4.70137	8.45499	7.19509	7.98899	8.17114	5.56386	6.14959	4.23655	7.84848	5.95686	7.04887	0.35525	4.87845	5.38012	6.83822	6.48094	1.55486	8.06664	6.40389	12.12741	4.86016	2.14736	6.54127	2.01766	2.47943	4.38634	11.852	2.02832	5.21803	3.56276	3.84505	7.77724	2.42294
s__Bacteroides_uniformis	0	4.23417	9.46501	2.12381	2.6974	0.69205	0.60161	24.19492	5.74265	5.54099	6.70914	20.12996	0.88146	9.27235	24.85893	17.73016	7.4828	18.78724	6.25394	4.70192	12.93211	7.7001	22.96167	12.81888	3.56477	20.99108	20.42191	22.62771	33.7226	5.83166	7.95481	11.69643	7.93281	12.58441	12.85622	9.53633	7.34593	12.16245	3.81717	1.89003	18.02281	1.09034	8.73941	12.592	8.99909	2.39466	12.2451	17.00525	15.86562	52.15015	24.99708	16.9505	8.44625	5.24845	12.83913	13.55576	6.78788	8.88363	4.61	4.87634	1.39772	1.84671	15.09733	16.427	0.60598	0.21231	12.24138	6.50141	22.47201	2.42462	5.49191
s__Ruminococcus_bicirculans	0	3.90839	0.04427	2.04642	0.01846	0.0	0.0	2.49983	0.23625	0.13208	0.01265	0.00143	0.20434	3.10762	0.03729	0.00843	0.52302	3.50414	0.10687	0.00915	0.18372	0.49538	0.35708	1.39967	2.10357	3.34789	0.05986	2.89114	0.0	0.58907	2.30793	0.27633	7.53652	0.0	1.12303	2.03153	5.65631	0.81696	0.16704	0.12932	0.47058	0.46501	7.16335	0.01263	0.00542	1.23527	0.2176	1.2255	0.19501	0.0	0.0	0.86287	0.40785	0.00056	3.50571	3.6851	0.18573	2.89244	1.12884	1.61646	0.9641	0.04506	0.91935	1.07716	0.05602	0.00079	0.0244	1.14009	1.18229	0.39257	0.86209
s__Parabacteroides_distasonis	0	3.69732	1.30849	0.49006	3.45141	0.56685	0.71319	1.89453	2.144	0.7453	1.0322	1.85244	1.90971	0.44024	1.28877	2.91505	2.29918	1.5537	1.70974	1.36823	1.29488	1.13615	0.68616	2.96746	1.74528	2.45786	9.17926	0.89455	3.55351	1.73393	1.38437	0.0	0.0	0.74065	1.71068	0.7937	0.37669	0.35675	0.68101	0.38979	3.72103	3.76809	1.50479	1.24573	0.42908	0.89125	0.4509	8.99355	5.51779	0.80048	6.77818	1.29704	1.47827	0.65705	0.63628	0.7451	5.95919	0.95781	1.74791	2.1646	0.51772	0.52724	1.658	0.72226	0.61604	0.14774	0.87594	0.64702	1.06612	1.18794	0.71377
s__Bacteroides_vulgatus	0	3.42303	5.12205	0.17885	0.00433	1.8235	5.86669	4.75336	0.12483	2.33941	4.30276	9.29294	1.88558	15.26097	0.00024	0.0	30.78759	18.03395	10.20879	9.74354	7.59172	13.49655	21.32787	10.31139	0.60674	19.37107	20.25841	8.01191	12.00207	7.6816	5.56424	0.0	0.0	7.15958	9.16505	6.3292	12.99916	16.77426	24.57152	6.49652	7.86125	5.90372	10.75466	9.33256	5.56298	0.58093	16.46881	0.00335	0.00335	1.6349	4.51498	10.88266	4.65413	1.26396	5.74064	0.7949	2.34464	1.09895	7.44872	12.68712	4.77541	1.12759	14.53643	28.44632	0.9631	0.93166	14.84168	7.09013	16.90262	1.44551	0.65336
s__Alistipes_finegoldii	0	2.17449	1.92655	1.07355	0.90832	0.06916	0.25697	2.01896	3.20734	0.15498	0.15523	2.08139	3.81024	0.01674	0.15072	0.03823	0.70097	2.29227	0.12432	0.01881	3.89128	3.84464	2.40106	1.88681	1.02422	0.18459	0.0823	0.1229	0.23568	0.71697	0.70414	18.45819	7.12672	0.20003	2.3679	1.1253	0.62539	0.49391	0.00367	0.00129	2.27327	4.88505	0.01154	0.00766	1.9129	0.20948	0.73435	0.90116	0.16072	5.15944	2.20496	1.19522	0.52118	0.04332	0.068	0.53764	1.19741	0.37093	1.17231	1.53332	0.0	0.0	0.56699	1.80148	0.07433	0.00356	0.48031	0.55122	0.77117	0.08178	1.3505
s__Parabacteroides_merdae	0	2.13766	1.2807	0.00161	0.0	0.1497	0.91003	0.0	0.0	4.0739	2.37946	0.0	0.35392	0.88043	0.0	0.18375	3.27631	1.71822	0.57122	0.14684	2.37222	2.07143	3.13252	5.27368	0.53611	0.02675	0.0	0.0	0.0	0.8555	1.18674	0.0	0.0	0.0	2.07736	0.0	1.79282	2.74722	1.83508	0.95574	5.93747	2.47965	2.09915	0.58844	0.24656	0.67279	1.30149	0.0	0.00358	1.72963	5.69278	1.88527	0.89197	0.1813	0.72025	1.91949	0.67629	1.53748	1.75735	1.48381	1.01539	0.86648	4.98134	2.93902	0.1641	0.24089	1.584	0.99826	2.39974	0.14141	0.45307
