clade_name	NCBI_tax_id	ES_001	ES_007	ES_010	ES_014	ES_017	ES_019	ES_024	ES_043	ES_046	ES_048	ES_069	ES_080	ES_088	ES_089	ES_095	ES_099	ES_104	ES_106	ES_107	ES_108	ES_110	ES_114	ES_116	ES_132	ES_137	ES_147	ES_158	ES_207	ES_208	ES_209	ES_210	ES_211
s__Delftia_acidovorans	0	28.73242	14.38625	17.09751	9.59069	2.18941	0.52934	0.63076	5.02936	2.08261	1.99279	34.51468	0.45813	9.94433	40.67017	13.51608	1.87828	0.46101	1.08242	0.06762	6.89983	0.04504	0.35983	0.38593	2.6613	1.39979	0.76948	3.28095	33.20341	0.64225	0.84734	0.56872	4.39152
s__Lactobacillus_crispatus	0	12.73211	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.69133	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Prevotella_denticola	0	6.11675	0.14415	0.0	0.07414	0.07432	0.52534	0.63812	0.15702	0.29988	0.00354	2.71459	0.03658	0.23762	0.0	0.0	0.01188	0.0	0.0	0.02118	0.0	0.01237	0.0	0.0178	0.54099	0.06599	0.18523	0.00033	0.0	0.0	0.0	0.14489	0.03161
s__Delftia_tsuruhatensis	0	5.96351	2.66978	2.74518	1.57305	0.25133	0.13139	0.13035	1.08175	0.45563	0.39811	6.6705	0.05922	1.5594	7.12622	2.63134	0.32388	0.11131	0.26254	0.0159	1.40101	0.00485	0.07852	0.04861	0.60822	0.217	0.0411	0.57871	5.76363	0.13585	0.13304	0.15492	0.92247
s__Lactobacillus_vaginalis	0	5.80374	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.13847	0.00403	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Prevotella_oris	0	4.91283	0.33969	0.0	0.0	0.0	0.54836	0.19232	0.35514	0.05857	0.0	3.1508	0.03458	0.0	0.0	0.01268	0.0	0.0	0.0	0.17135	0.08679	0.03357	0.00172	0.00717	0.62714	0.04753	1.29217	0.00948	0.0	0.0	0.13962	0.26573	0.25973
s__Lactobacillus_oris	0	4.73922	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.74624	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Selenomonas_sputigena	0	3.53079	0.0	0.0	0.0	0.0	0.0231	0.03215	0.02001	0.0	0.0	1.30097	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02625	0.0	0.25732	0.00488	0.00164	0.0	0.0	0.0	0.0	0.0	0.01241	1.30395	0.0	0.0
s__Lactobacillus_fermentum	0	3.49582	0.0	0.0	0.0	0.0	0.0	0.0	0.00221	0.0	0.0	1.28809	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Bifidobacterium_dentium	0	3.37716	0.0	0.0	0.0	0.0	0.0	0.00594	0.0	0.0	0.0	1.24436	0.0094	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01346	0.0	0.0	0.0	0.0	0.0	0.0	0.0
