clade_name	NCBI_tax_id	AS100raw	AS101raw	AS103raw	AS104raw	AS105raw	AS106raw	AS108raw	AS109raw	AS10raw	AS111raw	AS113raw	AS114raw	AS115raw	AS116raw	AS117raw	AS119raw	AS11raw	AS120raw	AS121raw	AS122raw	AS123raw	AS126raw	AS127raw	AS128raw	AS12raw	AS130raw	AS131raw	AS132raw	AS133raw	AS134raw	AS136raw	AS137raw	AS138raw	AS15raw	AS17raw	AS18raw	AS19raw	AS20raw	AS21raw	AS22raw	AS24raw	AS25raw	AS26raw	AS28raw	AS29raw	AS2raw	AS31raw	AS34raw	AS35raw	AS36raw	AS37raw	AS38raw	AS3raw	AS40raw	AS41raw	AS42raw	AS43raw	AS45raw	AS46raw	AS48raw	AS49raw	AS4raw	AS50raw	AS51raw	AS54raw	AS56raw	AS57raw	AS58raw	AS5raw	AS61raw	AS62raw	AS63raw	AS64raw	AS65raw	AS66raw	AS67raw	AS68raw	AS6raw	AS71raw	AS73raw	AS74raw	AS76raw	AS77raw	AS78raw	AS79raw	AS80raw	AS81raw	AS82raw	AS84raw	AS90raw	AS92raw	AS94raw	AS96raw	AS97raw	AS98raw	AS99raw	AS9raw
s__Bacteroides_dorei	0	35.82214	0.63718	0.00406	0.03298	20.8123	0.54175	0.03801	2.58023	0.0	16.59888	2.93806	0.38115	1.49938	35.18851	12.3849	0.88981	1.50211	1.26459	0.57917	13.67098	0.03315	30.16659	0.01316	0.02243	0.00988	0.0255	1.04957	0.00341	0.03326	12.69909	12.6165	0.01337	4.98205	2.25163	0.0	0.0	1.48001	0.11633	1.71006	0.11248	0.24515	20.06439	0.45693	42.71416	0.15063	0.90136	0.01598	4.64371	0.05131	0.01407	0.0	0.52048	0.0043	0.00263	0.00544	0.00206	9.33966	0.0	0.02824	0.164	0.2343	0.92365	0.35943	1.51391	0.11607	0.02224	19.11141	0.06889	0.07169	0.0	35.20799	1.47684	3.1584	28.91519	0.07132	0.02663	2.74311	1.6877	0.00122	1.35259	0.51774	37.16922	0.00866	0.14709	0.00773	0.0	0.00806	46.15373	0.00684	5.78219	0.01083	28.229	3.21703	5.32151	4.35311	0.0195	2.63199
s__Eubacterium_sp_CAG_38	0	13.73737	0.07269	1.48656	1.64307	3.3989	0.0	0.00216	0.0	0.04367	0.0	0.07998	0.0	0.0	2.57197	0.0	0.0	0.07812	0.79584	0.57238	0.0	0.01316	0.0	7.26617	0.35536	0.12827	0.0079	0.07074	0.00249	0.0	0.0	0.02109	0.0205	5.84912	0.15519	0.0	0.0	0.0	4.38646	0.0	0.07829	0.32463	4.20584	1.98537	0.0	0.57546	0.05634	2.34426	0.0	0.1786	0.0	0.0	0.01942	0.0	0.85731	0.0	0.0	0.02818	0.0	0.0	0.0	2.01033	0.0	0.0	0.0	0.2655	0.73876	1.9591	1.53653	0.00874	0.92897	0.02006	0.00064	0.0	0.0008	0.0	0.26725	0.00015	0.06542	0.0	4.67788	1.16441	0.0	0.01384	0.0	0.0	1.71747	4.88264	0.0	0.0	0.03759	0.2367	0.0	0.00063	0.01521	0.10975	1.36288	0.53322
s__Roseburia_faecis	0	7.87769	1.60142	0.30446	0.0	0.69306	1.22276	15.87853	0.73967	0.32836	0.0	0.76642	0.0	0.0	0.84111	0.0	0.13577	0.62602	0.28876	1.41001	0.28587	0.46828	0.61326	3.56068	1.41707	0.19636	0.09369	1.46014	2.41234	0.39578	0.0	0.02168	0.01251	0.3626	0.03386	0.0	0.24128	6.16666	0.91306	0.0	0.09115	0.24713	2.80439	1.30109	0.06774	2.53412	4.70697	12.97668	1.16277	0.2117	1.39937	2.79254	0.14079	0.0	0.44624	0.0	1.4988	6.50205	0.10526	0.32982	0.00631	3.34063	0.42924	0.00347	0.59505	0.55774	0.00354	0.03126	0.84551	9.84394	2.4169	0.54722	0.0	0.17095	0.0	0.01337	0.33125	3.23803	0.16008	0.00962	2.01519	2.70205	2.31613	0.89079	0.92354	0.28314	0.42014	0.0018	0.00046	0.13794	0.54926	2.63234	0.80802	1.52242	0.52165	0.04198	1.31642	2.3068
s__Roseburia_intestinalis	0	6.21629	0.03608	0.0	2.92111	0.0	1.27105	4.77443	0.01395	0.0	1.24774	0.0	0.0	0.02144	0.0	0.0	0.63987	0.0	0.88357	0.0125	0.01136	0.10452	0.00255	12.30833	0.29999	0.0	0.76206	0.0	0.0043	1.55547	1.73356	1.70168	0.09507	0.0	0.02954	0.01164	0.0	2.58827	0.83126	3.1219	0.0	0.18054	1.40619	0.00113	0.00588	0.9852	0.00267	3.31909	2.04384	0.0	0.14049	0.0	0.01357	0.0	0.08642	0.0	0.27495	0.02017	0.01176	0.5165	5.00581	0.25844	1.22496	1.00287	0.0	1.56663	0.0	0.29071	0.01976	0.38698	0.79188	1.59793	1.41114	0.00154	0.80889	0.0	0.0	0.35672	0.01567	0.03853	0.0	0.3705	0.55401	0.0	0.13494	0.0	0.00015	0.0	0.0	1.13617	0.35752	0.0074	0.0	0.34067	0.01012	0.0	0.6953	0.0
s__Bifidobacterium_bifidum	0	5.34916	0.0	0.0	1.36812	0.0	1.20179	0.43629	0.0	0.0	0.00117	0.0	0.0	0.0	1.22061	0.00141	0.0	1.22157	0.00299	0.0	0.0	2.13574	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00017	0.12064	0.0	0.00132	0.04459	0.0	0.0	0.0	0.0	0.0	7.63756	0.0	0.0	2.00701	0.0	0.0	0.01072	0.0	0.01393	0.0	6.4543	3.31152	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00114	0.0	0.0	0.00195	0.0	0.0	0.0	0.0	0.00238	1.1255	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.00951	1.13396	0.0	0.0	0.0	0.0	0.00494	0.00139	0.00309	0.0	0.0	1.23034	0.0179	0.0	0.0
s__Roseburia_inulinivorans	0	3.94043	9.90756	0.23364	0.05516	0.00076	0.05719	5.7075	0.68991	0.05281	0.0	0.01788	0.39589	0.18588	0.00358	0.00348	1.2755	0.02349	4.81868	0.70663	1.87251	0.0876	1.70579	7.63422	0.40524	1.16196	0.00609	0.6836	0.03275	1.362	2.93743	0.14749	3.45481	11.68521	3.35115	0.33661	1.68795	2.51774	0.72579	0.70766	1.243	1.41529	0.0	2.02085	0.35081	0.17767	0.56682	0.27259	0.04222	0.1194	0.05263	1.05929	0.01042	0.0	2.61262	0.0	2.33325	0.79753	0.61304	0.99385	0.27746	2.39919	0.07008	1.13484	0.12455	0.80343	0.15296	0.00039	0.85109	0.02985	0.09077	0.53116	7.55654	0.51756	2.82398	0.00468	0.91318	1.77581	0.18608	1.36742	2.18225	3.21826	0.21028	1.66601	0.4535	0.54044	2.92911	0.0	0.00779	3.36297	0.98941	0.99015	0.0	1.65636	0.19951	0.14414	0.32177	0.02676
s__Faecalibacterium_prausnitzii	0	3.2928	2.78191	2.1431	2.46805	6.02503	12.6439	12.15195	1.68719	0.66704	0.04958	2.53937	3.8889	3.0051	0.09009	0.06187	5.61415	6.53899	25.21798	5.18289	5.25041	8.82352	0.41691	16.51035	4.09447	4.72803	1.68391	9.53859	5.88048	12.35333	4.92966	6.49634	5.94384	4.51106	18.89854	11.61312	9.3017	16.79181	12.7904	18.39948	11.29127	11.22535	3.85952	15.77804	8.78207	17.20461	9.87512	5.90053	8.09447	2.85564	3.51047	6.9157	7.04321	19.18579	15.15427	3.60788	10.26398	12.12031	4.57332	1.5088	4.31685	17.93593	5.4742	4.25313	7.10649	27.96963	11.32675	5.72318	5.37157	12.11062	12.72828	5.53706	6.45097	0.75007	4.97077	0.81459	5.48563	12.3588	5.69652	3.09166	6.27219	7.8445	3.97501	3.41676	3.87265	8.1966	3.5877	0.26677	16.6173	14.9618	12.44811	11.80301	9.54664	11.46077	11.58535	2.75583	17.3666	7.20304
s__Bifidobacterium_longum	0	3.27861	0.51101	0.0	0.30055	0.12835	2.10594	0.00039	0.0	10.63824	0.0	0.18813	0.0	0.4762	0.26831	8.54941	0.15416	0.0385	0.43052	0.41462	0.33163	2.54699	0.20218	2.22804	2.45865	0.09198	2.14912	2.50444	0.26223	0.0	0.32031	0.0	0.13657	0.41255	0.21357	0.04897	1.52329	0.83492	0.00245	0.69977	0.5193	0.0	0.27185	0.03347	0.0	0.46221	2.38141	0.0	0.18557	0.67686	0.0	0.30351	0.8449	4.03269	0.00247	6.1926	1.13942	1.15666	0.5705	0.13052	0.00581	0.0	0.04968	0.14823	0.0	0.53524	0.00075	0.28137	0.08765	1.06803	0.0	0.90419	0.09544	1.50031	0.00575	1.89658	1.8889	0.0	0.03451	0.16864	0.58601	5.04744	0.37201	0.11241	0.07836	1.62329	0.0345	1.59208	1.88286	0.45085	1.52014	1.32508	1.23467	0.1548	0.1961	0.06261	0.55443	0.16292
s__Eubacterium_eligens	0	2.74586	1.47212	0.10358	0.0	1.78771	0.02981	0.31317	0.88217	0.38879	0.0	0.0	1.12956	0.76104	6.33088	0.0	0.98689	0.17328	1.48245	0.13352	1.65865	0.10012	0.11325	0.0	0.57721	0.53446	1.11531	1.17884	0.56612	6.05954	0.28575	0.75195	0.16939	2.80532	2.60397	1.56952	0.0	0.10472	2.00004	0.0	0.13954	1.95243	1.78283	2.62662	5.11935	0.11284	0.21196	0.0	0.30839	0.04789	0.27543	0.45919	0.00484	0.00155	0.71298	0.0	0.68848	0.01501	0.25054	0.48477	0.00972	2.29198	0.60248	0.0	0.39676	0.17183	0.0	0.00112	0.72834	0.10902	1.73708	3.53723	0.0	0.54702	0.80543	0.00196	1.5684	2.29149	0.42349	0.08942	0.81604	0.22651	3.01163	0.16051	0.26889	0.12015	0.08979	0.0	0.0	0.0	0.98202	0.01031	0.0	1.35366	0.4947	0.0	0.53116	0.47159
s__Bacteroides_thetaiotaomicron	0	2.03673	1.23366	0.52739	0.14608	1.01922	0.03406	5.92448	0.17931	0.01998	0.0	0.03695	0.06787	0.38377	1.98179	0.00091	1.64602	0.26194	0.63027	0.6626	0.0	0.80433	4.40217	0.40594	0.35872	0.0716	0.04063	1.00148	0.32841	0.73958	1.45608	3.33748	0.35182	0.54326	0.63066	5.9998	0.00023	0.42199	1.10846	1.27609	0.3826	0.31706	3.27173	0.3136	0.0	3.18738	0.05057	1.79192	1.75532	0.00487	0.67755	0.08915	0.35342	0.03035	0.01992	0.0	0.06825	2.46425	0.04805	0.13207	0.54029	0.13787	0.02929	0.35272	0.04838	0.09289	0.27348	2.04683	1.44951	0.24327	1.10796	0.01041	0.31169	0.41492	0.81107	0.02734	0.41189	0.44637	0.26571	0.0	0.81423	0.05287	6.99045	0.18449	0.36338	0.11662	0.0006	0.19022	1.4363	0.7824	0.36902	0.21187	9.21598	0.1249	0.05237	0.42451	0.27897	0.48284
