clade_name	NCBI_tax_id	WBE003	WBE004	WBE005	WBE006	WBE007	WBE008	WBE009	WBE010	WBE011	WBE012	WBE013	WBE014	WBE015	WBE016	WBE017	WBE018	WBE019	WBE020	WBE021	WBE022	WBE023	WBE024	WBE026	WBE027	WBE028	WBE029	WBE030	WBE031	WBE032	WBE033	WBE034	WBE035	WBE036	WBE037	WBE038	WBE039	WBE040	WBE041	WBE042	WBE043	WBE044	WBE045	WBE046	WBE047	WBE048	WBE049	WBS012	WBS013	WBS014	WBS015	WBS016	WBS017	WBS018	WBS019	WBS020	WBS021	WBS022	WBS023	WBU001	WBU002	WBU003	WBU004	WBU005	WBU006	WBU007	WBU008	WBU009	WBU010	WBU011	WBU012	WBU013	WBU014	WBU015	WBU016	WBU017	WBU018	WBU019	WBU020
s__Cutibacterium_acnes	0	30.30584	48.06613	56.04077	64.18017	33.25504	34.05009	41.19058	36.13192	65.27091	74.0202	77.68932	75.61759	53.74937	42.21517	63.14338	57.30867	21.9478	51.23478	74.44373	69.94055	74.89828	75.58634	86.7982	94.18228	52.05741	72.28389	25.99352	16.55657	78.51567	79.55068	40.45153	54.25994	64.37842	63.73376	84.98894	87.68814	40.00544	32.13967	56.80346	42.98076	32.37378	42.53512	52.83706	77.642	87.7611	82.89232	65.75243	56.70757	29.90941	34.65854	86.59869	90.5572	72.58268	76.2451	65.23499	73.9282	34.44115	49.10616	7.76529	7.09283	30.8682	32.46846	71.26407	34.42946	5.26315	4.29198	48.12344	44.77464	44.86859	21.04814	54.04713	43.04383	93.00541	80.56645	33.06256	49.08566	33.27034	46.89395
s__Klebsiella_pneumoniae	0	15.3888	0.0	0.0	0.0	0.0	0.0516	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0306	0.03365	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02008	0.07258	0.0	0.0	0.0	0.0	0.12192	0.0	0.00881	0.0	0.01548	0.0	0.03437	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Propionibacterium_humerusii	0	10.55198	11.36778	2.17605	0.39645	12.13178	8.90466	0.14542	0.37986	0.29114	0.15987	0.01642	0.08446	0.21644	0.35991	0.0	0.02689	0.02516	0.00636	0.0	0.01375	0.77687	0.21194	0.01443	0.0	0.21352	0.55344	0.0	0.0	0.14651	0.02122	14.46102	16.9645	0.02687	0.0	0.0	0.01475	1.28541	1.86279	0.08004	0.71605	0.0	0.0	0.11143	0.69743	0.13742	0.20263	0.41752	0.44494	36.40123	33.02142	0.12938	0.11535	6.76484	5.96121	13.03186	10.19267	1.56703	2.7857	0.0	0.0	1.88647	1.7099	0.0	0.0	0.11961	0.04549	6.95117	4.88846	0.02463	0.0	0.0	0.0	0.00854	0.01614	0.44441	0.92184	0.04426	0.01093
s__Moraxella_osloensis	0	5.08707	2.81395	6.28136	4.5577	8.20376	10.83568	5.12832	6.43139	1.98483	0.9577	1.31853	2.14888	7.97003	14.26653	0.30138	1.9219	27.02128	13.43736	2.18148	2.12764	0.25095	0.27086	0.21821	0.04042	1.96167	0.14804	13.656	17.88726	0.93702	0.18661	0.22987	0.41369	1.63157	1.418	0.94722	0.34019	3.25744	2.22231	3.56005	4.75576	5.61116	3.87978	1.08798	3.19447	0.0	0.15072	5.11593	5.00493	2.77171	2.20661	0.21744	0.08192	1.69183	0.77863	1.67097	1.66993	4.38279	0.8406	0.91026	0.99458	12.93868	11.00062	0.0544	0.0	11.43069	7.10057	3.23082	2.68406	5.96453	3.58	0.06585	0.07518	0.41032	3.36046	9.95401	6.54254	0.95872	1.01169
s__Enhydrobacter_aerosaccus	0	3.82472	2.44343	6.32283	5.78283	7.78615	11.26972	5.61658	6.65634	1.62995	1.68524	1.63822	3.45809	10.39428	18.93377	0.20487	1.03071	34.94594	17.89906	1.06046	1.98529	0.22462	0.23756	0.26806	0.05199	1.35676	0.66677	10.12123	21.7453	1.37082	0.77809	0.15275	0.30667	2.54778	2.05214	1.1592	0.54484	1.51036	2.28105	3.73501	7.02871	5.32546	9.09399	3.19495	1.97096	0.06093	0.10555	6.64756	3.59554	3.80739	2.92818	0.259	0.19776	3.24581	1.10762	2.28804	1.75866	3.76383	1.30898	0.43397	1.07867	22.20312	13.92394	0.14941	0.06224	11.32955	8.96835	3.79537	3.53462	6.01197	3.48457	0.0	0.0	0.6622	2.29963	8.899	6.83978	0.99277	1.02972
s__Staphylococcus_capitis	0	3.46621	4.60705	0.44292	0.87613	1.68247	1.20447	0.77257	0.47982	7.2928	5.43058	1.00243	0.54413	4.77375	2.95791	0.01348	0.45312	0.84077	2.12726	11.42919	14.983	2.86717	3.03904	0.85377	0.50428	1.25201	1.50303	0.03384	0.33283	1.79889	2.48778	0.31749	0.95742	1.42206	3.38728	0.07481	0.08759	5.0659	2.36144	1.71609	0.9659	1.16387	1.66076	0.61324	0.75515	2.04722	2.77781	0.3772	0.27346	0.25577	0.52516	0.18698	0.18479	1.71602	2.75516	0.04944	0.0563	0.02293	0.12368	2.02096	0.9926	0.35553	3.0885	1.89569	0.47406	0.0	0.0	0.05134	0.07711	0.57742	0.1269	0.4152	2.03154	0.18829	0.24234	0.12863	0.12685	1.84906	3.31857
s__Klebsiella_variicola	0	3.07086	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02442	0.0	0.00647	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03267	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01605	0.01727	0.0	0.0	0.0	0.0	0.0	0.0
s__Malassezia_restricta	0	2.93518	5.67081	4.29156	5.65499	1.7671	1.52104	3.21822	2.26048	1.39867	1.80261	0.9245	0.83727	0.91128	0.74899	2.03567	2.21022	0.49832	0.78777	2.02989	2.00502	7.66865	8.8857	2.61741	2.59475	2.82909	3.87411	0.0	0.04659	2.3955	2.77333	1.75998	2.1359	1.17068	1.14617	1.06118	1.03925	3.1388	2.53379	1.21399	1.01185	3.66992	5.89594	0.0655	0.11212	0.32755	0.60008	4.1224	3.41439	5.57887	4.36569	1.31825	1.5968	6.31765	8.12011	4.28025	3.85922	2.7375	6.13407	3.37685	4.90099	6.31177	5.06312	14.30315	5.80564	2.66725	2.09835	2.19076	1.9786	6.64895	2.08786	22.45396	19.39967	0.46469	0.41277	3.94828	4.48901	4.4715	8.98827
s__Staphylococcus_caprae	0	2.71421	3.06033	0.0	0.0	0.0	0.0	0.0	0.0	7.52444	1.07007	0.1993	0.06467	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09109	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15683	0.04225	0.0	0.0	0.31995	0.08498	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05571	0.05128	0.07255	0.10995
s__Klebsiella_quasipneumoniae	0	2.67323	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00601	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00841	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
