clade_name	NCBI_tax_id	NCS-003-I-ORAL1_microbiome	NCS-003-Meconium_microbiome	NCS-004-I-ORAL3_microbiome	NCS-005-I-ORAL3_microbiome	NCS-005-Meconium_microbiome	NCS-005-Stool-maternal_microbiome	NCS-006-Stool-infant_microbiome	NCS-006-Stool-maternal3_microbiome	NCS-008-I-ORAL3_microbiome	NCS-008-Stool-infant_microbiome	NCS-008-Stool-infant2_microbiome	NCS-009-I-ORAL3_microbiome	NCS-009-Stool-infant_microbiome	NCS-011-I-ORAL3_microbiome	NCS-012-Stool-infant_microbiome	NCS-012-Stool-infant1_microbiome	NCS-012-Stool-maternal1_microbiome	NCS-012-Stool-maternal3_microbiome	NCS-013-Stool-infant_microbiome	NCS-014-I-ORAL1_microbiome	NCS-014-Stool-maternal_microbiome	NCS-016-Meconium_microbiome	NCS-018-I-ORAL3_microbiome	NCS-018-Stool-infant_microbiome	NCS-020-I-ORAL3_microbiome	NCS-020-Meconium_microbiome	NCS-020-Stool-infant_microbiome	NCS-020-Stool-maternal1_microbiome	NCS-020-Stool-maternal3_microbiome	NCS-022-I-ORAL3_microbiome	NCS-022-Stool-infant_microbiome	NCS-022-Stool-maternal1_microbiome	NCS-022-Stool-maternal3_microbiome	NCS-023-I-ORAL3_microbiome	NCS-023-Stool-maternal_microbiome	NCS-025-I-ORAL3_microbiome	NCS-026-I-ORAL3_microbiome	NCS-026-Stool-infant_microbiome	NCS-027-Stool-infant_microbiome	NCS-028-Meconium_microbiome	NCS-029-I-ORAL1_microbiome	NCS-029-Meconium1_microbiome	NCS-030-Stool-infant_microbiome	NCS-032-I-ORAL1_microbiome	NCS-032-Stool-infant_microbiome	NCS-034-Stool-infant_microbiome	NCS-036-Stool-infant_microbiome	NCS-037-I-ORAL3_microbiome	NCS-037-Stool-infant_microbiome	NCS-039-Stool-infant_microbiome	NCS-040-Stool-infant_microbiome	NCS-041-Meconium_microbiome	NCS-041-Stool-infant_microbiome	NCS-042-Stool-infant_microbiome	NCS-044-I-ORAL1_microbiome	NCS-044-Stool-infant_microbiome	NCS-045-I-ORAL1_microbiome	NCS-047-I-ORAL1_microbiome	NCS-047-Stool-infant_microbiome	NCS-049-I-ORAL3_microbiome	NCS-049-Meconium1_microbiome	NCS-049-Stool-maternal3_microbiome	NCS-050-Stool-infant_microbiome	NCS-051-Stool-infant_microbiome	NCS-051-Stool-maternal1_microbiome	NCS-053-Meconium_microbiome	NCS-054-Stool-infant_microbiome	NCS-054-Stool-infant3_microbiome	NCS-058-Stool-infant_microbiome	NCS-062-Stool-infant_microbiome	NCS-064-Stool-infant_microbiome	NCS-064-Stool-maternal1_microbiome	NCS-064-Stool-maternal3_microbiome	NCS-067-Stool-infant_microbiome	NCS-071-Meconium1_microbiome	NCS-072-Meconium1_microbiome	NCS-072-Stool-infant_microbiome	NCS-072-Stool-maternal1_microbiome	NCS-072-Stool-maternal3_microbiome	NCS-074-Stool-infant_microbiome	NCS-075-I-ORAL3_microbiome	NCS-075-Stool-infant_microbiome	NCS-076-Stool-infant_microbiome	NCS-077-Stool-infant_microbiome	NCS-077-Stool-maternal1_microbiome	NCS-078-Stool-infant_microbiome
s__Lactobacillus_iners	0	99.4963	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	63.35743	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00813	0.37991	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Candida_albicans	0	0.5037	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.25354	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.79501	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06157	0.0015	0.0	0.0	0.0	0.0
s__Streptococcus_mitis	0	0.0	11.63637	64.56493	79.54708	0.0	0.0	0.0	0.0	41.65569	0.0	0.0	89.6247	0.01712	55.50077	0.0	0.0	0.0	0.0	0.0	23.33043	0.0	0.0	38.72446	0.01276	71.65547	0	0.0	0.0	0.0033	45.16115	0.00245	0.0	0.0	17.72763	0.0	22.69754	75.19055	0.0	0.00073	0.00084	0	0.08882	0.0	0.0	0.01136	0.0	0.0	61.36727	0.0065	0.0	0.05675	0.0	0.00399	0.01118	0	0.0	51.29315	55.95386	0.03352	22.47573	0.0	0.0	0.00341	0.00829	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01522	0.02912	0.0	0.0	0.02711	0.0	0.0	68.96219	0.00446	0.04549	0.0	0.0176	0.0
s__Prevotella_melaninogenica	0	0.0	10.93461	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.24567	0.0	0.0	1.30995	0.0	0.0	1.36443	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.94072	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.05048	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.11322	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.32889	0.0	0.0	0.0	0.0	0.0
s__Actinomyces_sp_ICM47	0	0.0	6.7944	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.62704	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.02733	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01785	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Prevotella_histicola	0	0.0	6.29532	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.76047	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Veillonella_parvula	0	0.0	4.20736	0.0	0.0	0.0	0.0	0.31754	0.02149	0.0	0.0	0.00259	0.0	1.93849	0.0	0.0	0.0	0.0	0.0	3.98492	4.89769	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0191	0.01483	0.0	0.08909	0.0	0.0	0.52119	0.0	0.0	0.0	11.6259	0.41182	0.0	0	0.0	0.0	0.0	4.60463	0.0	0.0	0.0	0.0	13.72758	0.00414	0.0	0.81537	0.02093	0	0.00551	12.0329	0.0	0.0	0.07308	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.54528	0.0	0.0	0.03741	0.0	0.84753	0.0	0.0	0.0	0.0	0.0	0.00468	0.03153	23.29031	0.10373	0.03922	0.0	4.76246
s__Streptococcus_salivarius	0	0.0	4.12441	0.0	2.54192	0.0	0.0	0.0	0.22163	1.90544	0.11536	0.09336	0.0	3.33881	0.03304	0.05314	0.04047	0.01323	0.0	0.00506	0.13341	0.09993	0.0	0.06775	0.0	0.0	0	0.04746	0.17253	0.00276	10.41655	0.11901	0.0	0.0	14.80046	0.0	0.99049	0.0	0.0	0.00811	0.0	0	0.0	0.00558	0.0	0.00176	0.12177	0.12026	0.24104	0.0	0.60991	0.01126	0.0	0.00474	0.0	0	0.01669	0.0	0.0	0.07621	14.6255	0.0	0.0	0.05759	0.01807	0.20897	0.0	0.04334	0.01286	0.0	0.06047	0.26249	0.38446	0.00876	0.08008	1.97003	0.0	0.0	0.01056	0.0	0.0466	0.16974	0.01036	0.04829	0.03998	0.0	0.0
s__Neisseria_flavescens	0	0.0	3.59142	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.08293	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.46652	0	0.44563	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Haemophilus_haemolyticus	0	0.0	2.90457	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.50461	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.71286	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.08877	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	1.78148	0.0	0.04624	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05944	0.0	0.0	0.0	0.0	0.0	2.49909	0.0	0.0	0.0	0.02186	0.0
