clade_name	NCBI_tax_id	SID01.BA.V_metag	SID01.BA.VG.2	SID02.BA.V_metag	SID02.BA.VG_metag	SID03.BA.O_metag	SID04.BA.O_metag	SID04.BA.VG.2	SID04.BO.VG.2	SID04.TO.VG	SID05.PR.VG.1	SID06.BA.VG_metag	SID06.PR.VG_metag	SID06.TO.VG	SID07.BA.VG.2	SID07.PR.V.2	SID08.BA.V_metag	SID08.BA.VG_metag	SID08.TO.VG	SID09.PR.V_metag	SID09.TO.O.new	SID10.BO.V	SID10.TO.V.1	SID11.BA.V_metag	SID11.TO.V.2	SID12.PR.V.2	SID12.TO.O.new	SID13.PR.VG.0	SID14.PR.VG.0	SID16.PR.VG.1	SID17.PR.V_metag	SID18.PR.V_metag	SID19.BA.V.2	SID19.TO.V	SID20.TO.O.0	SID21.TO.V.new	SID22.TO.O.new	SID23.BA.V.2	SID26.BA.V.2	SID26.PR.V_metag	SID29.PR.O.2	SID30.BO.O.2	SID31.PR.O.0	SID32.PR.V.1	SID33.PR.V_metag	SID37.PR.O.new	SID38.BA.O.2	SID38.PR.O.1	SID38.TO.VG	SID39.TO.VG	SID42.TO.VG.2	SID44.TO.V	SID45.BO.V.new	SIDVOV03_metag	SIDVOV08_metag	SIDVOV104_metag	SIDVOV108_metag	SIDVOV109_metag	SIDVOV112_metag	SIDVOV113_metag	SIDVOV114_metag	SIDVOV16_metag	SIDVOV20_metag	SIDVOV24_metag	SIDVOV25_metag	SIDVOV26_metag	SIDVOV28_metag	SIDVOV29_metag	SIDVOV32_metag	SIDVOV34_metag	SIDVOV35_metag	SIDVOV36_metag	SIDVOV38_metag	SIDVOV39_metag	SIDVOV46_metag	SIDVOV48_metag	SIDVOV49_metag	SIDVOV52_metag	SIDVOV53_metag	SIDVOV54_metag	SIDVOV56_metag	SIDVOV58_metag	SIDVOV59_metag	SIDVOV60_metag	SIDVOV66_metag	SIDVOV70_metag	SIDVOV72_metag	SIDVOV75_metag	SIDVOV76_metag	SIDVOV77_metag	SIDVOV78_metag	SIDVOV79_metag	SIDVOV81_metag	SIDVOV82_metag	SIDVOV96_metag	SIDVOV97_metag	SIDVOV98_metag	SIDVOV99_metag
s__Prevotella_copri	0	44.41439	0.0	0.00748	0.0079	0.05326	0.00884	0.02672	0.0	0.0	4.89655	0.0112	39.68508	0.0	0.0	32.59433	0.00832	0.35783	21.4727	56.48122	37.58179	0.00632	0.00732	0.00816	27.78688	85.07957	7.72136	0.06002	0.54133	0.00711	40.34633	41.7643	0.00397	32.01329	0.03033	16.2385	21.03053	0.0	0.0	28.13079	0.83679	0.00229	19.37711	0.0	0.0486	3.32961	0.00221	0.00649	13.29888	5.8437	0.21393	0.00085	0.07551	0.01835	0.0233	60.88402	0.53311	10.30063	49.44933	0.12431	0.32372	0.03366	0.03323	7.74799	31.69461	22.03837	44.66881	0.05848	0.2871	6.90263	50.60289	11.81519	29.06227	40.68276	48.67196	0.3438	7.24799	53.37086	35.33959	71.56341	0.56065	47.44912	77.72962	92.47309	12.43646	33.18514	0.26032	0.70384	70.63016	0.10153	0.18905	62.78758	9.08759	0.05546	0.11301	57.58761	0.15493	68.75111
s__Bifidobacterium_adolescentis	0	8.0204	20.69923	2.21042	10.32832	7.29406	1.43011	0.01063	0.0	18.01584	1.41355	0.1877	2.85379	15.95559	15.90841	0.0072	2.86081	1.01146	0.0	2.96194	0.49155	28.66832	0.0088	13.61279	11.50662	0.3391	0.0	2.52168	4.65612	0.0	0.00856	4.55578	2.4178	0.0	0.0	1.12442	6.32354	4.35984	15.04669	0.01722	2.48187	4.94212	1.70308	0.0	2.53136	42.49602	6.30913	3.94731	6.08878	7.17883	2.10608	35.33829	0.18397	6.37176	2.25889	0.0	0.62719	0.72513	21.41762	11.75249	14.08912	2.49131	0.0	3.07276	1.20709	0.0	1.38871	0.0	6.27768	2.6143	0.04808	0.2318	1.43793	0.00199	0.06636	2.44307	0.51726	0.88256	0.10893	0.5174	0.0	0.38065	0.10831	0.02067	0.92063	0.46279	0.0416	5.7851	0.18854	0.52144	0.56656	1.50216	9.57855	3.38469	1.71617	0.0	0.0	0.08736
s__Mitsuokella_multacida	0	4.8537	0.0	0.0	0.0	0.0	0.0041	0.0	0.0	0.0	0.0	0.0	0.02124	0.0	0.0	0.0	0.00278	0.0	0.0	0.0	0.00381	0.0	0.0	0.0	5.87926	0.0	0.0	0.00237	0.07819	0.0	0.0	4.7968	0.0	0.0	0.0	0.01583	0.01502	0.0	0.0	0.00041	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00156	0.0	0.01076	0.0	0.0	0.00607	0.00202	0.0	0.01256	0.0	0.0	0.0	0.0	0.00128	0.01336	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00858	0.0	0.0	0.0	0.0	0.0	0.0	0.00333	0.00843	0.0	0.0	0.0	0.0	0.0	0.0193	0.0	0.0	0.0
s__Roseburia_faecis	0	3.79333	2.4018	1.76459	0.14606	3.0076	2.61763	0.98503	1.84511	3.45557	3.16595	0.08855	0.53459	0.0	6.37365	0.00804	8.81803	0.27061	0.17789	0.09425	0.23414	0.21326	10.34233	0.0299	1.94975	0.18109	0.03375	1.43696	2.84742	0.25876	2.89282	4.35966	1.41185	0.07594	1.00822	0.94497	0.85687	0.49753	0.41801	0.00359	6.08788	5.56689	0.40557	1.73819	11.98364	0.0	0.50129	0.06486	0.4198	0.15246	0.14414	0.02943	0.65179	0.10448	0.34743	0.0	4.51058	0.02196	0.00075	0.36733	0.12146	1.00094	0.6868	0.37992	0.44882	0.0	0.0213	1.52607	0.07236	0.0	0.0	0.42113	0.2664	0.20352	0.29918	0.42148	0.0	0.14816	0.0	1.14414	0.00382	0.15182	0.11222	0.0048	0.0	0.33861	0.0	0.0	0.0134	0.17054	0.02396	0.06874	1.07232	0.0	0.45729	0.01286	0.65127	0.218
s__Faecalibacterium_prausnitzii	0	3.45122	18.44342	27.26213	10.5332	9.9995	8.71676	1.93851	2.92502	15.65508	8.97125	8.33405	3.43175	0.92162	12.68737	7.71184	9.20193	0.44527	20.42255	3.62061	21.80691	36.56038	2.03954	9.50714	9.81291	1.13153	11.53408	4.63067	5.92135	1.99404	4.85473	7.41266	4.40863	10.72972	1.63181	13.80665	18.0894	11.54837	3.6599	6.12897	8.33604	8.95281	10.21381	10.88959	13.60678	18.91246	14.6581	3.46146	24.41704	19.37038	2.64397	11.4649	36.75327	13.34698	19.72376	0.18769	29.12514	10.10057	4.83519	11.54102	16.96258	25.11287	13.08319	14.1829	10.64717	8.10158	7.8257	10.94416	13.36602	19.8652	7.7569	43.27829	14.9505	13.27071	16.50683	11.04669	17.90811	5.86646	9.70548	5.00047	7.24576	2.96139	0.77807	0.75487	3.41286	10.89408	18.19297	10.90966	10.38058	11.64122	9.37351	6.25389	12.03296	2.35684	26.28243	4.75406	15.38215	5.15663
s__Collinsella_aerofaciens	0	2.75915	3.37028	3.47492	0.00198	3.05188	3.54636	0.01048	1.65663	5.99031	0.56015	2.48724	4.30719	14.17823	5.7334	0.52817	2.48284	4.15371	0.50067	0.00217	7.13465	5.74029	0.0	1.93454	9.92014	0.14614	0.0	0.74026	1.49433	0.40023	3.37366	1.34038	0.73648	4.18731	2.04485	9.69907	9.09351	5.13765	0.0	0.25747	1.67536	2.56923	1.78407	0.16134	0.00965	7.72219	2.6662	2.28772	0.0	4.04589	0.55073	1.00977	4.05431	0.5595	6.9021	0.26016	1.61313	0.3159	0.89737	4.83988	0.5007	1.87205	0.80092	5.49056	0.83066	1.44409	1.74001	0.0	0.52964	0.40394	0.9448	0.48905	1.8494	0.13328	0.03496	6.39919	0.81564	1.78245	0.94928	0.01869	2.09539	1.26075	0.16071	0.27058	0.0849	2.12645	0.19181	1.16815	0.46923	0.0871	0.57708	0.5912	0.99464	0.2357	0.54575	0.78988	0.51442	0.30075
s__Bacteroides_uniformis	0	2.71447	0.34563	0.67914	2.85969	3.8972	1.33711	1.11762	10.20065	1.46365	1.15793	1.40449	0.01078	0.00338	1.36698	0.84445	3.43495	0.02991	2.96398	0.04336	0.05196	0.90642	1.50054	3.47773	0.43289	0.77636	2.5479	7.52197	5.41208	7.23133	0.77341	0.24199	7.53837	0.0	12.13975	0.07484	0.0	7.50051	0.0	0.35972	3.56452	1.03687	2.38152	20.94295	4.37144	0.04672	1.21087	13.61354	0.0	4.20536	4.88361	0.10664	0.00241	5.30171	2.74229	1.15808	12.25981	1.4009	0.79381	2.29118	5.47119	0.80881	38.70126	7.57484	2.41272	5.13652	0.17797	11.64135	2.12149	1.51711	1.53998	1.27407	1.34128	0.76873	0.04867	4.82327	12.46214	4.20665	0.16034	4.96086	13.65627	3.68946	0.84418	0.09754	16.92915	2.57512	2.54287	1.9724	0.01969	8.08387	18.28977	1.80587	1.86733	13.76475	2.42462	0.54609	5.67324	0.51438
s__Akkermansia_muciniphila	0	2.41846	2.02231	0.0	3.17835	0.01347	0.0	1.20045	0.0	0.64742	0.01738	0.0	0.0	5.39258	0.0	0.07099	0.0	0.06294	4.65154	0.00012	0.0	0.0	0.00334	0.88809	0.12761	0.51139	0.01418	3.46306	0.26301	0.0	2.24081	0.0	3.42996	0.0	0.0	16.24248	0.0	1.24233	0.0	0.64923	0.0	0.26368	0.85026	1.18439	0.07795	0.0009	0.0	0.81258	12.86194	1.34691	0.68607	2.57131	0.0	2.79728	0.09573	0.28276	0.00332	1.09312	0.00337	24.00543	2.29175	1.00696	0.0	4.08648	0.9138	0.0	0.0	0.0	4.68935	9.39967	0.35626	0.01431	7.64685	2.10894	0.01456	0.63794	0.00979	0.12974	0.00026	0.0	17.82187	0.53365	0.00694	0.00037	12.3236	0.0	0.71177	0.21342	0.0	0.0	23.47542	0.05319	3.29981	0.60331	3.47918	0.0	3.81603	0.0177
s__Bacteroides_vulgatus	0	2.12022	0.94533	1.50885	3.29326	1.79145	3.55089	0.0	9.20216	0.16604	3.91704	0.44634	0.03356	0.00271	2.33945	4.95427	4.80724	0.05023	2.45155	5.22042	0.55965	0.08013	4.31867	0.14048	0.55364	0.34685	0.18903	1.51237	2.52891	2.138	0.56942	1.82669	1.4213	0.0069	10.74733	0.01255	0.15955	3.69721	0.0	4.92843	19.04821	9.89028	1.20119	12.57555	5.18493	0.04013	0.5875	7.91147	0.0	2.46926	3.45209	0.00094	0.0	1.19168	3.55157	3.15859	3.93132	0.60043	1.72102	0.10215	0.67551	0.1321	1.74209	0.26606	0.58405	2.51916	0.31306	14.82706	0.26161	1.26956	0.82952	0.77254	0.58554	5.31663	0.12593	14.46252	2.41944	1.56005	0.32935	0.53855	5.41394	0.62877	0.46796	0.24874	0.21137	0.19835	0.59147	0.1329	0.0476	0.0035	3.89317	0.52752	1.06153	8.11649	0.83178	0.01508	1.12903	0.02471
s__Bacteroides_dorei	0	1.75354	0.58202	0.82613	0.20727	1.80228	0.0	1.53107	0.0	0.03184	8.73367	0.23919	0.43815	0.0	0.90299	0.00097	0.0	0.0	0.48074	0.0	0.00348	0.00319	10.24454	0.0935	0.49711	1.45266	1.1657	4.11804	4.02585	0.49882	0.0	0.72383	4.09033	0.0	0.00338	0.0648	0.0	2.13455	0.0	0.0	3.27146	0.61147	1.78353	0.0	0.0	0.03099	0.19773	1.97675	2.68485	0.30806	4.57683	0.0	0.0	0.40965	1.06545	0.03604	0.03261	0.00044	0.02152	0.05539	0.45041	0.27484	2.05918	0.28042	0.38581	0.02162	0.0	3.12977	0.16559	0.33568	0.68106	0.0439	0.00169	0.42893	0.0	3.12993	0.00374	0.38384	0.27509	0.51936	5.73265	0.59837	0.39284	0.0	0.57582	0.0	6.36891	0.07698	0.0	5.87589	0.44095	0.30948	0.01237	0.0	0.20617	0.03845	2.51399	0.36498
