clade_name	NCBI_tax_id	DHAK_C10_M	DHAK_C13_M	DHAK_C14_M	DHAK_C15_M	DHAK_C16_M	DHAK_C18_M	DHAK_C19_M	DHAK_C2_M	DHAK_C22_M	DHAK_C23_M	DHAK_C24_M	DHAK_C25_M	DHAK_C3_M	DHAK_C4_M	DHAK_C5_M	DHAK_C6_M	DHAK_C7_M	DHAK_C9_M	DHAK_HA	DHAK_HAA	DHAK_HAB	DHAK_HAC	DHAK_HAD	DHAK_HAE	DHAK_HAF	DHAK_HAG	DHAK_HAH	DHAK_HAI	DHAK_HAJ	DHAK_HAK	DHAK_HAL	DHAK_HAM	DHAK_HAN	DHAK_HAO	DHAK_HAP	DHAK_HAR	DHAK_HAT	DHAK_HAU	DHAK_HAV	DHAK_HAX	DHAK_HAZ	DHAK_HB	DHAK_HBA	DHAK_HBB	DHAK_HBC	DHAK_HBD	DHAK_HBE	DHAK_HBF	DHAK_HBG	DHAK_HBH	DHAK_HBI	DHAK_HBJ	DHAK_HBK	DHAK_HBL	DHAK_HBM	DHAK_HBR	DHAK_HBV	DHAK_HBW	DHAK_HBY	DHAK_HBZ	DHAK_HC	DHAK_HCA	DHAK_HCB	DHAK_HCD	DHAK_HCF	DHAK_HCH	DHAK_HCI	DHAK_HCJ	DHAK_HCK	DHAK_HCL	DHAK_HCM	DHAK_HCN	DHAK_HCO	DHAK_HCP	DHAK_HCQ	DHAK_HCR	DHAK_HCS	DHAK_HCT	DHAK_HCU	DHAK_HCV	DHAK_HCW	DHAK_HCY	DHAK_HCZ	DHAK_HD	DHAK_HDA	DHAK_HDB	DHAK_HDC	DHAK_HDD	DHAK_HDE	DHAK_HDF	DHAK_HE	DHAK_HF	DHAK_HG	DHAK_HI	DHAK_HJ	DHAK_HK	DHAK_HL	DHAK_HM	DHAK_HN	DHAK_HO	DHAK_HP	DHAK_HQ	DHAK_HR	DHAK_HS	DHAK_HT	DHAK_HU	DHAK_HV	DHAK_HW	DHAK_HY	DHAK_HZ
s__Prevotella_copri	0	46.56906	14.49343	67.02016	70.60843	78.92023	39.9563	60.20382	40.10348	0.0	62.38885	24.85602	51.23754	69.44379	21.78922	0.0	0.19112	49.47716	37.49499	59.46343	55.65506	15.51567	0.0	27.52022	6.76289	77.78096	77.51126	78.44183	68.61681	0.0	54.73784	22.67401	18.60715	0.0	29.48105	87.24307	86.55372	53.50746	0.01414	4.12184	38.6878	13.13628	46.16609	71.72616	76.34325	59.84678	23.6834	0.00206	6.04156	0.50379	0.0	0.0	0.0	4.95649	46.47442	0.0	36.70138	0.0	0.0	0.0	37.16168	48.07692	6.05597	36.44802	0.0	16.13589	72.61937	0.0	51.61403	5.98373	76.62737	84.42733	15.33202	81.83568	2.69726	0.0	50.87827	43.1584	0.0	32.27374	82.18147	21.27234	46.31854	2.32006	74.49617	11.82072	38.87673	21.14282	0.01894	0.0	0.0	68.74682	66.43469	12.77028	47.2858	65.10546	0.01243	13.5036	0.20762	72.11353	80.43397	46.89815	83.77845	73.48756	62.78306	60.48521	63.73035	0.50196	0.14185	10.67247	78.3951
s__Prevotella_sp_CAG_279	0	6.231	0.0	1.8913	5.50935	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.9413	0.0	0.28731	0.0	14.91978	0.0	0.0	0.0	2.51655	1.53727	0.28258	0.35408	0.0	1.56934	0.01283	0.0	0.0	12.23885	0.0	0.07559	0.08829	0.0	0.0	0.73229	0.03575	3.51336	0.0	0.50202	2.58115	0.0	0.0	0.0	0.39515	0.0	4.55324	0.0	1.34102	1.23381	0.0	0.0	0.0	3.04153	0.0	4.70548	0.0	0.58131	4.49649	0.0	0.0	0.03258	0.0	5.57325	12.63989	0.0	1.50546	0.0	0.0	6.41712	0.0	5.23313	1.69255	0.0	0.99169	0.0	0.0	0.0	0.0	0.41076	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.33442	5.1284	0.0	0.0	0.0	0.0	0.0	0.0	2.3712	2.83975	0.57918	0.0	0.0	0.0	0.0
s__Butyrivibrio_crossotus	0	6.00221	0.0	4.62262	0.59518	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00898	0.22305	0.0	31.66984	0.0	3.00334	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.87205	7.93841	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.32172	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.69938	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6187	22.8028	0.0	0.0	0.0	0.22428	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.59399	0.0	0.0	0.51523	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.00703	0.0	0.0	0.0	0.0	0.0	0.0
s__Eubacterium_eligens	0	5.43891	2.56592	1.74438	0.54836	1.04981	2.24519	0.98428	0.0	3.63886	0.5286	0.92247	0.91484	1.46065	1.26793	18.84595	1.0527	0.14018	1.40627	0.06956	1.18213	4.46083	0.0	0.0	0.15284	0.00973	0.96213	0.28793	0.45879	2.09531	0.44446	0.85611	1.57287	0.01509	4.64137	0.28092	0.0981	0.25632	0.81214	0.0	1.30178	0.0	0.35358	0.05966	0.07053	0.14175	1.26956	0.0	1.11787	1.67155	0.0	0.0	0.0	0.0139	0.40606	0.0	0.07019	0.65534	0.0	0.14371	0.91454	0.0	0.0	0.74462	0.84255	0.39508	0.03471	0.20139	0.40146	0.0	0.0	0.0	0.25165	0.0	0.0	0.11578	0.39071	0.22305	0.14628	0.0	0.0	0.21854	0.17894	0.40865	0.12761	0.0	0.06107	0.71957	0.0871	5.04286	0.1618	0.19033	0.00555	6.09173	0.25258	2.31496	0.26796	0.37824	0.02764	0.15543	3.03215	1.4109	0.40213	0.19962	0.12387	2.14427	0.36487	0.0	0.0	0.0	0.0
s__Faecalibacterium_prausnitzii	0	3.81834	5.99466	2.87571	1.23468	2.88198	4.74038	1.99639	2.89743	6.36105	3.04848	3.63053	4.7569	2.3812	1.64024	7.86385	6.08015	4.67465	5.05564	0.23091	0.14246	3.63275	1.69545	3.15157	2.05443	0.10141	0.58431	2.39736	1.68092	4.85651	3.27901	2.42598	2.81976	1.72927	0.89838	1.27129	0.38258	0.38095	4.37166	5.42309	11.49895	0.94132	6.19403	2.50156	3.65915	0.62724	16.19758	0.38701	2.27943	0.94993	3.60119	10.70115	1.28853	6.8419	1.92877	0.0	5.50335	24.13336	18.9936	3.41743	0.32286	6.63929	0.0	0.30945	3.15901	4.34972	1.92168	5.10213	2.49731	3.3674	0.67692	1.42815	3.60336	7.44384	1.3436	2.1882	2.18555	0.9514	0.0	1.76395	6.9625	3.6383	1.10068	1.84717	0.36094	3.88791	4.84305	19.71217	7.19987	5.40633	2.91182	0.50658	0.0859	0.97359	1.55933	2.8327	1.23655	0.94063	0.0	0.20281	0.3027	0.46793	0.3187	0.31182	0.66372	1.19644	0.65764	0.0	0.0	9.13543	0.0698
s__Mitsuokella_multacida	0	3.3744	0.0	0.0	0.0	0.0	0.0	0.16331	0.0	0.0	0.0	0.0	0.0	3.09172	2.01478	0.0	0.2019	0.0	0.0	1.79367	0.14167	0.0	0.64561	0.3402	0.0	0.0	0.0	0.0	0.0	0.02719	0.005	2.45278	0.00858	0.0	0.0	0.0	0.0	0.77294	0.0	4.53594	0.0	0.0	0.07251	0.0	0.0	0.0	0.49123	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.58793	0.0	0.0	0.0	0.0	3.25336	0.0	0.0	0.0	0.04025	0.07773	5.68626	6.42628	11.00748	0.0	0.0	0.11087	0.03984	0.0	0.0	6.03051	0.0	0.0	0.02055	0.0037	0.0	0.0	0.0	0.0	0.20254	6.18794	0.0	0.0	0.0	0.0	3.12658	0.0	0.0	0.0	0.0	0.0	6.50855	0.0	0.58443	0.0	2.53942	0.0	0.0	4.18196	0.0	0.0	0.0	0.0	0.0	1.27032
s__Bifidobacterium_adolescentis	0	2.9709	2.73335	0.0	0.44815	0.07732	0.0	0.0	0.03498	0.0	0.0	0.38299	0.0	0.19904	0.53169	0.16035	0.15955	0.0	0.01928	0.01086	1.59658	0.21259	1.46574	1.04253	0.09604	0.05537	0.0	0.63334	0.82139	0.0	2.38724	6.44971	6.95503	4.39838	0.19512	0.39879	0.0	0.27087	2.92484	17.19901	5.18209	5.11047	0.53356	0.07445	1.43266	0.01259	1.50294	12.25993	2.55956	0.0	1.64907	6.43173	0.31492	0.0	0.0	1.86972	6.81906	2.9991	0.0	0.0	0.05379	0.01145	0.0	0.0	0.0	5.33095	0.25263	3.96464	0.22399	0.72498	0.16	0.88641	5.18871	0.66624	0.04814	15.64937	0.65658	0.0	20.28098	0.25896	0.82456	0.0	0.63986	0.0	0.01079	1.87287	5.75415	0.0	0.74157	0.3424	0.0	0.08849	0.13418	0.0	0.00655	0.0	0.08691	2.05467	0.0	0.06971	0.0	0.16349	0.16808	0.0	0.50526	1.28688	0.78833	0.0	0.0	0.0	0.10919
s__Dialister_succinatiphilus	0	2.72775	1.96734	0.76605	0.92646	1.14507	1.44903	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06004	1.01355	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.22671	1.05636	0.0	0.0	1.14083	0.0	0.0	0.0	0.0	7.54144	0.0	0.0	5.1612	0.0	5.16141	0.91629	0.0	0.0	0.0	0.0	0.71699	0.0	0.10361	0.0	0.0	0.0	0.0	0.0	0.0	2.83519	0.0	0.0	2.6641	0.0	0.0	0.0	0.0	0.0	12.26505	0.0	0.97919	0.0	5.68813	8.49075	1.9395	0.0	0.0	3.05297	20.05831	4.8239	0.01356	0.0	0.0	0.0	18.48253	0.0	7.50373	0.0	0.0	0.0	1.62508	0.0	0.0	0.0	0.44845	2.42021	2.32724	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.39212
s__Victivallis_vadensis	0	2.60057	1.69561	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06695	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18388	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Prevotella_sp_CAG_5226	0	2.44419	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.7555	0.0	0.0	0.0	2.24856	0.0	0.0	0.0	13.5502	0.0	0.0	6.64838	0.0	0.0	0.0	0.0	0.0	8.3835	7.05496	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.19437	0.0	0.80724	0.0	7.15372	0.0	0.0	0.0	0.29926	0.0	1.01217	0.0	0.0	0.0	0.0	11.61691	0.0	0.0	0.0	0.0	0.0	6.26709	0.0	0.0	0.0	0.0	0.38796	0.0	0.0	8.14377	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.52298	0.0	0.0	0.0	0.0	0.0	0.0
