clade_name	NCBI_tax_id	CA_C10001IS2006FE_t1M15	CA_C10001IS2009FE_t2M15	CA_C10001IS2010SA_t2M15	CA_C10001IS2012FE_t3M15	CA_C10001MS2001SA_t0M15	CA_C10001MS2003VA_t0M15	CA_C10002IS2023FE_t2M15	CA_C10002IS2024SA_t2M15	CA_C10002IS2026FE_t3M15	CA_C10002IS2028FE_t4M15	CA_C10002MS2015SA_t0M15	CA_C10002MS2016FE_t0M15	CA_C10003IS2038SA_t2M15	CA_C10003IS2040FE_t3M15	CA_C10003IS2042FE_t4M15	CA_C10003MS2030FE_t0M15	CA_C10003MS2031VA_t0M15	CA_C10003MS2032SK_t0M15	CA_C10005IS2066FE_t1M15	CA_C10005IS2069FE_t2M15	CA_C10005IS2070SA_t2M15	CA_C10005IS2077FE_t4M15	CA_C10005MS2061SA_t0M15	CA_C10005MS2062FE_t0M15	CA_C10006IS2084FE_t1M15	CA_C10006IS2085SA_t1M15	CA_C10006IS2087FE_t2M15	CA_C10006IS2088SA_t2M15	CA_C10006IS2091FE_t3M15	CA_C10006IS2095FE_t4M15	CA_C10006IS2095FE_t5M16	CA_C10006MS2079SA_t0M15	CA_C10006MS2082SK_t0M15	CA_C10007IS2102FE_t1M15	CA_C10007IS2105FE_t2M15	CA_C10007IS2106SA_t2M15	CA_C10007IS2110FE_t3M15	CA_C10007IS2113FE_t5M16	CA_C10007IS2114FE_t4M15	CA_C10007MS2097SA_t0M15	CA_C10007MS2098FE_t0M15	CA_C10007MS2099VA_t0M15	CA_C10007MS2100SK_t0M15	CA_C10008IS2120FE_t1M15	CA_C10008IS2121SA_t1M15	CA_C10008IS2123FE_t2M15	CA_C10008IS2124SA_t2M15	CA_C10008IS2127FE_t3M15	CA_C10008IS2131FE_t5M16	CA_C10008MS2115SA_t0M15	CA_C10008MS2117VA_t0M15	CA_C10009IS2138FE_t1M15	CA_C10009IS2139SA_t1M15	CA_C10009IS2141FE_t2M15	CA_C10009IS2142SA_t2M15	CA_C10009IS2145FE_t3M16	CA_C10009IS2149FE_t4M15	CA_C10009IS2149FE_t5M16	CA_C10009MS2133SA_t0M15	CA_C10009MS2134FE_t0M15	CA_C10009MS2135VA_t0M15	CA_C10009MS2136SK_t0M15	CA_C10015IS2235FE_t3M15	CA_C10015IS2246FE_t1M15	CA_C10015IS2247SA_t1M15	CA_C10015IS2249FE_t2M15	CA_C10015IS2250SA_t2M15	CA_C10015MS2241SA_t0M15	CA_C10015MS2242FE_t0M15	CA_C10019IS2318FE_t1M15	CA_C10019IS2321FE_t2M15	CA_C10019IS2322SA_t2M15	CA_C10019IS2329FE_t4M15	CA_C10019IS2329FE_t5M16	CA_C10019IS2352FE_t3M15	CA_C10019MS2313SA_t0M15	CA_C10019MS2314FE_t0M16	CA_C10019MS2316SK_t0M15	CA_C10020IS2336FE_t1M15	CA_C10020IS2337SA_t1M15	CA_C10020IS2339FE_t2M15	CA_C10020IS2343FE_t3M15	CA_C10020IS2345FE_t5M16	CA_C10020IS2347FE_t4M15	CA_C10020MS2331SA_t0M15	CA_C10020MS2332FE_t0M15	CA_C10023IS2390FE_t1M15	CA_C10023IS2393FE_t2M15	CA_C10023IS2394SA_t2M15	CA_C10023IS2397FE_t3M15	CA_C10023IS2401FE_t4M16	CA_C10023IS2401FE_t5M16	CA_C10023MS2385SA_t0M15	CA_C10023MS2386FE_t0M15	CA_C10023MS2387VA_t0M15	CA_C10024IS2408FE_t1M15	CA_C10024IS2411FE_t2M15	CA_C10024IS2412SA_t2M15	CA_C10024IS2415FE_t3M15	CA_C10024IS2419FE_t4M15	CA_C10024IS2419FE_t5M16	CA_C10024MS2403SA_t0M15	CA_C10024MS2405VA_t0M15	CA_C10026IS2444FE_t1M15	CA_C10026IS2449FE_t2M15	CA_C10026IS2451FE_t3M15	CA_C10026IS2465FE_t4M16	CA_C10026MS2439SA_t0M15	CA_C10026MS2440FE_t0M15	CA_C10026MS2441VA_t0M15	CA_C10029IS2496FE_t1M15	CA_C10029IS2497SA_t1M15	CA_C10029IS2499FE_t2M15	CA_C10029IS2500SA_t2M15	CA_C10029IS2503FE_t3M15	CA_C10029MS2491SA_t0M15	CA_C10029MS2492FE_t0M15	CA_C10029MS2493VA_t0M16	CA_C10029MS2494SK_t0M15	CA_C10031IS2530FE_t1M15	CA_C10031IS2531SA_t1M15	CA_C10031IS2534SA_t2M15	CA_C10031IS2537FE_t3M15	CA_C10031IS2541FE_t4M15	CA_C10031IS2541FE_t5M16	CA_C10031MS2525SA_t0M15	CA_C10031MS2526FE_t0M15	CA_C10031MS2527VA_t0M15	CA_C10031MS2528SK_t0M15	CA_C10032IS2548FE_t1M15	CA_C10032IS2549SA_t1M15	CA_C10032IS2551FE_t2M15	CA_C10032IS2552SA_t2M15	CA_C10032IS2555FE_t3M15	CA_C10032IS2559FE_t4M15	CA_C10032IS2559FE_t5M16	CA_C10032MS2543SA_t0M15	CA_C10032MS2544FE_t0M15	CA_C10032MS2545VA_t0M15	CA_C10034IS2584FE_t1M15	CA_C10034IS2585SA_t1M15	CA_C10034IS2587FE_t2M15	CA_C10034IS2588SA_t2M15	CA_C10034IS2591FE_t3M15	CA_C10034IS2595FE_t4M15	CA_C10034MS2579SA_t0M15	CA_C10034MS2580FE_t0M15	CA_C10034MS2581VA_t0M16	CA_C10034MS2582SK_t0M15	CA_C10035IS2602FE_t1M15	CA_C10035IS2603SA_t1M15	CA_C10035IS2605FE_t2M15	CA_C10035IS2606SA_t2M15	CA_C10035IS2609FE_t3M16	CA_C10035IS2913FE_t4M16	CA_C10035MS2597SA_t0M15	CA_C10035MS2598FE_t0M15	CA_C10035MS2599VA_t0M15	CA_C10035MS2600SK_t0M15	CA_C10039IS2675SA_t1M15	CA_C10039IS2677FE_t2M16	CA_C10039IS2678SA_t2M15	CA_C10039IS2681FE_t3M16	CA_C10039MS2669SA_t0M15	CA_C10039MS2670FE_t0M16	CA_C10039MS2671VA_t0M15	CA_C10039MS2672SK_t0M16	CA_C10042IS2731FE_t2M16	CA_C10042IS2732SA_t2M16	CA_C10042IS2735FE_t3M16	CA_C10042IS2739FE_t4M16	CA_C10042IS2739FE_t5M16	CA_C10042MS2723SA_t0M16	CA_C10042MS2724FE_t0M16	CA_C10042MS2725VA_t0M15	CA_C10042MS2726SK_t0M15	CA_C10043IS2747SA_t1M16	CA_C10043IS2749FE_t2M16	CA_C10043IS2750SA_t2M16	CA_C10043MS2741SA_t0M16	CA_C10043MS2742FE_t0M16	CA_C10043MS2743VA_t0M15	CA_C10043MS2744SK_t0M15	CA_C10049IS2854FE_t1M16	CA_C10049IS2855SA_t1M16	CA_C10049IS2857FE_t2M16	CA_C10049IS2858SA_t2M16	CA_C10049IS2861FE_t3M16	CA_C10049IS2866FE_t4M16	CA_C10049IS2866FE_t5M16	CA_C10049MS2849SA_t0M16	CA_C10049MS2850FE_t0M16	CA_C10049MS2851VA_t0M15	CA_C10049MS2852SK_t0M15	CA_C10052IS2908FE_t1M16	CA_C10052IS2909SA_t1M16	CA_C10052IS2911FE_t2M16	CA_C10052IS2912SA_t2M16	CA_C10052IS2915FE_t3M16	CA_C10052IS2920FE_t5M16	CA_C10052MS2903SA_t0M16	CA_C10052MS2904FE_t0M16	CA_C10052MS2905VA_t0M15	CA_C10052MS2906SK_t0M15	CA_C10055IS2962FE_t1M16	CA_C10055IS2963SA_t1M16	CA_C10055IS2965FE_t2M16	CA_C10055IS2966SA_t2M16	CA_C10055IS2969FE_t3M16	CA_C10055IS2973FE_t4M16	CA_C10055MS2957SA_t0M16	CA_C10055MS2958FE_t0M16	CA_C10055MS2959VA_t0M16	CA_C10055MS2960SK_t0M15
s__Escherichia_coli	0	98.2376	98.72067	0.0	70.9824	0.0	0.0	0.03246	0.0	0.01016	0.00759	0.0	0.18673	0.0	34.14987	68.1055	0.1253	0.0	0.0	47.53271	18.97242	0.0	15.68843	0.0	0.0	0.00745	0.0	0.03647	0.0	0.00061	0.0	82.84674	0.0	0.0	90.65806	94.83815	0.0	73.0965	13.54673	83.21163	0.0	0.09512	0.0	0.0	0.07956	0.0	0.0	0.0	0.0	14.22436	0.0	0.0	0	0.0	1.09505	0.00931	36.10888	0.70698	21.77576	0.0	0.00206	0.0	0.04958	0.0084	0.71922	0.0	0.0	0.0	0.0	0.0	0.01321	0.0	0.0	0.00871	0.01844	0.00055	0.0	0.0	0.07219	0.0	1.08404	2.68796	0.0	0.11787	0.02419	0.0	0.63499	64.46901	5.62786	0.0	75.26793	10.16587	5.63662	0.0	0.03552	0.01266	0.0	0.71039	0.0	25.71122	28.86611	14.79384	0.0	0.0	0.0	0.0	0.0	46.24493	0.0	0.2195	0.0	0.36934	0.0	0.0	0.0	0.0	0.0	0.00381	0.0	0.11528	0.66951	0.0	0.0	0.0	69.75461	62.96639	0.0	1.9929	0.0	0.16539	3.14126	0.0	2.67669	0.0	0.0	0.00733	72.02652	0.0	26.70844	0.0	0.09295	0.0	1.11157	0.01958	71.50298	31.20864	0.0	0.0	0.0	2.35248	0.17696	0.0	0.01808	0.0	1.32839	0.0	0.0	0.0	0.0	0.80227	0.0	98.25205	0.0	17.72467	0.0	0.57634	0.0	0.0	4.44935	0.0	0.0	7.70952	60.87636	0.0	1.08792	0.0	0.0	0.0	0.0	0.0	0.0	2.33489	0.0	0.0	75.36171	0.0	0.03327	0.0	85.30697	67.84812	14.316	0.0	0.75112	0.0	0.0	61.91884	0.0	93.37072	0.0	73.70388	21.12272	0.0	2.82888	0.0	0.0	0.02657	0.0	0.0	0.0	28.08973	0.07519	0.0	0.0	0.0	0.0
s__Klebsiella_michiganensis	0	1.58917	1.19462	0.0	3.61592	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00131	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07124	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.93568	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00572	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.81559	0.0687	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00265	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Parabacteroides_distasonis	0	0.04097	0.0	0.0	0.16276	0.0	0.0	66.76683	0.0	99.39036	38.86119	0.0	1.01377	0.0	0.0	0.00654	0.84304	0.0	0.0	1.08533	13.45369	0.0	31.07241	0.0	2.36143	0.0	0.0	0.0	0.0	0.0	0.0	0.00306	0.0	0.0	0.03412	0.0	0.0	0.0	0.001	0.0	0.0	1.73107	0.0	0.0	0.04956	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	9e-05	0.0	0.0	1.68975	0.0	0.0	0.53998	0.0	0.0	10.76939	0.71876	0.0	0.3513	0.0	0.0	1.04191	1.37985	0.0	0.0	0.0	0.0	0.0	0.0	1.40445	0.0	0.0	0.0	1.26014	0.0	0.0	0.0	0.0	0.3417	9.13369	42.13621	0.0	0.0	0.0	0.0	0.0	1.00997	2.82992	0.0	4.27712	0.0	0.61853	0.61965	0.82378	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.31277	0.0	0.07	0.0	2.58252	0.0	7.01499	0.0	1.34536	0.0	0.0	0.06251	0.0	0.0	0.0	0.0	0.0	0.0	0.44392	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.30923	0.0	0.0	0.0	0.00793	0.0	0.0	0.0	0.0	1.55271	0.0	0.0	0.19586	0.0	72.69324	0.0	0.0	32.62654	0.0	1.34273	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27032	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.42349	0.0	0.0	0.0	0.0	0.0	0.0	1.32596	0.0	0.0	0.05957	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.14499	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.46251	0.0	0.0	0.50189	0.0	0.0	0.0	0.0	0.0	0.0	0.62242	0.0	0.0
s__Bifidobacterium_longum	0	0.03364	0.0	0.0	0.0	0.00717	0.0	22.41322	0.0	0.00773	46.35247	0.0	0.7381	0.0	0.0	0.00288	0.04472	0.0	0.0	0.06602	0.83811	0.0	0.44951	0.0	0.01526	4.23155	0.0	29.20289	0.0	56.55832	11.95779	2.12106	0.0	0.0	0.17072	2.79573	0.0	18.42055	8.4447	7.7644	0.0	0.59638	0.0	0.0	0.17182	0.0	0.0	0.0	89.17524	14.70203	0.0	0.0	0	0.0	0.00074	0.0	0.0	0.02081	0.0	0.0	1.70345	0.0	0.0	16.73393	2.52099	0.0	4.50446	0.0	0.0	0.13285	0.00761	0.00611	0.0	0.72016	0.0	0.02403	0.0	0.0	0.0	0.0	0.0	0.13715	0.0	67.27514	30.27581	0.00183	0.48512	0.0	0.11606	0.0	16.3927	23.77037	0.00493	0.0	0.1141	0.00621	0.0	0.00738	0.0	8.73837	3.1045	1.52709	0.0	0.0	0.0944	0.01508	0.57927	5.45309	0.0	2.64809	0.0	1.06937	0.0	0.04863	0.0	12.18347	0.0	0.08945	0.0	0.14776	0.98068	0.0	0.0	84.23758	1.06349	2.6371	0.0	0.0	0.0	0.46465	4.88265	0.0	8.55516	0.0	0.0	0.36539	1.33549	0.0	0.0	0.0	0.02726	0.0	0.48921	0.01994	0.0	0.0	0.0	4.61926	0.0	1.84134	0.15573	0.0	0.01261	0.0	63.93428	3.83095	0.0	0.32828	0.0	1.07535	0.0	0.02185	0.0	0.0	0.0	0.0	0.0	0.0	0.00422	0.0	0.0	0.0	0.0	0.0	2.13567	0.0	0.0	1.17109	0.0	0.0	0.0	0.0	0.0	0.0	0.19016	0.0	0.0	0.0	0.0	0.0	25.43252	0.0	0.30422	0.0	0.0	0.00567	0.0	0.0	0.0	0.71113	29.01791	0.0	0.44103	0.0	0.0	0.08897	0.02062	15.38213	0.00532	0.25104	0.20884	0.0	0.05496	0.0	0.0
s__Bifidobacterium_adolescentis	0	0.0311	0.0	0.0	0.0	0.0	0.0	1.11853	0.0	0.0	0.0	0.0	2.54006	0.0	0.0	0.0	0.03407	0.0	0.0	0.22591	0.0	0.0	0.0	0.0	0.00374	0.01318	0.0	0.20514	0.0	0.05734	0.06986	2.46497	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.00028	0.0	0.0	0.00813	0.0	0.0	0.25646	0.0	0.0	0.04134	0.02703	0.0	0.0	0.0	0.0	0.0	0.09107	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.87142	0.0	0.0	0.01703	0.0	5.21197	0.0	0.0	0.0	0.05889	0.14297	0.0	0.0	0.00234	0.16581	0.0	0.0	0.0	1.52131	0.17722	0.95009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.41191	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05923	0.0	0.2713	0.14137	0.0	0.0	0.0	0.0	0.00795	0.0	0.0	0.0	1.31966	4.85903	0.0	4.43673	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02247	0.07073	0.0	0.0	0.0	1.91901	0.0	2.88225	0.52684	0.0	0.01877	0.0	0.0	0.0	0.0	0.3282	0.0	2.82152	0.0	0.02649	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34937	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.28864	0.0	0.0	0.31382	0.0	6.42031	0.00475	0.95676	0.0	0.0	0.186	0.0	0.0
s__Eubacterium_sp_CAG_180	0	0.02424	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.54017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0014	0.0	0.0	0.0	0.0	0.0	4.93776	0.0	0.0	0.0	0.71241	0.0	0.0	0.0	0.0	0.0	2.26312	0.03098	0.0	0.0	0.0	0.0	0.0	2.73842	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02224	0.24179	0.0	0.50995	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22349	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00438	0.0	0.0	0.0	0.0	0.0	20.80805	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00636	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.90614	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Klebsiella_pneumoniae	0	0.01158	0.01884	0.0	0.0264	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00515	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01283	0.0	0.0	0.0	0.0	0.03535	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.59985	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.77796	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.84826	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00587	0.0	0.0	0.0	0.09383	0.0	0.0	0.19664	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04964	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00781	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03669	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04991	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6307	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Cutibacterium_acnes	0	0.00954	0.0	0.07116	0.0	0.0	8.21383	0.03026	0.0	0.02383	0.04636	0.0	0.0	0.61477	0.0	0.02751	0.0	0.0	44.18063	0.78411	0.0	0.03359	0.0	0.0	0.0	0.35276	5.84416	11.55676	0.0	0.06681	0.0	0.0	0.0	44.74432	0.39739	0.00236	0.79325	0.0	0.0	0.0	0.07412	0.0	0.0	58.02331	1.4314	0.0	0.0	0.00162	0.0	0.0	0.0	0.0	0	40.36004	0.00451	0.025	0.0	0.0	0.0	0.0	0.0	0.0	46.84935	0.45104	2.84106	0.07894	0.0	0.0	0.0	0.0	0.24881	0.00182	0.01162	0.02601	0.0	0.0161	0.0	0.0	66.50893	0.0	1.85035	4.84594	0.0	0.00397	0.13711	0.0	0.0	0.0	0.0	0.15316	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00313	0.0	0.0	0.0	0.0	0.30199	0.03813	0.0	0.0	0.0	0.0	0.0	4.0925	38.46026	0.0	0.16771	0.03241	0.0	0.0	0.0	27.27436	5.09272	3.12984	0.0604	0.0	0.0	0.0	0.0	0.00011	0.0	12.39039	18.10057	49.59426	17.45546	0.07942	0.00462	0.001	0.0	0.0	0.0	0.0	6.31534	40.31402	4.56608	0.12068	0.0	0.0	0.0	0.0	0.0	37.67236	7.77973	20.73217	0.11925	0.9972	0.0	0.0	0.0	0.0	0.0	40.06925	17.87599	0.05731	0.09394	0.0	0.0	0.0	0.0	33.5577	0.22328	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.42686	2.55826	0.0	0.0814	0.0	0.0	0.0	60.22472	3.62344	33.73389	0.0	0.25065	0.0	0.0	0.0	0.0	0.0	0.0	60.99755	0.02375	0.11104	0.0	0.0	0.00442	0.00583	0.0	0.0	0.0	9.10363	4.9514	3.37686	0.0	0.1798	0.00058	0.0	0.0	0.0	0.0	78.99622
s__Faecalibacterium_prausnitzii	0	0.00945	0.0	0.0	0.02751	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.03321	0.0	0.0	0.0	0.32334	0.0	0.0	0.12025	0.0	0.0	0.0	0.0	1.60252	0.00776	0.0	0.0805	0.0	0.00377	0.0	0.0	0.0	0.0	0.00898	0.0	0.0	0.0	0.0	0.0	0.0	0.32404	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.00061	0.0	0.0	0.74097	0.0	0.0	0.22574	0.0	0.0	0.01715	0.5162	0.0	0.0	0.0	0.0	1.2329	4.80082	0.0	0.0	0.0	0.0	0.0	0.0	3.26388	0.03073	0.0	0.0	0.0	0.0	0.0	0.0183	0.0	0.65421	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.69912	2.77153	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.60531	0.0	0.55006	0.0	0.0	0.0	0.0	0.0	0.91479	0.0	0.56752	0.6229	0.0	0.0	0.0	0.0	0.0	0.0	3.09551	0.0	1.22093	3.88701	0.0	4.73623	0.0	0.0	0.0	0.0	0.0	4.60323	0.0	0.08734	0.0	0.03954	0.03684	0.0	0.0	0.0	8.28481	0.0	2.83277	0.31549	0.0	0.02282	0.0	0.0	0.0	0.0	2.74143	0.0	2.54213	0.0	0.04996	0.0	0.0	0.0	0.80489	0.0	0.0	0.01222	0.0	0.0	0.0	0.0	0.0	0.68367	0.0	0.0	0.0	0.0	0.0	0.0	0.07466	0.0	0.0	0.21321	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14002	0.0	0.0	0.83613	0.0	0.0	0.0	0.0	0.0	0.0	0.92032	0.0	0.0
s__Prevotella_copri	0	0.00688	0.0	0.0	7.90187	0.0	91.78617	0.00122	0.0	0.0	0.09091	0.0	6.45581	0.0	0.0	0.0	26.7304	0.0	0.0	0.08257	0.0	0.0	0.0	0.0	7.82104	0.00286	0.0	0.02092	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	7.73793	0.0	0.0	0.0	0.0	0.0	0.01194	0.14533	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.02396	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.45517	0.0	0.0	0.0	0.0	0.0	0.0	4.02262	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07519	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
