clade_name	NCBI_tax_id	frank_P10	frank_P14	frank_P16	frank_P17	frank_P22	frank_P23	frank_P24	frank_P25	frank_P28	frank_P30	frank_P32	frank_P33	frank_P34	frank_P35	frank_P39	frank_P42	frank_P44	frank_P45	frank_P46	frank_P48	frank_P49	frank_P52	frank_P53	frank_P54	frank_P55	frank_P56	frank_P57	frank_P58	frank_P59	frank_P61	frank_P63	frank_P64	frank_P65	frank_P66	frank_P67	frank_P68	frank_P69	frank_P7	frank_P8
s__Ruminococcus_bromii	0	16.29094	16.56839	2.81541	6.94469	20.42771	9.42687	0.10764	0.01049	0.01106	0.0067	0.09035	0.03998	18.20186	0.03666	0.03273	0.0064	0.02181	0.00799	3.6694	0.06289	3.39145	0.29081	0.02822	9.74491	0.01744	0.01634	0.02331	0.01568	0.02133	14.71115	7.12079	0.00427	0.00292	0.10032	0.01103	6.34491	0.00382	0.00039	9e-05
s__Alistipes_finegoldii	0	8.71915	2.49939	0.03551	0.67411	0.21838	0.32174	0.10639	0.00508	0.12804	1.34819	2.4573	0.98101	1.99492	0.00711	0.00955	0.00299	0.00097	0.00018	0.00132	0.12283	0.12145	0.11039	8.94131	1.02836	0.01252	1.53534	0.6598	0.10259	0.01393	0.01101	0.02057	0.0	0.0	0.0	0.00158	0.23039	0.0	2.50159	0.01851
s__Alistipes_putredinis	0	7.82034	3.29806	1.33605	0.00663	0.54343	5.29959	0.00762	12.93334	5.35858	0.03759	0.01555	4.26277	0.01307	4.35042	0.29689	3.2656	0.00474	0.18486	0.00621	1.61799	0.03752	0.60783	7.94635	5.33712	3.22243	0.00885	4.4056	0.39177	3.17435	0.01611	4.94443	5.94229	0.00549	0.00713	6.04959	3.52461	0.00945	2.84115	3.34924
s__Eubacterium_hallii	0	6.5149	0.00402	1.08077	0.00554	1.40935	0.54687	0.86011	0.17195	0.00493	1.33024	2.1701	2.33166	0.55196	0.96272	1.43279	6.15492	0.53874	1.27898	0.53579	0.02104	0.00801	0.91571	0.15097	0.24037	0.33113	0.79439	0.98367	1.35644	0.00454	0.36911	0.71008	0.0	0.0	0.30433	0.0	0.82114	0.0	0.00603	1.18649
s__Bacteroides_uniformis	0	5.75665	17.92353	1.87776	0.00922	0.26314	0.01469	0.56136	13.63573	11.32041	11.44233	1.56902	13.12101	0.52838	4.23437	1.80033	5.2816	14.75453	0.0869	20.47231	8.00595	5.14856	0.20061	3.23255	0.02438	8.75009	2.08811	1.66173	0.35428	2.18066	6.03464	3.509	9.96786	19.23425	10.05477	10.18167	6.25606	3.68251	5.73609	6.24678
s__Faecalibacterium_prausnitzii	0	5.0021	0.02467	18.57029	5.73003	7.42124	1.74472	9.9619	9.28587	0.0191	4.70274	0.11782	8.44082	5.14766	2.32465	1.44296	6.6314	0.01409	6.82043	0.01268	0.32268	1.45508	4.04562	0.08032	3.45518	5.59295	14.52062	11.35075	6.92138	0.06343	2.42318	14.96163	0.84572	0.00834	0.01117	2.87073	8.93399	10.92857	0.03335	14.71678
s__Dorea_longicatena	0	4.37074	0.00145	1.84051	0.0068	2.94261	0.0151	10.48523	1.01659	0.00044	0.0	1.09189	1.98531	0.75453	2.18881	2.92983	2.6591	1.52629	7.72652	0.00476	0.00266	0.01753	0.9039	1.29714	0.38063	0.00072	1.86745	1.29551	1.32191	0.00576	0.00116	0.70495	1.90313	0.00067	1.36106	0.00199	2.57022	2.31526	0.00353	2.00337
s__Barnesiella_intestinihominis	0	2.53701	0.00087	2.59937	0.0	0.0	0.0	0.06948	3.3421	0.0	0.00014	0.71852	3.08193	0.00071	0.00083	0.33869	1.69489	0.0	0.02046	0.0	0.8665	0.0	0.39901	0.0	0.0	0.0008	0.0	0.0	0.00028	0.00059	0.0	1.57409	0.0	0.0	0.0	2.59672	0.0	0.0	0.00012	2.62638
s__Blautia_obeum	0	2.51416	0.00072	1.13559	0.00017	2.01971	0.00421	0.2946	0.00269	0.00209	0.07103	1.53302	0.01585	0.00971	4.21546	4.74281	6.66948	0.25765	1.29255	0.00727	0.2966	9.02211	1.2078	14.26651	0.41063	10.7451	0.71291	3.53468	0.92231	15.12323	0.02049	0.69745	0.48616	0.00572	1.81944	6.67105	3.24162	0.00437	23.29269	0.30503
s__Blautia_wexlerae	0	2.49014	0.01953	0.14624	13.64429	0.02276	0.66377	0.00465	0.42453	3.65994	0.1553	0.01552	0.00973	0.89707	3.82984	1.69489	0.00378	0.25831	0.45341	0.69529	0.01708	0.00324	0.74578	0.01472	0.23683	1.96133	0.40226	0.36679	0.13105	0.00676	0.30556	0.59703	0.66118	0.137	2.5011	0.25391	2.41484	4.59712	0.01349	1.85545
