clade_name	NCBI_tax_id	SP_101SPI_T016	SP_104SPI_T016	SP_105SPI_T016	SP_122SPI_T016	SP_122SPT_T016	SP_123SPI_T016	SP_123SPT_T016	SP_124SPI_T016	SP_125SPI_T016	SP_129SPI_T016	SP_129SPT_T016	SP_132SPI_T016	SP_132SPT_T016	SP_133SPT_T016	SP_143SPI_T016	SP_143SPT_T016	SP_144SPI_T016	SP_148SPI_T016	SP_161SPI_T016	SP_162SPI_T016	SP_162SPT_T016	SP_163SPI_T016	SP_163SPT_T016	SP_164SPI_T016	SP_164SPT_T016	SP_184SPI_T016	SP_184SPT_T016	SP_186SPI_T016_R	SP_187SPI_T016	SP_187SPT_T016_R	SP_189SPI_T016	SP_191SPI_T016	SP_201SPI_T016	SP_201SPT_T016	SP_221SPT_T016_R	SP_222SPI_T016	SP_224SPI_T016	SP_224SPT_T016	SP_230SPI_T016	SP_241SPT_T016	SP_242SPI_T016	SP_242SPT_T016_R	SP_243SPI_T016	SP_261SPI_T016	SP_261SPT_T016	SP_262SPI_T016	SP_262SPT_T016	SP_264SPI_T016	SP_281SPI_T016	SP_282SPI_T016	SP_282SPT_T016_R	SP_283SPI_T016	SP_283SPT_T016	SP_284SPI_T016	SP_284SPT_T016	SP_285SPI_T016	SP_285SPT_T016	SP_286SPI_T016	SP_286SPT_T016	SP_287SPI_T016	SP_287SPT_T016	SP_288SPT_T016	SP_302SPI_T016	SP_302SPT_T016	SP_303SPI_T016	SP_303SPT_T016	SP_304SPI_T016	SP_305SPI_T016	SP_305SPT_T016	SP_321SPI_T016	SP_321SPT_T016	SP_322SPI_T016	SP_322SPT_T016	SP_323SPI_T016	SP_323SPT_T016	SP_324SPI_T016	SP_324SPT_T016	SP_325SPI_T016	SP_326SPI_T016	SP_343SPI_T016	SP_343SPT_T016_R	SP_344SPI_T016_R	SP_344SPT_T016	SP_345SPI_T016	SP_345SPT_T016	SP_361SPI_T016	SP_361SPT_T016	SP_363SPI_T016_R	SP_381SPI_T016	SP_381SPT_T016	SP_382SPI_T016	SP_382SPT_T016	SP_383SPI_T016	SP_383SPT_T016	SP_384SPI_T016	SP_384SPT_T016	SP_385SPI_T016	SP_385SPT_T016	SP_386SPI_T016	SP_386SPT_T016	SP_387SPI_T016	SP_387SPT_T016	SP_388SPT_T016	SP_389SPI_T016	SP_401SPI_T016	SP_401SPT_T016	SP_402SPT_T016	SP_403SPT_T016	SP_502SPI_T016	SP_502SPT_T016	SP_503SPT_T016	SP_601SPI_T016	SP_602SPI_T016
s__Neisseria_sp_oral_taxon_014	0	27.55054	0.0	0.0	9.02622	0.0	0.84892	0.0	5.89703	0.0	0.0	0.0	5.57855	8.07034	0.0	7.94884	0.0	0.0	0.0	0.35995	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.48266	0.64949	11.68781	0.00886	38.1445	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.72782	0.14265	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6685	0.5647	0.0	35.22104	0.0	0.0	0.0	0.0	1.42796	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11085	0.0	0.0	0.0	0.00259	0.0	0.0	0.0	0.0	0.0	58.03942	2.26538	0.0	3.72858	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02113	0.0	0.0	0.01676	0.0	0.0
s__Neisseria_elongata	0	27.50632	0.0	0.00563	2.09675	0.0	0.01803	0.0	0.47293	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04889	0.77631	0.19597	0.0	0.0	2.03157	0.67742	0.0	0.0	2.3605	0.0	0.13552	0.0	0.0359	0.0	1.84886	4.59766	0.0	0.0	0.0	0.0	0.0	0.0	1.09759	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00577	0.00813	8.81151	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.17852	0.0	0.0	0.0	0.0	0.0	0.0	0.14912	0.0	1.22446	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9815	0.0	0.0	0.0	0.0	0.00466	0.0	1.30464	0.0	10.13112	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.93021	0.0	0.0	0.0	0.0	0.0	0.0035	0.0	0.88717
s__Neisseria_sicca	0	15.56091	0.0	1.4496	0.08407	0.0	0.0	0.0	0.09799	0.0	0.09359	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.26233	0.29698	1.14896	0.85629	0.0	0.15565	6.58051	32.55734	0.0	0.0	0.64708	0.89378	0.06299	0.01548	0.0	0.0	71.25882	0.66209	0.0	0.0	0.0	0.0	0.0	0.41639	3.6547	2.68159	0.10124	0.0	0.0	0.0	0.0	0.0	0.0	0.05409	0.1665	2.30598	0.0	1.1507	0.0	0.0	0.0	0.0	0.0	0.00435	22.95968	0.0	0.0	0.0	0.0	0.0	0.0	0.33248	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.72485	0.0	0.0	0.0	0.0	0.0	0.0	0.11238	0.0	1.1131	0.0	0.0	0.0	0.00113	0.0	0.0	0.0	0.21687	0.0	0.00745	6.5464	0.0	12.13387	0.98857	0.0	0.78773	0.0	0.30419	0.0	0.0	80.87199
s__Lautropia_mirabilis	0	7.52972	0.0	0.37366	3.84633	0.0	0.1792	0.1408	2.05833	0.0	0.0	0.0	5.65831	0.0	0.0	0.0	1.87005	0.0	2.51874	0.03041	0.26108	0.01555	0.0	0.0	8.58915	2.02242	1.33239	0.0	19.44434	0.07713	0.37143	0.03515	0.01183	0.0	0.0	7.01399	0.0	0.0	0.0	0.0	0.30565	0.0	1.61749	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01466	0.00406	0.35201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00351	3.72096	0.0	0.55794	0.0	0.0	0.0	0.0	6.78177	0.0	0.87606	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3002	0.0	33.98782	0.0	0.0	20.61012	0.0	0.53466	0.0	2.44665	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21296	0.0	0.0	8.71401	0.0	3.54453	3.20682	0.0	0.01689	0.0	0.0	0.31301	0.0	4.79893
s__Rothia_aeria	0	7.17151	0.0	2.5544	1.48848	0.0	3.78532	2.50963	8.55801	0.0	0.0	0.0	2.20689	2.92832	0.0	0.08316	0.63256	0.0	0.0	0.52985	4.13286	1.36082	0.0	0.0	5.74827	4.11564	0.94588	0.0	0.71827	0.75319	0.26799	0.0	1.18307	0.0	8.85182	8.628	0.0	3.19038	0.0	0.0	0.1306	0.0	1.84972	0.0	0.0	0.0	0.0	0.16388	0.0	0.05918	0.0	0.10279	0.004	0.00967	23.50301	0.71108	0.0	0.0	0.0	0.0	0.0	0.01038	4.90756	0.0	38.30182	0.0	0.0	0.0	0.0	2.2009	0.0	1.67545	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.96641	0.0	5.13103	0.0	0.0	0.17342	7.29996	1.07168	0.0	1.05501	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.57128	0.0	0.0	0.0	0.0	37.8271	20.01512	37.01621	0.0	0.0	0.0	0.0	0.0	0.72483
s__Cardiobacterium_hominis	0	2.46569	0.0	0.78815	5.41846	0.0	0.26512	0.0	0.38814	0.0	0.0	0.0	0.16534	0.0	0.0	0.00468	0.02367	0.0	0.0	0.23825	0.0	0.0	0.0	0.00213	1.36176	0.0154	0.0	0.0	0.0	0.0	0.02597	0.00028	0.23041	0.0	0.0	0.78324	0.0	0.0	0.0	0.0	0.62248	0.0	0.59937	0.0	0.0738	0.04798	0.0	0.0	0.0	0.0	0.0	0.03307	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.67978	0.98612	0.0	0.0	0.0	0.0	0.0	0.0	0.98381	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.05876	0.0	0.0	0.0	0.0	0.01079	0.0	0.61252	0.0	1.14795	0.0	0.0	0.0	0.0	0.0	1.2874	0.0	0.11373	0.0	0.0	0.0	0.0	0.68288	0.0	0.0	0.01087	0.0	0.0	0.67647	0.0	0.03652
s__Prevotella_denticola	0	1.77563	0.0	0.0	0.0	18.96172	0.0	15.20501	0.0	0.0	0.13051	0.0	0.0	0.0	0.62133	5.39522	0.0	0.0	0.0	0.08429	0.0	0.1933	0.7919	0.02678	0.0	0.0	0.0	4.38893	0.0	12.95497	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0088	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06906	0.06401	0.47968	0.0	0.0	1.86296	0.0	9.82923	0.0	0.0	1.77397	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.37187	0.0	0.0	0.70734	0.0	0.0	0.0	0.0	14.07888	0.45846	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.76343	0.0	0.02587	0.0	0.0	0.0	0.11525	4.02205	0.0	0.0	0.0	0.0	0.0	0.06752	40.71788	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01214	0.1262	0.0
s__Bifidobacterium_longum	0	1.24251	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00364	0.0	0.0	0.0	0.0	0.0	0.09469	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00535	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00194
s__Rothia_mucilaginosa	0	1.23513	0.0	0.0	0.0	0.0	0.13068	0.0014	0.0	0.02206	0.0	0.0	0.27479	0.0	0.0	0.00026	0.0	35.45808	0.0	0.01112	0.11028	0.03648	0.19765	1.07476	0.0	0.06998	2.43298	0.00358	0.30045	0.0	0.0	0.00155	0.0	0.0	1.77233	0.0	0.0	0.27907	0.0	0.41288	0.04416	0.0	0.0356	0.0	0.00925	0.0	0.0	37.85767	0.0	0.0	0.0	0.11544	0.00106	0.0	0.0	1.57432	0.0	0.0	0.0	0.0	0.0	0.0	0.70478	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0814	0.0	0.0	6.1907	0.0	0.0	0.0	0.0	0.0	0.06562	0.0	0.0	0.0	0.0775	0.0	0.0	0.00195	0.0	0.0	0.0	0.00049	0.0	0.04521	0.0	8.84817	0.08015	0.04078	0.0	0.00119	2.75032	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.00279
s__Abiotrophia_sp_HMSC24B09	0	1.08281	0.0	0.00713	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00534	0.0655	0.0	0.0	0.0	1.18797	8.51307	0.0	0.0	0.40171	0.0	0.02405	0.10753	0.0168	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.54073	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04592	0.00509	0.03734	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.20245	1.63934	0.0	0.0	0.0	0.0	0.0	0.0	0.17598	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03962	0.0	0.0	0.0	0.0	0.0	0.0	0.08283	0.0	0.55395	0.0	0.0	0.0	0.0	0.0	0.09294	0.0	0.00673	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09499	0.0	0.01094	0.0	0.0	0.61979
