clade_name	NCBI_tax_id	SAMEA104335941	SAMEA104335942	SAMEA104335943	SAMEA104335944	SAMEA104335945	SAMEA104335946	SAMEA104335947	SAMEA104335948	SAMEA104335949	SAMEA104335950	SAMEA104335951	SAMEA104335952	SAMEA104335953	SAMEA104335954	SAMEA104335955	SAMEA104335956	SAMEA104335957	SAMEA104335958	SAMEA104335959	SAMEA104335960	SAMEA104335961	SAMEA104335962	SAMEA104335963	SAMEA104335964	SAMEA104335965
s__Prevotella_copri	0	48.54796	0.0	0.0218	39.81157	63.81473	0.00019	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.74553	0.0	58.33078	0.0
s__Alistipes_putredinis	0	12.51936	18.17279	0.00072	2.71268	4.20146	8.39652	0.0	3.38417	4.33304	0.0	9.08129	5.19912	3.64135	10.15149	11.1906	5.10898	15.20573	0.0	10.03838	8.47181	0.0	2.96928	9.16853	0.0	8.4782
s__Bacteroides_vulgatus	0	6.82565	12.71963	30.45647	2.68597	9.22836	9.29782	54.00899	17.14383	0.00069	0.0	10.07579	0.00071	18.65924	13.31209	13.31931	11.44918	28.27648	0.0061	0.0	19.36695	34.5986	0.9243	3.04312	4.66585	0.0149
s__Parabacteroides_distasonis	0	5.84297	1.19933	1.73879	0.75562	0.85376	5.02626	0.0	1.79729	3.3553	0.0	0.0	7.04881	4.11978	3.71761	3.8829	11.55337	0.0	14.0824	1.58162	0.96456	12.41783	5.86936	8.11829	5.06592	4.34517
s__Bacteroides_uniformis	0	4.37986	24.97431	0.80045	1.06737	1.47761	18.75319	0.0	40.78196	35.64104	0.0	23.19377	15.85616	8.55202	5.54247	24.21594	19.72659	29.11125	0.0	54.71343	4.88312	0.0701	4.28616	17.57036	0.0	0.00895
s__Bacteroides_faecis	0	2.31504	0.95323	0.0	0.04095	0.89847	0.0	0.0	0.0	0.0	0.0	0.0	7.95376	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.84284	0.0	0.0	0.0
s__Bacteroides_ovatus	0	2.29533	1.28819	4.19447	0.04804	0.04834	1.11669	0.0	0.15594	5.38218	0.0	6.89233	2.59862	0.97901	0.05136	3.47988	0.0	4.38073	0.0	3.37056	2.84712	3.2225	0.42518	7.80556	0.75721	4.80363
s__Roseburia_faecis	0	1.81857	2.62841	0.0	1.28316	0.48488	6.08745	0.53483	0.0	0.0	0.0	8.37985	0.0	1.0832	1.52056	2.7169	0.0	0.0	0.0	0.0	1.85089	0.0	0.0	2.95071	0.00397	0.12645
s__Oscillibacter_sp_57_20	0	1.80176	0.03048	0.0	0.77724	1.19441	2.26389	0.0	0.16487	0.0	0.0	0.0	0.0	2.02089	0.0	0.0	0.0	1.62878	0.0	0.0	1.71166	0.0	1.3253	0.56276	0.0	0.0
s__Parabacteroides_merdae	0	1.63623	0.0	0.0	1.80145	1.37449	0.0	0.0	2.82836	0.0	0.0	0.0	0.0	0.0	2.33341	1.33059	2.27374	0.0	0.0	0.0	0.0	0.0	0.0	8.08171	0.47706	0.0
