clade_name	NCBI_tax_id	SID5411-1	SID5411-2	SID5411-3	SID5411-4	SID5412-1	SID5412-2	SID5412-3	SID5412-4	SID5413-1	SID5413-2	SID5413-3	SID5413-4	SID5414-1	SID5414-2	SID5414-3	SID5414-4	SID5415-1	SID5415-2	SID5415-3	SID5415-4	SID5416-1	SID5416-2	SID5417-1	SID5417-2	SID5417-3	SID5417-4	SID5418-1	SID5419-1	SID5420-1	SID5420-2	SID5420-3	SID5421-1	SID5421-2	SID5421-3	SID5421-4	SID5423-1	SID5423-2	SID5423-3	SID5423-4	SID5425-1	SID5425-2	SID5425-3	SID5425-4	SID5426-1	SID5427-1	SID5427-2	SID5427-3	SID5427-4	SID5428-1	SID5428-2	SID5428-3	SID5428-4	SID5429-1	SID5429-2	SID5429-3	SID5429-4	SID5433-1	SID5433-2	SID5433-3	SID5433-4	SID5434-1	SID5434-2	SID5434-3	SID5434-4	SID5435-1	SID5435-2	SID5435-3	SID5435-4	SID5438-1	SID5438-2	SID5438-3	SID5438-4	SID5439-1	SID5439-2	SID5439-3	SID5439-4	SID5440-1	SID5440-2	SID5440-3	SID5440-4	SID5441-1	SID5441-2	SID5441-3	SID5441-4	SID5442-1	SID5442-2	SID5442-3	SID5442-4	SID5443-1	SID5443-2	SID5443-3	SID5443-4	SID5444-1	SID5444-2	SID5444-3	SID5444-4	SID5445-1	SID5445-2	SID5445-3	SID5445-4	SID5446-1	SID5446-2	SID5446-3	SID5446-4	SID5448-1	SID5448-2	SID5448-3	SID5448-4	SID5449-1	SID5449-2	SID5449-3	SID5449-4	SID5450-1	SID5450-2	SID5450-3	SID5450-4	SID5451-1	SID5451-2	SID5451-3	SID5451-4	SID5452-1	SID5453-1	SID5453-2	SID5453-3	SID5453-4	SID5454-1	SID5454-2	SID5454-3	SID5454-4	SID5455-1	SID5455-2	SID5455-3	SID5455-4	SID5457-1	SID5457-2	SID5457-3	SID5457-4	SID5458-1	SID5458-2	SID5458-3	SID5458-4	SID5459-1	SID5460-1	SID5460-2	SID5460-3	SID5460-4	SID5461-1	SID5461-2	SID5461-3	SID5461-4	SID5462-1	SID5462-2	SID5462-3	SID5462-4	SID5463-1	SID5463-2	SID5463-3	SID5463-4	SID5465-1	SID5466-1	SID5466-2	SID5466-3	SID5466-4	SID5467-1	SID5467-2	SID5467-3	SID5467-4	SID5468-1	SID5468-2	SID5468-3	SID5468-4	SID5469-1	SID5469-2	SID5469-3	SID5469-4	SID5470-3	SID5470-4	SID5473-1	SID5473-2	SID5473-3	SID5473-4	SID5474-3	SID5474-4	SID5476-1	SID5476-2	SID5476-3	SID5476-4	SID5477-1	SID5477-2	SID5477-3	SID5477-4	SID5478-1	SID5478-2	SID5478-3	SID5478-4	SID5479-1	SID5479-2	SID5479-3	SID5479-4	SID5480-1	SID5480-2	SID5480-3	SID5480-4	SID5481-1	SID5481-2	SID5481-3	SID5481-4
s__Eubacterium_rectale	0	15.28209	10.37218	20.00371	20.49165	0.0	0.00242	0.00094	0.08439	14.74629	20.30658	1.79163	15.3386	0.05975	1.38719	0.01513	1.14167	0.00607	0.02001	0.06326	0.14979	8.86271	1.44571	0.00196	0.0	0.00175	0.0	13.28648	8.20289	0.0	0.14903	0.16805	1.00731	0.83546	0.29061	0.79076	7.60567	9.55462	16.65909	21.79272	7.06848	8.26534	5.90008	6.62266	8.15025	0.03868	0.03979	0.03889	0.0242	3.13991	0.28579	0.7361	0.37129	0.05323	0.14955	0.19477	0.46516	17.0832	2.14857	17.20727	18.68715	6.06774	9.69718	8.05721	3.9745	5.05192	11.09332	2.99352	6.96575	1.52832	0.36956	0.36297	2.98541	0.90712	5.90237	2.50821	2.93701	38.71059	42.93202	18.62182	20.19156	2.16749	3.74728	4.27311	7.36925	10.91785	4.42373	3.52197	16.41725	1.29241	0.16713	0.05118	0.11493	0.58734	2.51986	0.25885	0.14979	8.75506	0.02201	3.3946	6.88874	0.00273	17.20157	2.35677	3.59874	6.25356	0.13497	3.74858	2.00453	2.07675	4.65286	2.36419	1.22807	0.0	0.0	0.0	0.00043	0.0293	4.69313	1.18948	0.75955	11.61379	1.11946	0.11661	0.34277	2.12551	5.0543	5.42705	3.27598	3.11882	1.30909	3.39238	3.86437	4.34972	1.2072	0.68193	3.39598	4.29947	7.04529	1.42572	0.23958	0.38711	0.79644	6.67581	7.10099	5.57263	13.11651	7.6728	6.73194	6.10072	6.46698	0.02873	0.098	0.19961	0.01683	1.38655	0.02128	0.09267	0.15891	12.45251	11.40386	5.05379	3.20944	1.17695	6.76809	1.63231	0.0	0.20768	2.91436	6.73248	2.89812	3.35569	5.28134	4.53717	3.12824	0.97749	0.38124	1.49199	0.03739	0.75415	0.08551	0.01208	9.06147	4.2135	0.59991	7.99431	3.2982	2.8819	7.1157	4.0057	4.81975	8.04288	1.39344	0.60088	0.32208	1.89365	1.29738	2.24471	6.93646	7.95403	0.00056	0.00323	0.00083	0.00144	0.43474	0.40389	0.27664	1.47828
s__Faecalibacterium_prausnitzii	0	12.00459	7.77996	5.98103	5.74935	0.38203	0.26836	2.10998	0.31966	5.68513	0.65538	1.19865	3.67189	9.14902	4.55455	7.77749	4.96999	9.82989	6.35566	9.78925	14.24744	4.30465	1.9715	4.99601	3.23092	1.65869	0.37236	6.78152	6.26176	7.21473	1.6662	1.65176	15.2978	7.24132	8.52057	9.11549	7.8001	5.06129	13.56397	10.26142	8.91385	6.15853	7.56871	13.14837	6.46711	12.70594	11.20643	13.1063	9.70608	4.30698	1.66341	5.49264	0.99758	3.53706	4.17717	4.43814	7.46763	0.80306	0.10056	0.52306	0.9452	6.64486	5.83901	8.34108	3.77716	2.65775	1.67496	1.83777	1.13149	8.35591	5.49575	6.65159	6.78528	6.90036	3.40522	1.51777	8.47275	14.12928	6.19318	13.51552	5.74183	3.57918	5.01304	3.70921	1.97625	4.07218	2.63954	2.96555	5.19234	10.69912	22.08078	8.62328	15.68103	5.75236	1.96006	4.66038	4.23984	5.3244	5.55162	6.80419	5.5785	10.9011	13.11515	10.95314	7.28505	7.3008	4.47453	2.3761	11.8688	11.61129	13.00693	7.00197	10.88297	7.29501	2.46428	9.83755	4.45221	13.9774	17.15998	13.23304	11.50461	0.82904	9.05224	2.7485	7.48588	4.86862	6.67025	6.71938	6.617	6.70191	6.98559	9.26284	10.16811	12.88168	9.24347	4.57127	8.29398	7.1011	4.33882	5.27832	0.95119	10.91229	15.74461	10.44841	10.63182	7.77374	7.04137	8.69755	6.33786	8.01594	14.62114	3.9589	12.42022	5.69635	3.89207	3.3328	3.36337	6.02314	7.45682	2.45171	9.71688	11.82984	14.5338	16.26411	0.39943	0.72304	0.0	1.60084	5.31874	3.61896	5.23174	2.96592	7.50604	2.52342	5.57019	1.75114	7.68969	8.19623	7.61058	4.32228	4.13208	2.59894	6.58243	4.28114	9.0015	13.07296	5.10206	6.91546	5.24647	3.99808	5.28535	5.53207	7.23586	6.22922	11.64213	5.30229	7.41362	6.34615	4.72033	4.8923	5.02836	1.7613	0.60514	1.81686	6.51179	9.71485	4.18703	10.41706
s__Eubacterium_sp_CAG_180	0	10.07222	12.4927	12.20806	12.559	0.00107	0.00084	0.00206	0.0	0.0	0.0	0.0	0.0	11.41463	12.09379	18.51893	5.81509	4.88387	7.25386	11.01164	23.91886	0.00215	0.0	0.0	0.0	0.0	0.0	0.0	0.03733	0.0	0.0	0.0	0.0	0.00212	0.00336	0.0	0.0	0.0	0.0	0.0	4.80212	2.10205	6.75471	12.23489	0.0	0.00247	0.00051	6.61876	23.7321	0.0	0.0	0.0	0.0	0.00061	0.00061	0.00416	0.00016	0.00084	0.00418	0.00271	0.0	0.0	0.0	0.0	0.00051	2.52439	10.6738	0.00522	0.00267	13.31633	2.0051	8.93124	5.99539	0.0	0.0	0.0	0.0	0.0	0.0002	0.0	0.00087	7.52601	6.86151	10.26929	7.29881	0.00217	0.00226	0.00752	0.00365	0.0	1.89699	0.51322	1.36927	0.0	0.0	0.0	0.0	30.33731	15.76698	15.0992	17.9389	0.0	0.0	0.0	2.63317	0.0	0.0	0.0	0.0	0.00331	0.0052	0.00438	0.00195	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00347	0.01087	0.0106	0.0057	0.0	0.0	0.0	0.0	0.00145	0.0	0.00095	0.0	0.00552	0.00159	0.00335	0.00251	0.86706	0.29404	8.14048	9e-05	0.0	7.2358	0.07129	11.26822	11.21351	0.00706	2.82652	6.03633	2.64275	0.0	0.0	0.0	1.95678	0.17402	0.0	0.0	0.06772	0.0	8.3926	9.86963	9.33231	15.453	7.59881	1.67759	0.0	0.00114	0.0	0.0	0.00476	0.0	0.34416	11.07998	13.70914	9.30716	0.0	0.0	4.34526	9.99029	2.34676	20.10115	6.25982	2.03284	0.00285	0.0	0.0	0.00081	0.0	0.0	0.0	1.96962	0.0	0.0	0.0	0.0	7.54827	2.14304	6.43195	1.98092	0.0	0.0	0.0	42.22636	0.0	0.0	0.0	0.0
s__Roseburia_inulinivorans	0	6.00063	3.62716	2.37417	2.39255	0.0	0.01118	0.13549	4.74268	1.62903	1.78184	1.73941	1.81419	0.03993	0.21396	0.02373	0.03764	0.55966	2.67287	0.7822	2.55861	1.96855	2.05929	1.56124	2.0017	3.71142	0.0	14.78373	6.1873	0.18706	1.82177	1.13141	1.64888	0.78644	1.46251	0.9288	1.51933	0.40666	1.54181	1.00737	0.29355	0.77338	0.67109	2.78943	6.01429	3.71085	0.86452	1.09191	1.18554	1.48101	0.25276	0.70598	0.40381	0.46819	1.85434	0.35712	0.77317	0.0	0.0	0.16399	0.21613	4.62618	3.29592	0.77196	3.22499	1.53249	0.74165	0.49426	7.09343	0.47383	2.76092	1.90824	0.72859	0.05372	0.28913	0.18473	0.67642	0.39383	0.65561	0.39716	0.36302	0.01316	0.08772	0.16036	1.48449	0.8179	0.04785	0.11115	0.25993	2.40251	0.10556	5.83456	0.08671	0.6314	1.58089	5.55069	0.34922	0.41313	0.71598	0.29348	0.9368	3.72859	5.67833	0.46339	3.78969	3.34537	0.17027	0.0	0.0	8.80564	0.90371	14.30339	8.88349	0.0	0.0	0.0	0.0	0.03255	0.02631	0.00875	0.04844	0.0	0.06271	0.02703	0.06246	0.63453	2.88775	2.43631	2.93856	4.60523	4.42654	0.58474	1.73482	2.82905	0.14689	0.82753	1.17914	1.00826	0.15302	0.30876	0.06065	1.05097	0.32053	0.0103	0.02914	0.02715	0.02845	0.29706	0.00711	0.28192	0.56244	1.46764	2.13908	0.12328	0.15371	1.20513	0.42686	0.05024	0.66408	2.4757	0.60793	12.12045	1.76932	1.52172	1.56756	0.5608	0.0	0.20422	0.1257	0.69832	0.28971	4.80028	1.24661	0.79401	0.25004	0.25987	4.92505	5.66196	0.38631	0.2365	0.57732	0.15646	1.91007	1.67193	0.30855	0.30213	0.37743	0.03356	1.8814	1.26603	1.98787	2.91039	0.53693	2.2126	0.53126	0.33373	0.59811	0.19596	0.29097	2.90939	0.0	0.0	0.01771	0.01771	2.89585	1.79199	0.76188	5.31006
s__Bacteroides_vulgatus	0	5.36411	2.44997	1.75502	1.69572	11.70274	0.08204	0.95426	19.71127	0.00262	0.0157	0.00739	0.0	1.23762	0.61984	0.83207	0.60592	3.14221	4.05117	5.39191	0.83579	0.60245	4.84588	21.34315	7.88108	30.57699	2.18236	0.00305	9.58433	6.18417	0.28181	0.28795	0.86349	0.65714	2.40253	0.49314	3.52156	1.29727	2.95691	2.33845	0.58742	2.72432	2.99047	1.7542	10.25757	0.0	0.0	0.0	0.0	0.80886	0.91773	0.26861	1.0416	5.58478	16.67857	7.90069	6.9022	0.37196	0.3875	0.21294	0.75094	2.27022	3.6114	1.53437	1.62555	3.8171	1.32952	4.29499	4.12068	0.80688	4.04383	1.45113	1.42368	1.22502	2.95232	1.57682	4.00683	0.0	0.04903	1.52539	1.67292	0.40052	0.41308	0.23292	2.00219	13.15292	8.30224	10.66032	3.89513	3.45453	0.17523	4.1534	0.20812	1.19041	1.75844	3.32991	2.73676	0.17107	1.66298	2.42733	3.74461	7.70903	4.69367	38.69328	0.10023	0.0	0.0003	0.0	0.0	5.19014	1.16787	5.76735	6.03566	7.96113	8.79481	12.80868	12.39757	3.37332	3.79243	0.45774	5.11741	7.47265	15.62746	2.99956	3.01068	9.86509	7.56964	16.72136	17.95957	14.60106	11.44548	12.55018	4.05876	4.64902	4.61102	10.42983	6.51381	13.43196	0.02203	0.3055	0.46394	21.19612	0.11953	0.02426	0.02683	0.02395	0.0278	3.90002	0.68374	2.26746	7.81873	0.56249	1.43428	4.90354	0.76154	1.16699	2.67925	2.20177	5.68485	0.01214	0.85542	7.99446	1.08688	1.28223	0.00139	0.0	0.0	0.00254	0.58393	1.05573	0.30981	1.96725	9.40095	15.13351	8.11376	17.82029	0.54377	2.51234	1.16761	1.0589	2.17694	1.29167	0.57653	5.28649	0.01462	0.01443	0.01188	0.03942	1.48037	1.3297	1.58861	1.68216	22.40594	32.99736	19.97218	25.65709	0.17569	0.41938	0.51417	1.62297	2.10301	1.95733	3.59546	0.99995	0.54706	0.33776	0.7946	1.27971
s__Bacteroides_uniformis	0	5.30141	2.19125	2.83542	2.76894	1.94778	12.38653	4.66129	3.56951	1.62012	8.66966	2.62486	2.25579	1.35277	3.25556	1.7228	0.70043	2.10981	3.5663	2.45616	0.92648	4.25284	9.5458	6.06565	7.51408	5.7281	1.10671	13.53828	5.70778	9.71728	0.26411	0.19863	3.00682	2.1073	6.01304	11.94821	12.1633	16.08362	3.46982	2.36692	0.31837	0.59911	1.955	1.13661	5.80345	0.0	0.0	0.0	0.0	1.74059	4.44622	2.28148	5.41435	4.76316	2.87232	5.1093	1.95522	0.15853	0.23327	0.09632	0.47013	1.7147	1.36842	1.14472	0.96109	11.90588	4.21635	8.39333	0.91607	0.66437	0.50504	0.28867	0.63975	0.32243	0.57703	0.27997	0.7095	0.37811	0.06264	2.39573	10.95505	2.73214	1.94574	1.94369	2.43153	4.9169	3.60584	7.36184	3.37539	1.68135	2.01307	2.0274	1.96797	8.37127	14.21747	6.38506	12.3881	0.54209	10.47149	1.52881	0.85517	0.47037	1.72396	3.85238	4.55983	25.68275	42.69502	0.01187	0.0082	6.04774	1.07992	2.74229	9.58175	20.92598	18.78883	2.3238	5.98937	0.97963	0.87047	2.90228	0.75317	29.41079	16.2362	12.75266	15.58239	10.35605	1.77328	3.15803	3.88944	5.6519	2.56491	4.20007	2.9987	2.51472	0.0	0.00124	2.86547	18.01039	0.92462	4.25077	2.68371	5.46609	0.86505	0.0	0.0	0.0	0.0	3.52678	0.93086	0.72785	0.74436	1.14873	1.27729	8.42954	3.8902	0.92819	0.8222	1.70508	1.23959	0.70936	1.40937	1.92558	0.60147	2.73825	8.56437	19.33603	23.84434	16.88811	0.75189	1.59113	0.32705	0.8969	0.00451	0.0	0.0	0.00542	0.33434	0.52201	0.10455	0.27826	0.49532	0.62965	0.56387	2.30195	3.00886	0.55484	3.32209	2.22728	4.63162	9.54925	5.33365	2.13206	6.78333	13.40171	6.64354	4.49882	0.30627	0.38832	0.54774	2.2166	19.98518	14.97844	8.77403	4.16923	0.34947	0.16451	0.21663	0.26886
s__Ruminococcus_lactaris	0	4.70782	4.40762	4.70202	4.74819	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.75443	4.90287	10.4642	3.76673	0.54616	1.93282	1.1145	2.07437	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.77814	2.61725	0.6252	2.76453	0.11	0.06395	0.77981	0.31727	0.06423	0.04911	0.1642	0.09467	0.30224	1.24197	0.4925	1.21649	0.74386	0.0	0.0	0.0	0.0	0.15089	0.1001	0.08993	0.08335	1.65697	4.59912	0.29669	0.875	0.29992	0.03637	0.27578	0.20304	0.0	0.0	0.0	0.0	0.01877	0.03741	0.00996	0.00534	3.5261	0.67312	0.53105	2.9488	0.0	0.0	0.0	0.0	4.86984	0.33598	2.68577	2.541	1.55989	1.18413	1.32225	0.52213	0.88795	3.83786	2.96039	0.66189	0.78651	1.21509	1.56941	0.80649	1.46105	2.27489	2.5272	0.67979	0.94861	0.75282	1.3078	0.00238	0.0	0.0	0.0	2.29442	0.27241	0.02137	0.0	0.0	1.47334	4.85614	8.68819	2.1599	0.16685	0.04402	2.21366	2.58628	0.76526	1.94541	1.87101	2.39986	0.0	0.0	0.2837	0.81248	2.53592	2.11906	2.43365	2.54549	1.02171	0.3309	0.21702	0.39985	0.35159	1.66982	2.25202	4.77875	1.67602	0.80223	3.06587	1.31479	0.0	0.67977	2.81382	1.05911	3.32434	0.4156	0.0	0.0	0.0	0.0	1.7638	1.31352	1.25352	1.52454	0.15298	0.77541	0.86588	0.35674	0.0	1.31656	2.18188	0.88852	1.70952	0.0	0.0	0.0	0.0	0.59523	0.33294	0.17568	0.66564	0.04086	0.69613	0.49163	0.012	0.0	0.0	0.0	0.0	0.0	0.00123	1.16291	0.83046	0.46343	0.29048	0.05151	0.69362	1.62154	1.84299	2.49337	1.22554	0.29523	0.54801	0.1279	0.35009	1.23829	1.80265	1.47397	1.25168	0.0	0.0	0.0	0.0	1.55434	1.64343	0.4908	2.01166
s__Roseburia_intestinalis	0	4.01404	0.04008	0.28681	0.29503	0.0	0.0	0.0	0.00075	1.0417	0.38345	0.40658	0.37597	0.01861	0.06939	0.61504	0.04656	2.11885	1.40327	0.13165	5.06705	1.10716	0.552	5.55182	3.50257	2.00682	24.04144	0.0	2.09355	0.00365	0.75524	1.5497	0.00367	0.16627	0.02429	0.01209	2.92346	4.38788	1.55806	0.37873	0.19995	0.05879	0.04231	0.00549	2.04318	6.0605	3.43319	2.18439	0.6164	3.50955	0.39198	0.61406	0.30669	0.19319	0.8577	0.64597	1.01409	1.43424	4.9537	0.00074	0.0	2.61694	0.93478	0.0	0.04201	0.26559	0.73755	0.47887	2.12993	2.45714	4.45773	0.02578	0.00494	0.69014	0.71731	0.29704	0.66248	0.01866	3.94587	2.29019	0.4419	0.0	0.0	0.0	0.0	0.06128	1.12003	0.541	0.31834	0.0	0.16021	0.00277	0.25014	0.02186	0.29492	4.51793	0.3564	0.0	0.19684	0.03225	0.02763	23.60184	8.13463	0.70005	0.08847	0.02905	0.15647	0.0	0.0	0.02412	2.983	0.15058	0.0	0.65624	0.85138	0.1026	0.29232	0.02946	0.04312	0.04328	0.02932	9.30711	4.96363	0.03879	0.00595	1.26804	0.22269	4.75965	2.0788	2.56139	3.42655	1.46094	0.25807	0.23015	0.34739	0.06829	0.34545	0.75856	0.0027	0.0136	0.00877	1.62372	0.0	0.0	0.0	0.0	0.0	0.46691	0.36324	0.92293	3.04804	0.06967	0.15984	0.00205	0.00704	3.69522	0.42748	0.2669	0.48176	3.96418	2.58401	2.71048	1.13536	1.04957	3.32275	0.69251	0.0	0.0	0.07909	0.22051	0.21907	0.34986	2.36062	0.85997	1.20218	0.18004	1.56262	1.42016	0.1099	0.06399	0.1324	0.12291	1.1403	0.20407	0.08301	0.34992	0.13164	0.03454	1.02142	0.65727	2.01112	1.91433	0.278	0.53477	3.13788	1.11941	3.06493	2.75027	3.51743	1.90027	0.0	0.0	0.0	0.7788	1.47707	0.58088	0.56384	1.84794
s__Parabacteroides_distasonis	0	3.59101	0.34876	1.09595	1.08457	2.0358	0.15329	0.75795	1.36186	0.15232	2.57723	1.71857	1.39623	0.21945	0.13368	0.11278	0.14375	0.52196	0.80893	1.59909	0.0373	0.90132	0.59373	1.39974	0.82529	1.44265	0.20439	0.28861	0.13181	3.33051	0.18441	0.14823	0.87812	0.36177	1.0226	0.77641	1.57286	2.77738	0.65245	0.55652	0.28629	0.11871	0.39314	0.3018	0.12662	7.14017	5.18928	5.95855	1.33303	1.2014	0.60929	0.16291	2.87134	0.57697	0.78885	1.08203	1.48817	0.08229	0.04793	0.04442	0.27723	0.80631	0.49191	0.44772	0.55301	0.15674	0.04767	0.17888	0.13643	0.08272	0.30333	0.21041	0.35478	0.71273	0.6128	0.85548	0.6209	0.0	0.02704	0.3324	0.26167	1.85441	1.31953	1.03502	0.8016	0.2491	0.82611	1.0965	0.69639	0.8167	0.3558	1.35599	0.25913	2.30773	0.17147	1.53442	1.98248	0.0229	0.03066	0.32616	0.13221	0.00944	0.19244	0.53904	2.13459	0.0	0.0	0.0	0.0	0.56392	0.57938	0.57206	2.31802	0.20377	0.27221	0.44565	0.23505	0.33089	0.45931	0.41818	1.45184	2.48508	3.22007	1.28665	7.47073	3.09021	0.0	0.0	0.0	0.0	0.14565	0.16919	0.13935	0.25005	2.10102	1.74144	0.40072	0.57626	1.15217	1.83539	1.3636	0.90711	0.49296	0.0	0.0	0.0	0.0	0.4134	0.0814	0.05014	0.10216	0.86311	1.20911	1.87123	0.45491	1.39644	1.18487	0.76023	1.31764	0.03714	0.18896	0.19495	0.08083	0.10461	0.0	0.0	0.0	0.0	0.36502	0.20696	0.06957	0.23564	0.59626	1.09727	0.80965	0.79311	0.78612	1.1554	0.05609	0.07913	0.12386	0.19789	0.02386	0.43609	0.32484	0.51047	0.70879	1.03778	1.121	0.63721	0.46223	1.14207	2.24013	4.21676	1.86279	1.93149	0.269	0.59019	0.35454	1.17347	1.60324	1.99766	1.78264	0.21018	0.11239	0.08035	0.20257	0.19345
s__Alistipes_putredinis	0	3.35439	1.75235	1.53702	1.51359	0.08737	0.05963	0.01807	0.02504	0.0	0.0	0.0	0.0	0.01534	0.00254	0.0	0.0	0.36137	0.67217	0.57023	0.06661	3.95862	1.38756	6.42947	7.29179	2.68809	0.89808	0.07523	6.26878	8.43522	0.36869	0.33544	2.28882	4.1776	6.73838	8.02102	2.73274	1.72001	1.40897	1.01684	1.0241	2.50883	2.43904	2.32251	6.48324	0.0	0.0	0.0	0.0	1.37092	1.24234	1.18131	0.71	9.03771	8.59128	9.22706	7.76784	0.52405	0.2229	0.11541	2.5175	0.49968	1.123	0.39436	0.76632	1.6055	0.33708	1.63823	0.77583	4.63671	9.33453	2.64256	4.3077	0.43341	1.76735	1.17419	3.97912	0.0	0.13948	2.18455	1.56699	1.10793	2.43007	1.55468	2.14551	3.12688	3.89037	7.17341	1.87297	1.04126	0.44842	0.62548	0.28298	1.55484	0.00221	0.0	0.0	0.39286	1.57494	5.49779	2.7563	0.41841	1.02352	0.58315	4.65785	0.0	0.0	0.0	0.0	1.18735	0.52187	0.44316	1.21615	0.0	0.0	0.0	0.0	0.47742	0.12158	0.0101	0.07271	0.00537	0.0	0.0	0.0	0.0	0.00309	0.00575	0.00807	0.00605	0.68004	0.73546	1.78344	1.33658	1.92763	2.17113	6.33024	4.27804	3.07209	8.27391	4.62013	4.82032	0.6927	0.02691	0.01121	0.02602	0.01316	1.4601	0.25399	1.00851	0.60877	4.47878	7.03458	8.93786	4.28251	1.29654	1.36269	3.53385	2.81497	0.07159	0.39938	1.5068	0.21537	0.56033	0.0	0.0	0.0	0.00407	0.02077	0.00423	0.0	0.00715	4.50134	4.24549	5.35136	3.29516	2.20313	4.74114	0.79005	1.02655	1.11002	1.46423	1.11835	2.02331	5.25191	4.87927	10.9238	5.77277	5.83237	5.59628	3.70726	2.75669	4.27251	3.83939	3.07129	1.20937	0.31916	0.36978	0.24876	2.78501	4.12228	2.39342	2.21118	0.44022	2.84617	1.24995	1.42765	1.42475
