clade_name	NCBI_tax_id	M01.1-V1-stool	M01.1-V2-stool	M01.1-V3-stool	M01.2-V1-stool	M01.2-V2-stool	M01.2-V3-stool	M01.3-V1-stool	M01.3-V2-stool	M01.3-V3-stool	M01.4-V1-stool	M01.4-V2-stool	M01.4-V3-stool	M01.5-V2-stool	M01.5-V3-stool	M02.1-V1-stool	M02.1-V2-stool	M02.1-V3-stool	M02.2-V1-stool	M02.2-V2-stool	M02.2-V3-stool	M02.3-V1-stool	M02.3-V2-stool	M02.3-V3-stool	M02.4-V1-stool	M02.4-V2-stool	M02.4-V3-stool	M02.5-V1-stool	M02.5-V2-stool	M03.1-V2-stool	M03.1-V3-stool	M03.3-V1-stool	M03.3-V2-stool	M03.3-V3-stool	M03.4-V1-stool	M03.4-V2-stool	M03.4-V3-stool	M03.5-V1-stool	M03.5-V2-stool	M04.1-V1-stool	M04.1-V3-stool	M04.2-V1-stool	M04.2-V2-stool	M04.2-V3-stool	M04.3-V1-stool	M04.3-V3-stool	M04.4-V1-stool	M04.4-V3-stool	M04.5-V1-stool	M04.5-V2-stool	M04.5-V3-stool	M04.6-V1-stool	M04.6-V2-stool	M04.6-V3-stool
s__Prevotella_copri	0	9.18944	5.37	0.86791	0.00359	0.0	0.03183	0.0	0.0	0.00288	28.35642	4.88963	58.53007	27.02789	46.88982	0.0	0.0	0.0	0.0	0.0	0.03114	0.0	0.0	0.0	0.0	0.0	0.0	0.0252	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	58.92616	44.32101	37.28698	29.67867	51.54864	20.07896	61.58307	0.0	60.0063	0.0	0.00187	59.28368	40.40887	50.45975	18.34208
s__Ruminococcus_bromii	0	8.0054	6.27966	1.67992	0.51011	5.57404	2.7687	0.0	9.43131	6.84086	0.00144	0.0	0.0	6.50554	6.05967	11.8463	3.67125	5.53976	14.78988	8.5297	13.67514	2.86621	3.45986	1.82661	9.09156	7.07725	3.75274	7.54816	7.00633	0.00116	0.00908	0.0	0.0	0.0	0.39589	0.0	0.0	0.0	4.58354	0.00383	0.02414	0.0	0.01004	0.02091	0.0	0.6677	10.73568	0.73276	2.09476	0.78179	0.68905	0.01387	0.77271	21.69118
s__Eubacterium_sp_CAG_180	0	7.84355	4.0772	10.10836	0.73828	5.61557	3.263	0.0	0.0	0.0	0.01585	0.0	0.0	3.55486	0.73362	6.57896	6.48624	4.09381	30.31988	20.5453	12.1421	10.83418	3.88636	4.82738	0.00365	0.00332	0.0	1.54826	3.96743	0.0	0.0	0.0	0.0	0.0	8.55111	0.01412	0.00763	0.0	0.0	0.03187	0.17766	0.00047	1.24306	0.03451	0.0	0.0	0.22954	0.0	0.00081	0.0094	0.0	0.0	0.02017	0.0
s__Alistipes_putredinis	0	6.41955	10.58862	8.55735	2.80546	4.334	4.24509	3.86834	1.65427	4.82238	2.29729	3.74445	1.13722	3.52589	1.9934	4.07809	4.89426	2.35281	0.03769	0.01057	0.01931	4.6216	2.24187	4.42027	2.72745	3.38166	4.75047	0.0	0.0	0.01297	0.00445	6.52893	6.11079	5.94631	0.60221	2.15758	0.62344	0.0	0.0	0.00772	0.08169	0.00239	0.4947	0.0724	7.03223	2.11422	4.05922	2.51887	5.32779	3.25762	3.17525	0.0	0.0	0.12495
s__Faecalibacterium_prausnitzii	0	6.2177	4.84622	3.75367	9.2169	2.47775	4.75987	12.17112	20.58064	9.59134	3.80851	9.61775	2.21786	3.44208	2.76643	4.68369	4.30949	4.97214	2.62347	5.86104	4.06111	2.26263	4.05596	4.51773	5.38942	2.77526	4.45752	4.56815	3.00281	12.35187	5.77213	3.80244	3.64576	3.9029	4.22441	5.8304	4.80112	6.38704	6.47684	1.38613	4.61368	5.49937	4.00976	3.8464	5.28063	3.1429	3.86802	2.19237	2.28882	4.42856	2.63903	1.36152	3.46306	3.27504
s__Bacteroides_uniformis	0	5.51243	6.76322	7.47681	4.37362	5.28558	2.79998	5.18649	6.29678	5.37619	0.73602	1.32544	0.47757	0.23206	0.44482	3.63828	8.93005	7.67327	0.00414	0.01615	0.0	27.30943	33.14928	25.94428	3.87573	1.70518	3.97328	14.32082	17.36385	12.73027	12.25173	7.38918	5.59331	4.47368	8.80924	20.66008	4.04518	12.03432	8.24058	0.10202	0.09223	0.64309	3.18547	0.79281	0.74035	1.23221	17.33135	1.71319	7.0742	2.62682	1.63103	4.09245	0.55655	2.46302
s__Phascolarctobacterium_succinatutens	0	4.55566	7.21873	6.8999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.86454	2.31265	0.0	9.01056	1.99977	2.47224
s__Eubacterium_rectale	0	2.93788	5.25135	0.01549	4.98287	6.663	10.1809	0.98021	0.39697	3.58296	1.33512	0.19265	2.82019	4.76285	2.4592	1.27272	0.92781	9.31012	9.52921	4.85401	4.70869	0.50356	0.45365	0.58163	0.01757	0.14528	0.15932	3.03721	0.50292	1.21252	0.51526	0.30356	0.60866	0.55934	0.53873	0.12822	0.56715	3.78013	1.99506	0.95801	3.414	1.51817	0.04266	0.45129	10.13845	0.00596	0.91049	0.0147	2.77823	0.13626	0.0102	0.61774	2.11128	5.32663
s__Bacteroides_stercoris	0	2.54575	2.34352	3.02476	7.07643	5.80223	5.44629	0.0	0.0	0.0	0.00743	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.64065	0.24753	0.24339	2.01572	0.31448	3.48129	1.69753	0.0	1.7209	6.60468	2.88777	2.17518	0.58716	1.81496	1.81329
s__Dorea_longicatena	0	2.50394	1.60261	3.14775	0.59806	0.33671	0.40544	1.13143	1.47919	0.9204	1.6481	3.70152	1.64361	2.23229	1.55726	0.98656	0.49714	0.55597	1.03253	0.94014	0.79031	0.05887	0.19016	0.15103	2.1776	1.0298	1.75687	0.53744	0.39286	0.57074	0.95102	1.62702	1.16746	1.61223	0.0	0.0	0.72058	0.54861	0.19347	1.72254	2.21669	2.50928	2.81285	0.86565	1.20421	0.95287	1.19803	0.99252	1.03813	2.31448	0.89274	1.03592	0.56957	2.88488
