clade_name	NCBI_tax_id	D_1118_R4_010202	D_2646_R5_290108	D_3185_R2_160304	D_3313_R0_230300	D_5120_R1_200409-R4_041017	D_6911_R6_271006	FMT_01_t0	FMT_02_t7	FMT_03_t15	FMT_04_t30	FMT_05_t90	FMT_06_t0	FMT_06_t7	FMT_07_t15	FMT_07_t7	FMT_08_t30	FMT_09_t0	FMT_09_t30	FMT_10_t7	FMT_10_t90	FMT_11_t0	FMT_11_t15	FMT_12_t30	FMT_12_t7	FMT_13_t0	FMT_13_t15	FMT_14_t30	FMT_14_t7	FMT_15_t15	FMT_15_t90	FMT_16_t0	FMT_16_t30	FMT_17_t0	FMT_17_t7	FMT_18_t30	FMT_18_t7	FMT_19_t15	FMT_19_t90	FMT_20_t0	FMT_20_t30	FMT_21_t7	FMT_22_t15	FMT_23_t30	FMT_24_t90	FMT_25_t0	FMT_26_t7	FMT_27_t15	FMT_28_t30	FMT_29_t0	FMT_29_t90	FMT_30_t0	FMT_30_t15	FMT_31_t30	FMT_31_t7	FMT_32_t15	FMT_32_t90	FMT_33_t30	FMT_34_t90	FMT_35_t0	FMT_36_t7	FMT_37_t15	FMT_38_t30	FMT_39_t90	FMT_40_t0	FMT_41_t7	FMT_42_t15	FMT_42_t30	FMT_43_t30	FMT_43_t90	FMT_44_t0	FMT_44_t90	FMT_45_t7	FMT_46_t15	FMT_61_t0	FMT_62_t15	FMT_65_t180	FMT_66_t180	FMT_67_t90	FMT_68_t90	FMT_69_t180	FMT_70_t180	FMT_71_t90	FMT_73_t7	FMT_74_t15	FMT_75_t0	FMT_76_t7	FMT_77_t15	FMT_78_t180	FMT_79_t0	FMT_80_t15	FMT_DD_01	FMT_DD_02	FMT_DD_19	FMT_DD_81	R0_230300_t0	R0_230300_t7	R1_200409_t0	R1_200409_t30	R1_200409_t7	R2_160304_t0	R2_160304_t30	R3_200508_t0	R3_200508_t30	R4_010202_t0	R4_010202_t30	R4_041017_t0	R4_041017_t30	R5_290108_t0	R5_290108_t7	R6_271006_t0	R6_271006_t30	S2_FMT_01_t0	S2_FMT_02_t7	S2_FMT_03_t15	S2_FMT_04_t30	S2_FMT_25_t0	S2_FMT_26_t7	S2_FMT_27_t15	S2_FMT_28_t30	S2_FMT_40_t0	S2_FMT_41_t7	Sample_S25222_FMT_01_t0	Sample_S25223_FMT_01_t7	Sample_S25224_FMT_01_t15	Sample_S25225_FMT_01_t30	Sample_S25226_FMT_02_t0	Sample_S25227_FMT_02_t15	Sample_S25228_FMT_02_t30	Sample_S25229_FMT_03_t0	Sample_S25230_FMT_03_t15	Sample_S25231_FMT_03_t30	Sample_S25232_FMT_04_t7	Sample_S25233_FMT_04_t15	Sample_S25234_FMT_04_t30	Sample_S25235_FMT_09_t7	Sample_S25236_FMT_09_t15	Sample_S25237_FMT_09_t30	Sample_S25238_FMT_10_t0	Sample_S25239_FMT_10_t7	Sample_S25240_FMT_10_t15	Sample_S25241_FMT_05_t0	Sample_S25242_FMT_05_t15	Sample_S25243_FMT_05_t30	Sample_S25244_FMT_06_t7	Sample_S25245_FMT_06_t15	Sample_S25246_FMT_06_t30	Sample_S25247_FMT_07_t0	Sample_S25248_FMT_07_t15	Sample_S25249_FMT_07_t30	Sample_S25250_FMT_08_t0	Sample_S25251_FMT_08_t7	Sample_S25252_FMT_08_t15	Sample_S25253_FMT_08_t30	Sample_S25254_FMT_CC_01	Sample_S25255_FMT_CC_03	Sample_S25256_FMT_CC_04	Sample_S25258_FMT_CC_06	Sample_S25259_FMT_CC_07	Sample_S25260_FMT_CC_08	Sample_S25261_FMT_CC_09	Sample_S25262_FMT_CC_10	Sample_S25263_FMT_CC_11	Sample_S25265_FMT_DD_01	Sample_S25266_FMT_DD_02	Sample_S25267_FMT_04_t30
s__Clostridium_sp_CAG_413	0	19.22291	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.93904	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Ruminococcus_bromii	0	14.50112	0.0	17.37671	0.0	4.03728	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07675	0.27938	4.59152	0.04625	0.0	4.29685	5.44959	3.06923	0.0	1.33153	5.93812	0.0	0.0	0.0	0.0	7.24626	8.72212	14.33127	1.85937	1.22498	0.0	7.41195	1.19522	0.0	19.8248	2.90578	0.0	14.70024	11.12463	3.2502	5.65056	14.28003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.15388	4.07321	0.0	17.58001	7.61333	0.0	0.0	0.0	0.0	0.0	0.0	1.71448	0.0	12.23501	0.0	14.86694	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.78969	12.30298	14.29092	0.0	0.0	0.0	0.0	0.0	0.00108	0.0	0.0	0.0	7.24611	8.99868	11.61624	0.0	0.0	0.0	4.67549	0.0	5.37276	0.0	0.0091	0.37049	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23901	0.0	0.0	0.0	0.00301	0.00285	0.01064	0.0	0.32187	0.47165	0.42756	0.20122	0.07881	0.10837	12.30826	0.0	0.08186	14.00751	4.42112	6.10121	1.35938	6.68095	6.26847	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5147	0.0	0.0	7.36447	2.06591	2.19362	2.25514	4e-05	10.76057	1.44043	2.28324	6.06032
s__Akkermansia_muciniphila	0	9.6407	0.0	0.00754	0.06015	0.0	0.0	0.0	0.0	0.0	0.0	13.19117	0.00317	0.99355	2.6774	0.0	4.25857	0.0	0.0	8.03524	24.62981	0.0	58.36106	79.70859	0.0	0.0	0.0	0.0	1.02394	9.53337	2.06459	0.0	4.68638	0.0	1.74888	1.01643	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.17318	0.0	0.70086	6.09563	1.30255	0.0	8.44345	0.0	33.99107	7.59919	1.21684	0.03756	8.29936	0.5373	2.73223	0.0	0.0	0.0	0.0	0.47739	0.0	2.71932	0.0	6.00897	0.0	6.76664	0.0	16.23062	0.0	0.0	0.0	0.0	0.0	13.87294	55.41675	4.75284	7.66444	1.23135	0.0	37.02737	3.51524	0.0	0.00782	0.0	0.0	0.10822	0.0	0.02873	1.18352	0.01359	0.0	0.0	0.0	0.0	0.0	0.00366	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.79215	0.24599	0.0	29.69904	13.03082	0.53042	0.0	0.51523	0.0	0.0	0.0	18.49392	0.43032	2.29848	0.0	3.01284	13.77003	0.0	26.54518	5.69782	1.17357	2.78841	0.10787	1.14398	0.01102	8.52187	13.42425	1.61073	0.0	0.0	31.78792	12.61793	3.9922	0.0	0.0	0.01097	0.11778	2.65313	2.77726	6.1775	2.50316	8.32847	0.0	0.0	9.7051	17.95574	0.0	14.75141	0.0	0.0	11.10273	3.90058
s__Methanobrevibacter_smithii	0	8.67971	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0953	7.90548	4.30094	0.0	6.05871	0.0	0.06139	0.0	0.59322	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06999	0.0	0.0	0.0	0.36014	0.0	0.0	8.20144	0.0	0.0	0.0	0.0	0.37096	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04438	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.68345	0.22796	0.0	0.0	0.0	0.0	0.0	0.0	4.66546	0.0	0.0	0.0
s__Faecalibacterium_prausnitzii	0	8.03365	0.46259	2.64684	0.91388	0.27594	0.19036	0.0	0.0	0.02968	0.06303	0.0	0.0	9.5338	5.99636	5.00856	3.43023	0.0	8.43271	0.01282	3.64978	0.0	1.43556	0.49118	0.0	0.0	0.0	0.0	0.0	0.0	0.84022	0.0	0.0	0.0	2.67507	0.41056	0.0	0.0	1.55087	0.0	0.0	0.41388	1.35816	10.25226	1.46819	0.0	1.80696	2.61451	2.24665	0.0	6.68428	0.0	1.18972	0.18824	11.58458	6.89062	0.03584	7.6578	8.63316	0.0	7.36231	10.35453	4.24153	19.36931	0.0	0.0	0.0	0.0	0.5507	0.0	0.0	0.0	0.82613	11.57774	0.0	0.0	0.06981	3.5872	0.73642	0.0	1.41438	2.1428	7.82748	5.93571	2.34142	0.0	1.19197	0.53945	0.0	0.0	1.37473	18.60225	7.3061	7.92469	11.41338	0.0	0.09034	0.01198	0.01686	0.16333	0.08902	8.37721	0.0	0.0	0.00573	0.0	0.01592	0.1465	0.0	0.0	0.0	0.01143	0.083	0.0	0.0085	0.0	0.0	0.0	0.0	0.0	0.0	0.10539	22.91475	18.73075	21.5968	16.03031	21.26521	8.644	20.84176	7.48865	5.35276	19.53477	9.30366	7.70345	18.43999	4.67371	9.42887	19.3602	15.20666	13.53495	20.9869	2.98114	0.0	0.0	3.9063	16.28162	15.32707	7.07267	2.71951	8.63339	12.48574	19.77009	20.28312	10.42195	8.20477	18.78056	1.29621	24.57229	10.1794	1.96064	9.05798	4.00303	3.76046	19.23467	9.66302	6.28746
s__Bifidobacterium_longum	0	5.18496	12.92085	16.23823	24.27162	29.719	15.77625	0.0	3.89475	21.40499	36.47685	0.13391	0.0	5.22848	1.86759	1.27437	2.06499	0.0	1.92264	8.68654	1.14561	0.0	2.92443	2.63969	0.0	0.0	0.0	0.0	12.78532	6.42265	5.90992	0.0	28.50883	0.0	2.80364	0.65202	0.05573	0.0	0.32237	0.01302	0.0	0.0	0.0	0.0	0.0	0.0	1.15215	3.66038	4.67549	0.0	2.40976	0.0	1.57892	25.44168	0.509	0.17097	38.35795	1.36562	0.51137	0.0	0.27158	1.85812	0.71052	7.91122	0.0	3.80093	0.01057	5.72804	0.15582	2.24113	0.0	0.05913	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.30335	10.31126	4.24315	0.0	0.0	28.32502	0.0	2.16925	5.64675	27.03336	0.0	0.45621	3.78633	5.90841	5.11259	6.49732	0.0	19.52519	87.12713	0.10828	9.83919	51.74196	14.48516	0.0	0.0	2.11658	0.19668	44.26147	12.80344	0.0	0.08809	0.01405	5.47056	0.01174	0.0	2.02067	0.03405	0.0	0.0	0.0	11.08597	0.00307	0.51896	0.03477	0.23623	0.00134	0.0	0.02363	0.02538	0.0	0.0	0.5083	0.01294	0.0	0.0	0.0	0.02281	0.0	0.0	0.1596	1.1327	0.27517	0.07958	0.0	0.34487	0.41017	0.90086	0.0	4.06385	3.62401	0.0	0.25632	0.0	0.0	0.06672	0.8298	0.64657	0.95942	1.57572	0.0	0.0572	0.0	0.58327	3.92118	0.06205	0.05148	0.0
s__Eubacterium_hallii	0	4.34436	7.12583	10.42271	3.60521	5.99831	4.93476	0.0	0.0	0.0	0.0	0.0102	0.0	1.47477	6.49897	0.50162	1.28725	0.0	0.22786	0.0	0.50699	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.32861	0.0	0.0	0.0	1.1524	0.01394	0.0	0.0	0.04799	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.65295	0.07913	0.0	0.63329	0.08903	0.0	0.05994	0.09818	0.07656	0.05496	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03232	0.0	0.0	0.0	0.0	0.0	1.70391	0.10666	0.0	0.0	0.3864	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.21297	1.04137	0.4477	2.48546	0.0	0.35309	0.0	0.00326	1.53024	0.0	1.49184	0.0	0.0	0.0	0.0	0.0	0.32154	0.0	0.0	0.00021	0.20707	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00028	0.76425	0.0	0.00582	0.0	0.01287	0.0	0.0	1.15966	0.0	0.0	0.0	0.0	0.09108	0.26918	0.0	0.05943	1.38429	0.08977	0.00724	0.0	0.0	0.97323	1.69402	0.0	1.4264	0.57333	0.0	0.08441	0.0	0.0	0.0	1.22459	1.84472	0.76171	0.20696	2.9805	0.06785	0.15802	0.0	0.39262	0.0	0.0	0.0
s__Bifidobacterium_adolescentis	0	4.03318	7.17286	0.0	22.50169	17.2768	28.49957	0.0	0.0	0.0	0.0	0.0	0.0	4.22939	3.40317	3.87874	2.47816	0.0	2.25306	0.0	1.41027	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.52669	14.75537	0.0	0.0	38.31183	0.0	0.0	0.0	0.24914	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.54053	0.0	0.0	0.0	0.69631	1.43503	0.0	2.2968	0.24011	0.0	1.07177	0.66336	0.0	0.0	0.0	2.88036	0.01271	11.00587	0.0	7.05494	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.81743	0.0	4.19879	0.0	0.0	0.03623	0.0	22.73107	48.94805	11.70349	0.0	0.82567	13.20745	17.35607	0.0	1.44549	0.0	21.68234	0.0	0.03999	0.26864	0.0	0.0	0.0	0.0	0.10416	0.0	0.0	26.86489	0.0	0.0	0.00626	0.01792	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.85349	0.0	0.28758	0.0	0.0	0.0	0.0	0.0	0.00359	0.0	0.12164	19.9358	0.01079	0.02469	0.0	0.0	0.0	0.0	0.0	0.0	0.38277	0.0	0.0	0.27251	0.42377	0.0	0.0	0.0	14.12533	37.15322	0.0	0.0	0.0	0.0	0.0	0.0	0.05949	1.09994	0.0	0.0	1.85913	0.0	0.00012	11.88058	0.01772	0.28147	0.0
s__Collinsella_aerofaciens	0	2.95645	8.98993	10.6064	14.28214	14.46764	11.46134	0.0	0.02719	0.37467	0.0	0.9052	0.0	15.41886	9.38252	1.98998	9.06126	0.0	2.12328	12.27442	2.22774	0.0	0.38764	1.27892	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.66622	0.03549	0.00427	0.0	0.12095	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.98576	2.54112	9.83416	0.0	1.27968	0.0	0.0	0.0	1.16027	0.37642	0.0	9.01838	0.62208	0.0	0.55417	1.1351	0.0	0.0	0.0	7.03811	0.0	9.85315	0.0	5.01873	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.92835	0.0	0.0	0.0	5.78222	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00829	1.2784	3.26866	1.85327	8.90069	0.0	10.06344	0.0	0.01757	18.57889	0.0	10.90752	0.0	0.0	24.2972	0.00081	0.0	6.91496	0.0	0.00373	0.00525	2.02645	0.0	0.00198	8.25034	0.28894	0.0	0.0	0.0	1.12942	0.0	0.14292	0.06907	1.11566	0.03626	0.10014	0.70883	0.15373	0.0	1.07611	2.08711	0.01827	0.08835	0.0	0.0	0.31337	0.71605	0.0	0.13716	0.85869	0.27547	0.09724	0.92061	0.07097	1.14457	1.70623	0.04352	3.67687	1.95569	0.24025	0.9252	0.14263	0.13597	0.27412	0.75638	0.20515	0.0	0.60452	0.0	0.69985	0.0	0.0309	1.75027	0.02189	0.15344	1.24315
s__Eubacterium_sp_CAG_251	0	2.70933	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10159	0.0	0.00607	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.05407	0.12571	0.0	0.0	0.27765	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33513	2.35267	1.39512	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5561	0.0	1.77688	0.0	0.69619	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0361	0.0	0.0	0.0	1.92544	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.79518	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.36118	0.16318	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.11826	0.90691	0.22392	0.0	0.0	0.0	0.08712	0.31664	0.07955	0.00464	0.0	0.0	1.44302	1.27626	0.0	0.0	0.0	0.0	0.0	0.0	0.12308	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.62541	0.0	0.0	0.0	0.0	0.47139	0.43596	0.0	0.0	0.17686	0.1361	0.0
