clade_name	NCBI_tax_id	S1_a_WGS	S101_a_WGS	S102_a_WGS	S103_a_WGS	S117_a_WGS	S119_a_WGS	S128_a_WGS	S13_a_WGS	S130_a_WGS	S132_a_WGS	S134_a_WGS	S138_a_WGS	S139_a_WGS	S14_a_WGS	S140_a_WGS	S142_a_WGS	S144_a_WGS	S146_a_WGS	S148_a_WGS	S149_a_WGS	S15_a_WGS	S150_a_WGS	S151_a_WGS	S152_a_WGS	S153_a_WGS	S154_a_WGS	S155_a_WGS	S156_a_WGS	S157_a_WGS	S158_a_WGS	S159_a_WGS	S16_a_WGS	S160_a_WGS	S161_a_WGS	S162_a_WGS	S163_a_WGS	S164_a_WGS	S165_a_WGS	S166_a_WGS	S167_a_WGS	S17_a_WGS	S18_a_WGS	S2_a_WGS	S26_a_WGS	S27_a_WGS	S28_a_WGS	S29_a_WGS	S3_a_WGS	S30_a_WGS	S31_a_WGS	S32_a_WGS	S33_a_WGS	S34_a_WGS	S35_a_WGS	S36_a_WGS	S4_a_WGS	S43_a_WGS	S45_a_WGS	S46_a_WGS	S47_a_WGS	S48_a_WGS	S49_a_WGS	S5_a_WGS	S50_a_WGS	S51_a_WGS	S52_a_WGS	S53_a_WGS	S54_a_WGS	S55_a_WGS	S56_a_WGS	S57_a_WGS	S58_a_WGS	S59_a_WGS	S6_a_WGS	S60_a_WGS	S62_a_WGS	S63_a_WGS	S64_a_WGS	S65_a_WGS	S66_a_WGS	S67_a_WGS	S68_a_WGS	S69_a_WGS	S70_a_WGS	S71_a_WGS	S72_a_WGS	S73_a_WGS	S79_a_WGS	S80_a_WGS	S81_a_WGS	S82_a_WGS	S83_a_WGS	S84_a_WGS	S87_a_WGS
s__Fusicatenibacter_saccharivorans	0	23.2154	0.0	0.0	0.0	0.75775	1.75189	0.10895	0.23426	0.6067	3.43233	2.69496	1.48874	1.25039	0.27762	0.41843	0.35184	2.33115	0.96239	0.0	0.80742	0.03654	1.51125	1.09068	3.44688	0.83912	0.82458	5.40716	1.44697	4.20894	2.23993	1.14505	1.29786	10.62153	3.00894	1.32728	9.2298	8.2232	0.86425	1.11457	1.44693	2.47882	0.48714	0.96149	0.46841	0.0	0.0	5.51477	0.81899	0.0	5.60639	0.44838	0.04995	0.14261	2.10135	1.51645	4.31897	0.04848	0.0	0.0	0.0	0.0	1.90724	13.44983	1.01577	0.09082	0.30827	0.27084	0.24312	1.43552	0.0	0.0	0.0	0.0	3.05516	0.0	0.0606	2.5983	1.16434	0.37217	4.18775	0.31121	0.0	0.0	0.0	2.34342	1.55891	0.79717	1.53675	4.00531	2.95164	6.91351	7.59088	0.0	1.07948
s__Bifidobacterium_longum	0	16.74248	0.0	0.0	0.0	4.86194	3.06759	4.73718	6.84544	7.2217	1.89985	12.538	2.90624	22.74632	0.14443	0.11222	3.68062	3.61688	8.24065	0.0	0.0	0.00956	0.0	0.0	0.0	20.7455	3.87008	8.36005	1.76827	0.0	7.5354	0.69948	0.01933	2.68292	5.27089	0.0	4.04971	6.54919	1.53721	1.40669	2.96266	4.13372	8.01308	1.33113	0.90865	0.0	0.0	0.0	2.07683	0.0	0.0	4.67346	1.66413	0.68902	0.19996	10.91628	5.11597	4.40522	0.0	0.0	0.0	0.0	0.0	6.38361	3.92932	7.55635	0.15272	0.06418	0.19266	2.03851	0.3899	0.4106	0.64358	4.84149	8.2937	30.10417	0.26283	0.41881	3.82737	0.54731	5.9005	12.3969	3.42597	0.0	0.50554	26.10065	1.08003	6.35652	5.00199	1.14742	0.01613	0.03221	4.58772	4.76133	21.20747
s__Collinsella_aerofaciens	0	11.8943	0.0	0.0	0.0	19.09287	9.08807	7.70029	15.57469	3.96762	3.42561	6.3077	17.62217	2.99738	22.94232	10.08519	11.99195	2.07194	2.48868	0.0	0.0	6.14605	0.0	0.0	0.0	2.8281	2.90576	0.0	3.58222	0.0	3.0855	4.71802	5.84159	6.6072	13.98053	3.2246	0.0	5.94842	11.20604	7.22445	20.49413	9.48061	23.27703	2.63953	18.15426	0.0	0.0	0.0	4.16545	0.0	0.0	15.81272	24.27379	35.10022	18.2236	28.18157	2.69386	3.02624	0.00527	0.0	0.0	0.0	0.0	1.99946	6.15195	7.81515	4.961	1.82079	3.12235	3.48416	0.0	0.0	0.0	0.0	4.87118	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.68468	4.56239	5.54916	2.17182	6.41189	14.19312	7.84797	7.76061	1.61213	0.0
s__Ruminococcus_torques	0	10.93104	37.08121	0.0	0.0	0.16556	6.99379	0.61827	0.0	7.75325	19.53253	4.25651	4.03879	2.04615	0.0	3.59172	3.6752	3.47613	0.37601	0.0	0.0	0.0	0.0	0.0	0.0	2.44246	2.20532	3.66826	7.23323	13.08061	0.0	1.50657	0.0	6.29191	3.44632	3.5919	7.37685	1.476	4.64251	1.02048	3.0698	0.0	1.52024	5.9936	15.2085	0.0	0.0	0.0	3.51565	0.0	0.0	0.42535	0.0	0.0	0.0	0.0	21.44677	1.02536	2.0343	0.0	0.0	0.0	0.0	24.99983	5.90093	0.80809	24.11619	15.60547	6.52167	2.21245	0.0	0.0	0.0	0.0	0.80402	0.0	1.10493	4.11692	7.19635	4.3998	1.80782	1.61805	0.0	0.0	0.0	0.03118	3.73306	0.28969	0.53126	2.9051	9.35854	19.68169	4.38896	2.03217	1.28103
s__Bifidobacterium_pseudocatenulatum	0	10.74635	0.0	0.0	0.0	0.16963	0.0	0.0	0.0	0.0	14.15681	0.1869	0.0	0.1495	0.0	0.0	0.0	2.75978	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.34919	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11774	0.0	0.33599	0.0	0.0	0.0	0.0	9.4239	0.0	0.0	0.0	0.0	1.97482	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02951	0.59796	0.0	0.0	0.0	0.0	0.0	2.24377	0.0	0.0	0.0	0.0	0.0	0.0	0.00876	0.48702	0.42727	7.74974	0.20957	11.55315	1.63772	0.81511	20.57733	1.99108	8.9994	17.07824	0.0	0.0	0.0	0.0	0.0	0.14839	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Bifidobacterium_bifidum	0	5.76727	0.0	0.0	0.0	0.0	0.0	12.4547	27.68771	0.0	0.0	13.44769	0.4809	0.0	19.25418	0.0	6.24953	1.25096	5.8263	0.0	0.0	21.90418	0.0	0.0	0.0	9.42496	0.0	0.0	0.0	0.0	3.44282	0.0	27.26232	0.0	0.0	0.0	0.0	1.81498	0.00931	0.0	0.0	23.93933	0.50001	0.0	8.48123	0.0	0.0	0.0	0.0	0.0	0.0	15.0243	30.86254	28.69075	21.0661	22.84559	0.0	2.88629	0.0	0.0	0.0	0.0	0.0	0.0	4.14147	0.0	0.0	0.0	0.0	0.0	38.28192	31.53794	31.74896	29.3172	2.40765	15.26901	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.42801	1.746	0.0	9.62447	0.70165	0.0	0.0	0.0	0.0
s__Anaerostipes_hadrus	0	4.03282	3.00205	0.0	0.0	0.28357	1.15159	0.40825	3.17074	1.50464	8.54715	5.39492	1.00085	8.29734	5.14115	0.26828	0.30245	3.09203	0.26969	0.0	3.69069	0.0	0.77136	3.93403	10.60725	6.25476	4.19562	5.32716	2.31098	8.3569	2.27403	3.03216	0.0	2.15621	5.80165	3.6571	2.12079	1.04231	5.32228	1.90683	1.93756	10.48361	1.80826	13.37367	1.04113	0.0	0.0	0.0	1.46344	0.0	0.0	0.92823	0.12431	0.0	0.0	3.75426	5.75146	0.25754	0.03277	0.0	0.0	0.0	0.0	9.28306	4.5048	0.69532	0.86291	0.5626	1.32894	1.76685	2.42302	20.10602	3.84468	0.43537	0.56797	3.46598	0.97044	1.06774	6.32299	30.82331	4.2981	3.85699	0.0	0.0	0.0	2.19266	1.69719	1.96728	1.60579	0.5325	2.59515	13.42091	1.65066	1.86712	2.47365
s__Dorea_longicatena	0	3.81475	3.19889	0.72404	0.0	3.78202	6.73416	2.30503	1.92561	3.18692	4.48666	5.22263	6.86688	3.80838	1.04564	2.4076	3.03864	1.7462	1.54237	0.33529	9.80825	0.0	1.30322	3.35971	18.70938	5.86907	1.02279	4.74214	11.24296	0.0	4.22487	2.19253	0.0	5.50003	10.49625	10.05175	6.70381	4.00507	3.72606	2.78097	5.58603	0.0	7.92145	0.0	1.7588	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.04794	0.0	1.47401	4.25119	0.0	0.0	0.0	0.0	0.0	3.26524	10.85324	15.30313	9.34565	11.51619	8.5534	0.0	0.0	0.0	0.0	2.94149	0.02781	7.43569	13.18664	20.25224	18.34298	6.26936	1.55456	0.0	0.0	0.0	5.89297	4.3065	0.0	4.94721	4.27789	19.06007	11.9499	5.34343	0.33331	19.83479
s__Agathobaculum_butyriciproducens	0	2.14691	0.00454	0.0	0.0	0.0	1.08163	0.0	0.71584	0.71413	5.53912	0.18346	0.12075	0.14119	0.0035	0.087	0.00288	0.15975	0.11132	0.0	0.0	0.0	0.06305	0.03867	1.99666	0.00486	0.09499	0.72999	0.41281	0.4433	0.54669	0.0	0.0	0.07542	0.0	0.45906	1.3887	2.07078	1.08474	0.26707	1.99134	0.0	0.23655	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00302	0.29621	0.0	0.0	0.0	0.0	0.0	0.0	1.44979	0.55448	0.0	0.13841	0.36506	0.45318	0.10989	0.00274	0.0318	0.0569	0.04404	0.25118	0.00141	0.01904	0.06352	0.03934	0.0	1.02531	0.0893	0.0	0.0	0.0	0.29544	0.36888	0.69946	0.44167	0.0	0.29142	0.06393	0.06051	0.0	0.0
s__Eggerthella_lenta	0	1.73556	12.78431	0.11775	0.14721	0.1068	0.00894	0.0	0.83875	0.0	0.22124	0.04948	0.0	0.22523	3.00018	0.03404	0.0	0.02013	0.0	1.18509	52.42149	1.61958	10.64331	4.77699	8.49663	0.04112	0.0	0.2901	0.0	0.91581	0.09371	0.0	1.24758	0.0	0.0	0.08947	0.05469	0.0	0.0	0.0	0.12771	1.21735	0.00337	0.79974	0.0	0.0	0.0	0.0	1.2902	0.0	0.0	1.21342	1.68526	1.5405	0.73239	0.81758	0.98751	0.0222	7.84627	0.77648	1.48471	1.43134	2.21994	0.41566	0.40969	1.39455	2.22501	1.55654	2.7482	0.22079	2.84066	2.15968	1.1853	2.18755	0.13552	3.52725	2.80737	9.67283	5.62224	1.89974	1.69054	0.01495	0.0	0.0	0.0	1.63882	0.23014	0.03926	0.00171	0.20763	3.59511	1.3527	0.07746	0.0	0.05424
