clade_name	NCBI_tax_id	JAS_1	JAS_10	JAS_2	JAS_3	JAS_4	JAS_5	JAS_6	JAS_7	JAS_8	JAS_9	KHG_1	KHG_10	KHG_11	KHG_12	KHG_2	KHG_3	KHG_4	KHG_5	KHG_6	KHG_7	KHG_8	KHG_9	LDK_1-2	LDK_2	LDK_3	LDK_4	LDK_5	LDK_6	LDK_7	LDK_8	LDK_9
s__Prevotella_copri	0	33.96824	52.16987	10.73475	46.27413	32.01252	35.59708	35.16597	50.73486	0.08745	24.86821	0.04238	8.07276	48.67707	37.90134	84.17601	63.71398	79.83208	33.25818	1.78552	1.81167	46.44714	32.76669	76.54307	73.4659	82.63611	65.15235	35.30076	79.05957	31.92837	50.19979	79.18355
s__Prevotella_sp_CAG_520	0	9.49437	0.00021	0.00675	0.01334	0.00246	0.00138	11.45604	0.01565	3.55529	3.36116	0.01495	0.0	3.93515	0.00077	0.70671	2.74098	0.95134	0.00032	0.00384	0.00307	0.0	0.0	0.20172	0.0	5.56974	0.00077	0.0	3.22822	0.93176	0.0	0.0
s__Prevotella_sp_AM42_24	0	6.3766	0.0	2.4691	5.80694	2.29143	1.48694	0.0	1.55776	0.0	0.0	0.0	0.0	0.0	0.16948	0.85144	0.0	0.75886	0.39813	0.0	0.00233	0.00306	0.0087	0.0	0.0	3.35947	0.09731	0.0	2.57399	1.48563	2.27811	0.48626
s__Roseburia_faecis	0	5.31359	2.80172	0.31593	7.09445	4.73339	1.80339	12.9927	7.01116	18.06788	2.49281	2.37261	7.36783	0.65204	2.65554	0.02447	5.51146	0.03356	5.50252	9.96126	0.18332	4.66173	7.26506	2.38824	4.25071	0.34406	1.70127	4.46191	1.60828	1.93776	2.5947	1.41048
s__Catenibacterium_mitsuokai	0	4.84937	1.70819	11.11434	2.36379	2.51839	4.12931	0.31648	1.61815	1.02575	0.0	0.0	0.00738	0.0	0.06365	0.43213	0.62926	0.35971	0.85484	0.0	0.34231	1.07965	0.07549	0.03728	0.47451	0.17305	0.04813	0.06307	0.097	0.94397	0.06066	0.0832
s__Prevotella_sp_CAG_5226	0	4.49782	2.44764	0.93983	1.12675	3.31093	2.70211	3.56909	0.0009	0.0	0.0	0.00374	0.0	0.0	0.00156	0.00201	0.0	0.00072	0.0	4.11183	0.00236	13.08813	1.50869	0.0	0.0	0.0	0.0	0.0	4.06954	0.0	0.0	0.0
s__Bifidobacterium_pseudocatenulatum	0	4.10269	0.0	0.09457	0.0	0.16903	0.09523	0.0	0.01319	0.00171	0.34904	0.09558	0.01617	0.32444	0.0	0.00312	0.0	0.0	0.00542	0.0	0.0	0.0	0.00305	0.02649	0.0	0.0	0.20316	0.02238	0.0	0.0	0.0	0.0
s__Faecalibacterium_prausnitzii	0	2.8147	1.86558	8.82164	1.83427	4.55622	4.01118	4.45724	2.7426	12.60288	5.95462	5.52551	3.30711	2.60784	3.04441	2.00468	2.52696	2.88868	4.23145	11.70415	3.48311	5.61214	7.46494	1.51371	1.34069	1.37056	1.96057	3.77178	0.80723	3.79706	6.15591	2.03816
s__Collinsella_aerofaciens	0	2.09554	1.02741	2.20378	1.38183	4.61422	8.09017	2.28137	2.02519	2.07431	5.30146	0.91766	4.73145	2.09945	3.59817	1.99333	1.84965	3.03411	3.88385	9.0211	3.08646	1.47906	3.8276	0.36112	1.03223	0.36981	1.29269	0.7531	0.38759	2.85855	2.02699	1.52706
s__Bifidobacterium_longum	0	1.78711	1.77638	0.73657	0.05956	0.43301	1.64931	1.28416	0.12627	5.79051	3.11373	9.33878	6.99185	2.30966	1.79954	0.02575	1.64738	0.02065	0.79269	5.22876	3.59434	1.75822	1.18977	0.19973	0.35745	0.00219	0.08533	0.61228	0.04918	0.0879	0.05772	3.38785
