clade_name	NCBI_tax_id	Travel001	Travel002	Travel003	Travel004	Travel005	Travel006	Travel007	Travel008	Travel009	Travel010	Travel011	Travel012	Travel014	Travel015	Travel016	Travel017	Travel018	Travel019	Travel020	Travel021	Travel022	Travel023	Travel024	Travel025	Travel026	Travel027	Travel028	Travel030	Travel031	Travel033	Travel036	Travel037	Travel038	Travel039	Travel040	Travel041	Travel042	Travel043	Travel045	Travel046	Travel047	Travel048	Travel049	Travel050	Travel051	Travel052	Travel053	Travel054	Travel057	Travel058	Travel059	Travel060	Travel061	Travel062	Travel063	Travel064	Travel065	Travel066	Travel067	Travel068	Travel070	Travel071	Travel072	Travel073	Travel075	Travel076	Travel077	Travel078	Travel079	Travel080	Travel081	Travel082	Travel083	Travel084	Travel085	Travel086	Travel087	Travel088	Travel089	Travel090	Travel091	Travel092	Travel093	Travel095	Travel096	Travel097	Travel098	Travel099	Travel100	Travel101	Travel102	Travel103	Travel104	Travel105	Travel106	Travel107	Travel108	Travel109	Travel110	Travel111	Travel112	Travel113	Travel114	Travel115	Travel117	Travel118	Travel119	Travel120	Travel121	Travel122	Travel123	Travel124	Travel125	Travel126	Travel128	Travel129	Travel130
s__Faecalibacterium_prausnitzii	0	16.81625	9.86573	7.86994	7.20151	9.92778	1.95845	12.17591	9.03752	5.67543	8.3797	8.37999	3.07281	4.34709	6.13067	18.82384	13.71086	10.40168	12.99055	6.35431	0.61367	2.52557	11.06501	0.02864	24.63453	1.93227	1.80535	8.40343	0.25779	0.21136	18.65031	2.4965	0.44608	5.62984	5.34897	9.30769	9.89859	4.02583	12.81698	4.40514	3.97984	5.26315	12.59236	12.77257	4.26306	3.86276	9.60393	12.3562	3.46397	4.80597	18.57642	3.63823	13.21646	11.23243	13.66912	7.03768	7.49496	4.20561	5.17144	10.2735	15.69772	4.08854	19.15613	7.99081	3.60013	5.86787	12.81926	14.46241	22.04613	0.88264	12.02721	14.02096	5.66389	0.40778	4.95552	11.83982	4.81911	4.36726	4.18081	8.48929	2.63098	5.98695	9.0575	2.70679	9.05599	9.26379	4.55447	4.57757	11.1866	7.56939	0.42051	12.21495	2.68357	3.08721	12.08794	13.6297	8.75204	11.44942	7.86633	10.83702	4.67768	7.82923	2.49614	6.69149	5.17449	10.77832	5.99486	4.49344	7.82127	5.56877	5.35868	3.20859	4.95719	5.78817	11.43924	9.47231	8.6746	7.7754
s__Eubacterium_rectale	0	10.22814	16.647	9.0504	7.79731	4.31644	0.55876	15.73608	2.10707	6.09353	11.29372	11.29412	2.49836	17.03654	0.39255	2.27399	0.17449	7.16003	0.48891	3.68535	2.17482	0.24055	2.48177	4.44244	12.03353	24.93849	0.04109	0.54724	0.05057	13.23914	1.89735	2.10252	0.09207	6.13228	4.1982	3.47495	0.75999	0.07631	2.41404	2.66005	9.67295	4.05201	0.00557	1.37421	2.64427	0.0	5.65959	1.17245	0.0	0.07909	2.89232	0.44103	1.11629	5.40515	4.79309	15.90064	7.08577	7.34764	8.01398	0.55013	18.09071	9.89645	0.70923	0.19754	1.22177	8.37048	8.11097	20.40093	28.1406	0.37401	0.92215	4.81379	11.7107	0.0	12.99661	5.30521	21.19508	0.17851	0.08877	8.70542	14.48956	5.61971	3.86219	0.46449	12.04413	15.60589	7.65172	0.0	5.56956	9.68959	8.74062	1.84704	1.84406	44.59511	5.6607	6.44314	19.71046	5.49138	26.93954	12.57839	9.5177	0.08111	5.68312	0.24318	9.06916	25.41813	4.60584	3.42726	10.59966	3.86816	0.15632	1.43643	0.95953	5.47563	1.12604	0.38535	13.05287	2.58412
s__Roseburia_intestinalis	0	6.59883	4.64252	0.07398	0.19272	1.02792	1.03141	0.0	0.28372	0.39938	7.68221	7.68249	0.01242	0.4519	0.0	0.06277	0.32398	1.18814	0.27011	0.01906	0.02983	0.0	1.42213	0.0	0.23841	0.08981	2.70491	0.65018	0.0	0.16117	0.91412	0.44244	0.0	0.87279	0.84901	1.21984	0.86557	0.01981	2.7355	1.45753	1.04625	0.57563	0.88886	0.05039	0.00975	2.3675	4.05103	0.17646	0.0	0.07259	1.12415	0.32393	0.05506	1.34465	7.13452	0.18423	0.77059	1.08739	1.03087	0.03211	1.7206	0.62461	1.65586	0.0164	1.0824	0.0	0.0	6.52256	2.52533	0.04583	0.1347	0.0	0.57298	0.20666	0.0	0.32447	4.3556	0.03926	0.29617	0.15818	0.36243	0.03732	0.09735	0.86271	0.40621	0.15288	0.99929	2.19792	2.60067	3.36919	0.0	0.0	0.70204	0.0589	0.79821	0.65253	0.62949	0.22579	10.15589	0.01038	0.15654	0.06036	0.16368	0.17663	0.0	0.73612	0.0	0.00367	0.0	0.33971	0.12741	0.05089	0.84184	0.00456	0.80423	1.10374	1.19241	1.70131
s__Prevotella_copri	0	6.00826	0.0	12.30392	22.14568	0.0	0.0	16.34856	43.62349	42.54524	0.0	0.0	57.34618	0.0	58.11511	0.0	0.0	0.0	40.89553	33.50655	7.16893	7.82658	0.0	0.0	0.99705	0.00343	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.46807	0.0	2.18448	34.90157	20.9124	0.0	53.73391	43.59714	2.91403	39.21956	7.38924	52.23533	60.58762	42.36673	32.17549	8.75479	0.34681	8.70403	46.5703	0.0	0.0	28.66212	35.81494	0.0	20.08754	51.23244	62.72028	12.47321	0.0	6.82926	29.83524	35.05677	40.52365	40.50186	0.0	0.0	0.41468	34.59339	17.0205	12.17228	55.89134	40.58887	0.0	1.01446	0.0	0.56156	0.0	43.98078	0.0	44.44113	70.57826	11.48065	5.60537	9.77501	0.0418	29.99039	4.20254	0.0	0.27713	1.79226	1.94807	63.33367	47.39696	4.53355	34.73018	0.0	58.42165	0.0	2.01762	76.16556	54.03459	45.20061	0.0	30.17891	64.04815	35.07223	59.82615	50.81291	0.09816	36.99766	0.14039	32.35153	55.14029	30.58386	0.0
s__Dialister_invisus	0	5.97196	0.0	0.0	0.14672	0.00471	0.0	1.15048	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17042	0.0	0.0	0.0	0.32942	0.0	0.0	0.0	0.68305	0.0	0.0	0.0	0.0	0.12452	0.49361	0.0	0.0	0.0	0.00103	0.0	0.0	0.0	0.04661	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17781	0.0	0.0	0.35485	0.0	0.0	0.0	0.0	0.02464	0.0	0.0	0.0	0.0	0.0	0.25697	0.12349	0.0	0.0	0.0	0.0	0.0	0.0	2.01	0.0	0.0	0.0	0.1069	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04483	0.0	0.0	0.0	0.0	0.0	0.0	0.01208	0.0	0.0	0.09925	0.0	0.0	0.0	0.0	0.14201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Eubacterium_hallii	0	5.45312	2.75742	0.18015	3.53178	2.43313	0.60989	0.43874	1.43986	0.20428	1.04949	1.04953	0.67001	1.68493	0.51508	2.47024	0.81559	2.28572	1.93911	0.52293	3.45386	0.0	2.07534	1.0025	2.07471	3.38997	1.2124	4.36629	1.18816	0.0	1.77907	2.62046	0.14564	1.55483	0.22318	3.40515	1.3317	0.72968	0.35501	0.64919	0.9843	1.96843	0.45826	1.77932	0.81833	0.41159	0.36465	0.96735	1.71848	3.9171	2.57378	0.90822	0.74193	1.65997	0.43011	0.95354	1.05424	0.82629	0.33132	0.9351	1.74819	5.83147	2.35861	1.85323	0.32877	0.8877	0.29528	0.86003	0.61106	1.88219	0.38652	1.27547	0.72381	0.02714	0.0597	0.25876	5.94755	2.26109	0.47446	1.25224	0.83271	0.33233	0.11844	0.05408	0.71296	0.72067	3.04271	0.0	0.92826	1.48902	3.25375	1.39535	2.32127	0.8052	0.23968	0.24975	2.09159	0.06835	0.09247	0.13175	2.56933	2.38698	0.12503	0.34247	0.22626	0.26998	0.99566	0.55797	0.44817	0.5334	1.01774	3.07515	0.58235	1.91816	1.29646	0.36888	0.27913	0.78771
s__Collinsella_aerofaciens	0	4.73549	2.85526	3.03279	2.19978	1.64715	1.155	1.17244	1.79637	2.48624	3.31865	3.31647	0.82388	0.19129	1.11498	0.94182	0.82299	0.91659	1.65715	1.57917	3.24271	3.77258	2.13029	1.5526	4.19229	9.09234	3.92816	0.0	5.69249	4.0814	1.39872	5.63951	3.62217	5.58221	0.92302	4.26802	1.71291	1.779	0.9049	1.90076	2.80789	6.95271	0.93075	4.18683	6.69052	2.64523	1.62885	1.98542	0.78593	8.86782	5.39037	1.26734	3.10733	0.68594	0.60531	1.80159	3.42382	1.86243	1.72409	1.36058	1.78894	2.90454	7.93031	4.80108	1.37919	3.559	4.36139	4.46542	2.94092	4.5732	3.999	7.73028	7.54365	2.6071	4.05141	2.32792	2.13092	6.95177	4.86042	3.10257	1.98552	1.15494	6.60321	0.61527	5.78339	17.96497	13.65877	1.37722	2.29346	4.44444	0.0	8.01392	12.42984	4.54271	6.7311	3.67613	6.83142	0.94598	2.04158	1.62726	4.10768	2.40068	1.33755	1.12872	3.03311	5.67267	2.44711	5.98507	6.25999	2.31223	5.02429	23.55246	1.83632	15.00832	4.08489	3.23794	2.38535	15.4789
s__Dorea_longicatena	0	4.16117	4.88272	1.31268	1.29095	1.48572	3.15712	1.17811	1.19458	2.49748	2.82995	2.83005	0.75479	4.13006	0.68257	2.22876	0.08394	3.26895	0.1372	0.72482	4.25251	1.06993	3.85251	1.81764	1.79005	6.68846	0.77024	1.42722	1.0926	2.95019	2.81728	3.84085	1.0871	4.97833	2.86594	6.58748	1.42546	3.11437	1.49737	1.83069	1.92882	1.86631	0.56467	3.43414	2.14855	1.61502	0.89466	2.3946	9.36487	3.3206	1.51122	1.49527	2.89208	0.10603	0.59735	1.793	1.49286	2.9284	0.57127	0.66204	3.07339	3.00792	4.0422	1.03062	1.23754	1.11149	0.673	1.21807	0.97756	5.80649	2.99687	1.05328	1.22547	0.08229	0.86091	1.27827	2.88422	1.31166	0.75128	1.77751	0.41744	0.98018	2.94843	0.7771	3.46192	3.05918	2.73833	1.67012	1.37573	5.77027	0.0	0.6693	0.84502	2.69095	1.98768	0.59037	4.92229	0.00859	1.65125	0.2458	2.30746	2.94151	0.27907	0.25089	1.12827	1.2623	1.41857	1.20009	4.67589	0.50878	1.55291	13.57472	1.63934	4.24657	1.45061	1.64891	1.03323	1.19594
s__Ruminococcus_torques	0	3.9666	3.7732	0.62491	2.27801	1.45472	1.33226	1.27427	1.88792	0.50983	3.12258	3.12269	2.1452	0.78958	1.2294	0.79771	0.97611	1.66802	0.64111	2.35687	1.6287	0.5501	2.80636	0.05866	2.30729	0.0	3.5976	0.1477	0.36393	1.38628	3.22145	6.43483	6.01953	5.46619	1.80791	8.8613	1.695	0.5072	3.99886	0.61107	2.0747	2.03273	1.23288	4.06566	10.47283	1.26634	2.41082	2.51475	0.26628	4.78805	4.90369	0.98111	0.84589	0.9565	2.13368	2.40459	1.77218	0.68745	1.45442	1.07753	3.36369	6.08174	3.69739	4.12526	0.60265	1.12088	1.12487	1.39086	0.43758	2.08259	5.96186	2.62804	1.00061	0.00284	4.41682	0.04024	0.0	0.94978	4.70725	3.93495	3.22161	2.30844	2.48311	1.66165	1.84081	6.72013	6.61811	4.11986	2.74503	6.99685	0.0	4.96945	3.60358	0.69933	1.47095	0.73229	3.46117	0.72153	1.08882	0.0393	7.68301	1.17935	0.42034	0.65818	0.92249	0.37708	0.58292	0.63221	2.60731	0.56863	3.13207	2.90338	2.11753	9.62939	4.33465	2.43206	6.2206	2.34072
s__Alistipes_putredinis	0	3.41192	0.97927	0.01139	1.89732	2.62131	3.1392	1.28979	0.0	0.0	0.69744	0.69746	0.36993	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.70483	1.65254	1.05782	1.50528	0.12343	0.02335	0.02619	0.0	0.0	2.94981	0.0	3.16959	0.10691	0.07038	0.0	0.03711	0.0	0.0	0.0	0.0	3.47635	0.0	0.0	0.0	0.0	1.89758	1.35765	4.76851	0.0	2.30672	1.55836	6.04349	5.18046	0.02038	0.0	0.0	0.0	0.0	0.0	0.0	0.0941	0.04153	0.0	0.0	0.69751	0.0	1.41788	0.83446	0.04077	0.0	0.0	0.00447	0.0	0.0	7.06582	0.0	0.0	0.0	1.90221	2.6279	0.0	1.05237	0.18991	0.0	0.0	0.02457	1.16778	0.96913	1.44674	0.0	0.30949	0.0	0.0	0.0	0.0	0.91315	0.1908	0.0	0.0	0.0	0.0	0.0	0.0	0.53448	0.0	0.0	0.0	0.0	0.92308	0.0	2.67341	0.0	0.0	0.0	0.0	0.17931	0.02761
