clade_name	NCBI_tax_id	PRJNA231909.3101140	PRJNA231909.3101335	PRJNA231909.3101336	PRJNA231909.3101338	PRJNA231909.3101436	PRJNA231909.3101439	PRJNA231909.3102732	PRJNA231909.3102986	PRJNA231909.3103734	PRJNA231909.3103736	PRJNA231909.3104913	PRJNA231909.3105378	PRJNA231909.3105379	PRJNA231909.3105829	PRJNA231909.3105875	PRJNA231909.3106384	PRJNA231909.3107336	PRJNA231909.3107345	PRJNA231909.3107373	PRJNA231909.3107376	PRJNA231909.3107526	PRJNA231909.3107527	PRJNA231909.3107649	PRJNA231909.3107651	PRJNA231909.3107859	PRJNA231909.3107861	PRJNA231909.3107883	PRJNA231909.3107978	PRJNA231909.3108096	PRJNA231909.3108098	PRJNA231909.3108100	PRJNA231909.3108103	PRJNA231909.3108105	PRJNA231909.3108107	PRJNA231909.3108330	PRJNA231909.3108332	PRJNA231909.3108363	PRJNA231909.3108437	PRJNA231909.3108440	PRJNA231909.3108485	PRJNA231909.3108488	PRJNA231909.3108490	PRJNA231909.3108601	PRJNA231909.3108874	PRJNA231909.3108875	PRJNA231909.3109753	PRJNA231909.3109755	PRJNA231909.3109940	PRJNA231909.3109945	PRJNA231909.3109952	PRJNA231909.3109997	PRJNA231909.3110006	PRJNA231909.3110086	PRJNA231909.3110090	PRJNA231909.3110226	PRJNA231909.3111969	PRJNA231909.3111970	PRJNA231909.3112121	PRJNA231909.3112122	PRJNA231909.3112348	PRJNA231909.3112358	PRJNA231909.3112359	PRJNA231909.3112360	PRJNA231909.3112363	PRJNA231909.3112365	PRJNA231909.3112367	PRJNA231909.3112419	PRJNA231909.3112924	PRJNA231909.3112925	PRJNA231909.3113035	PRJNA231909.3113044	PRJNA231909.3113065	PRJNA231909.3113068	PRJNA231909.3113111	PRJNA231909.3113114	PRJNA231909.3113118	PRJNA231909.3113339	PRJNA231909.3113393	PRJNA231909.3113604	PRJNA231909.3113627	PRJNA231909.3113663	PRJNA231909.3113669	PRJNA231909.3113765	PRJNA231909.3113767	PRJNA231909.3113831	PRJNA231909.3113834	PRJNA231909.3113933	PRJNA231909.3113936	PRJNA231909.3113996	PRJNA231909.3114185	PRJNA231909.3114201	PRJNA231909.3114542	PRJNA231909.3114545	PRJNA231909.3114755	PRJNA231909.3114784	PRJNA231909.3114810	PRJNA231909.3114865	PRJNA231909.3115067	PRJNA231909.3115068	PRJNA231909.3115070	PRJNA231909.3115087	PRJNA231909.3115315	PRJNA231909.3115615	PRJNA231909.3115643	PRJNA231909.3115644	PRJNA231909.3115646	PRJNA231909.3116456	PRJNA231909.3116468	PRJNA231909.3116471	PRJNA231909.3117245	PRJNA231909.3117247	PRJNA231909.3117249	PRJNA231909.3117378	PRJNA231909.3117380	PRJNA231909.3117383	PRJNA231909.3117624	PRJNA231909.3117627	PRJNA231909.3119726	PRJNA231909.3119727	PRJNA231909.3119729
s__Roseburia_intestinalis	0	37.87679	0.0	3.22851	0.52098	0.0	15.53454	14.02176	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.58901	0.0	0.0	0.0	0.0	4.9124	2.18408	0.2989	8.99864	6.62772	0.05153	17.62242	0.0	0.00122	0.01169	9.18543	0.00609	0.0	0.0	0.45261	0.88	0.0	0.15775	0.0	0.0	0.0	0.00246	4.04437	0.0	0.0	0.0	0.0	0.00232	0.42586	0.95004	0.18689	5.46404	24.45754	0.0	0.0	0.04543	8.7134	16.95125	0.0	0.0	0.0	0.0	6.27885	9.15063	1.68666	7.52783	0.0	0.05152	7.26118	4.11146	0.0	0.03622	0.0	0.0	0.0	0.0	0.0	9.59971	0.0	0.0	0.0	0.0	0.0	0.00951	2.41995	0.0	0.0	1.62987	0.26904	0.0	1.12743	2.91022	0.001	6.73701	0.0	3.17747	0.39095	0.94021	0.0	0.0	0.0	4.97471	0.0	3.70839	9.69278	6.0824	0.0	0.0	0.0	0.0	0.24846	1.33545	4.37915	0.0	0.26711	0.0528	9.03771	8.49228	0.03192	0.0	0.02479
s__Bacteroides_vulgatus	0	23.08972	0.00768	0.02231	0.0121	34.8918	29.2997	17.78402	0.02138	6.51452	3.35003	0.15005	1.18608	0.01605	0.0167	5.23984	27.01168	0.02573	0.02898	0.00415	0.00791	0.04635	0.00379	43.44201	30.59569	37.99463	31.72198	21.43995	0.03539	40.24955	35.71089	14.50815	0.75196	26.93196	37.82629	21.64626	4.22746	47.58047	10.65025	16.34056	2.56599	39.72623	24.64865	2.56191	0.01043	2.10119	12.92027	17.52151	0.02449	0.03388	0.03281	22.99317	21.74522	8.61675	4.46561	0.02736	0.02654	0.02322	9.38697	16.81634	0.03106	13.18446	6.57929	3.50418	0.39905	2.10682	4.41845	24.22194	0.0302	0.02686	0.00898	3.75742	7.9537	17.06537	42.79289	17.51348	28.64529	0.02854	0.02056	1.55092	25.72146	12.42048	0.01323	0.0108	2.41279	0.02687	15.838	1.99135	2.50965	31.06603	0.00381	0.03641	64.09138	28.03766	26.11991	0.00941	3.57457	0.02906	7.63687	7.08754	10.17521	4.5728	5.68898	0.02982	0.00731	33.08349	14.33656	29.32693	6.0024	3.64293	21.82175	4.37579	21.77508	0.51109	7.46191	4.03329	13.74067	4.91063	19.80989	15.80374	6.24724
s__Bacteroides_uniformis	0	14.52003	15.56741	1.61625	3.01791	0.00023	0.0049	3.89566	0.00695	5.06498	2.05181	0.00179	0.06373	31.42526	3.02192	0.97843	37.45268	0.0022	0.01044	10.56165	5.556	6.95142	6.88927	0.00189	0.00845	0.00728	0.00385	0.00768	8.92881	0.00193	0.00529	0.00569	0.00141	0.02733	0.03199	11.50122	2.65215	0.00361	14.95656	22.01761	0.01444	0.00804	0.71462	18.61649	0.0	9.69334	3.54764	1.99659	7.71218	9.01684	6.553	6.83817	4.24849	4.47042	4.83206	0.01204	12.35639	5.80775	0.75823	3.8374	0.00137	0.01665	0.0	0.0	3.20213	11.66627	12.76755	6.25681	6.36305	9.67779	0.0	24.36404	0.0147	0.00603	24.94429	7.6199	31.00086	8.33337	6.89005	0.00238	44.52059	0.00453	4.764	25.06197	6.84178	0.002	0.0	23.63174	22.11545	0.00985	0.0	30.63704	7.29947	8.42169	7.37427	3.96764	15.58192	11.20421	0.00507	0.0	0.0	13.24167	4.71362	16.14862	32.61476	12.68667	5.43478	3.53618	3.14954	0.37975	3.26538	3.49764	12.81222	0.04597	1.5463	0.94137	3.20881	3.06749	10.72407	10.22263	9.79047
s__Ruminococcus_gnavus	0	7.22216	0.0	0.0	0.02191	4.65252	0.25977	1.23305	0.0	0.0	0.0	0.0	0.0	0.0	38.00931	0.03851	0.86558	8.85808	0.0	0.88027	1.01985	0.04386	0.0984	1.00056	1.84321	3.76355	1.91082	0.37492	1.96585	0.6509	0.65978	1.83723	6.9623	2.27274	2.43382	0.76522	0.96552	0.06048	0.11929	0.10645	1.06141	1.49611	1.55859	1.23306	13.201	1.60265	0.40575	0.27085	0.46863	0.46608	1.09012	0.43679	0.2966	1.2206	2.05896	0.07735	0.45076	0.82096	2.93974	1.69172	4.44847	1.77028	1.06206	1.18606	1.04552	1.64211	3.27121	0.5008	1.20449	0.59076	0.21934	0.09961	0.69476	1.53742	1.64317	2.93137	1.36847	0.04459	5.68515	0.9903	0.54597	15.49245	10.7522	0.22263	0.56335	7.95058	4.85174	0.0	0.0	1.75842	0.58382	2.94415	7.09235	0.2635	0.402	2.75503	0.0788	0.69733	6.10988	2.60175	3.71415	0.1838	1.10335	0.18324	1.53088	0.53397	0.23131	1.75011	2.79061	0.38837	2.33199	0.64642	0.0764	0.04679	0.06405	0.13843	0.02653	0.04753	0.62732	0.60204	0.07512
s__Escherichia_coli	0	4.03035	0.90887	0.01138	0.02763	2.27722	1.07595	0.60305	2.95635	1.82862	0.77243	0.65643	0.73639	21.00447	0.55711	0.0494	3.32011	2.04582	0.96648	0.27515	0.0	0.0	0.0	0.47958	0.03463	3.15639	0.0	0.0	0.28189	0.07817	0.01574	0.0	0.0	0.0	0.0	0.01883	0.0	0.0	0.09919	0.02304	1.0117	0.0	0.0	0.0	0.60247	0.01743	6.23939	0.14806	1.21413	0.45911	0.87604	0.0511	0.0	0.0	2.15228	0.04372	0.28448	0.02535	0.0	0.04406	0.37075	0.0	0.02254	0.04097	0.07507	0.07897	1.04971	0.00187	0.23149	1.178	0.07058	0.0	0.00237	0.03657	1.57074	10.63611	4.40101	0.06961	0.59294	0.25862	3.00115	15.75902	0.0	0.0	0.0	0.11599	0.4953	0.44505	0.0	0.0	0.6244	0.73817	1.92212	0.18422	0.11766	0.0	0.3765	0.23286	0.22918	0.0	0.0	0.0	0.0	0.05731	0.8689	0.06456	0.0	4.39381	0.80375	1.87104	0.29262	0.0	0.0052	0.0015	0.0	0.01642	0.02711	0.0264	0.0	0.0	0.06377
s__Clostridium_clostridioforme	0	2.95578	0.0	0.0	0.0	1.37042	2.44897	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33324	0.0	2.01035	0.0	0.0	0.0	0.0	0.0	0.0	0.06879	0.16891	0.0	0.0	0.0	0.0	0.0	0.05091	0.06269	0.01073	0.03729	0.0187	0.17171	0.66358	0.01325	0.3835	0.05903	0.0	0.05689	0.79862	0.53427	0.0	0.46369	0.08091	0.12731	0.06389	0.03073	0.01302	0.25576	0.2346	0.0	0.0	0.10323	0.00632	0.01493	0.0	0.0	10.28102	1.03144	0.39584	0.52601	0.00374	0.0	0.43788	0.0	0.03246	0.09279	0.01334	0.0	0.03895	1.10648	0.40047	0.47433	0.09905	0.02238	0.0	0.0	1.06604	0.0	0.29882	0.0	0.01411	0.28985	0.37112	0.07559	0.0	0.47279	0.0	0.0	0.0	0.0	0.36965	0.95735	0.0	0.0	0.32183	0.59937	0.36549	0.0	0.73902	0.03077	0.12591	0.07247	0.03232	0.0	0.0	0.0	0.0	0.0	0.18767	0.0	0.0	0.0	0.0	0.0	0.11418	0.43656	0.51318
s__Parabacteroides_distasonis	0	2.39738	3.35175	0.98449	2.27614	3.47334	9.33377	1.41118	0.00128	2.51264	0.76214	0.00122	0.23384	0.2865	0.6173	1.16127	7.09061	0.0	0.0	0.0	0.0	3.1931	1.16644	8.58638	7.17172	2.23039	2.79672	1.72179	2.54796	2.91673	1.87491	0.67711	0.13136	2.49636	3.87146	1.30932	0.612	2.60314	2.20374	1.64863	63.07757	6.92127	23.42586	0.0	0.0	0.89361	0.01043	3.49681	3.07539	2.01022	0.53163	2.67397	1.61984	0.78978	1.85955	0.0	0.85867	0.6212	0.44588	0.38448	0.00508	0.0	0.0	0.0	0.0	0.0	0.0	0.14995	0.91344	1.5616	0.0	0.3483	3.87084	6.97643	3.57346	1.33103	4.17662	2.15084	0.00155	11.1163	4.35185	1.86764	0.63296	0.0	0.0	0.0	0.0	4.85559	0.84104	7.52185	0.0	0.00251	0.00644	5.33277	1.88425	0.92397	1.74895	2.92475	1.36418	4.9269	7.61149	0.51818	0.0	1.56554	0.0	0.0	2.61591	0.63367	0.98704	0.67021	0.25927	0.09868	0.65401	0.07726	1.14343	1.02626	3.40369	3.91913	0.79292	1.08238	0.23818
s__Flavonifractor_plautii	0	1.02794	0.08872	0.46918	0.62806	0.0	0.54559	0.52431	2.83545	0.0	0.0	0.0	0.0	0.0	1.08905	0.09574	1.92367	3.8064	0.0	0.0	1.02965	0.84617	0.76563	1.25565	0.37675	1.72648	1.5143	2.22312	0.57745	0.96069	2.58282	4.57391	0.46177	2.19451	1.34304	0.7564	0.99391	1.42386	0.61773	0.14048	0.87347	4.31277	1.06779	1.48086	2.53954	3.42695	0.55505	0.81144	0.43094	0.49699	1.92612	1.39865	0.74155	1.1202	1.93806	0.27251	1.58854	1.57763	1.26612	1.62702	1.28417	0.93953	1.17678	1.06079	0.28388	0.68889	0.49891	1.2677	1.11036	2.78596	3.39334	0.50108	1.23445	1.18968	0.76099	1.0447	0.94386	1.3498	1.61271	1.49794	0.84377	1.91035	1.2532	0.52276	0.32337	2.64369	0.7251	2.09899	0.40695	0.76605	1.72933	1.26243	0.00973	1.01779	0.75734	4.58572	0.46947	0.69611	0.4593	1.85433	2.0206	0.85898	0.21304	1.24515	1.09188	0.6537	0.17652	0.08539	0.63231	0.09082	0.37779	0.85243	0.44141	0.0	0.27331	0.24181	1.0131	0.71254	0.15535	0.42484	0.40957
s__Bifidobacterium_pseudocatenulatum	0	0.99644	10.06574	13.35702	5.04905	0.00129	0.0	15.12784	0.0	0.0	0.0	0.0	0.00113	0.0	0.0	0.24789	0.0	0.0	5.97131	7.57692	6.43264	2.86382	4.10052	0.0	0.0	5.47831	0.54988	3.1597	0.0023	5.43997	2.4168	9.05749	3.25461	8.60198	1.13411	0.0	0.70514	1.7892	2.90803	1.4849	0.00314	3.67367	0.1263	0.0	0.0	0.0	0.0	0.00474	7.22061	13.24208	11.3116	3.18678	1.52037	0.52861	3.64138	1.34312	0.0	0.0	7.42446	19.3615	0.0	0.0	0.0	0.0	2.24683	0.0	0.0	0.0	0.0	0.0	0.0	0.33994	1.04733	0.0	1.43662	1.88926	0.48152	0.0	0.0	0.0	0.0	3.69651	0.0	1.02864	1.29081	0.0	0.0	4.38243	0.91399	0.0	7.2323	0.01705	0.00186	0.0	3.90094	0.0	0.23355	0.00495	0.0	0.0	0.0	2.56914	0.0	0.0	0.0	0.0	0.00756	0.0	1.1536	3.4917	0.0	0.0	0.0	0.0	0.00351	0.0	0.66975	0.54174	0.0	0.0	0.0
s__Erysipelatoclostridium_ramosum	0	0.92944	0.47335	0.14857	0.03709	0.40806	0.2108	0.36494	0.0	0.0	0.0	0.0	0.0	0.0	3.45239	0.0	0.52473	0.98128	0.0	0.0	0.07691	0.0121	0.03896	0.1769	0.3379	0.0	0.31717	0.54365	0.0	0.16607	0.21367	0.55807	0.77023	0.4311	0.46958	0.39878	0.37995	0.1997	0.09506	0.013	0.0	0.04733	0.0	0.62648	2.90894	0.64176	0.0	0.0	0.22169	0.49379	0.45773	0.09214	0.0	0.38631	0.03945	0.0	0.09781	0.0657	0.521	0.41399	1.16211	0.2657	0.52067	0.41919	0.02545	0.34493	0.11051	0.00853	0.04801	0.24659	0.0345	0.0	0.01244	0.28668	0.52358	0.80209	0.4662	0.00856	1.10691	0.21068	0.4977	0.19452	1.18656	0.11261	0.00528	3.34906	1.13539	0.3639	0.0621	0.45396	0.24819	0.40859	0.0	2.05142	0.23374	4.37715	0.01332	0.24459	0.0	0.0	0.04993	0.0	0.08485	0.08915	0.41778	0.22035	0.2852	0.6417	0.07777	0.02748	0.14353	0.04418	0.0	0.0	0.03135	0.0	0.01358	0.0	0.0	0.0	0.0
