clade_name	NCBI_tax_id	SAMEA4031752	SAMEA4031753	SAMEA4031754	SAMEA4031755	SAMEA4031756	SAMEA4031758	SAMEA4031759	SAMEA4031760	SAMEA4031761	SAMEA4031762	SAMEA4031763	SAMEA4031764	SAMEA4031765	SAMEA4031766	SAMEA4031767	SAMEA4031768	SAMEA4031769	SAMEA4031770	SAMEA4031771	SAMEA4031772	SAMEA4031773	SAMEA4031774	SAMEA4031775
s__Neisseria_flavescens	0	17.35472	3.07704	17.51456	7.83142	9.12774	1.32012	32.06151	2.57772	8.67935	7.38056	16.69374	3.78415	0.0	15.38521	0.78266	8.37905	19.2347	18.70539	13.2973	8.81515	4.56051	1.17144	6.25994
s__Streptococcus_mitis	0	10.80193	6.26998	3.37776	3.98552	2.4317	4.81426	3.84528	17.35417	1.89541	3.60778	1.31151	31.57089	6.16843	8.09357	5.62236	3.90235	1.81874	2.51598	0.45153	1.48149	1.44009	3.83331	6.05935
s__Gemella_haemolysans	0	7.79045	2.54672	1.91426	1.74147	0.89313	0.49364	1.98724	2.54393	0.20011	0.65151	0.26694	7.45042	0.76752	2.00323	1.06607	2.14743	0.30278	0.35856	0.05389	0.59191	0.4537	3.00936	2.46214
s__Haemophilus_parainfluenzae	0	5.39461	4.79707	1.59999	1.54527	1.68261	1.56473	5.56198	0.35122	11.5161	5.47694	6.69227	1.65563	0.0	7.7058	1.20892	1.44873	3.18475	2.43328	1.72929	1.61137	12.68827	1.53111	4.59391
s__Rothia_mucilaginosa	0	4.6781	2.9311	1.1259	0.86785	6.98592	2.75997	4.89759	0.66051	2.20584	2.67036	1.70428	0.96699	0.17084	1.28494	0.35144	2.07498	6.85177	9.99977	9.70362	2.45799	9.94956	1.03658	6.22419
s__Neisseria_mucosa	0	4.47728	2.45602	7.29457	2.9689	0.75874	0.46525	1.64715	3.30181	5.39622	2.90095	1.44133	0.45979	0.0	1.21226	1.11015	1.33397	4.28466	2.89782	0.54656	4.66794	0.00632	0.03752	0.38884
s__Neisseria_sicca	0	3.43123	0.69751	14.35257	2.42029	0.83677	0.43525	2.70731	0.79829	0.77883	6.08093	4.15283	5.71117	0.0	1.08174	0.59884	1.8606	7.1244	4.62771	0.70884	3.59424	0.16374	0.16223	0.49592
s__Streptococcus_infantis	0	3.34241	4.36247	1.08899	1.49745	3.25522	1.73328	2.70538	1.55787	0.24054	3.2034	1.39957	2.22896	1.04312	1.36637	1.28208	1.38722	0.53757	0.65968	1.14489	0.41908	5.40199	0.656	5.76035
s__Haemophilus_parahaemolyticus	0	3.25172	0.03071	0.01692	0.02907	0.71731	0.1706	0.65718	0.69169	0.0	0.0	0.0	1.44292	0.22783	2.85857	0.0	0.01377	1.209	0.04506	0.01039	0.0125	0.01262	0.03299	0.0
s__Streptococcus_oralis	0	2.75012	3.83617	2.74366	0.92409	1.71695	4.3183	2.18371	6.90167	1.16896	5.50131	1.85382	3.99111	3.5957	2.03926	5.51667	2.88973	1.33422	2.07137	0.9005	2.9822	1.29327	2.38604	3.00007
s__Haemophilus_sputorum	0	2.29228	0.16894	0.08328	0.26076	0.03004	0.15582	0.39765	0.0	0.0	0.0	0.0	0.50631	0.0	0.0	0.0	0.00274	0.0991	0.0	0.0	0.0	7.5759	0.14962	0.00983
s__Gemella_sanguinis	0	1.93298	3.67122	1.20634	0.41682	0.6036	0.91127	0.45868	0.15234	0.0	4.19464	0.39651	0.94561	0.11343	0.49555	0.42963	3.17253	0.26776	0.11636	0.3905	0.23715	1.93082	0.38108	1.19868
s__Fusobacterium_periodonticum	0	1.74238	3.80281	2.77747	2.77652	0.92798	0.58834	1.07306	0.35561	0.13345	3.34826	1.44886	0.49137	0.0	1.64382	1.20591	2.14687	1.12094	0.28336	1.10339	1.61012	9.4794	0.05175	5.21215
s__Prevotella_melaninogenica	0	1.69366	6.72033	0.43193	7.65419	7.09722	3.85283	1.04842	4.50809	6.80798	1.36418	14.49253	1.648	5.89142	6.00408	10.24644	2.88128	2.51239	3.72294	5.44031	4.77574	5.22513	1.34062	11.47248
s__Haemophilus_haemolyticus	0	1.39275	0.4188	1.31876	0.95978	0.05594	0.0	0.56189	0.68756	0.08583	0.0	0.21952	1.15427	0.0	1.05371	0.23163	0.07917	0.11416	0.23822	0.0	1.0332	0.24028	0.31513	0.18788
s__Porphyromonas_somerae	0	1.33419	4.55137	1.83515	1.42079	0.52378	0.50714	4.14791	0.19532	0.0	0.82938	0.12134	0.3342	0.0	0.32022	0.52897	0.55014	0.12271	0.05986	0.12681	0.21531	1.12531	0.06897	2.28907
s__Aggregatibacter_segnis	0	0.87105	1.62127	2.46167	0.51148	0.25281	0.04551	2.28068	1.55575	0.1809	0.98469	0.85252	0.30309	0.02419	0.23971	1.26053	0.12266	0.20371	0.56006	0.0	1.07049	0.25122	0.07384	0.45217
s__Haemophilus_paraphrohaemolyticus	0	0.83204	0.00437	0.00896	0.02145	0.25963	0.00761	0.10764	0.07331	0.0	0.0	0.0	0.22872	0.01927	0.24654	0.01417	0.0	0.15352	0.0	0.0	0.0	0.00772	0.0014	0.0
s__Aggregatibacter_sp_oral_taxon_458	0	0.82877	0.51183	0.36632	0.13061	0.26736	0.15387	0.43361	0.0	0.0	0.20755	0.33274	0.67952	0.02142	0.15037	0.17969	0.03683	0.29148	0.1213	0.01492	0.14175	0.33607	0.3823	0.16158
s__Streptococcus_sp_SK643	0	0.81653	0.01355	0.00355	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09559	0.0	0.0	0.0	0.0417	0.0	0.0	0.0	0.0	0.00209	0.0	0.0
s__Actinomyces_sp_ICM47	0	0.80985	0.87322	0.18687	0.8352	2.50632	7.62891	0.1105	0.16015	0.04756	0.07264	0.30406	0.16951	0.51031	0.24274	0.17697	1.82078	0.03422	1.30306	0.73447	1.00134	1.09249	2.15421	1.67813
s__Porphyromonas_gingivalis	0	0.80447	0.42178	0.87873	2.12275	0.74685	0.0	2.00489	3.99556	8.18967	4.34823	0.64584	1.12055	0.74268	9.17409	2.26866	0.5777	4.54811	2.94379	4.26305	3.14374	0.34117	0.31142	0.60895
s__Streptococcus_pneumoniae	0	0.67762	0.0	0.0	0.11013	0.2008	0.0	0.0	0.79863	0.0	0.16384	0.0	1.2434	2.10515	0.0	0.0	0.44044	0.0	0.0	0.0	0.0	0.0	0.35547	0.0
s__Streptococcus_sp_HMSC067H01	0	0.64634	0.13509	0.10402	0.02486	0.10055	0.00854	0.05087	0.16308	0.0	0.0	0.02882	0.0	0.02968	0.23656	0.0043	0.05751	0.1631	0.04842	0.0	0.00739	0.11411	0.03431	0.40692
s__Veillonella_infantium	0	0.64299	1.05231	0.36107	0.5619	0.73746	0.46364	0.2366	0.20945	1.15341	0.87952	1.02597	0.87418	0.48786	1.96583	0.89405	2.88654	0.43948	0.8018	0.28027	0.71838	2.07365	1.15736	1.24512
s__Veillonella_parvula	0	0.62473	2.77685	0.22136	1.86671	1.02613	8.08668	0.61665	0.95446	2.66257	0.97212	0.73387	0.66866	1.6028	0.98334	3.02744	2.30092	1.46499	1.81634	2.02075	3.45566	1.12321	1.67737	0.6092
s__Neisseria_subflava	0	0.62435	0.70093	0.87676	0.3101	0.09251	0.02707	0.11896	0.98651	0.65364	0.38316	0.55964	0.19094	0.0	0.63486	0.0501	1.90475	1.96134	1.08453	1.50841	0.2784	1.82962	0.03972	0.32656
s__Streptococcus_parasanguinis	0	0.60444	1.52919	0.02363	0.81833	3.95759	3.01835	0.14035	1.52292	0.89042	6.48173	0.36035	2.10616	6.20141	1.43053	1.46923	0.86853	0.27997	0.23307	0.45298	0.74963	3.5092	3.92834	1.5027
s__Gemella_morbillorum	0	0.60398	5.32408	1.78205	1.26809	0.65879	0.10646	0.62229	0.7575	0.0	2.39366	0.43702	0.66386	0.23374	0.38085	4.11141	2.05731	0.46096	0.43375	0.12962	0.68782	0.44456	0.16718	1.92378
s__Haemophilus_quentini	0	0.46689	0.02894	0.10556	0.14105	0.0474	0.0	0.13383	0.0	0.0	0.07233	0.16346	0.07538	0.0	0.02049	0.02778	0.00436	0.07861	0.04553	0.0	0.00454	0.19303	0.00834	0.01938
s__Rothia_aeria	0	0.43934	0.30432	0.12145	0.05351	0.16429	0.0176	0.78033	0.0	0.0	0.04655	0.00701	0.0	0.0	0.0	0.0	0.21682	0.0	0.241	0.0	0.14088	0.39197	0.12121	0.34074
s__Porphyromonas_endodontalis	0	0.42703	0.36479	2.02269	1.80524	1.89977	0.14613	0.76722	1.57028	1.67513	2.15196	0.68084	0.50974	0.95	0.44904	1.35362	0.78388	2.03834	1.61784	0.59999	1.15257	0.21955	0.17315	0.30367
s__Porphyromonas_sp_oral_taxon_278	0	0.4208	1.03711	0.31129	0.2155	0.0023	0.0	0.46162	0.06971	0.0	0.147	0.55908	0.19847	0.0	0.0	1.36561	0.05367	0.01847	0.23704	0.01482	1.32807	0.0188	0.0	0.34533
s__Prevotella_intermedia	0	0.41606	1.01339	1.78128	1.44435	1.14895	0.10604	0.64127	2.75983	1.95843	2.45009	1.31062	1.00826	1.75098	0.45775	4.03066	0.95676	0.78114	1.37854	2.45915	4.77979	0.24643	0.12162	1.08792
