clade_name	NCBI_tax_id	H1F413846	H1F512951	H1F513817	H1F513818	H1F613739	H1M213648	H1M313811	H1M412743	H1M412809	H1M412832	H1M412835	H1M412837	H1M412844	H1M412949	H1M413802	H1M413815	H1M413822	H1M413827	H1M414905	H1M511833	H1M511841	H1M511842	H1M512808	H1M512821	H1M512831	H1M512834	H1M512836	H1M512840	H1M512853	H1M512854	H1M512855	H1M513606	H1M513729	H1M513730	H1M513738	H1M513747	H1M513803	H1M513804	H1M513807	H1M513810	H1M513813	H1M513816	H1M513819	H1M513820	H1M513823	H1M513826	H1M513828	H1M513852	H1M513912	H1M514901	H1M5XX814	H1M612950	H1M613745	H1M613824	H1M613825	H2F413935	H2F514910	H2F514923	H2M411920	H2M413913	H2M413915	H2M413924	H2M414102	H2M414926	H2M414927	H2M414931	H2M414940	H2M415914	H2M511919	H2M513933	H2M513934	H2M513936	H2M513937	H2M513938	H2M513939	H2M514107	H2M514108	H2M514818	H2M514841	H2M514901	H2M514903	H2M514905	H2M514906	H2M514909	H2M514911	H2M514917	H2M514925	H2M514930	H2M514943	H2M515822	H2M515921	H2M614742	H2M614832	H2M614904	H2M614929	H2M615912	H2MX14816	H2MX14928	H3F416103	H3F516111	H3M414933	H3M415117	H3M415131	H3M415140	H3M415852	H3M415906	H3M416124	H3M416127	H3M419939	H3M420126	H3M513141	H3M514142	H3M514143	H3M514144	H3M515101	H3M515107	H3M515123	H3M515128	H3M515130	H3M515137	H3M515138	H3M515902	H3M515910	H3M515915	H3M515920	H3M515935	H3M515936	H3M515950	H3M516105	H3M516113	H3M516114	H3M516118	H3M516129	H3M516154	H3M516751	H3M516804	H3M516845	H3M516909	H3M517134	H3M517921	H3M517922	H3M517925	H3M518108	H3M518112	H3M518116	H3M615132	H3M615747	H3M615846	H3M616753	H3M616848	H3M617849	H3MX16919	nHF409542	nHF411719	nHF411741	nHF511704	nHF512818	nHF512829	nHF611623	nHF611710	nHF612722	nHM410714	nHM410727	nHM410833	nHM411801	nHM412703	nHM412716	nHM412839	nHM412840	nHM412844	nHM510732	nHM510737	nHM510831	nHM511615	nHM511712	nHM511717	nHM511720	nHM511730	nHM511735	nHM511738	nHM511813	nHM511821	nHM511825	nHM512705	nHM512802	nHM512806	nHM512811	nHM512828	nHM512834	nHM611708	nHM612607	nHM612709	nHM612724	nHM612743	nHM612836	nHMX11726
s__Bacteroides_uniformis	0	22.06354	0.41014	8.33999	0.0774	3.58564	0.0	0.28768	0.07083	0.11675	21.75267	0.11059	7.91953	3.88956	2.75927	1.13208	6.96372	0.90575	2.40154	3.70567	0.07432	1.82403	19.03208	0.2283	5.96521	0.56644	0.00139	0.03805	3.44491	0.0	5.50822	0.36535	0.0	0.33182	1.41443	0.9884	5.83555	5.57945	0.82928	6.3967	0.3172	0.36236	3.41733	1.99081	0.46582	0.0012	0.0264	0.02394	0.21487	0.1018	0.03169	0.30565	0.03954	0.16703	0.43295	9.34406	7.81156	0.00823	23.44481	0.71488	9.23063	5.86515	0.15237	0.07346	0.10461	5.26514	2.98833	0.02539	0.39706	0.0	24.04077	0.27868	0.46781	1.15258	1.01829	0.02595	2.31607	0.65544	3.63744	2.19002	3.48714	13.04147	10.46455	5.61623	4.82471	0.43224	19.37564	4.36612	15.40627	0.07288	0.20305	0.53442	0.92462	0.96664	1.01509	3.62098	0.05716	0.24764	0.01736	12.14053	11.67676	0.63149	15.75239	19.47268	5.6118	0.0	0.00665	0.32802	0.01096	6.21068	0.09261	3.5762	0.0	0.31726	0.42986	0.26479	0.04262	8.22728	0.29173	14.81947	0.95926	0.16042	0.06594	0.00206	3.94665	0.10077	9.39238	1.03415	2.34851	0.04056	1.57894	4.49999	18.20874	23.14435	1.2884	0.47375	3.04956	0.8311	2.54817	0.0	0.12593	0.0	5.57376	0.51381	6.97585	0.0007	0.46496	0.0031	20.89224	0.32686	0.49671	1.08268	11.6065	51.34262	0.18287	0.24118	0.00439	20.29566	27.61298	0.0	0.96407	20.29394	0.55042	11.38316	3.27675	0.04515	7.24561	1.50341	0.49793	0.0	21.41856	1.22269	0.2895	7.3599	1.44672	16.97076	0.69098	1.41526	11.86433	0.07659	0.77871	1.79578	13.50595	0.6249	0.39727	0.03542	4.32661	13.21916	0.00784	13.62442	4.46812	1.2398	0.10256	3.45227	12.97756	13.0199	2.39443
s__Faecalibacterium_prausnitzii	0	20.05762	1.66224	0.67482	34.74561	17.50527	7.17464	3.09078	16.06541	14.44807	4.15555	49.41747	27.69957	0.22833	3.83617	1.95379	19.16839	34.70989	1.01419	20.4324	1.82094	18.75011	6.36756	0.47934	18.06798	5.70159	5.887	2.72414	8.33497	6.08317	3.44455	0.21106	38.26208	10.95574	10.63416	0.03604	17.17734	5.65674	16.43797	27.32	0.68498	2.80378	11.85813	9.78933	45.33612	0.0	5.97687	2.32951	0.9744	2.36273	5.78392	21.52768	0.04951	12.66828	7.11064	37.65822	5.82555	34.12957	17.05343	5.04954	7.85212	0.03689	10.12111	3.6166	0.00136	3.86499	3.43357	0.46678	2.13464	0.17181	4.66636	4.27166	5.95229	9.89043	15.37999	0.76932	11.32929	3.90436	1.58296	5.71741	19.75352	9.53014	0.02953	2.19117	19.51751	3.24302	5.19059	20.34772	2.71918	6.87372	1.43315	19.61784	43.38379	4.73204	16.60824	15.72348	26.85119	36.5219	0.37958	6.92609	18.004	1.4099	0.0	4.3825	14.6674	17.39828	1.46329	38.37555	0.22356	3.95771	39.74205	0.0	0.0039	2.25012	1.5572	37.62638	2.57731	34.7616	1.11812	8.90953	14.87831	7.20422	1.98494	23.27071	0.86819	0.00303	4.88478	7.00015	0.0535	0.01268	18.48009	1.40204	11.72153	18.78669	1.87145	0.82378	3.75687	3.27387	0.02615	52.77191	4.6136	0.0672	3.25696	42.14536	0.11977	0.91947	8.83071	2.49354	7.47237	6.85761	5.15654	16.97865	6.72515	0.7545	5.90562	3.82176	2.08847	28.38258	0.0	17.18312	8.01475	7.84486	1.87991	2.5361	9.34863	8.95031	11.99253	11.75908	14.72376	43.68108	2.46707	13.38485	1.3363	33.92209	30.38874	12.56897	9.19361	29.09501	7.70833	17.42174	9.38276	1.90953	6.61826	3.73724	13.49879	2.27997	0.04501	6.97418	3.74963	42.04224	9.52666	19.1525	8.73989	19.74178	7.71709	8.42681	2.39242
s__Prevotella_sp_CAG_520	0	16.23795	24.28098	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	40.49517	0.0509	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00934	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	73.21421	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17195	0.0	0.0	0.0	32.16608	0.0	0.0439	0.0	0.0	0.26675	0.0	0.0	0.0	0.0123	0.0	0.0	0.0	0.0	0.0	0.0	0.13941	0.0	0.0	0.0	0.0	10.74129	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.96151	0.00019	0.0	0.0	0.0	0.0	0.0	0.0	1.80299	0.18303	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.29229	0.0	0.0	0.0	0.0	0.0	0.0	0.00056	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.72402	0.0	0.0	31.44803	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00142	0.0
s__Phascolarctobacterium_succinatutens	0	9.25253	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10169	0.0	0.0	1.40502	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.44323	2.09819	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.13578	0.0	0.0	0.0	0.0	0.0	3.8065	0.0	2.03778	0.0	0.0	0.0	0.0	0.0	14.99902	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.97582	2.56487	0.0	0.0	2.09696	0.0	0.0	3.44571	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.58882	0.0	0.0	0.0	0.0	0.0	8.9804	0.0	0.0	9.75706	0.0	2.08964	1.69038	3.27249	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.11998	0.0	0.0	0.0	2.68253	0.0	2.25035	0.0	0.0	0.0	0.0	0.0	1.80999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.57752	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.71582	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.64044	0.0	0.0	0.02606	0.0	0.0	0.0	0.0	0.86867	0.0	0.0	5.27567	0.0	0.0	0.0	0.0	9.00093	0.0	3.10336	4.11702	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.90937	0.0	0.0	0.0	0.0	0.0	0.0
s__Flavonifractor_plautii	0	4.16506	0.00304	0.27298	0.0	0.00043	0.07372	0.01005	0.00079	0.26798	2.2537	0.51945	0.7937	0.14082	0.1402	0.3408	0.52427	16.83768	0.03625	0.0498	0.08489	0.04708	0.38652	0.00833	0.19433	0.05245	0.0	0.0	0.13453	1.41082	0.69483	0.13654	2.81489	0.0	0.02801	0.24709	0.84494	0.0052	0.2039	0.07531	0.00685	0.07734	0.10071	0.01396	0.00528	0.03734	0.05568	0.0	0.0	0.04809	0.5313	0.21018	0.0	0.02158	5.03226	0.2363	0.26722	0.14418	6.82516	0.63156	0.21302	4.05813	0.11117	0.22634	0.69785	1.58699	0.20384	0.00957	2.60737	0.35332	0.29152	0.02088	0.05492	1.47198	0.12069	0.09848	0.02964	0.01465	4.63061	0.03998	0.69567	0.06441	0.39612	0.95205	0.07662	0.33362	0.18901	3.5119	6.5283	0.02442	0.0728	0.14819	0.01122	0.82742	0.01791	0.04421	0.25758	0.0382	0.00332	0.10455	0.45245	0.04207	0.27857	0.03831	0.42208	2.45137	0.02135	0.47281	0.10526	7.9329	0.03063	1.50375	0.07334	0.00601	0.01807	0.139	0.01419	0.13752	0.03671	4.14097	0.06544	0.12795	0.0	0.3532	0.08021	0.11889	0.44202	0.01853	0.13626	0.50327	0.1064	1.7346	1.34213	0.21466	0.10047	0.0	0.31344	0.02917	5.10318	1.30949	0.14921	0.0	0.08144	1.67043	26.88789	0.22326	0.00045	0.26535	1.39925	0.05418	0.0162	0.34129	0.31891	1.20494	0.47644	0.0	5.74112	6.35559	4.224	0.29629	0.03942	0.3101	0.0259	0.12362	0.91294	0.10617	0.11435	0.46144	0.06592	1.49839	0.43858	0.0	0.0071	0.1426	0.97477	2.03771	0.24158	0.38892	0.13583	0.13387	0.14893	0.02759	0.72623	0.03859	0.44366	0.01001	0.0938	0.06878	0.0	0.28229	0.02387	0.79646	20.13106	1.86213	0.63647	0.54751	0.0061
s__Proteobacteria_bacterium_CAG_139	0	3.61693	0.00736	2.39967	0.00111	0.00993	0.67907	0.04715	0.0	0.68087	3.78443	0.00069	1.4564	0.13872	3.37071	0.00873	0.25359	0.00111	0.00035	1.21003	0.05773	0.10888	2.98121	0.00407	1.87205	0.02713	0.00047	0.205	0.35442	0.0	0.0	3.05864	0.0	0.17906	0.0068	0.37855	0.20142	0.0	1.33418	0.08089	0.08437	0.01663	1.37605	0.48574	3.92544	0.0	0.16468	0.01895	0.00914	0.0	2.89526	0.68432	0.0	0.32971	0.20331	0.0	0.08847	0.03001	0.0	0.00014	1.9381	14.04041	0.17624	0.0	0.0	1.17506	2.86072	0.04944	0.0	0.46085	0.94746	0.26896	0.51771	0.41979	0.0	0.06321	0.57562	0.00047	0.0	4.04519	0.69682	0.4263	0.0	2.39447	0.0	0.0	0.13389	4.9595	0.28812	0.0	0.0	0.68094	0.00462	0.15261	3.40074	0.11691	0.0	0.00971	0.04115	0.06392	2.5371	0.30649	2.06726	2.89353	5.96205	0.0	0.05727	0.52429	0.0	0.12624	0.0	0.12851	0.0	0.47299	0.17946	0.48626	0.0	2.13628	0.0	0.14069	0.00213	0.0701	0.29138	0.24565	0.00614	0.0051	3.22563	0.02314	0.58244	0.0	0.0	1.37225	3.61493	0.0	0.64512	0.07581	0.75408	0.00091	0.0	1.84445	0.0	0.70438	0.11902	0.0	2.11595	1.38717	0.31417	0.00401	0.0	0.0	0.10211	3.16719	0.26066	0.11244	3.94059	0.36694	0.06364	0.0	7.07317	0.5445	0.06895	2.20339	1.52584	0.1041	2.71004	0.0	2.05581	0.0	0.0	4.74338	0.75671	0.0	0.36298	0.0	2.18858	0.0	0.05202	0.62658	1.71923	0.0	0.14798	0.15752	6.72153	1.65767	0.00126	0.01201	0.20292	0.20005	0.0	2.28776	1.62753	0.0	0.0	0.0	2.20829	0.06579	0.33059
s__Bacteroides_stercoris	0	3.43675	0.6189	35.7072	0.06904	0.0	0.0	0.29025	0.03982	0.16275	0.0	0.19083	4.16446	25.62411	24.13317	0.49218	0.67978	2.41775	0.69872	0.0	0.0012	3.63189	1.83962	0.70921	2.51435	2.0223	0.0	0.00674	22.63473	65.55184	2.20828	1.42156	6.71771	0.00861	0.36642	27.08895	13.83021	21.59963	0.0	0.0	0.28395	0.3315	0.18038	0.80712	0.0	0.12228	0.24916	0.0	0.0411	0.23379	0.42044	0.0	0.0	0.08394	2.78424	0.01825	46.15913	0.00372	21.98928	0.45691	4.60347	4.47615	0.11234	0.26015	15.92092	0.0	15.59968	0.03327	0.76546	1.50328	4.59609	0.4181	0.55467	3.84894	1.66253	0.29591	0.21876	0.01635	0.0	4.82344	5.06905	0.63016	0.0	11.63104	3.72411	0.03218	7.36224	0.0	1.70014	0.0	0.0	0.12348	1.40964	1.44008	0.37515	0.0	0.0	0.0	0.00491	4.67746	8.12782	0.83124	0.0	0.0	35.35628	0.03582	0.03283	0.07355	0.05801	5.47165	0.01177	26.47977	0.02661	0.47672	0.45726	1.28549	0.0	0.0	0.42437	0.0	20.23121	0.18932	0.0	0.65685	1.53764	0.32928	32.02307	0.14458	40.99089	0.05834	0.13381	26.94601	9.71794	4.85135	21.49735	0.2005	0.00119	0.25504	2.02312	0.0	0.24395	0.3427	4.69717	5.685	0.0	0.0	2.53777	0.17992	0.0	0.10786	0.03042	0.57792	10.37167	0.0	6.61075	0.09744	28.33349	20.84877	0.0	0.0	0.18932	17.68106	0.05892	1.59662	0.0	0.06607	2.71333	0.0659	0.0	0.0	0.0	0.28138	0.00231	0.62705	3.86137	0.0	0.05971	0.0	0.93347	0.11525	0.24334	0.92313	0.0216	5.10682	0.08492	0.00573	0.00053	20.85765	0.98258	0.0	2.88929	0.0	0.0	9.04959	2.0446	3.70202	0.70632
s__Firmicutes_bacterium_CAG_83	0	2.46844	0.11111	0.07624	0.11645	0.13556	0.0	0.01949	0.00606	0.0	1.33153	0.33641	1.00495	0.00683	0.0	0.00753	0.08957	0.41025	0.21738	0.0	0.02708	0.04489	9.88893	0.02209	0.11627	0.0	0.0	0.01268	0.70708	0.0	0.31917	0.0	0.0	0.0	0.01961	0.0	0.0	0.0	1.18825	0.0	0.00696	0.28293	1.5039	0.5867	0.01524	0.00631	0.12392	0.0	0.04051	0.02201	0.46053	0.2584	0.0	0.17462	2.77942	1.24657	0.9996	0.73548	0.0	3.42388	2.82155	0.0	0.49816	0.00544	0.0	0.0	0.0	0.00095	0.15699	0.0	3.02346	0.119	0.04368	0.23726	0.27636	0.0	0.33349	0.23628	0.0	0.56097	1.00692	0.9881	0.0	0.0	1.04403	4.99873	0.0	0.4413	0.0	0.13118	0.0	0.19839	0.01466	2.69183	0.68636	0.08156	0.53114	0.0	0.02749	0.38389	0.50743	0.03861	0.0	0.04937	0.0	0.0	0.0	0.04841	0.0	0.0	0.05975	0.0	0.0	0.13304	0.16578	0.46293	0.17451	2.24621	0.0235	0.0	0.62632	0.18329	0.0	0.0	0.09306	0.0	0.0	0.06378	0.0	0.0	0.48296	0.0049	1.54799	1.57745	0.0	0.00629	0.06647	0.04669	0.0	0.0	0.49543	0.0	0.1064	0.11901	0.0	0.0	0.02264	0.0	0.07817	0.27529	0.00653	0.16825	2.08285	0.25776	0.0601	0.0	7.11343	0.0	0.0	1.74398	0.0688	5.59018	0.5868	0.04655	0.0	0.0	0.43625	0.66884	1.27996	0.0	0.05636	0.53808	0.03851	0.3513	0.49802	27.37175	0.25805	0.30162	1.83092	0.02189	1.86893	0.01886	0.0	0.0	0.20424	0.00506	0.0	0.16438	0.01583	4.78932	0.2606	0.76517	0.0	0.71355	0.99688	1.53668	0.19645
s__Clostridium_sp_CAG_58	0	2.20883	0.0	0.0	0.0	0.09204	0.0	0.08308	0.0	0.03183	0.21988	0.2094	0.39555	0.023	0.0	0.2012	0.09839	0.0	0.0	0.01148	0.0	0.0	0.04799	0.00755	0.02141	0.07733	0.0	0.0	0.09045	0.00633	0.72652	0.00816	0.0	0.0	0.06871	0.1998	0.39215	0.0	0.0	0.00949	0.0	0.2433	0.15141	0.0	0.0	0.0	0.0	0.0	0.0	0.0565	0.0	0.17517	0.0	0.0	0.0	0.0	0.0	0.0	0.2831	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00614	0.26299	0.0	0.32122	0.0	0.02162	0.0	0.0	0.0	0.5545	0.0	0.0	0.04475	0.36115	0.03059	0.0	0.0	0.00661	0.06415	0.0	0.0	0.64879	0.01474	0.0	0.0	0.0	0.0	0.0	0.0	0.15088	0.0	0.0	0.29153	0.0	0.00344	0.18876	0.05238	0.0	0.0	0.0	0.65035	0.01408	0.0	0.26679	0.0	0.0	0.0	0.03021	0.02271	0.1232	0.46165	0.44327	0.0	0.00544	0.0	0.03228	0.0	0.0	0.00809	0.12556	0.04776	0.0	0.04639	0.39836	0.77888	0.73855	1.19984	0.0	0.0	0.4498	0.04018	0.0	1.03891	0.0	0.0	0.0	0.32123	0.0	0.0	0.00221	0.05725	0.63055	0.0	0.08028	0.04251	0.19406	0.11216	0.06007	0.0	0.06665	0.59075	0.0	0.0	0.0	0.813	0.06162	0.0	0.0	0.0	0.31873	0.02927	0.0121	0.0	1.03529	0.14733	0.0	0.0	0.23224	4.26606	0.0	0.0	0.06782	0.0	0.01172	0.22048	0.19257	0.0186	0.0	0.00272	0.0	0.1295	0.0	0.0	0.22016	0.0255	0.0	0.14472	1.47309	0.12762	0.08742
s__Paraprevotella_xylaniphila	0	2.0371	0.07633	0.0	0.0	0.0	0.0	0.07787	0.03059	0.0	0.94591	0.00443	0.0	0.0	0.0	0.12639	1.25287	0.0	0.0	0.0	0.00533	0.98288	0.0	0.10053	0.15695	0.10184	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05461	0.09593	0.0	0.0	2.79091	0.0	0.0	0.0	0.0	0.25329	0.02361	0.0	0.0	0.26718	0.0	0.0	0.0	0.06392	0.01001	0.0	0.0	0.0	0.0	0.0	0.00744	0.0	0.0	0.42295	0.0	0.03131	0.0	0.0	0.0	0.0	0.0	0.00376	0.0	0.0	0.01047	0.0	0.11	0.0	0.06934	0.56903	0.11493	0.0	1.05344	0.0	0.35649	0.0	0.0	0.0	0.00037	2.91581	0.0	0.0	0.0	0.0	0.03157	0.0	0.0	0.0	0.0	0.0	0.0	0.00104	0.0	0.0	0.14923	0.0	0.0	0.0	0.0	0.00259	0.01598	0.0	0.0	0.00515	0.0	0.0	0.0	0.0	0.0	0.00222	0.13772	0.01387	0.0	0.0	0.0	0.0021	0.0	0.0	0.04718	0.53003	0.0	0.0	0.30477	0.00592	0.0	0.0	0.0	0.0	0.17236	0.0	0.10521	0.0	0.0	0.0	0.00287	1.78433	0.0	0.0	0.0	0.05302	0.03998	0.0	0.07282	0.07343	0.19535	0.0	1.3588	0.0	0.0	0.0	0.0	0.0	0.0	0.14061	0.0	0.0	0.55438	0.0	0.0	0.0	0.12901	0.06235	0.0	0.0	0.4084	0.0	0.0	0.0	0.0	0.0	0.0	0.66119	0.26223	0.0	0.0	0.0	0.0	0.53556	0.01534	0.0	1.1172	0.0	0.0	0.14287	0.0	0.0	0.2159	0.0	0.0	0.0
