clade_name	NCBI_tax_id	FAT_006-22-0-0	FAT_006-22-14-0	FAT_006-22-2-0	FAT_006-22-42-0	FAT_006-22-84-0	FAT_008-22-0-0	FAT_008-22-14-0	FAT_008-22-2-0	FAT_008-22-42-0	FAT_008-22-84-0	FAT_010-22-0-0	FAT_010-22-14-0	FAT_010-22-2-0	FAT_010-22-42-0	FAT_010-22-84-0	FAT_012-22-0-0	FAT_012-22-14-0	FAT_012-22-2-0	FAT_012-22-42-0	FAT_012-22-84-0	FAT_014-22-0-0	FAT_014-22-14-0	FAT_014-22-2-0	FAT_014-22-42-0	FAT_014-22-84-0	FAT_015-22-0-0	FAT_015-22-14-0	FAT_015-22-2-0	FAT_015-22-42-0	FAT_015-22-84-0	FAT_017-22-0-0	FAT_017-22-14-0	FAT_017-22-2-0	FAT_017-22-42-0	FAT_017-22-84-0	FAT_020-22-0-0	FAT_020-22-14-0	FAT_020-22-2-0	FAT_020-22-42-0	FAT_020-22-84-0	FAT_023-22-0-0	FAT_023-22-14-0	FAT_023-22-2-0	FAT_023-22-42-0	FAT_023-22-84-0	FAT_024-22-0-0	FAT_024-22-14-0	FAT_024-22-2-0	FAT_024-22-42-0	FAT_024-22-84-0	FAT_DON_11-22-0-4	FAT_DON_11-22-0-5	FAT_DON_11-22-0-6	FAT_DON_19-22-0-0	FAT_DON_8-22-0-0
s__Bifidobacterium_adolescentis	0	19.3518	2.59785	0.0388	5.24761	19.74441	0.12162	0.0	0.01114	0.0177	0.00996	5.97154	18.06102	6.01652	7.94628	5.21418	2.96978	3.41026	1.89518	1.09263	6.27103	0.29884	0.11585	0.04688	3.69528	1.00126	2.65479	7.72837	0.3586	7.50271	10.48035	4.47759	3.4304	8.92782	26.00836	3.36379	1.4464	1.84084	0.60845	2.67417	0.87899	21.64622	4.7028	6.35777	7.65848	5.35449	1.65247	1.76073	9.73618	0.38095	0.65131	0.0	0.0	0.00684	2.00368	3.40818
s__Fusicatenibacter_saccharivorans	0	6.83751	3.76242	0.02124	3.05631	4.00047	5.86366	2.00192	5.7501	20.5975	28.88286	11.81875	8.75083	2.54673	14.76201	4.10583	5.05963	6.54971	3.81999	3.86734	4.45386	2.61854	1.112	2.0884	0.69955	3.10808	2.15515	1.32889	2.57706	3.00204	1.35427	0.38132	0.71332	0.56137	0.30994	0.1239	1.09096	0.67461	2.92095	4.07129	2.13272	1.41262	1.22064	1.45494	1.53579	2.05495	3.44756	2.68317	0.66472	5.2226	1.89642	2.66203	8.37217	3.61229	2.29002	4.46237
s__Faecalibacterium_prausnitzii	0	6.52481	17.04851	6.79144	14.19105	18.68601	8.89867	7.19659	8.51986	5.85298	9.35071	5.07326	1.82602	7.43098	0.50215	11.81207	6.09555	17.13477	11.0512	4.7652	10.82312	2.96063	0.82666	1.41261	0.86143	4.23355	3.47629	1.90166	7.41582	2.27321	2.10787	22.68908	22.4938	13.14938	9.14343	10.16197	16.27892	10.35663	4.11338	16.83287	7.52404	6.40876	4.87524	9.08298	22.81811	5.50881	5.90395	2.36872	1.97121	12.55399	4.07823	11.41562	14.31346	13.63581	9.27819	7.71641
s__Collinsella_aerofaciens	0	6.49098	5.44168	4.45252	3.13382	5.30249	2.6694	1.85447	7.03646	7.60467	10.34233	0.032	0.03042	0.00713	0.02028	0.02674	3.81713	1.93548	1.40188	3.53915	3.91179	1.68746	1.53867	2.02965	8.67357	2.41674	3.06119	4.33883	4.07001	17.33307	9.99723	3.1664	2.23827	3.55199	12.73512	3.71911	2.57561	0.79042	1.80695	2.43413	3.59986	12.0558	2.41645	2.57492	4.6003	3.13994	8.5772	7.47957	19.31212	3.42366	2.06671	1.17079	1.83034	0.96605	1.87308	0.51581
s__Clostridium_sp_CAG_413	0	5.37613	0.0	0.0	5.14515	2.34308	0.02074	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Phascolarctobacterium_succinatutens	0	5.04844	6.77219	3.32661	3.72142	7.50211	0.01942	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.79551	0.51376	1.26576	6.17099	0.10984	0.0	0.0	0.0	0.0072	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00404	0.0	0.0	0.0	0.0	0.85465	4.12671	2.71634	4.231	5.05663	0.00041	0.01149	0.00376	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Prevotella_copri	0	4.61415	16.1016	11.40886	10.90071	6.8205	0.02969	0.00529	0.02395	0.00954	0.08551	0.0	0.00939	0.0	0.00212	0.03219	0.00238	0.0	0.0	20.14929	0.0	0.04384	0.00579	0.04346	0.00912	0.0	0.11151	0.0	0.00835	0.00107	0.01571	4.39425	30.37148	26.58344	1.11765	38.82996	54.42871	68.4261	23.25866	9.48292	5.1852	0.00793	0.17841	1.02739	0.48553	1.30987	0.00791	0.0	0.03787	0.0	0.03382	0.0	0.0	0.0193	0.0	0.00356
s__Butyrivibrio_crossotus	0	4.14878	0.0	0.0	29.89965	0.0	0.03084	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08301	2.29667	0.91707	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.42245	0.0	0.18469	0.0	0.19411	0.44982	0.92765	0.02274	0.06738	0.04771	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00417	0.00466	0.00388	0.0	0.0	0.0	0.0	0.0	0.45362	13.68262	0.0	0.0
s__Bifidobacterium_angulatum	0	4.02075	0.58353	0.0	1.35581	2.11193	0.01475	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00274	0.0	0.0	0.0	0.0	3.10101	2.74935	1.8653	2.34967	2.25766	0.0	0.00113	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00062	0.0	0.0	0.0	0.0	0.0
s__Dorea_longicatena	0	3.43034	2.68022	3.11114	2.36755	1.64962	0.05244	0.96917	5.0302	0.65013	1.68904	2.9783	3.67862	1.7154	3.98324	1.75339	1.74725	1.74431	2.27798	1.13146	1.32447	1.99338	1.914	1.40302	2.85545	3.18568	1.89735	1.44748	2.69973	1.12542	1.13723	1.50907	1.85098	1.18575	7.44029	4.41238	0.01195	0.08082	0.12892	0.74701	2.16093	0.18829	1.58136	2.48413	1.649	0.51575	4.86442	4.00347	4.65558	0.21998	0.40444	1.40983	1.80545	0.98421	1.52772	1.61792
