clade_name	NCBI_tax_id	SRR3992955	SRR3992956	SRR3992957	SRR3992958	SRR3992959	SRR3992960	SRR3992961	SRR3992962	SRR3992963	SRR3992964	SRR3992965	SRR3992966	SRR3992967	SRR3992968	SRR3992969	SRR3992970	SRR3992971	SRR3992972	SRR3992973	SRR3992974	SRR3992975	SRR3992976	SRR3992977	SRR3992978	SRR3992979	SRR3992980	SRR3992981	SRR3992982	SRR3992983	SRR3992984	SRR3992985	SRR3992986	SRR3992987	SRR3992988	SRR3992989	SRR3992990	SRR3992991	SRR3992992	SRR3992993	SRR3992994	SRR3992995	SRR3992996	SRR3992997	SRR3992998	SRR3992999	SRR3993000	SRR3993001	SRR3993002	SRR3993003	SRR3993004	SRR3993005	SRR3993006	SRR3993007	SRR3993008	SRR3993009	SRR3993010	SRR3993011	SRR3993012	SRR3993013	SRR3993014	SRR3993015	SRR3993016	SRR3993017	SRR3993018	SRR3993019	SRR3993020	SRR3993021	SRR3993022	SRR3993023	SRR3993024	SRR3993025	SRR3993026	SRR3993027	SRR3993028	SRR3993029	SRR3993030	SRR3993031	SRR3993032	SRR3993033	SRR3993034	SRR3993035	SRR3993036	SRR3993037	SRR3993038	SRR3993039	SRR3993040	SRR3993041	SRR3993042	SRR3993043	SRR3993044	SRR3993045	SRR3993046	SRR3993047	SRR3993048	SRR3993049	SRR3993050	SRR3993051	SRR3993052	SRR3993053	SRR3993054	SRR3993055	SRR3993056	SRR3993057	SRR3993058	SRR3993059	SRR3993060	SRR3993061	SRR3993062	SRR3993063	SRR3993064
s__Prevotella_copri	0	35.09934	13.63604	45.92213	4.35436	19.75265	29.99668	0.98036	9.33771	18.1582	1.2412	25.89736	6.9352	14.88804	0.63965	42.72442	6.08184	52.0558	22.10344	0.3481	17.25812	17.19435	18.3075	27.9301	38.00276	15.32737	17.19774	1.9685	42.02375	3.45737	0.15876	0.03555	44.70285	0.31544	9.19903	46.46584	1.55174	22.16703	24.34571	9.52233	0.50588	9.34618	47.38191	29.33834	29.67058	0.18956	39.36982	27.91062	5.04427	52.63394	20.29541	40.18788	39.30011	0.1563	15.71908	22.80867	4.35291	10.16401	4.30499	24.29824	32.33708	12.55626	0.24255	1.42089	60.85021	25.37676	11.50889	1.43009	0.13525	0.20618	0.17928	0.45344	0.68931	2.54107	36.41296	27.08858	29.2621	23.94399	10.05727	0.25853	10.01878	23.76624	7.69841	0.21845	17.4659	16.05593	0.0808	16.49911	0.17611	14.09516	11.33491	0.07939	28.77795	0.07754	7.12546	0.30754	37.15852	29.63768	7.64652	0.6598	1.70465	3.88319	0.0613	1.14213	3.19111	15.60085	31.55745	6.82577	0.13129	31.48989	41.26463
s__Escherichia_coli	0	17.65891	0.13876	0.0	2.90128	0.21464	0.1146	3.73351	0.05172	0.32655	1.10561	0.88493	0.61196	0.04439	0.04544	0.5126	2.51961	0.02306	0.03388	1.53708	0.01376	0.0356	0.05229	0.03674	0.00267	1.28239	0.71006	0.69292	0.24955	0.00719	0.19513	0.16094	0.42162	3.51648	0.00143	0.01459	2.19231	0.66137	0.20875	1.33408	0.10453	0.06251	0.01372	0.00559	0.32281	0.3092	0.00595	1.3781	0.05434	0.03289	0.49508	0.08444	0.42645	0.11762	0.10741	0.17778	0.0	0.0	0.0046	0.1794	0.08488	0.00277	0.04898	0.0437	0.36196	0.02243	0.00443	0.0	0.24685	0.36582	0.1193	0.69718	3.16706	0.05876	0.08864	0.09469	0.39661	1.19876	0.63794	2.10392	0.27692	0.0	0.237	0.06257	0.38842	0.0032	0.01302	0.17905	0.06738	0.00569	0.49117	0.41822	0.36437	0.16584	0.02094	0.24644	0.03388	0.02944	0.0796	0.1142	2.05805	0.33441	0.11276	3.26437	4.09599	0.00967	0.05114	1.79216	0.11352	0.01083	0.08286
s__Bifidobacterium_adolescentis	0	12.65906	0.15111	0.29432	0.88126	13.23858	0.14221	9.84976	19.76885	4.63443	26.41623	6.63279	32.46354	0.10012	0.20047	9.38483	30.4003	0.04035	1.82221	15.99075	0.09685	34.82215	0.71141	6.37433	0.32711	3.13044	14.98347	14.43025	0.16779	0.12984	17.12324	0.0348	5.06428	12.73163	18.31881	7.01015	0.70197	9.94928	0.44404	11.37668	0.59402	12.18466	3.47918	12.75777	10.88752	4.73028	1.00805	0.50294	59.68474	3.22679	10.55705	3.62539	9.67434	13.92483	6.0232	10.41514	37.76217	39.50471	18.54229	8.50564	7.22994	9.24775	2.41565	3.8667	0.40025	5.56173	0.13656	0.60222	24.11876	34.94897	46.99858	0.32609	12.04386	1.11128	14.83164	3.19387	16.18897	16.90804	2.4242	0.17056	10.34141	7.18602	42.87607	32.47757	20.04782	6.39901	6.87652	9.1908	15.88863	0.14311	12.80208	0.05722	1.8388	13.85312	2.04378	28.51308	0.31061	24.98691	4.95416	11.60232	16.25168	0.07835	7.23989	8.47958	0.09918	0.07661	0.46386	11.17527	11.36321	11.32717	1.21455
s__Collinsella_aerofaciens	0	8.84867	7.34635	8.00094	17.18213	5.87276	14.13422	11.06541	18.37891	6.08224	3.5976	19.19922	5.79406	4.38798	0.26151	5.79649	17.3209	15.17866	21.06028	2.17855	5.62674	16.04111	10.12105	16.87143	9.36028	9.49406	6.89414	19.75798	3.64761	20.77158	3.22996	0.02425	3.28325	3.19482	2.9026	5.51819	9.00261	26.02473	3.61969	16.30687	7.89145	23.40117	3.13564	18.11381	15.78946	0.08848	2.56877	4.78792	6.94672	7.71201	16.76605	7.37679	3.91477	7.65718	5.86004	32.20939	10.39095	18.79096	6.52086	5.40313	13.29754	7.95652	1.71022	1.25022	4.2442	0.88308	7.81211	0.25868	3.90843	9.62212	4.87365	4.66897	0.22287	0.57222	8.49979	15.40507	12.51979	6.1685	10.95871	0.11957	6.25656	0.64778	9.02071	12.04142	8.8613	14.07326	27.00649	7.22737	23.95959	0.16183	5.52519	12.42616	4.32602	5.33774	12.26151	3.07025	1.17199	7.40592	11.64716	4.38186	11.26406	11.10478	8.08675	6.05123	11.35337	1.69285	1.16581	7.49462	4.29882	13.12802	10.41626
s__Prevotella_sp_CAG_5226	0	3.34202	0.02584	0.0074	0.15965	0.00563	7.7182	0.98977	0.00391	0.01916	0.0768	0.00306	0.0876	0.0	0.02214	0.01695	2.29763	0.00268	0.03113	0.00527	0.01536	4.28795	5.3623	0.01744	0.01162	0.84348	0.90755	0.03918	0.00634	0.02139	0.0071	0.00061	0.79388	0.02726	0.00476	4.0999	4.79966	0.13092	0.08856	0.0	0.02762	0.66667	0.02646	6.11992	0.01256	0.01921	0.00423	7.79627	0.02854	0.00543	2.09953	8.88321	0.06945	0.00284	2.30864	2.45788	0.70696	1.88615	0.00855	0.00309	0.06668	0.02594	0.00057	0.05552	3.40859	0.00845	0.00682	0.00297	0.00543	0.00517	0.0056	0.01873	0.04823	0.09463	0.1953	0.08954	0.00222	0.17029	0.00143	0.02639	9.12615	0.0	0.00934	0.00767	7.28491	0.09567	0.0	0.00349	0.00479	0.02142	0.00173	0.00271	0.0	0.0	0.02943	0.02028	1.92893	0.03554	0.03867	0.00106	0.43312	0.00705	0.0	0.01325	0.01228	0.02958	0.0292	0.00315	0.00137	0.0	0.01843
s__Klebsiella_pneumoniae	0	3.30733	0.02263	0.0	5.82154	0.0	0.03308	0.0	0.0	0.0	0.03343	2.32874	0.00499	0.0	0.0	0.41384	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.28724	0.0	0.0	0.0	0.00784	0.0	0.26869	0.02427	0.0	0.09164	0.25066	1.42989	0.02076	0.0	0.0	0.0	0.0	0.0	0.0	0.02223	0.0	0.09306	0.01056	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05297	0.15283	0.0	0.0	0.13661	0.10312	0.0	0.0	0.0	0.00241	0.00403	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03351	0.06439	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0119	0.0	0.00649	0.0	0.0	0.0	0.01489	0.0	0.0	0.0	0.16034	4.21413	0.0	0.0	0.00352	0.0	0.0	0.00826
s__Acidaminococcus_fermentans	0	2.676	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.81421	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01874	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00101	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.86002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00242	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Faecalibacterium_prausnitzii	0	2.07662	25.32559	5.43918	6.26449	13.22613	4.5434	10.16132	7.93841	9.00597	5.93909	7.37318	6.07279	12.8128	17.5562	2.90726	13.255	9.99742	4.95463	2.73394	10.19507	2.66969	7.09512	7.65108	2.03096	13.05103	5.9351	1.31366	11.53309	7.97847	9.71994	0.02045	4.03562	6.93325	10.835	3.90376	10.18369	5.17305	11.59267	11.29157	18.08337	7.97146	10.03883	6.37899	3.28543	0.15974	2.7242	3.38431	3.01738	3.28367	13.79818	4.96235	4.52082	21.65065	10.23729	4.5506	1.77391	2.45171	5.17641	6.81547	15.78769	22.41977	9.47412	3.23352	4.85463	4.93767	5.95423	2.15676	11.15098	1.93174	9.97633	4.2363	12.68201	1.10635	3.46393	11.27099	7.90366	4.3248	2.10034	7.17705	7.95061	4.85435	9.24816	3.48423	7.26566	10.7866	6.71898	14.7246	16.73038	2.5557	5.98955	0.82196	9.20664	6.57115	9.94048	5.26688	4.76291	4.62564	5.73241	9.48878	13.28585	22.57222	7.81977	4.38018	3.08973	6.57563	3.99832	7.04601	14.6632	4.15948	3.81425
s__Eubacterium_sp_CAG_180	0	1.51731	1.76808	0.25417	0.02238	0.33559	0.00363	1.0805	0.73229	3.71894	0.02668	0.26408	0.57955	1.80816	0.01102	0.01286	0.53598	1.39188	1.67098	0.00444	0.00405	2.30355	1.77847	0.00928	5.06602	4.52198	7.74517	4.10709	4.3327	6.66977	0.01162	0.00065	0.52508	2.9618	1.36211	2.66412	2.72996	0.49134	2.51442	0.00085	1.39568	2.83889	6.80965	0.00871	0.42528	0.00367	0.22922	0.00708	4.71079	0.02549	0.00886	1.79767	0.69321	4.02881	4.32776	1.03251	0.11406	2.1982	0.65182	0.00067	1.03136	1.65085	0.02084	4.85126	3.1576	0.0116	2.80972	0.00183	2.19004	0.09797	1.0305	0.02729	7.14357	0.13131	0.09628	1.21613	0.00329	6.03277	0.56562	0.00287	2.92806	7.41999	3.25478	0.00274	0.02441	0.07368	0.00154	2.14263	4.29926	0.01883	2.18358	0.00135	0.0529	0.34468	6.62165	1.80958	0.29476	0.03503	2.16245	5.20724	1.23609	0.00648	10.58654	6.29658	0.01457	4.03132	2.0394	3.41535	0.00188	1.66623	0.0016
s__Oscillibacter_sp_CAG_241	0	1.27714	0.36555	0.02369	11.46862	7.27397	0.01136	1.31405	0.24093	4.1863	4.06231	0.04687	1.0204	0.35014	0.02595	0.09123	0.16055	0.35915	0.38041	17.78608	1.39913	0.8006	0.36598	0.02948	0.9751	0.98644	1.30457	0.40287	6.43624	2.2385	5.78429	0.0023	0.35495	3.08788	0.24634	0.12413	4.60646	0.16494	0.71411	0.56841	0.58293	1.13707	0.89213	0.1912	0.33636	0.0087	0.26891	0.08823	2.03265	0.12317	8.25323	0.27417	0.31403	0.19961	0.4916	2.21142	0.0866	1.26406	2.34286	0.3399	1.80395	1.19814	0.74847	0.26481	1.17867	0.07631	3.72859	0.00176	1.03652	8.028	1.25262	0.03161	0.18135	0.29468	3.99693	1.25492	0.50507	1.7338	0.10242	0.00887	1.66653	0.02472	6.81686	4.94769	1.01496	0.28253	2.81942	1.45929	0.2842	0.08277	6.21365	0.00691	0.80581	0.94784	5.17162	0.86601	7.36958	3.28599	6.62659	3.16155	0.40033	11.31445	18.03291	2.13348	4.09626	1.82657	0.56297	13.71603	0.01158	0.14036	0.03304
