clade_name	NCBI_tax_id	SAMEA4719760	SAMEA4719761	SAMEA4719762	SAMEA4719763	SAMEA4719764	SAMEA4719765	SAMEA4719766	SAMEA4719767	SAMEA4719768	SAMEA4719769	SAMEA4719770	SAMEA4719771	SAMEA4719772	SAMEA4719773	SAMEA4719774	SAMEA4719775	SAMEA4719776	SAMEA4719777	SAMEA4719778	SAMEA4719779	SAMEA4719780	SAMEA4719781	SAMEA4719782	SAMEA4719783	SAMEA4719784	SAMEA4719785	SAMEA4719786	SAMEA4719787	SAMEA4719788	SAMEA4719789	SAMEA4719790	SAMEA4719791	SAMEA4719792	SAMEA4719793	SAMEA4719794	SAMEA4719795	SAMEA4719796	SAMEA4719797	SAMEA4719798	SAMEA4719799	SAMEA4719800	SAMEA4719801	SAMEA4719802	SAMEA4719803	SAMEA4719804	SAMEA4719805	SAMEA4719806	SAMEA4719807	SAMEA4719808	SAMEA4719809	SAMEA4719810	SAMEA4719811	SAMEA4719812	SAMEA4719813	SAMEA4719814	SAMEA4719815	SAMEA4719816
s__Phascolarctobacterium_succinatutens	0	23.23132	5.06839	3.17764	0.0	0.0	4.79511	0.0	12.7698	8.36431	6.19771	2.26738	1.91999	1.21352	0.0	2.56004	0.46635	5.16403	0.25138	3.17483	3.20116	3.81336	0.39817	3.81796	2.42429	4.15928	12.01511	4.90259	2.44983	0.0	0.0	6.5884	4.06346	1.40227	3.74468	1.56508	0.0	2.71782	2.1615	0.29819	0.44332	10.75534	0.03351	0.02911	2.21588	3.39965	0.0	0.47773	1.30978	0.0	3.6015	8.65874	2.09796	0.72771	3.05546	15.3381	0.0	0.0
s__Firmicutes_bacterium_CAG_791	0	6.4	0.0	0.30545	0.0	0.0	0.17214	0.0	1.29054	0.16292	2.78654	0.31878	0.0	5.83419	0.0	0.82784	0.0	0.88375	5.02777	0.2353	0.40746	0.0	0.04975	0.07973	0.59347	0.52543	0.0	0.0	0.29997	0.0	0.16227	1.25302	0.65026	0.0	0.29495	0.0	0.0	0.0	0.0	5.08154	0.50262	0.9134	0.0	8.3109	1.06564	0.84586	0.0	42.39618	0.90176	2.57694	0.0	4.97174	0.0	0.02883	0.96848	6.04771	0.0	0.0
s__Clostridium_sp_CAG_510	0	4.73119	0.06677	0.41664	0.0	0.04844	0.60554	0.0	0.0	10.03684	0.35772	0.04833	0.0	0.07222	0.0	0.17685	1.84413	0.00881	0.0	0.12671	3.55644	0.0	0.0	0.03308	0.00996	0.0	0.01245	0.26658	0.05695	0.20561	2.50947	2.50133	6.17119	0.0	0.49492	0.0	0.01662	0.34677	0.0	0.0	0.0	5.00893	0.0	0.0	0.0	1.85625	0.0	0.0	0.85618	0.0	0.0	0.0136	0.0	0.0	0.36333	0.0	0.0	0.0
s__Prevotella_copri	0	4.6433	38.11568	10.31491	21.74445	10.54436	42.593	0.0045	12.17018	18.09406	21.23548	10.32008	30.03959	0.17549	22.07735	3.43593	9.69738	1.68332	2.89967	6.85724	3.09194	9.80732	53.88849	11.28193	8.19307	22.28196	41.50038	16.16931	15.14445	0.09149	15.97017	8.82171	4.63734	46.70989	3.69903	8.84382	38.35792	1.66136	44.83422	1.86447	20.51482	7.82134	54.44464	0.30029	24.93695	3.85026	45.00926	1.34684	6.20806	7.98723	53.47185	25.47484	26.64997	32.36795	31.24174	14.02292	10.0877	37.29578
s__Ruminococcus_bromii	0	4.0245	0.01935	1.6938	0.03508	4.14473	0.0	0.0	0.0	0.4875	1.15003	0.11248	0.03212	0.0283	0.85176	1.74187	1.1944	0.34385	0.0	0.1282	0.00234	0.00515	0.0	1.86433	3.55118	0.10597	0.0	0.05277	2.65874	2.10824	0.13872	1.46735	0.68892	0.0	1.3768	1.23172	0.04902	0.47762	0.0	0.0	0.0	0.00704	0.0	0.0	0.0	0.28067	0.0	1.08621	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Firmicutes_bacterium_CAG_110	0	3.63978	0.0	0.71367	0.01568	0.49284	0.00094	0.0	3.02661	0.14132	0.59698	0.40957	0.0	0.23983	0.17832	0.6077	0.0166	2.13031	0.13536	0.19171	0.6325	0.63431	0.0	0.12626	0.28931	0.10898	0.07194	0.0	0.15544	1.01542	0.10497	0.15128	0.41239	0.006	0.16634	0.25226	0.0	1.3824	0.0	0.00555	0.0	1.68254	0.0	0.0	0.00663	0.72045	0.0	0.0	0.09424	0.67008	0.0	0.09348	0.0	0.0	0.28688	0.32907	0.0	0.0
s__Faecalibacterium_prausnitzii	0	3.38487	6.38189	13.38537	13.33395	12.09561	12.3623	0.0	1.86838	11.54065	11.66941	2.33154	2.41188	0.67126	6.75872	6.70954	3.64787	12.63757	3.55202	9.34186	4.58456	15.85883	6.82094	13.70054	6.71794	13.44794	10.54901	9.28235	15.32971	14.50223	3.65027	14.44101	13.42068	2.55633	22.66398	2.52524	6.76908	19.44898	5.64923	9.68521	3.15656	22.68864	7.71875	0.29716	7.21074	31.482	9.46827	3.25181	3.21799	4.59327	5.736	4.34692	6.79795	1.35979	9.57254	21.51407	2.88849	0.5267
s__Eubacterium_siraeum	0	3.10761	0.0	0.0	0.0	8.88751	0.0	0.0	0.99369	0.17663	8.65716	1.37131	0.0056	0.0	0.09971	6.90118	0.0	0.0949	0.04689	0.04657	0.82124	2.76323	0.03367	1.09426	0.00106	0.99456	0.08024	0.0	1.51843	0.05337	1.3053	11.47705	0.29063	0.0	0.14206	0.03452	0.0	0.05827	0.15469	1.12353	0.0	0.28215	0.0	0.00643	0.0	0.03338	0.0	0.02132	0.0	0.0	0.0	0.0	0.0	0.0	0.87387	0.0	0.0	0.0
s__Firmicutes_bacterium_CAG_95	0	3.03766	0.01401	0.34821	0.15436	2.25282	0.28845	0.0	3.31892	0.04791	0.55701	0.0	0.0	1.07741	0.07985	0.28897	0.09608	0.03108	0.00116	0.0273	1.23164	0.03933	0.0	0.31845	0.08844	0.85995	0.17913	0.01403	0.33226	0.29679	0.10844	1.19745	1.20418	0.02561	1.05577	0.1437	0.0	4.54907	0.09305	0.03825	0.0	0.20626	0.0	0.0	0.00112	0.79404	0.02529	0.02873	0.02938	0.0	0.0	0.24314	0.0	0.0	0.15835	0.07929	0.0	0.0
s__Collinsella_aerofaciens	0	2.72151	0.66901	1.16637	3.48175	1.04128	0.25395	0.0	0.21902	0.13109	0.44997	1.57872	1.98096	5.42277	0.12933	0.54759	0.72483	0.81276	1.21227	0.2594	0.83259	0.17568	0.56372	2.9824	0.24031	0.84779	0.04966	0.9781	4.13108	0.73954	0.37773	1.37204	0.44664	0.97527	0.23068	2.97267	2.93432	4.66717	0.12813	2.49964	3.78908	1.278	0.04055	2.03771	4.12571	2.32659	0.90599	6.24308	0.45355	3.50467	0.30814	2.00312	0.07237	0.04951	0.26476	1.08783	0.37014	0.00993
