clade_name	NCBI_tax_id	SID0002_gti	SID0004_cle	SID0005_aaf	SID0006_evh	SID0008_kcu	SID0009_rhg	SID0011_vkb	SID0012_qdz	SID0013_eop	SID0014_cps	SID0017_mqf	SID0018_fze	SID0020_jhi	SID1003_aac	SID1005_aae	SID1006_aaf	SID1009_aai	SID1011_aak	SID1012_aal	SID1014_aan	SID1015_aao	SID1019_aas	SID1022_aav	SID1030_bad	SID1035_bai	SID1037_bak	SID1040_ban	SID1041_bao	SID1048_bav	SID1049_baw	SID1050_bax	SID1052_baz	SID1053_bba	SID1054_bbb	SID5012_fio	SID5016_ish	SID5039_iqx	SID5049_uhx	SID5161_prh	SID5208_byt	SID5338_ihq	SID5355_yse	SID5362_xgk	SID5376_qdo	SID5390_yff	SID5391_rvn	SID5395_kej	SID5397_okf	SID5401_alw	SID5442_twn	SID5443_cul	SID5445_vub	SID5447_cka	SID5450_zsn	SID5458_vgp	SID5460_gix	SID5464_cib	SID5468_vbl	SID5473_irg	SID5486_yds	SID5488_wmq	SID5489_bgj	SID5490_ggo	SID5495_pls	SID5501_aaq	SID5561_vwa	SID5564_meq	SID5566_wwo	SID5570_qby	SID5571_lgi	SID5572_xty	SID5574_yeb	SID5577_ytn	SID5578_fjg	SID5579_bce	SID5581_yad	SID5584_vix	SID5625_bnh	SID5627_irb	SID5629_hiu	SID5630_kod	SID5631_soh	SID5634_lel	SID5636_prt	SID5639_uuc	SID5640_ijm
s__Bacteroides_vulgatus	0	16.95383	15.86166	4.96859	20.05518	0.33811	19.66762	2.82284	4.05076	0.92861	0.00258	0.0	8.20324	6.66343	2.32639	1.93316	1.22928	1.92882	8.21167	3.44925	6.07885	17.57095	0.84712	7.81075	9.28625	1.48583	0.66739	27.75057	30.55511	0.0017	0.06258	0.0	0.44831	19.37492	37.27419	10.24787	24.46186	4.15355	4.08379	10.10675	10.65785	0.31266	1.0559	15.66791	12.16797	1.59065	0.76686	0.00716	4.25523	17.68507	31.3993	0.02473	3.9597	3.59441	6.24679	4.98347	3.68408	17.62614	0.43111	1.46923	0.48443	4.29969	7.08713	1.73039	5.43283	6.57243	7.57591	0.0	1.1345	3.03048	3.95403	29.92189	3.04493	4.69749	1.18294	14.37062	10.72694	13.97641	5.55333	11.23998	0.00268	8.3863	0.10903	32.52059	6.75274	0.01007	3.82143
s__Bacteroides_uniformis	0	9.80275	19.37921	6.73124	3.10816	0.29356	3.96065	3.54005	4.57412	0.2897	3.25772	0.0	0.83673	15.14964	5.02266	8.60475	0.01843	1.43391	10.50138	0.55207	1.16188	17.75924	0.41234	7.64451	5.08365	3.48462	1.04445	20.08723	13.06871	0.00092	3.29225	0.0	0.32793	6.46598	4.83529	0.62106	8.37611	1.15587	5.8528	23.88592	6.45202	0.02758	3.44656	15.57548	6.35343	0.0	0.6016	0.723	18.2348	27.17562	5.48849	0.0	6.33541	4.02711	4.93106	9.43883	0.05288	0.0	0.20431	1.1226	0.54162	4.96742	37.05772	0.54799	8.32165	5.55235	2.76681	12.76214	2.30831	3.97607	1.78045	10.50132	10.83587	16.52292	1.1247	1.42184	6.63403	0.55059	0.0	8.12092	23.94479	7.39724	1.15346	12.96181	62.2379	3.34775	9.05282
s__Bacteroides_plebeius	0	9.17785	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.7048	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25367	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.60787	0.0	0.0	0.0	0.0	0.0	0.76476	0.0	0.0	0.0	0.0	0.1258	0.0	5.34275	0.0	0.0	0.0	0.0	0.0	0.0	1.82748	0.0	0.0	0.14251	0.0	0.36419	0.0	0.0	1.40624	0.0	0.0	0.0	1.8145	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.89268	0.0	0.0	0.0
s__Eubacterium_rectale	0	8.121	0.01486	24.88765	3.10513	17.5154	0.12322	3.27704	4.77953	21.14158	3.40595	0.0	0.02746	0.01723	6.00194	0.00426	5.90833	6.42748	4.67174	16.62057	15.99627	1.94095	5.44197	1.86136	0.01544	0.07219	0.31491	0.77585	0.48615	0.00054	1.498	0.0	5.35238	11.28639	4.84127	3.36845	0.0	32.60146	0.00098	3.71142	7.16564	4.86229	8.12544	11.71392	5.17222	5.7118	4.42797	0.0	14.53508	2.21344	0.20804	20.13272	3.15815	4.56219	10.42486	25.33569	0.48162	3.23293	2.33546	2.81701	7.34759	10.63499	3.57155	2.80371	7.01963	11.92303	0.07712	0.32334	2.91436	0.39647	4.56532	1.59381	1.55814	3.56965	4.45163	5.80517	2.35902	14.93281	27.13899	0.25094	6.11399	4.28634	36.5391	0.79972	0.04248	2.82012	1.17573
s__Bacteroides_caccae	0	7.27924	0.0	0.56976	2.79416	0.0	0.0	0.0	0.58184	0.01936	0.0	0.0	0.0	6.24159	0.47316	1.36374	0.20022	0.21013	2.91193	0.38189	0.48447	2.88785	0.11998	0.82622	0.37996	0.0	0.47811	2.55661	0.0	0.0	8.91651	0.0	0.11775	0.0	0.0	0.0	0.0	0.49426	1.94649	0.0	0.73203	0.06613	0.0	0.0	2.04345	0.21509	8.79394	0.91264	0.24217	0.0	1.40262	0.0	0.0	4.17786	0.65591	0.02666	3.97595	0.0	0.86826	0.13117	0.41935	0.70591	0.0	3.00966	4.7545	0.0	0.0	2.02973	2.12028	0.0	0.10914	1.46449	0.54103	0.0	0.0	0.0	0.0	0.0	1.88332	2.30264	0.0	0.0	0.00609	0.0	0.0	0.00028	0.0
s__Alistipes_finegoldii	0	6.44958	0.0	0.00395	0.0	0.01138	0.0	0.0	0.0	0.0026	0.2803	0.0	0.0	3.47744	0.0	0.05213	0.0	0.0	0.06194	0.12514	0.02138	0.0	0.10108	0.01068	0.00438	0.08356	0.1619	0.15209	3.19627	0.0	0.00388	0.0	0.0	0.0	0.0	0.0	0.0	0.01805	0.51587	1.71365	0.02608	0.0	0.00718	1.77334	0.0	0.0	0.27991	0.0089	0.01524	0.0	0.03419	0.0	0.00951	0.14345	0.00023	0.20376	0.01545	1.44724	0.0	0.0	0.0	0.00222	0.0	0.0	0.04345	0.0	0.00804	0.0	0.13873	0.07984	0.0	0.0	0.7419	0.0647	0.0	0.0	0.0	0.0	0.0	0.14266	0.0	0.0	0.0	0.0	0.0	0.0	1.62491
s__Parabacteroides_distasonis	0	5.79154	5.48772	1.44388	2.221	1.12927	12.41429	0.0	4.08668	0.0	0.13218	0.0	0.59253	0.0	0.67414	0.79025	0.0	0.54665	0.87098	0.45671	0.30781	0.0	0.05373	4.62316	1.95137	0.39383	0.08977	1.02309	11.48933	0.0	8.86203	0.0	0.04892	2.79823	0.0	2.29137	4.01835	0.25663	0.55616	0.0	0.51064	0.04545	0.16236	0.0	1.14927	0.0	0.18405	0.0	0.92275	0.0	0.48538	0.0	2.06529	1.65506	1.07927	0.11634	5.05645	11.78489	0.09318	0.46142	0.02405	1.0883	0.0	0.64089	0.0	1.39114	1.29397	0.95124	4.34712	0.0	0.0	0.64512	0.54318	0.0	0.26446	4.99158	1.88572	0.57146	0.10158	0.17465	15.95404	0.73304	0.01567	0.5018	0.0	0.00136	0.0
s__Streptococcus_salivarius	0	3.78089	0.00548	0.02278	2.96345	1.25853	0.01423	0.06973	0.0	0.60413	0.0	0.01516	0.24024	5.86804	0.0054	2.00387	2.69087	3.01494	0.0	0.9047	0.01787	0.24356	23.33106	0.02141	0.00427	0.57152	0.04324	0.00722	0.00633	0.00027	0.01977	0.62165	0.70982	0.07982	0.0094	0.12408	0.0437	0.35891	0.01688	0.02921	0.01914	4.43489	6.74784	0.0	0.7773	0.43315	0.0476	0.03945	0.01126	0.0353	0.58592	6.92405	0.07452	0.43924	0.19401	0.08227	0.0007	0.09085	3.64333	0.55728	1.48653	0.18597	0.0	0.04299	1.10854	0.59044	1.51056	0.00086	0.02845	0.64278	5.5537	0.18483	0.04598	2.59139	0.01574	1.07492	7.49887	0.01442	0.3663	0.1091	0.01412	1.42537	0.30352	0.0	0.0	0.25354	1.62994
s__Eubacterium_sp_CAG_180	0	3.31756	0.0	0.0	5.46043	0.0	0.0	0.0	20.79527	0.0	0.08553	0.0	0.0	2.47498	22.99671	0.0	0.0	0.0	7.58381	41.20288	0.0	0.0	2.23585	0.0	0.0	0.0	14.8144	1.01911	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06863	0.0	0.0	0.0	22.45869	0.0	0.0	0.0	0.03757	0.00402	0.0	0.0	0.0	13.84587	0.0	0.0	29.90707	0.00301	0.0	0.0	0.0	34.81405	9.99925	13.39885	0.0	17.81743	15.52563	0.0	0.0	0.07014	23.20468	0.0	0.0	10.58038	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Parabacteroides_merdae	0	2.86514	0.0	0.0	1.51499	0.95118	0.0	2.00436	1.78572	0.0	0.0	0.0	2.89588	0.97563	0.75437	0.19265	0.43254	0.28727	1.63448	0.52484	0.33952	0.0	0.03611	1.44797	2.75722	0.0	0.60279	1.28582	0.0	7.69167	0.0	0.0	0.01109	0.0	0.0	0.0	0.0	0.13628	0.0	0.0	0.0	0.00342	0.0	0.0	0.0	0.0	0.0829	0.0	0.6441	2.04492	1.55031	0.0	1.00642	0.76142	0.65037	0.1589	0.0	0.0	0.44142	0.10733	0.15602	0.64563	0.0	0.28692	1.25949	0.6609	0.01236	0.29147	8.005	0.0	0.0	0.96667	0.37655	0.0	0.0	4.22247	0.0	0.0	0.16188	0.0	0.0	0.0	0.0	0.0	0.0	1.82888	0.0
