clade_name	NCBI_tax_id	AS43_12	AS43_18	AS43_24	AS43_3	AS43_6	AS44_0	AS44_12	AS44_18	AS44_24	AS44_3	AS44_6	AS45_0	AS45_12	AS45_24	AS45_3	AS45_6	AS50_0	AS50_12	AS50_18	AS50_24	AS50_3	AS50_6	AS51_0	AS51_12	AS51_18	AS51_24	AS51_3	AS51_6	AS53_0	AS53_12	AS53_18	AS53_24	AS53_3	AS53_6	AS56_0	AS56_12	AS56_18	AS56_24	AS56_3	AS56_6	AS58_0	AS58_12	AS58_18	AS58_24	AS58_3	AS58_6	AS60_0	AS60_12	AS60_18	AS60_24	AS60_3	AS60_6	AS61_0	AS61_12	AS61_18	AS61_24	AS61_6	AS62_0	AS62_12	AS62_18	AS62_24	AS62_3	AS62_6	AS63_0	AS63_12	AS63_18	AS63_24	AS63_3	AS63_6	AS64_0	AS64_12	AS64_18	AS64_24	AS64_3	AS64_6	AS65_0	AS65_12	AS65_18	AS65_24	AS65_3	AS65_6	AS66_0	AS66_12	AS66_18	AS66_24	AS66_3	AS66_6	AS68_0	AS68_12	AS68_24	AS68_3	AS68_6
s__Bacteroides_vulgatus	0	20.43898	12.93137	3.14767	7.69035	16.2763	11.05506	3.92492	5.03024	4.64571	14.36621	4.69491	15.19256	0.64439	3.62728	3.40981	2.01639	11.65959	6.88881	4.19894	7.13123	15.36856	5.36892	11.57336	12.03792	0.8244	6.04909	1.53094	5.13793	10.09885	21.77005	26.1601	27.54156	14.48607	18.87461	27.54466	10.18771	11.2917	7.54195	14.43049	8.00523	8.96649	38.6198	4.58939	4.20839	4.96191	34.40152	20.91119	11.51032	5.96979	4.80702	2.26453	10.21829	4.18491	2.74892	5.66411	2.41164	3.53491	12.91134	11.44007	22.35902	23.20357	5.98248	9.82112	15.74438	3.33896	5.19383	2.44017	2.07064	3.30432	0.00138	0.0	0.0	0.0	0.0	0.01769	15.1504	7.62469	12.42092	2.44042	7.43734	4.5335	0.00859	0.0	0.0	0.00294	0.00501	0.0	29.11842	31.62241	15.37323	7.94515	9.74219
s__Bacteroides_uniformis	0	11.5325	16.45969	3.81599	20.66406	6.34069	14.81274	34.2429	30.89498	28.83243	22.95455	15.47244	4.19802	0.69519	1.66797	8.06365	0.67888	20.38282	26.40821	2.18068	19.15549	7.68708	17.37713	8.45444	11.14989	7.55606	3.08007	9.35636	7.96109	11.13272	20.55026	16.51024	2.0606	27.17339	11.80966	8.72499	26.35039	10.11663	22.3157	18.52424	12.85068	11.32941	9.53917	6.38954	3.91605	23.95483	5.85467	0.00263	33.60303	39.036	8.60776	0.0	0.00057	2.79093	7.68669	1.10366	2.65303	5.94919	22.36508	22.54132	23.39708	15.03404	13.73291	62.13476	14.97404	25.79853	15.94986	5.04587	23.71205	2.43645	6.71496	10.75058	9.79593	0.00181	35.10238	10.57503	26.24134	48.53334	24.50477	22.00586	9.68049	37.78985	0.0	0.0	0.00958	4.15636	0.0	0.0	2.89096	14.13622	9.56544	53.54135	27.77517
s__Faecalibacterium_prausnitzii	0	8.63892	5.11411	5.09322	6.69996	20.4985	0.33371	2.23343	0.53574	4.40118	1.87426	2.65767	7.86317	2.19013	5.70748	6.05131	3.04634	5.71849	5.5892	7.5575	4.22404	6.01685	6.09314	0.00265	0.45546	0.02056	0.05699	3.78705	0.26126	6.35913	3.73195	7.37863	4.86303	14.2225	3.97586	0.78137	3.35309	3.98796	0.87531	0.23442	4.04256	8.72068	6.0277	19.67132	7.50406	7.65102	5.15802	4.88448	3.1586	0.37886	1.33089	0.00448	0.45354	2.62423	4.13349	5.98091	15.797	1.80942	7.77245	7.62284	8.47865	7.80019	2.43928	2.47176	1.612	1.6104	6.47688	1.84359	0.00229	0.61432	2.85533	5.16909	5.99663	2.82228	0.0	0.79418	0.88254	3.15341	1.64661	1.63295	10.69287	4.88374	4.2267	4.0956	0.80093	6.53193	21.77686	9.19731	5.13828	2.99916	4.96373	0.91047	4.75088
s__Barnesiella_intestinihominis	0	6.13114	5.13338	8.92919	10.70524	4.30934	0.85211	1.08291	0.30908	1.00759	2.32216	2.54827	0.73002	0.12133	0.33379	0.0	0.28367	1.13177	0.7093	0.8642	0.61348	3.10083	7.68903	2.16355	2.7403	0.68557	5.92435	4.1508	1.22068	0.0	1.32656	1.09669	0.86761	0.0	1.96357	0.66246	0.70641	2.84616	0.65858	1.31576	0.48111	0.0	0.53982	1.03165	0.6017	0.0	1.89289	0.0	0.0	0.0	9.23945	0.0	0.0	1.81294	0.60876	1.42331	0.56561	0.90404	1.02532	0.44259	0.47626	0.57089	0.45358	0.22121	2.07476	1.21522	2.5291	1.59966	1.04793	0.10948	1.42294	0.84459	1.44143	0.0	2.68891	0.78938	0.30742	0.23793	0.31878	0.33344	1.32949	1.13085	0.0	0.0	0.0	0.37914	0.0	0.0	0.0	0.0	3.44912	0.0	0.0
s__Eubacterium_eligens	0	5.54462	0.09628	0.0	0.22113	4.29115	0.13648	0.0	0.0	0.0	15.12576	1.6023	0.0	0.0568	0.22935	0.0	0.27176	0.01916	0.80598	1.66879	1.80373	0.96416	2.54323	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19307	0.19759	0.44721	0.0	0.01404	0.0	0.0	0.0	0.0	0.0	0.0	0.54937	2.05191	1.01301	0.28297	0.0	5.22967	5.55854	0.73766	0.4764	0.04478	0.0	0.0	1.04207	0.90217	0.6631	0.12975	0.0	0.4696	0.32868	1.26812	0.95894	0.0	0.16248	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04793	0.03725	0.21843	0.0	0.0	0.0	0.0	0.0	0.0	0.28523	0.04638	0.0	5.07968	0.05933	1.23852	19.2409	15.2539	0.00114	6.57077	0.49119	0.18044	1.97255
s__Coprococcus_comes	0	4.58366	1.56554	2.34132	1.66288	2.47357	0.30236	0.2621	1.07744	0.86712	0.22159	0.28003	0.99794	0.12227	0.05389	0.96832	0.29745	0.04393	0.49456	0.50396	0.24472	0.35188	0.20363	0.13156	0.88123	0.35397	0.27371	0.35185	0.14615	0.54733	0.25568	0.55761	0.69478	0.27319	0.29623	0.37108	0.0	0.0	0.0	0.0	0.0	2.05367	0.18388	0.44666	0.76539	0.57493	0.95839	0.0	0.0	0.0	0.0	0.0	0.0	0.94555	0.02769	0.22315	0.34126	0.50459	0.11959	0.0	0.0	0.0	0.0	0.0	0.03586	0.14496	0.33667	1.0711	0.0	0.02125	3.04132	0.62501	1.59081	0.03597	0.0	0.0	0.04072	0.0173	0.0	0.0	1.16656	0.03095	1.07079	0.0	0.15629	5.06442	0.0	0.0	0.2897	0.55789	0.75908	0.04985	0.19707
s__Proteobacteria_bacterium_CAG_139	0	4.55893	4.34246	4.34338	1.67831	3.22518	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.60564	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08559	0.04567	0.29834	0.13868	0.09652	0.11188	5.59115	0.57747	4.38898	3.64028	0.40303	4.35469	0.0	0.0	0.00422	0.0	0.0	0.0	0.47487	0.16791	0.12215	0.15154	0.12566	0.16207	0.55484	0.94288	0.97012	0.0	0.00059	0.0	0.0297	0.21758	0.05768	0.0	0.0	0.0	0.0	0.0141	0.0	0.0	0.00124	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00313	0.0	0.0	4.8929	2.17961	3.61202	1.33814	2.53725
s__Paraprevotella_xylaniphila	0	4.42534	0.45003	0.61186	0.49213	0.54751	0.0	0.0	0.0	0.0	0.0	0.0	0.919	0.18829	0.40038	0.71085	0.27427	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.67902	3.55335	0.53438	0.34742	1.23828	1.30229	0.0	0.0	0.0	0.0	0.0	0.0	1.82284	2.93304	1.69424	0.48027	2.37826	0.0	0.0	0.0	0.0	0.0	0.0	0.14808	0.20727	0.50744	0.29584	0.07635	0.08451	0.0	0.0	0.0	0.0	0.0	0.0	0.13536	0.05684	1.40867	0.47801	0.23125	0.23453	0.0	0.0	0.0	0.00228	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Bacteroides_massiliensis	0	4.12015	0.7271	1.68428	4.0656	4.99697	2.15254	0.44327	0.95684	0.49357	0.95732	0.89741	5.80533	0.09019	0.33216	0.42321	0.34145	3.38004	5.22825	3.04941	2.87759	7.07592	3.93539	2.4521	3.26515	3.1231	1.63592	2.44651	3.20527	1.16705	1.92034	2.65541	1.70678	3.0733	4.3687	0.0	0.0	0.0	0.0	0.0	0.0	3.44023	7.65815	0.28572	1.69069	2.36481	4.26152	0.0	0.0	0.0	0.0	0.0	0.0	0.14701	0.39312	0.36706	0.07902	0.02939	0.63967	0.71051	0.45004	0.75412	0.22469	0.71421	1.02022	0.42185	0.54506	0.32262	0.70885	0.31869	0.0	0.0	0.0	0.0	0.0	0.0	0.50132	0.3703	0.33296	0.08748	0.76781	3.23235	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Bacteroides_thetaiotaomicron	0	3.75815	0.94386	0.22694	5.35537	4.4722	2.02485	0.19956	0.27068	1.67015	1.23708	1.05847	0.78336	0.02067	0.06004	0.27927	0.05542	0.0	0.0	0.0	0.0	0.0	0.0	0.16461	0.51803	0.96699	0.19666	0.34875	0.17407	0.0	0.08462	0.1174	0.15016	0.03392	0.02931	1.2793	0.86707	1.40825	0.34934	2.29003	10.83116	0.00817	0.33693	0.0	0.0	4.38215	2.09056	0.0	0.0	0.0	0.0	0.0	0.0	0.30154	0.38695	0.00331	0.00368	0.61171	0.49439	0.28622	0.95204	2.73383	0.22178	0.35619	0.77738	0.31571	0.31078	0.34718	0.11069	0.08564	0.0	0.10182	0.32159	0.0	0.0	0.0	0.303	0.49402	0.3542	0.73085	1.39368	0.34152	0.94563	0.26769	0.01003	0.32638	0.81282	0.1551	0.55398	2.39428	2.16631	1.03996	0.16641
