clade_name	NCBI_tax_id	SAM_01	SAM_02	SAM_03	SAM_04	SAM_05	SAM_06	SAM_07	SAM_08	SAM_10	SAM_11	SAM_12	SAM_13	SAM_14	SAM_15	SAM_16	SAM_17	SAM_18	SAM_19	SAM_20	SAM_21	SAM_22	SAM_23	SAM_24	SAM_25	SAM_26	SAM_27	SAM_28	SAM_29	SAM_30	SAM_31	SAM_32	SAM_33	SAM_34	SAM_35	SAM_36	SAM_37	SAM_38	SAM_39	SAM_40
s__Bacteroides_vulgatus	0	26.39013	12.3897	0.00569	10.09019	40.68675	0.00708	25.52688	16.37147	0.01144	13.09171	0.00105	37.17969	0.00294	16.14952	2.2371	6.69415	21.708	32.12017	2.16994	23.98671	21.44447	17.13245	6.07094	4.62215	20.43463	32.28041	8.95367	7.03517	0.4834	22.22395	16.04315	34.01647	12.1703	3.7271	3.79984	0.00938	7.79511	0.00787	21.25225
s__Alistipes_putredinis	0	12.50618	5.5096	5.75712	11.4199	0.0	0.36326	0.0	0.26914	9.2034	14.73356	0.0	0.0	0.0	0.0	2.59255	3.51858	3.34516	1.88911	0.0	6.65065	11.25451	0.0	10.80209	0.0	0.0	0.0	4.96457	4.42543	3.9405	5.37592	0.0	0.0	3.71207	11.0296	0.00154	0.0	0.0	12.97537	1.01766
s__Bacteroides_uniformis	0	9.1567	7.97549	22.76769	5.67444	0.00235	0.00671	11.23054	21.27911	21.41527	17.2999	0.0	13.24096	15.79439	36.25724	4.52861	3.5928	17.76479	1.39502	3.15189	0.00146	26.20519	27.40816	3.91045	45.73899	12.71831	0.00569	3.84029	11.16095	1.65123	29.8011	19.90821	13.62357	11.46474	3.65034	29.0374	0.01162	31.88486	19.95572	6.31978
s__Escherichia_coli	0	6.97618	2.7727	0.07173	0.08853	3.89643	0.00768	0.0	0.45963	0.0048	1.73094	4.92344	15.52462	0.44604	0.00507	0.33551	0.0	0.0	1.0973	3.96222	0.12872	0.0	3.41595	0.0	0.0	0.00138	0.48677	7.25464	5.40077	0.2145	0.0	0.03796	1.11456	0.0	0.09099	5.79984	3.2179	0.16874	0.0	1.12519
s__Alistipes_finegoldii	0	4.37601	0.06936	0.14538	27.16237	0.56886	0.85684	0.0	22.81533	1.13808	0.62069	0.0	1.48344	1.4185	3.30463	34.54341	0.0	0.2203	0.43241	0.7589	1.47925	0.81212	0.0	3.56265	0.14691	0.59729	0.0	0.50871	4.00656	0.06806	0.05245	0.10255	1.15282	0.72078	3.68006	0.23021	0.0	0.01309	3.72901	0.07359
s__Bacteroides_caccae	0	3.59632	0.0	0.93323	6.44622	0.0	3.97955	5.74302	0.0	0.59689	0.0	0.0	0.00012	0.0	4.64485	0.0	2.90995	3.24394	0.0	3.74436	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.81629	2.23376	0.0	0.21477	7.23085	4.79234	0.38746	0.0	8.64823	0.0	0.0	3.96973	4.07719
s__Bacteroides_ovatus	0	2.64079	0.74033	8.76673	0.3422	4.02846	0.00179	7.05211	2.07066	3.43751	0.0	0.0	22.7819	2.01968	0.00365	0.28115	0.99656	12.69692	0.07324	1.73838	0.13125	0.01891	0.00451	0.24665	5.39491	0.0	11.30691	23.30588	18.56933	7.99193	0.63994	0.00098	1.76368	2.33514	0.77578	0.54038	0.00591	4.33712	0.45779	0.65856
s__Bacteroides_thetaiotaomicron	0	2.45163	0.1852	1.45361	1.01103	0.0	22.5137	0.0	0.0	3.55866	0.0	33.09846	0.0	9.23895	0.5895	0.75138	0.27273	0.0	0.63582	0.0	1.18228	4.82792	0.0	0.4469	0.0	0.0	0.0	0.16465	0.13427	1.66741	0.1141	0.0	0.0	0.05914	0.0	0.0	10.27105	1.04746	1.29611	4.83833
s__Parabacteroides_merdae	0	2.25049	2.44596	2.07126	0.54758	0.0	0.00086	2.71034	0.0	0.00084	0.0	0.0	0.0	2.04204	0.0	1.88468	2.30452	3.53282	3.15742	0.76122	0.0	0.0	0.0	2.41884	1.73677	2.45869	10.33252	1.40831	2.17004	0.0	5.19398	0.66606	0.0	1.12379	3.37813	13.37935	2.60101	2.01919	4.61852	5.59401
s__Streptococcus_parasanguinis	0	2.22865	0.62059	0.02091	0.86859	0.01848	0.0	0.0	0.08383	0.0007	0.03761	0.03439	0.0	0.11011	0.02327	2.0371	0.00762	0.0	0.00603	0.46154	0.00646	0.00458	0.0	0.00329	0.00917	0.0	0.02584	0.00187	0.01173	1.69552	0.0	0.0448	0.07518	0.00114	0.03278	0.013	0.00291	0.0	0.01429	0.00071
s__Parabacteroides_distasonis	0	2.13293	1.84872	1.66172	1.47588	5.53271	0.0	0.0	4.59897	3.58158	2.74009	0.0	0.00047	5.31924	0.00038	2.032	0.5665	3.35793	0.38253	0.71696	9.89119	8.0494	7.42781	1.12031	1.12239	1.35834	0.0	0.48353	0.4363	5.82223	1.74414	0.0	2.52095	4.7663	2.15906	0.0	12.91505	1.91508	2.19008	7.30482
s__Oscillibacter_sp_57_20	0	2.0589	0.94991	0.0	0.19746	0.0	0.0	0.0	0.00043	0.0	0.0	0.0	0.0	1.19591	0.0	0.0	0.0	0.0	0.01504	0.0	0.0	0.70628	0.0	0.49889	0.0	0.0	0.0	1.31149	1.04544	0.0	0.00815	0.40393	0.0	0.0	0.0	0.0	0.0	0.71094	0.0	0.3309
s__Bacteroides_salyersiae	0	2.01651	4.82877	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18203	0.0	0.36407	0.0	0.0	0.0	2.47222	0.0	0.0	0.0	1.8563	0.0	0.03093	0.02502	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Roseburia_inulinivorans	0	1.90977	0.00835	0.20303	0.22474	1.1207	0.0	0.0	1.06079	0.01758	0.53698	2.45327	0.45107	1.44472	0.07682	0.02059	0.28951	0.0	0.08771	0.02304	0.00591	0.0	0.0	0.07576	0.0	1.02357	0.0	0.36293	0.27953	0.0	0.0	0.80591	0.0	0.16867	0.0	0.12153	3.38197	0.07632	0.22164	0.61507
s__Faecalibacterium_prausnitzii	0	1.74285	5.9864	0.53972	0.72889	3.42572	0.0	1.06801	1.14301	1.98731	0.21082	0.0	0.00355	2.65211	4.61455	1.61934	3.44321	0.93776	4.13036	0.0	1.89081	1.81881	0.44618	6.31144	0.06602	3.04687	0.0	6.64216	5.26269	3.73287	3.34062	0.79566	1.4139	2.77373	0.23626	1.24977	1.18537	3.78791	1.11234	1.81701
