clade_name	NCBI_tax_id	ESS-0005	ESS-0010	ESS-0014	ESS-0020	ESS-0026	ESS-0035	ESS-0039	ESS-0044	ESS-0053	ESS-0058	ESS-0062	ESS-0068	ESS-0077	ESS-0080	ESS-0088	ESS-0093	ESS-0098	ESS-0104	ESS-0113	ESS-0119	ESS-0123	ESS-0129	ESS-0136	ESS-0141	ESS-0147	ESS-0155	ESS-0158	ESS-0165	ESS-0172	ESS-0177	ESS-0184	ESS-0188	ESS-0195	ESS-0202	ESS-0208	ESS-0215	ESS-0219	ESS-0224	ESS-0231	ESS-0237	ESS-0243	ESS-0251	ESS-0254	ESS-0262	ESS-0268	ESS-0272	ESS-0280	ESS-0286	ESS-0290	ESS-0296	ESS-0302	ESS-0308	ESS-0316	ESS-0321	ESS-0326	ESS-0335	ESS-0338	ESS-0347	ESS-0353	ESS-0359	ESS-0364	ESS-0371	ESS-0376	ESS-0383	ESS-0386	ESS-0394	ESS-0400	ESS-0405	ESS-0410	ESS-0419	ESS-0425	ESS-0430	ESS-0435	ESS-0441	ESS-0447	ESS-0452	ESS-0459	ESS-0467	ESS-0473	ESS-0476	ESS-0482	ESS-0489	ESS-0496	ESS-0501	ESS-0506	ESS-0513	ESS-0521	ESS-0526	ESS-0531	ESS-0536	ESS-0542	ESS-0550	ESS-0555	ESS-0561	ESS-0569	ESS-0578	ESS-0586	ESS-0590	ESS-0596	ESS-0603
s__Alistipes_finegoldii	0	38.11633	1.01657	5.23316	6.45653	0.0	6.1059	2.33653	0.07497	0.05785	0.00117	0.81516	0.71381	1.3742	0.62474	1.5681	1.11209	3.49413	0.00654	0.00592	0.33728	0.06949	0.01361	1.0321	3.4143	1.4686	0.20314	0.00615	2.35018	0.97509	0.16282	0.15691	0.07123	0.88679	0.07149	0.02401	0.0	14.81835	0.00514	0.41294	0.24568	0.02381	2.03703	0.45332	5.67327	1.44857	0.00975	0.07077	0.0	2.19021	0.43582	0.00133	0.12328	0.01034	0.03978	0.20655	0.21171	14.61245	0.45569	0.10874	0.1855	0.28348	0.82249	7.25122	0.04204	0.98627	0.05001	0.01643	4.71277	0.02595	0.07534	0.45885	0.1282	0.01324	0.01856	2.18311	0.00564	0.05105	0.83082	0.00912	2.16763	0.02062	1.58122	0.69107	4.44999	0.0445	0.07161	0.00459	0.53393	0.27135	0.02593	0.11126	0.0076	2.81802	0.01187	0.07721	4.37585	2.75546	0.00583	0.05874	0.07312
s__Ruminococcus_bromii	0	9.67602	0.01528	2.87249	0.0	0.82112	0.0	0.05682	1.02675	1.3779	0.00375	0.01175	2.47925	0.01197	1.32742	1.29071	2.37492	5.10297	0.00501	0.0173	0.2734	0.02142	6.28719	0.01325	0.00393	0.01916	2.19056	0.00668	2.71514	0.00708	1.33233	0.01956	0.93789	0.10017	0.0	1.81029	3.36011	0.0	0.71901	2.65421	0.93221	2.06495	1.6027	0.26506	0.0	2.82399	0.01359	1.61989	1.26469	0.00328	0.00979	0.00546	0.0	0.00881	0.0	0.00959	0.0	0.11888	0.00809	0.66482	0.0	1.05408	0.01591	2.08125	0.0062	1.10426	0.02238	0.02744	2.9507	14.4883	0.01404	0.2289	1.0441	0.01937	1.65307	0.02898	0.01209	2.62876	2.45104	0.01627	6.55927	0.88047	1.02691	3.60523	0.02326	0.00972	0.04475	1.24853	0.0129	0.0213	0.82273	1.5224	0.49699	0.0	0.16751	0.0	0.0	0.0	0.00774	0.01245	0.01896
s__Bacteroides_vulgatus	0	8.31326	25.04283	42.14069	0.04595	0.01753	0.30982	23.419	0.55306	24.5759	15.53314	0.22025	0.3151	21.30475	19.42441	7.46724	18.3856	14.509	79.02643	38.41118	10.30221	5.52902	9.39132	8.00317	27.40125	32.58088	4.55096	42.00446	32.08975	6.0081	20.1786	16.93252	9.70647	0.96248	3.91972	21.37704	10.71468	9.9211	0.315	4.56978	16.16632	0.13411	11.99138	0.15789	0.11011	30.88987	0.34832	0.18109	24.69753	0.84413	3.49324	44.86158	22.99402	12.07754	29.20707	11.13903	14.62272	4.0634	12.57782	0.93559	10.73599	20.17247	0.09059	13.00716	0.73495	0.11284	11.22205	10.29404	0.07012	0.26471	7.5314	16.77811	10.79951	0.12362	0.09507	20.31861	0.12682	8.97284	11.48668	22.71511	36.63257	14.0182	7.81745	6.41271	0.10729	0.83642	10.56019	32.07567	29.21674	14.1103	11.40946	11.08814	21.91553	11.19041	48.30621	15.61318	17.16982	29.8577	0.37771	31.10018	17.08625
s__Alistipes_putredinis	0	8.14684	3.46968	0.06093	7.15419	6.5448	0.1518	0.26349	9.39366	8.19357	0.03096	9.58302	0.22488	4.74795	12.45863	7.79265	9.21825	8.1396	0.05199	0.1098	6.19833	5.32494	0.1797	8.19143	3.87856	0.09602	6.62803	0.09292	7.30971	11.41791	5.55764	5.8275	2.84502	24.99971	0.14527	13.03488	0.00152	18.51532	0.04209	8.1263	0.11361	20.16749	7.98964	4.69488	25.15537	6.69954	27.84367	7.13447	0.06863	40.60089	10.74263	0.04435	0.31679	0.06665	0.0	0.08254	5.78437	15.20323	0.13175	3.07153	0.63799	3.70166	5.3853	0.02445	0.06223	6.49002	0.02654	6.73605	1.21902	0.20183	7.0538	7.17438	0.34069	7.08886	0.02258	5.15639	0.07885	6.19418	8.15979	0.09231	0.07952	4.49012	8.72309	3.42712	0.02373	0.05011	12.39311	2.90899	3.57574	0.20742	0.04975	4.35758	0.11416	24.85404	4.63482	12.60582	0.00826	9.99293	0.09688	2.62687	5.26447
s__Bacteroides_uniformis	0	7.42774	22.76541	8.12723	25.67055	21.57178	9.4752	8.24209	28.23472	20.60311	32.51099	23.60185	12.14358	18.99276	32.38705	8.40498	16.48973	12.51871	0.20283	17.3415	4.33895	26.38704	34.11014	7.1692	12.99473	16.3031	8.21312	43.58697	0.38193	7.2748	21.21467	24.70554	0.26927	2.17468	2.37666	12.40359	31.46662	6.94366	22.47338	3.77499	21.28309	27.00967	11.58294	1.48791	6.20153	13.09812	0.34709	15.81253	6.56429	10.99319	10.43721	0.16829	6.90411	30.97924	10.78278	38.53942	8.99047	9.69603	1.78762	2.17953	3.14085	12.86888	4.41469	27.23342	0.37597	12.83442	3.90692	3.31829	13.97573	0.27269	12.90131	5.58913	3.98648	22.91947	0.10957	43.14486	0.21739	7.70149	16.08856	3.68589	0.17177	33.84048	6.0551	10.46249	0.10891	0.57135	21.27854	5.67914	9.21914	48.2329	27.00849	12.76122	26.07364	4.97484	10.88557	9.09981	37.93365	10.16598	0.22425	9.59614	4.57852
s__Bacteroides_caccae	0	6.27023	0.0137	0.05843	0.00604	1.85899	0.0	5.87742	0.14768	7.13657	0.00429	0.00773	5.01834	0.00692	0.00209	1.56018	2.4773	1.94899	0.00715	0.02592	1.21496	0.0246	0.03401	0.26173	0.01677	3.86092	3.85375	0.2252	3.42673	8.23684	3.6275	7.116	1.01647	0.46336	0.03794	2.18598	0.0	0.00329	0.00445	2.57872	2.47689	0.00474	2.85007	0.71772	0.02782	0.8675	0.01611	2.97171	2.06695	0.04197	0.03865	0.00601	3.08997	0.51591	2.59161	0.01927	0.48375	0.7344	0.72714	2.51003	0.07915	0.01119	1.81578	0.01257	0.05408	0.06429	1.16295	1.01261	0.95989	0.16093	3.8014	7.80212	0.16634	2.71178	0.01411	0.04313	0.03571	18.64646	0.48154	0.06319	0.02819	0.0057	8.41144	4.85373	0.02203	0.17582	0.83368	0.0	2.3365	0.04721	1.31335	2.07039	2.61838	0.9017	4.89644	0.0	2.13603	0.0	0.00621	2.42068	13.04008
s__Eubacterium_sp_CAG_180	0	3.84753	0.0	0.0	0.0	0.0	0.0	0.00818	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00574	0.0	4.53842	0.0	0.0	0.21264	0.45567	0.24566	0.0	0.0	0.0	0.0	0.0	0.02701	0.0	0.06605	0.0	0.0	1.31686	0.0052	0.0	0.02144	0.0	0.0	0.0	0.0	0.0	0.0	0.00657	0.0	0.0	0.0	0.15046	0.0	0.00117	0.0	0.0	0.0	0.0	0.0	0.00052	0.0	0.0	0.0	2.64906	1.49223	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0608	0.0	0.0	0.35456	0.0	7.47871	0.0	0.0	0.00243	0.0	0.8337	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00334
s__Firmicutes_bacterium_CAG_110	0	2.81148	0.0	0.0	0.0	0.0	0.0	0.02535	0.35647	0.0	0.0	0.0	0.0	0.00517	0.0	0.18377	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06398	0.0	0.0	0.0	0.0	0.14319	0.0	0.0	0.0	0.01131	1.1796	0.01159	0.05369	0.0	0.0	0.0	0.35806	0.63759	0.0	0.0	0.01935	0.0	0.0	0.0	0.0	0.0	0.0127	0.0	0.0	0.79274	0.0	0.0	0.0	0.03537	0.02511	0.0	1.25914	0.0	0.0	1.61483	0.0	0.0	0.00374	0.0	0.00168	0.0	0.00814	0.00201	0.00152	0.08024	0.00405	0.0	0.0	0.0	0.00053	0.01915	0.00224	0.0	0.0	1.0265	0.0	0.0	0.01099	0.10803	0.0	0.0	0.0	0.0	0.10987	0.0	0.0	0.0	0.08105	0.0	0.0	0.01207	0.0	0.00124
s__Odoribacter_splanchnicus	0	1.90546	1.07849	0.0038	0.00203	0.75274	0.0	0.6648	0.99549	0.94729	0.81096	0.82577	1.51736	1.05123	1.87868	1.68457	2.06807	0.73375	0.01231	0.02152	1.81851	0.54519	2.28784	1.35767	0.00255	0.90645	1.08063	0.00718	1.98931	2.37495	0.76812	1.52923	0.47084	0.07073	0.52514	1.59789	0.0	1.54109	2.96733	1.53194	1.23978	0.52144	1.02346	0.81308	0.05746	1.1442	0.009	1.71845	1.69852	0.10164	2.41878	0.01438	4.16482	0.01288	0.81578	0.86097	0.78299	0.00669	2.44713	0.0751	0.51588	0.7174	0.79328	0.0	0.04225	0.00304	0.33872	0.00389	0.0	0.01462	0.00535	0.53501	0.99602	0.88906	0.0	0.00215	0.01702	1.31005	0.41596	1.8759	0.01361	0.01433	0.48532	0.0	0.0	0.23013	1.65582	1.2134	0.0	0.02444	1.61995	2.30831	0.00737	0.24202	0.6357	1.93223	0.0	0.0	0.19968	0.00273	0.00492
s__Eubacterium_eligens	0	1.63892	0.02082	0.0	1.40676	0.09029	0.05798	0.02355	0.0012	0.00058	0.0305	0.23635	0.39308	0.38643	0.40231	0.18039	0.58548	0.68746	1.3925	0.00331	0.2665	0.00597	2.03107	3.03144	0.0	0.45186	0.17392	0.00614	0.01348	2.77546	0.18795	0.5299	5.47208	0.15202	3.47812	0.08915	0.0	0.0	3.32813	2.29918	0.9033	0.42444	1.36024	0.21331	0.0	1.60431	0.72838	0.01562	0.03621	0.03026	0.29806	6.78515	0.0	0.00807	0.0	0.00734	0.39969	0.00681	2.15749	0.02202	0.13974	0.00475	3.03304	7.36355	0.0	0.01766	0.01477	0.01807	0.00737	0.04768	0.00861	1.087	2.79953	0.01421	7.22324	0.20978	3.09338	1.0625	1.32783	3.95518	0.01656	0.01072	1.18885	0.00842	0.01111	0.67057	0.48282	0.22064	0.00896	0.0	0.04731	1.97344	1.1857	0.0	0.02458	0.2256	1.26324	2.75493	1.4561	0.53141	0.01179
