clade_name	NCBI_tax_id	HCO02	HCO07	HCO09	HCO11	HCO12	HCO53	HCO61	HCO64	HCO67	HCO70	HCO72	HCO74	NO01	NO02	NO03	NO04	NO05	NO06	NO08	NO09	NO10	NO11	NO12	NO13	NO14	NO15	NO16	NO17	NO18	NO19	NO20	NO21	NO22	NO23	SM01	SM02	SM03	SM05	SM11	SM18	SM20	SM23	SM24	SM25	SM28	SM29	SM30	SM31	SM32	SM33	SM34	SM37	SM39	SM40	SM41	SM42	SM43	SM44
s__Prevotella_copri	0	19.24827	6.67434	41.36079	9.82857	5.82117	3.85066	3.09816	30.29321	1.19627	19.6406	27.19265	13.1542	0.0	0.00154	3.32596	7.4037	0.00424	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.31993	4.00884	2.45336	4.58857	24.64654	0.45865	4.26587	1.18797	3.48278	14.33537	7.78022	3.85646	0.19522	9.32068	4.64417	0.24923	0.34142	21.38766	9.91085	6.1942	3.42519	27.02724	9.76008	64.43343	16.62145
s__Catenibacterium_mitsuokai	0	10.52756	4.51712	4.53144	0.44996	3.12298	1.86311	1.01218	6.39188	0.505	2.64184	3.52007	4.14378	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05737	0.0	0.0	0.0	0.0	0.77613	5.11226	1.41389	0.0	0.11668	0.63168	1.46614	46.96942	0.60956	0.44661	5.27665	18.24904	11.8839	0.67608	3.21188	0.91657	0.32578	5.44799	9.73399	10.17766	6.77066	8.17043	0.30779	0.21563
s__Collinsella_aerofaciens	0	10.31782	18.51913	8.37266	3.32067	2.05193	8.6994	5.87795	3.98339	2.66991	4.22931	2.82262	3.01603	0.0	1.40098	1.25287	6.12795	0.71358	4.06112	2.49874	0.23445	0.0008	2.32485	1.00724	0.08611	0.0	10.17397	0.96168	3.07111	0.30693	0.00284	1.23551	0.0	0.86073	0.1851	1.96707	2.17677	1.89581	17.52617	1.93591	1.31182	1.55283	1.14181	0.42075	0.48661	1.00424	19.31425	2.15491	0.66944	1.1992	1.80346	2.86236	2.11184	2.43149	5.22563	1.76173	0.35207	0.29244	0.8021
s__Faecalibacterium_prausnitzii	0	9.57028	14.0997	6.30562	28.70856	19.51644	6.68862	12.9715	13.12394	10.30164	11.80641	12.8031	11.7805	0.02699	12.58486	13.3674	26.0092	3.34793	13.30929	36.74669	15.37927	1.15653	16.63267	2.62029	10.29619	33.60952	8.17631	27.14141	3.99867	10.05507	28.02302	8.48799	0.8554	6.59811	12.65712	35.8699	9.95538	4.53323	8.96832	4.9629	18.3226	1.74759	2.78927	15.1479	31.38712	4.1235	1.64112	5.92933	33.07307	4.1351	2.35008	11.37662	28.75595	11.8289	4.66637	6.86672	3.0427	2.25247	14.0338
s__Prevotella_sp_CAG_520	0	8.35251	2.22423	2.35548	1.23683	3.72736	1.29387	1.98074	2.22649	10.63213	2.27709	8.28213	1.15552	0.0	0.0	0.16055	0.52997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34505	0.54814	0.19441	0.0	0.43228	0.56136	0.39237	2.52887	0.06306	0.03358	0.25599	0.00825	0.05026	0.77853	0.0	0.01236	0.97351	0.65695	0.24413	0.92204	0.19582	0.07084	0.39691	0.0
s__Ruminococcus_torques	0	4.93353	2.24145	7.5956	0.0	0.55371	0.21216	0.19494	2.16111	2.09804	1.56388	0.99228	2.43835	0.0	1.68122	1.81928	5.88506	0.0	1.32133	0.6181	6.95619	0.0	0.0	0.54678	0.23709	0.0	0.26364	0.54958	3.1737	2.5174	0.92374	0.57176	4.29237	2.30515	0.99351	11.50644	4.36871	1.05844	0.0	0.84192	2.77613	0.57485	0.92243	1.46764	3.73052	0.89715	2.39247	22.06751	0.8824	0.37265	0.72389	0.82508	1.73831	6.50008	3.32817	3.83639	1.88917	0.09893	0.47578
s__Methanobrevibacter_smithii	0	4.50302	0.82193	0.0	0.38648	0.57955	1.01504	0.62726	0.4139	6.61324	3.45483	0.17382	1.69492	0.0	3.50583	0.85353	0.78188	0.00335	0.0	0.38527	0.0	0.0	0.0	0.0	0.99876	0.0	0.0	1.15936	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.41496	1.25482	1.63236	0.0	3.18688	1.88968	4.2263	1.87318	0.0	0.0	1.38237	16.1681	0.00101	0.22237	6.96908	2.09939	0.30134	1.32195	1.90716	22.50871	0.17567	1.40524	0.03868	0.0
s__Roseburia_faecis	0	4.24635	0.02798	0.08168	0.17936	0.52542	0.20418	1.70797	1.03503	0.8565	0.74326	1.40834	13.87253	0.0	1.376	13.04362	3.03084	0.00239	3.57962	1.83408	5.04003	3.61074	0.84457	0.0	0.3778	0.0	1.27808	1.21676	0.41752	0.00972	0.02511	4.23564	0.35257	0.0	3.80286	0.99121	4.34922	1.00946	0.0	1.53573	0.00772	0.3559	0.2524	0.0	0.0	0.00597	0.00902	0.95728	2.59764	0.58261	0.0	0.0	7.77637	0.11692	0.32422	3.84498	1.9223	0.0	0.05834
s__Firmicutes_bacterium_CAG_791	0	3.54932	4.38397	0.00261	0.8787	7.7435	9.46218	6.78697	2.12557	3.93119	6.48685	0.4246	1.07773	0.0	0.0	0.0	0.36562	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04263	0.96682	0.78709	0.0	2.35438	0.0	0.0	0.0	0.0	0.0	0.47402	0.15496	0.0	0.2465	2.56296	0.0	0.0	0.0	2.21073	0.61562	0.0	0.0	0.0	0.0
s__Lactobacillus_ruminis	0	2.21469	2.05047	0.0	0.0	0.0	0.0	1.88833	1.81293	0.0	0.0	0.19661	0.1695	0.0	0.0	2.40232	1.11628	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.37049	4.23813	0.22404	0.46535	0.42486	0.56609	0.5476	0.70435	0.0	0.0	0.03773	0.60707	0.46828	1.64758	0.21495	0.0	0.0	0.15036	0.38163	0.41523	1.1355	0.09802	0.0	0.0
