clade_name	NCBI_tax_id	S2_001_006W1	S2_001_006Y1	S2_001_010G1	S2_001_011G1	S2_001_012G1	S2_001_013G1	S2_001_014G1	S2_001_015G1	S2_001_016G1	S2_001_017G1	S2_001_018G1	S2_001_019G1	S2_001_020G1	S2_001_021G1	S2_001_023G1	S2_001_023W1	S2_001_023Y1	S2_001_024G1	S2_001_025G1	S2_001_026G1	S2_001_027G1	S2_005_005G1	S2_005_006G1	S2_005_007G1	S2_005_008G1	S2_005_011G1	S2_005_012W1	S2_005_014G1	S2_005_014Y1	S2_005_015G1	S2_005_016G1	S2_005_017G1	S2_005_018G1	S2_005_019G1	S2_005_020G1	S2_005_021G1	S2_005_022G1	S2_005_022W1	S2_005_023G1	S2_005_024G1	S2_005_025G1	S2_005_026G1	S2_005_027G1	S2_005_028G1	S2_005_028Y1
s__Citrobacter_koseri	0	69.37455	99.95611	94.49785	99.70376	99.58958	96.51959	90.29292	83.00259	77.66958	78.8567	61.87672	81.6226	76.69517	93.0563	72.43154	50.51136	96.65696	81.56288	75.07582	71.67775	46.96419	0.01988	0.04632	0.48352	0.07835	0.02465	0.0	0.0435	0.02656	0.35332	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Staphylococcus_epidermidis	0	28.36533	0.01587	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.73725	0.14683	0.0	0.0	0.0	0.0	0.0	0.16871	0.0	0.0	0.02927	8.3675	0.16158	6.13708	0.16459	0.04619	0.05305	0.07182	0.26169	0.11981	0.20318	0.04593	18.77617	0.14569	0.00424	0.04344	0.0	0.02107	0.07606	0.2123
s__Cutibacterium_acnes	0	0.7604	0.0	0.00164	0.0	0.00923	0.0	0.0	0.0	0.0	0.0	0.00118	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.59593	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.98375	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Corynebacterium_amycolatum	0	0.68631	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.72987	0.00069	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33688	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Enterococcus_faecalis	0	0.39746	0.0	0.30508	0.25622	0.38989	1.69539	2.7502	4.18418	13.96425	7.88015	6.69691	10.12418	4.36532	3.74155	8.91302	0.77795	0.09661	13.08737	4.23784	11.57931	9.69951	2.91832	1.32253	0.0	0.0	9.54996	0.0	3.59495	1.64497	3.69678	16.99592	31.0932	29.69725	53.21148	28.45656	15.38898	23.04989	23.4363	73.37266	32.79992	39.61514	32.48732	21.47687	14.52983	0.6078
s__Dermabacter_hominis	0	0.30188	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.54592	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Staphylococcus_warneri	0	0.11407	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05469	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Ureaplasma_parvum	0	0.0	0.02802	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.28041	1.67769	0.09757	0.00358	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Bacteroides_vulgatus	0	0.0	0.0	5.134	0.03546	0.0113	0.01961	6.32288	12.20176	7.73666	12.22554	30.62411	6.75368	18.08884	2.29851	17.54936	0.0	0.0	4.04093	12.59209	12.3067	16.89805	0.0	0.00338	0.10352	0.00182	0.00076	0.0	0.00122	0.0	0.01995	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Bilophila_wadsworthia	0	0.0	0.0	0.06142	0.00456	0.0	0.00632	0.02437	0.00298	0.01483	0.02106	0.03875	0.0475	0.04189	0.03013	0.03014	0.0	0.0	0.00322	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
