clade_name	NCBI_tax_id	A01_02_1FE	A02_01_1FE	A03_01_1FE	A04_01_1FE	A04_04_1FE	A05_01_1FE	A06_01_1FE	A07_01_1FE	A08_01_1FE	A09_01_1FE	A09_02_1FE	A10_01_1FE	A10_02_1FE	A11_01_1FE	A13_01_1FE	A13_03_1FE	A14_01_1FE	A15_02_1FE	A19_01_1FE	A19_03_1FE	A20_01_1FE	A20_03_1FE	A22_01_1FE	A23_01_1FE	A24_02_1FE	A24_04_1FE	A25_01_1FE	A27_02_1FE	A28_02_1FE	A29_01_1FE	A32_01_1FE	A34_01_1FE	A34_02_1FE	A35_01_1FE	A36_01_1FE	A36_02_1FE	A39_01_1FE	A39_02_1FE	A39_04_1FE	A40_02_1FE	A41_01_1FE	A42_02_1FE	A43_02_1FE	A44_01_1FE	A45_02_1FE	A46_01_1FE	A46_02_1FE	A47_01_1FE	A47_02_1FE	A48_01_1FE	A48_05_1FE	A49_01_1FE	A53_01_1FE	A54_02_1FE	A55_01_1FE	A55_02_1FE	A56_01_1FE	A58_01_1FE	A58_03_1FE	A59_01_1FE	A62_01_1FE	A62_03_1FE	A66_02_1FE	A67_01_1FE	A68_01_1FE	A69_01_1FE	A69_02_1FE	A70_01_1FE	A70_03_1FE	A72_01_1FE	A72_02_1FE	A73_01_1FE	A73_02_1FE	A75_02_1FE	A79_02_1FE	A81_01_1FE	A81_03_1FE	A82_02_1FE	A83_02_1FE	A85_01_1FE	A88_02_1FE	A89_01_1FE	A89_02_1FE	A90_03_1FE	A90_04_1FE	A91_01_1FE	A91_02_1FE	A92_01_1FE	A93_01_1FE	A94_01_1FE	A94_02_1FE	A94_03_1FE	A95_01_1FE	V01_01_1FE	V06_02_1FE	V07_01_2FE	V07_02_2FE	V12_01_2FE	V18_02_1FE	V19_01_2FE	V19_02_2FE	V30_01_1FE	V31_01_2FE	V32_02_2FE	V36_02_2FE	V40_01_1FE	V48_03_2FE	V50_01_1FE	V50_01_2FE	V50_02_1FE	V53_02_1FE	V54_01_1FE
s__Prevotella_stercorea	0	20.67294	0.96401	1.96229	1.89532	15.56996	0.5094	0.15057	0.66564	0.78716	2.12002	0.06947	2.35795	4.34539	0.00018	0.0	0.21074	0.00768	0.0	0.53377	0.40039	0.02515	0.0	4.74984	0.0	0.58472	0.0	11.39191	0.13936	0.0	0.4699	0.32029	5.42767	0.01632	0.00097	0.71828	0.11989	0.0	3.54908	0.00395	0.11455	0.0	0.0	0.0	0.01701	3.17938	0.2749	0.395	4.46291	0.00194	1.31547	0.96764	0.23963	0.19729	0.0	0.0	0.0	2.4485	0.0	0.0	0.65342	0.49647	0.0	0.19622	0.0	0.0	0.0	0.0	9.30372	30.51154	0.0	1.44054	0.43692	0.05228	7.72551	0.12953	0.81338	2.69369	0.0	0.01066	0.15054	0.07993	8.02268	1.08528	0.0	0.09411	4.58985	0.0	0.35454	0.75726	11.31372	14.10639	5.78051	0.0	0.14552	0.0	0.52822	2.39545	0.24074	0.0	7.28528	0.0	1.71479	9.11032	0.0	0.473	0.20991	0.0	0.0	0.0	0.72524	0.246	2.71877
s__Escherichia_coli	0	19.16729	33.01823	5.35422	18.46701	4.3411	15.09751	0.0	0.58341	20.76129	50.71012	52.14681	2.13215	1.14172	2.59707	2.82943	46.15271	45.99252	1.57084	53.32304	42.65919	56.8141	36.88863	0.93564	8.11146	21.91222	0.63424	0.71126	0.61546	15.47884	1.93247	0.09148	5.20731	2.87913	1.84992	17.49017	4.97952	6.57604	5.75062	85.24785	13.29551	30.07293	0.22554	9.24713	22.05707	1.20978	0.64003	10.8633	44.07153	85.35927	3.43259	80.35356	0.23616	8.06157	28.59715	0.22797	19.53255	2.96654	0.02675	0.01679	4.44367	14.56221	81.10554	62.38737	0.78049	40.86985	5.8771	26.66191	11.32317	0.36998	0.87521	4.99578	6.87709	3.31419	0.32886	1.30965	0.02804	1.33089	8.58048	16.64171	1.57284	62.71536	0.59025	0.15209	0.24285	5.08531	6.21467	0.99856	15.20154	2.74152	1.95917	0.2019	13.89454	3.89989	31.92327	0.62825	0.22921	1.15868	1.9857	0.96305	16.07576	3.81222	5.04974	18.52308	58.64625	23.89565	31.10059	3.31271	36.34893	38.48969	0.16075	65.3073	43.01267
s__Roseburia_faecis	0	8.8432	0.14239	0.43007	1.35669	0.00166	1.28061	10.32174	4.44045	0.05216	0.0	0.20748	1.71771	5.3546	0.0	2.42978	1.38967	1.85588	0.0	0.0	0.40596	0.09554	6.6543	6.27733	6.45784	0.17739	36.81469	6.57892	2.42718	1.77866	1.20728	0.28822	2.07988	2.23941	1.88415	4.68344	2.59687	3.6715	0.25468	0.13203	39.57168	0.0	0.21208	0.90306	2.34052	0.80687	2.03496	14.77164	0.03411	0.32394	1.94563	0.11665	25.26293	2.94126	0.75105	0.0	0.11536	1.89705	2.13036	0.09305	0.30534	0.08746	0.69253	2.44907	0.15915	0.0719	27.88343	2.76008	4.13479	0.15267	0.54287	1.43014	0.42634	0.16884	6.40994	0.72965	0.0	1.62447	0.0	0.73479	2.01403	0.39904	0.36325	4.23732	1.83736	2.75506	0.44633	0.0	0.46161	0.06804	2.71453	0.93703	3.25288	0.05557	1.35897	3.27632	0.774	1.09183	2.51516	2.59476	0.0231	2.97231	0.70615	0.43747	1.87366	15.95209	1.00517	1.84033	5.16628	1.55973	2.57979	1.83266	1.30933
s__Collinsella_aerofaciens	0	7.45014	2.2993	10.56405	3.33548	2.13473	9.11012	0.24568	8.44275	6.21762	6.8013	7.40702	0.70271	2.88355	32.91375	26.56112	5.25314	4.34893	0.10664	4.34287	8.51476	0.43704	0.19931	0.3277	13.37361	2.07686	7.69721	0.39056	2.71649	11.31715	14.78439	1.18356	1.11192	19.27702	1.987	4.36789	1.60669	16.58049	1.06661	3.61283	0.83139	0.68543	20.60621	0.10468	23.98201	0.95315	0.52525	2.72272	6.19871	0.64105	4.61376	0.32604	3.1736	0.93537	3.48544	0.0	19.14822	5.11842	0.52356	51.51913	17.46159	0.96025	3.70196	8.73797	2.34713	4.37311	1.2883	2.9013	1.24355	2.4749	0.35474	2.15611	3.20596	2.94744	8.02596	12.52875	2.66724	0.72806	11.89393	16.05693	3.09332	4.22388	1.35611	0.33843	1.55863	2.85587	3.33889	0.21294	25.30135	29.06475	0.50425	4.15896	0.17257	1.88886	4.1463	4.43623	0.44568	0.28946	0.15354	9.45174	2.97401	3.58678	5.99052	1.71735	9.26238	0.15184	2.89626	16.65188	15.53561	1.65223	2.01558	14.9027	4.42342
s__Actinomyces_turicensis	0	6.49973	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00024	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01169	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.63027	0.0	0.0	0.0	0.0	0.0	6.29968	0.0	0.0	0.0	0.0	0.0	0.0	0.00444	0.01386	0.0	0.0	0.0	0.0	0.00879	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Prevotella_copri	0	6.17516	12.13411	49.1874	33.59587	23.14846	4.8061	77.56366	8.61534	3.49704	7.7603	0.71815	37.95413	2.73036	2.23255	14.30566	9.59404	5.06509	0.0	2.13389	20.58921	8.95239	34.39103	3.44798	2.72838	4.63306	8.39053	13.42279	0.0029	2.95523	10.2251	10.2181	12.93391	2.66675	28.70776	3.59259	33.22387	5.98742	1.99488	1.85786	2.44356	1.7125	11.9001	45.30996	4.43713	37.81169	28.83178	0.94224	11.57374	0.13872	11.10078	1.4884	41.64385	4.0621	14.9598	0.0	1.19871	8.47092	0.0	4.74876	17.08552	2.48243	1.58915	5.75585	2.61293	0.19067	5.18978	15.77487	23.69478	7.59457	33.92302	32.2348	7.69167	4.74506	16.55057	2.83288	3.49315	25.77791	0.9725	0.57791	19.62072	0.19867	16.12521	7.90056	11.88066	4.79249	5.51803	3.43285	2.16547	7.87548	53.58397	13.20505	34.23016	6.40658	3.12987	8.58468	19.7261	4.82004	35.39188	0.81747	29.01576	11.62332	6.74919	38.07789	0.97379	3.38417	4.10893	11.39694	14.72502	6.87182	6.82529	0.14361	6.37842
s__Faecalibacterium_prausnitzii	0	5.74466	0.66661	4.1337	2.36855	7.11891	1.48048	3.76891	20.5903	9.14866	1.64007	0.2254	3.06943	4.70509	0.26008	1.44552	1.06983	2.08421	0.02164	1.03486	1.5217	0.59074	2.21785	15.8395	1.48598	4.4134	4.15402	8.83886	10.36269	5.82528	1.85758	7.36025	4.21242	2.08373	7.48495	6.94781	2.69096	1.96031	11.86135	0.29429	0.50913	5.92718	2.76727	5.9798	3.36702	9.26925	1.41988	10.0938	2.3638	0.41024	9.6358	1.2003	6.69977	10.80943	4.49905	9.60292	5.4208	17.77733	5.69086	0.10457	4.09378	0.52898	0.57793	0.7029	19.60821	0.15142	9.10449	3.49599	5.42325	1.11981	9.24636	3.97576	23.83631	0.46828	15.29138	2.62923	3.46392	8.44917	2.21229	3.40595	5.08455	0.16596	8.37864	10.84749	7.20744	8.69506	17.28113	28.51277	1.66948	2.19855	16.73725	6.6635	17.68569	1.86903	0.30949	8.84801	1.98269	22.14208	10.80633	2.97359	6.68221	20.07005	10.36749	7.64295	1.41418	9.84982	1.88992	5.5901	2.72957	22.91503	4.07399	1.49187	1.76652
s__Bifidobacterium_longum	0	5.66558	0.0	1.22384	0.0051	0.0	0.0	0.0	0.0	0.0	0.0	0.05536	0.0	0.0	0.22975	7.15268	0.0	0.0	0.0	0.0	1.20426	0.0	0.0064	0.02808	0.0	0.0	0.90599	0.0	0.49131	0.88607	1.83319	0.0	0.0	0.0	0.0	0.0	0.9069	0.0	0.0	0.0	0.0	0.14417	4.28824	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00052	0.0	0.0	0.0	7.82017	0.0	0.0	15.41985	0.0	0.0	0.08479	1.47559	0.0	0.0	0.0	0.2254	0.03805	0.0	0.0	0.0	0.0	0.0	0.05374	0.0	0.0	0.0	0.5815	8.13851	0.74857	0.0	0.0	0.0	0.04845	1.99272	0.0	0.0099	0.0	0.00237	0.05211	0.0	0.17531	0.0	0.0	0.0	0.0	0.0	0.0432	0.0	0.0	0.0	0.11856	0.0	0.0	0.0	0.07728	0.0	0.0	0.0	0.0	0.00204	0.0
s__Gemmiger_formicilis	0	4.77563	1.01772	0.96562	0.39852	0.42699	0.824	0.0	0.6248	0.16407	3.10502	0.07687	0.21991	0.3505	0.90893	2.86997	0.43527	0.88937	0.0	0.35485	0.76028	0.16333	0.15766	0.04225	0.29294	0.4105	0.06218	0.00087	0.78398	1.58301	1.39903	0.12159	0.0744	0.57125	0.0	0.84465	0.11104	1.29046	0.12441	0.06029	0.57189	0.4704	0.66206	0.00812	2.45304	0.03707	0.43876	0.20734	0.25728	0.45258	0.11019	0.0218	0.0	0.09051	0.34635	0.17774	1.65478	0.12211	0.07922	0.35188	1.49044	0.44332	0.05794	0.98426	1.72686	0.98934	0.27675	0.13612	0.09326	0.62273	0.44108	0.34774	0.2075	0.16774	0.33795	1.26664	1.47721	0.03523	0.10695	3.80267	0.27242	0.31967	0.06364	0.04161	1.07762	0.0522	0.31742	0.07195	2.84214	3.85697	0.01306	0.03597	0.04542	1.8436	0.87579	0.40168	0.15905	0.2137	0.03905	2.51621	0.29097	0.35544	0.82088	0.30666	2.77509	0.12233	0.28154	0.89077	1.00056	0.37314	0.02091	0.02368	0.50839
s__Roseburia_inulinivorans	0	3.11681	0.36028	2.23298	0.97788	3.38536	3.41062	0.0449	1.72531	0.46106	0.19624	0.05526	2.02893	9.52581	0.0	0.01398	0.01557	1.12035	12.81451	0.05716	0.33661	0.13697	2.69379	1.51253	0.14324	1.29883	0.04686	2.01491	3.55061	0.02688	0.0	3.64763	0.40571	0.0945	1.22129	6.21333	0.03071	0.04726	2.14331	0.2096	0.18403	6.97673	0.40785	11.93465	0.39823	0.77091	1.70053	2.7163	2.1988	0.36697	0.77022	0.93911	0.93213	25.18289	2.34257	0.12998	0.15259	0.18583	0.23904	0.03074	2.24141	0.06198	0.33236	0.5118	1.17906	0.03153	7.3506	0.82189	2.6675	0.76096	6.42932	1.03559	0.78129	0.42317	0.02015	0.82646	0.03199	2.00429	0.37337	0.13808	3.89921	0.15732	1.95121	2.53837	8.56354	5.29586	0.80035	5.26486	0.2255	0.02566	1.99165	1.39353	1.38736	0.97982	0.03839	2.84892	3.68646	1.66861	0.11591	0.56106	6.51722	3.72987	1.78531	0.44872	0.0	0.4057	3.46653	0.12913	0.39922	1.87895	5.56304	0.2141	0.47467
