clade_name	NCBI_tax_id	SID010101	SID010102	SID010104	SID010201	SID010202	SID010204	SID010301	SID010302	SID010304	SID010401	SID010402	SID010404	SID01A_000	SID01A_006	SID01A_220	SID01B_000	SID01B_007	SID01B_221	SID01C_235	SID01C_566	SID01D_013	SID01D_190	SID01D_570	SID01E_000	SID01E_015	SID01E_191	SID01F_239	SID01F_573	SID01G_000	SID01G_005	SID01G_234	SID01H_011	SID01H_202	SID01H_568	SID01I_012	SID01I_569	SID01J_010	SID01J_173	SID020101	SID020102	SID020104	SID020201	SID020202	SID020204	SID020301	SID020302	SID020304	SID02A_561	SID02B_552	SID02C_553	SID030101	SID030102	SID030104	SID030201	SID030202	SID030204	SID030301	SID030502	SID030504	SID030601	SID030602	SID030604	SID030701	SID030702	SID030704	SID03A_000	SID03B_000	SID03C_000	SID03D_000	SID03E_000	SID03F_000	SID03G_000	SID040101	SID040104	SID040201	SID040202	SID040203	SID040204	SID040301	SID040303	SID040304	SID04B_564	SID04C_565	SID04D_562	SID04E_563	SID05A_000	SID05B_000	SID05C_000	SID05D_000	SID060101	SID060102	SID060201	SID060202	SID060301	SID060302	SID060401	SID060402	SID060502	SID060601	SID060602	SID07A_558	SID07C_541	SID07D_542	SID07E_559	SID080101	SID080102	SID080104	SID080301	SID080302	SID080304	SID08A_000	SID08A_022	SID08A_236	SID08B_044	SID08C_021	SID08D_079	SID08D_257	SID08D_572	SID08E_000	SID08E_041	SID08E_160	SID08F_000	SID08F_040	SID08G_000	SID08G_023	SID08H_000	SID08H_008	SID08I_009	SID08I_170	SID08I_545	SID08J_078	SID08K_032	SID08K_237	SID08K_560	SID090101	SID090102	SID090201	SID09A_515	SID09B_516	SID09C_517	SID09D_518	SID09E_519	SID100201	SID100202	SID100204	SID100301	SID100302	SID100304	SID100401	SID100402	SID100404	SID140101	SID140102	SID140104	SID140201	SID140202	SID140301	SID140302	SID140304	SID190101	SID190104	SID210101	SID210102	SID210104	SID210201	SID210204	SID210301	SID210302	SID210304	SID210401	SID210402	SID210404	SID240101	SID240102	SID240104	SID240201	SID240202	SID240301	SID240302	SID240304	SID240401	SID240402	SID250101	SID250102	SID250104	SID250301	SID250501	SID250502	SID250701	SID250702	SID250704
s__Prevotella_copri	0	33.42934	16.52634	3.30495	21.33629	19.55051	10.75675	35.37814	19.9611	6.28071	52.4881	12.9887	18.87918	0.09634	0.0	0.0	0.92618	0.0	0.0	0.0	0.76372	0.0	1.88536	4.90524	17.38987	0.0	0.0	0.0	0.05783	0.00229	0.0	0.0	0.0	0.06871	0.01692	0.0	2.08326	0.0	0.0	28.89529	16.84847	3.08299	25.77261	18.73184	9.03046	37.33154	19.67671	6.654	0.1897	0.62156	0.39098	5.28017	54.56835	12.38507	16.51448	20.76444	32.49299	5.82067	36.51129	24.41543	28.62801	29.46149	13.72729	28.09679	18.11928	34.35648	1.82293	5.6597	0.96026	0.0	0.0	0.37848	0.0	8.65021	32.53012	41.05308	50.27166	3.68553	43.59752	20.79728	6.13822	35.73259	0.0	0.0	0.20058	0.0	0.96778	16.00482	0.00766	0.88221	5.40082	14.55479	8.72619	8.36977	28.42658	18.05332	2.62979	26.55919	3.57063	38.24588	38.84203	2.27251	0.08624	0.0	0.00763	30.82151	7.89948	20.44254	32.90297	25.7153	30.40782	6.23811	0.00097	11.90862	0.0	2.1077	0.0	0.05049	0.58565	1.17569	0.0	0.37387	0.0	0.0	0.05056	0.0	0.5196	0.0	0.0	1.63559	0.0	0.0	0.28904	14.99425	0.14146	17.54632	18.62468	33.75655	0.52633	0.0	0.0022	0.0	0.0	8.77342	27.87794	37.81598	28.16018	8.53189	25.39772	38.20371	18.82588	43.05447	3.11265	4.32626	5.89018	17.90378	4.48344	23.97021	6.7869	3.99052	45.09614	40.70171	19.04388	35.06578	7.37674	5.55392	21.5097	4.58544	8.51122	3.79163	10.34223	7.43673	3.53944	45.62338	44.37693	48.99603	42.88259	9.4846	15.6117	61.69573	20.72711	4.27163	23.03078	22.64785	48.79834	43.91298	35.63647	47.82739	46.48061	4.74944	20.33245	58.78741
s__Prevotella_sp_CAG_520	0	8.44302	2.72683	2.11327	0.27328	0.0	0.0	9.1138	1.00263	0.01563	5.34745	3.27585	2.56765	0.0	0.0	0.0	6.50918	0.0	0.0	0.0	0.49318	0.0	0.0	0.0	3.50122	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.53149	0.0	0.0	7.33313	3.2379	2.20069	0.16296	0.0	0.0	8.18443	0.841	0.04713	0.0	0.0371	0.0	0.0	5.88157	3.1846	7.08102	1.7864	0.0	0.0	0.0	0.0	0.0	2.07322	1.13153	4.33255	2.91124	0.01006	0.0	0.0	1.5077	0.08682	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.38136	2.60449	0.0	0.0	0.0	0.0	0.0	9.22256	2.34883	0.0	1.12216	0.0	4.27236	1.022	1.70558	0.0	5.79706	0.0	0.0	0.0	0.0	0.00201	0.0	0.27183	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.58665	0.0	0.0	0.0	0.0	0.0	0.0	0.06056	1.21246	5.75369	0.0	0.07921	0.01885	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00377	1.5401	2.89639	0.01306	0.0	0.0	0.0	0.0	0.0	0.94461	0.0	0.0	0.0	0.0	0.0	0.31142	2.55537	0.0276	1.05952	0.29753	0.38174	0.00702	0.0	4.62962	0.66902	0.0	5.74252	1.16434	3.06636	0.07274	3.36196	0.5658	0.86585	0.3233	0.01841	0.0	2.05362	0.76083	0.0	5.41464	1.94452	3.95083	5.50883	0.05778	0.0	0.0	0.71557	4.11874	0.59908	0.0	0.0	0.23773	1.62312	3.94617	7.26261	0.01933	0.0	0.0
s__Ruminococcus_bromii	0	7.96496	12.434	13.74113	3.07415	3.22944	20.1022	2.46216	5.26481	28.52864	0.0	7.0428	3.99266	0.12978	0.0	12.06334	0.02307	0.0	18.85532	15.65434	0.18296	0.0	0.0	0.14132	0.0	0.0	0.15682	0.0	0.56964	0.00257	0.0	0.0	0.07202	21.14389	0.02471	0.0	1.50096	0.0	0.0	10.71425	13.17849	13.78167	2.01393	3.60617	17.28256	3.01825	5.3848	27.46707	0.18106	0.08392	0.75221	0.16122	0.0	6.23976	2.04857	6.16638	4.47465	1.20978	6.51119	8.7141	0.15226	4.80145	0.0	1.07665	2.05859	4.39887	0.0	0.38324	1.37079	0.69276	0.0	0.02074	0.00963	1.5352	6.87443	0.28766	0.0	0.0	1.38024	0.0	10.76262	0.0	0.31358	0.24255	0.02123	0.19931	0.03163	0.0	0.01083	0.0	0.0	0.0	11.64352	31.7908	2.21673	2.52438	0.90727	0.17717	1.98129	0.97786	7.04989	0.03342	0.1447	0.15028	0.00399	3.54548	4.56507	0.18158	3.34751	7.38199	3.6207	0.33789	0.05734	6.56963	0.0	0.0	0.0	7.52803	0.31905	0.20976	0.26205	0.45921	0.35399	0.0	0.0	0.01187	0.0	0.0	2.35144	11.89937	0.08083	0.20148	0.2347	8.17382	0.0	0.0	1.89048	4.27005	1.20782	0.10336	0.0	0.0	0.08628	11.68331	2.32656	0.93993	4.30685	5.33313	0.20258	3.02645	2.86007	3.17559	0.52673	1.58929	9.2137	4.49763	7.30996	0.0	0.0	1.90738	0.60533	3.48198	2.64496	4.27019	0.67733	1.0738	2.03568	8.59667	7.93948	5.89718	0.0	0.0	1.04389	0.56795	2.9388	2.47676	14.36865	14.24771	5.6992	5.76223	1.71069	0.0	0.1058	0.0	0.0	0.06106	5.20926	2.6399	12.07518	7.53324	7.65416	5.83592
s__Prevotella_sp_CAG_5226	0	4.81818	1.62016	0.9422	0.201	0.05839	0.0	1.39816	0.85651	0.78775	0.80345	0.66357	2.22472	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14707	0.0	0.0	4.46248	1.83215	0.7529	0.10628	0.0466	0.0	1.65393	0.95154	0.79673	0.0	0.0	0.0	0.0	0.78015	0.68892	0.0	2.11737	0.15231	0.0	0.0	0.0	0.10346	0.66405	0.0	0.45584	0.0	0.0	0.0	0.0	0.0	0.02175	0.0	0.0	0.0	0.0	0.0	0.0	0.70796	0.0	0.0	3.15291	1.45847	2.56398	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.59821	0.74504	1.07835	2.48026	0.0	0.0	0.34445	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.6598	1.67639	1.36926	0.10965	0.00183	0.48987	0.0	0.0	0.0	0.0	1.94078	0.0	0.0	0.10825	0.0	0.0	0.02538	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.74657	2.3632	0.0	5.84605	2.33554	0.95071	1.70216	0.12538	1.94251	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.98434	1.46444	0.09244	1.47123	0.0	0.0	1.79241	0.0	0.0	0.0	0.0	0.0	0.0	3.01535	1.42452	2.54581	0.08722	0.02885	0.70627	1.4184	1.8331	0.0	0.2743	0.0	0.0	0.0	1.2934	2.37036	0.04721	0.0	1.01453	1.44028
s__Prevotella_sp_AM42_24	0	3.75184	1.95215	0.42842	0.94581	0.08761	0.0	2.94342	7.05742	0.27399	0.03522	0.00397	2.35267	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00871	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.31294	1.87853	0.40098	0.7203	0.07238	0.0	2.35411	6.45892	0.16816	0.0	0.0	0.0	0.45406	0.0282	0.00929	1.66252	1.73641	2.65294	0.76411	0.0	3.08984	0.0	0.27428	0.29326	0.02673	0.49936	1.19514	0.0	0.0	0.0	0.0	0.0	0.00249	0.0	0.35884	0.0	0.0	1.80671	0.0	0.0	2.54767	2.47589	4.57266	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.02535	2.01431	3.77246	6.63627	1.42859	0.58964	0.0	1.50264	1.56537	0.0	0.0	0.0	0.0	0.0	6.4109	4.00415	0.11895	2.98192	3.65215	0.1619	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01843	0.0	0.0	0.0	0.0	0.0	0.35166	0.4506	1.16269	0.0	0.0	0.0	0.0	0.0	2.06124	5.7673	1.39552	7.33043	4.22891	0.14413	0.44161	0.67802	0.35473	0.12109	0.0	0.0	0.16599	0.89912	0.078	0.09326	0.64868	1.32429	0.53306	0.8585	0.31215	0.46503	0.0	0.12963	0.00078	0.07195	1.43073	0.0392	0.08238	1.00919	1.36326	1.07548	1.1516	0.46752	0.08252	0.10895	0.97377	0.10017	0.0	0.18984	0.00596	0.37964	1.78781	0.9112	1.14912	0.45054	0.05728	0.14209	0.86628
s__Collinsella_aerofaciens	0	3.46043	9.82449	3.37436	10.51722	11.21299	6.50317	2.73537	5.50893	3.14638	2.88795	10.819	12.19118	21.25981	43.84101	3.60095	17.39388	47.81069	5.24925	34.06227	23.04265	33.91996	10.46274	13.82795	12.15157	57.62648	7.44645	0.0154	30.83313	3.18342	6.36109	9.40011	31.28544	1.32104	8.6742	95.0615	24.80554	0.0	0.0	4.86471	9.08558	4.1193	8.32167	10.33413	7.9126	3.15691	6.19712	3.54442	21.57414	13.27877	16.18081	13.94314	2.46186	11.39702	20.94363	10.37304	3.59745	11.19402	7.26536	6.22837	12.91029	4.09551	7.70557	17.36234	6.00473	3.70348	11.23085	11.83147	20.44988	20.96995	12.95486	5.83771	0.0	9.69079	4.59294	3.68589	18.75633	34.18081	4.123	33.04149	33.70395	15.94232	11.86866	14.02208	23.60918	32.13982	15.85335	12.43264	3.35564	10.43955	33.53635	32.03529	6.1758	11.24698	7.24262	18.42136	8.73884	14.80252	4.87033	6.99321	6.00396	13.96642	24.21736	34.93789	9.93663	4.82764	4.76268	2.92405	3.38067	5.91185	4.05936	11.82028	34.14735	12.93707	38.12417	46.03025	19.97232	5.94732	29.31943	27.97454	77.24929	12.33622	27.78024	51.23041	14.27128	46.20488	6.87345	28.50733	43.36384	15.31336	25.08673	78.12409	17.34161	4.99731	16.75942	8.55825	5.77731	3.97247	26.34568	19.45965	14.87042	34.37179	31.37222	6.89497	7.77178	7.67749	4.54508	4.67934	3.20352	2.35437	1.81255	3.81588	12.6804	6.30304	1.29525	2.51694	3.13327	0.68352	2.13187	7.08376	4.36907	2.05301	1.92502	4.44318	9.23803	5.39972	3.39958	1.51432	1.79904	3.90395	0.3037	2.37391	8.33157	4.16319	3.55471	2.97015	3.37066	1.69058	1.78517	2.30706	2.77123	0.0	5.13879	2.1398	1.0249	2.1373	4.14331	3.06088	2.77853	0.73786	2.12031	2.57457
s__Faecalibacterium_prausnitzii	0	3.17322	7.71218	7.23342	10.53154	10.8994	5.56197	7.49584	10.34421	16.25702	4.17246	7.60699	12.32895	3.55061	3.89991	1.1053	16.4102	7.21171	0.0	1.38145	6.18164	13.29988	6.14533	13.69358	8.27502	0.0881	2.43051	0.0	1.84136	0.10899	0.0	0.0	0.0	0.43001	0.76491	3.03036	12.27899	0.0	0.0523	3.40757	7.26382	7.67379	10.05744	11.175	6.03745	6.20671	11.80354	16.55102	7.02227	8.97598	2.05083	8.76803	3.71692	7.78393	17.01811	11.63928	9.05015	8.42433	8.13857	10.5337	12.32676	8.10894	11.72264	17.29421	7.50074	7.19946	3.8682	14.34429	13.02574	5.89992	31.50146	6.8811	3.10532	10.41052	23.30145	26.05118	19.78695	18.04158	21.43099	25.36728	12.3968	27.43283	2.02527	2.59354	4.38334	0.83064	12.08391	8.58993	0.41082	8.70631	23.47561	28.38802	5.48051	11.19559	7.07437	17.00163	5.61395	13.11131	4.97746	7.41385	8.16933	10.64103	6.10603	2.01252	0.83545	8.64591	10.58941	6.77845	9.23322	10.3916	7.84749	14.46306	2.48905	4.92835	2.5966	18.63592	0.0	1.38193	11.70853	17.22903	1.37625	7.36962	5.51916	3.36274	26.24309	2.61734	3.7725	0.04416	15.27264	4.14213	5.68523	3.86429	8.22959	2.28564	8.47065	11.67324	7.04785	8.13571	3.32094	1.4153	1.65767	4.70228	0.70606	5.68076	7.75002	7.47604	8.66983	9.75933	7.23864	4.68785	5.91952	5.96856	4.62708	2.08952	5.48041	8.80337	7.14325	4.57657	1.13578	6.25592	4.55214	5.68332	6.4851	4.77089	6.8961	1.78809	9.42535	5.29749	7.37738	10.15996	2.01878	1.17408	4.59487	4.50777	3.42434	4.93257	3.32819	0.68441	1.46466	4.16738	8.8731	0.12292	4.0671	18.34075	6.03326	8.82179	5.26136	5.23135	4.26062	0.36698	1.6385	4.68022
s__Roseburia_inulinivorans	0	2.75907	0.37494	1.25888	0.83604	1.70697	1.15961	0.53706	0.4967	1.01483	0.44993	1.84523	0.80655	0.01606	0.0	3.55588	0.0751	0.0	0.0	0.0	0.02246	0.0	1.72923	0.18877	0.20883	0.0	0.64015	0.0	0.0	0.0	0.0	0.0	0.0	0.04258	0.00594	0.0	0.0	0.0	0.0	2.10118	0.3199	1.27801	0.78198	1.66137	1.08458	0.44727	0.57035	1.02947	0.0	0.05715	0.06239	0.0	0.45288	1.90952	0.35918	0.81892	4.6844	0.0	1.15655	0.49303	0.0	1.67995	0.02116	0.02585	1.63538	2.52044	0.0	0.12246	0.06143	0.0	0.0	0.00466	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02325	0.12966	0.0	0.0	0.0	0.0	1.12561	0.0135	1.11381	0.288	0.0	0.0	0.34501	0.68251	0.94683	0.0549	0.0	0.0	0.00558	4.81349	1.129	0.59755	5.31733	0.53846	1.42196	0.10168	0.0	1.00329	0.0	0.04671	0.0	0.0	0.0	0.0	0.0	2.02293	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11192	0.0	0.0	0.0	1.69573	0.0	0.06001	1.70343	2.282	0.08152	0.0	0.0	0.0	0.0	1.17853	0.99655	0.63081	5.24865	1.24473	0.50173	0.66613	0.59187	0.48078	0.33267	0.06603	1.58895	2.71152	1.61001	0.06128	0.04928	5.1689	1.11969	0.71488	0.85597	0.37893	0.91697	0.08506	1.30159	1.49883	1.47677	2.44935	0.02634	0.05349	4.64943	1.18523	1.64064	0.05765	0.43324	0.0	0.0	0.34879	1.15005	0.0	0.12176	6.42583	4.94262	1.23709	2.94484	0.10359	0.55997	0.0	0.0	0.33751
s__Streptococcus_salivarius	0	2.4299	0.0	0.18034	0.35149	0.03505	0.0	0.14897	0.0	0.09131	3.63261	3.40737	1.23834	0.0	0.0	0.45009	0.49617	0.0	4.75763	0.12583	0.0	0.0	1.03701	0.0127	0.0	0.0	0.00822	0.08887	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02312	2.081	0.0118	0.1577	0.25683	0.04489	0.0	0.12242	0.0	0.09415	0.0	0.0	0.02242	0.0	3.85217	3.44711	0.00547	1.12517	0.52827	0.0	0.0	2.68601	0.05066	0.63162	0.31593	0.0	0.38001	2.46425	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2169	0.0	0.0	0.0	0.0	0.0	0.12951	0.0292	0.19993	0.0	0.0	0.04411	0.0	1.30127	0.0	0.0	0.0	0.0	0.0	3.95408	0.21407	1.52539	0.57019	3.21859	0.61571	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03254	1.56184	0.0	0.36739	0.42018	1.87207	0.03357	0.0	0.0	0.0	0.0	0.13876	0.15792	1.03043	4.61088	0.25391	1.50502	1.19711	0.08648	0.31741	1.50178	0.12289	0.04511	0.0	0.0	0.67446	0.0	0.40852	0.47619	0.87873	0.08065	0.35216	3.34932	0.1062	0.07172	0.05852	0.0	0.0	0.3088	0.00306	0.20441	0.39571	0.43919	0.68008	0.15014	1.05598	0.04411	0.0	0.08043	0.0	0.0	2.25499	1.1389	0.65806	0.40095	0.7282	0.20698	1.47403	0.01563	0.01631
s__Bifidobacterium_adolescentis	0	2.21104	1.95373	8.02929	2.34107	6.088	3.43418	1.30768	9.63361	1.14527	2.88097	4.78053	7.82675	0.0	0.0	0.0	9.24997	0.0	0.0	0.0	21.16359	0.0	0.0	29.09093	4.33345	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.69797	0.0	28.15856	0.0	0.0	3.62807	1.96044	9.79547	1.41103	6.23951	4.34539	1.61947	9.15533	1.05724	41.21799	3.53545	9.85196	14.11251	2.98786	5.05087	13.05515	6.30133	0.86655	55.06753	1.22625	1.79928	3.1889	0.60093	10.28138	19.50095	1.65102	0.73102	7.92514	31.68306	0.06254	1.52924	11.79588	28.78952	0.0	12.84939	0.26173	0.0	0.0	9.70137	0.0	0.0	5.12135	0.0	9.34342	25.65833	7.22212	16.12246	16.23291	3.14064	0.0	46.8933	8.76872	0.62394	0.41149	1.87406	14.87088	13.0127	61.29443	6.20339	56.59039	12.80958	1.51589	41.89958	28.7763	0.0	8.6446	3.40773	31.32416	9.47881	0.73243	1.81805	0.39094	34.06037	24.01726	16.36799	27.41753	3.56903	57.72063	41.17782	34.94743	0.30568	2.15496	4.94723	1.31637	24.79878	17.08918	45.96669	35.94389	10.87559	26.02781	15.32151	43.284	7.07494	5.07229	0.01707	4.54282	8.48288	1.71773	0.99938	15.30585	13.23196	28.37194	10.03878	15.44108	0.37832	15.82718	14.45539	2.57186	28.45437	8.04703	7.72696	32.4067	12.49011	2.26789	18.64901	2.05325	1.50027	2.1809	0.0	0.1615	2.10945	2.39048	6.47449	29.63359	18.56237	7.02728	31.16619	0.0	2.13433	3.92431	5.5338	0.0	0.26516	3.66397	2.33906	4.23857	1.45174	2.36085	0.60634	1.79171	1.7606	0.0	0.0	0.92257	0.01834	0.62298	0.0	5.61738	1.57799	1.88059	0.3881	2.45278	2.08435
s__Firmicutes_bacterium_CAG_791	0	2.12583	5.04958	2.97312	0.0	0.0	0.37799	1.387	5.90261	0.99057	0.0	0.0	1.04912	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.52153	0.0	0.0	2.71934	5.26286	3.46003	0.0	0.0	0.52257	1.26086	5.79895	1.04335	0.10901	0.0	0.0	3.76021	0.0	0.0	0.0	0.72954	0.0	0.0	0.0	0.0	0.0	0.0	0.17729	0.0	0.417	0.0	0.56743	0.03895	0.0	0.0	0.0	0.0	0.0	4.03154	1.14696	0.04557	0.0	4.29809	0.00343	0.0	0.24147	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.66422	0.48085	0.28572	0.40161	1.11236	0.04975	0.0	0.0	0.0	0.40922	0.0	0.0	0.0	0.0	0.0	0.21616	0.0	0.38084	0.0	0.0	0.0	0.02027	0.0	0.24593	0.0	0.0	0.0	1.07844	0.36934	0.02242	0.0	0.69167	0.0	0.0	0.0	0.0	0.0	0.0	0.43157	0.82486	0.01751	0.0	0.0	0.0	0.0	0.31518	0.44934	0.00172	0.0	0.0	0.0	0.0	0.0	0.33201	1.61913	0.28004	0.17916	0.0	0.57543	1.59682	1.38252	1.12894	0.12277	0.3569	1.4142	0.10904	0.15798	0.41625	2.47883	0.0	1.12705	1.28708	1.36142	0.93271	0.39921	0.66937	0.0	1.22983	0.05047	0.0625	0.2073	2.7668	0.0	1.13003	1.05538	0.13022	3.30872	2.03425	0.0	0.0	0.00326	0.5146	11.4216	0.0	0.0	0.0	0.80026	0.1361	2.74544	1.20449	0.0	0.0
s__Ruminococcus_torques	0	1.96131	3.07807	2.6694	1.53987	1.14058	2.56818	0.92375	1.25399	2.43953	0.91337	1.78456	1.43412	0.0	0.0	0.32946	1.36995	0.0	0.78819	1.9639	0.04305	1.83955	2.65649	0.33185	0.18357	0.0	0.43945	0.0	0.21767	0.0	0.0	0.0	0.0	0.01058	0.04706	0.0	0.19031	0.0	0.0	1.90865	3.08235	2.91449	1.40067	1.25725	2.43865	0.92754	1.31951	2.27909	0.0	0.07506	1.25391	0.0	0.8062	1.85147	0.23462	1.82743	3.86219	0.26552	0.27646	5.41795	0.46754	2.63025	0.70692	0.0	1.64103	1.54134	0.0	0.02921	0.08113	0.07201	0.0	0.0	0.05029	0.0	0.0	0.0	0.0	0.29721	0.0	0.05085	1.55395	0.0	0.03016	0.03144	0.0458	0.05035	0.41878	0.14335	0.0	0.0	0.07717	0.21176	4.63833	5.20364	1.11434	0.15776	0.32762	0.33571	1.32624	2.15147	0.46706	0.11613	0.02447	0.04363	0.03836	1.86615	2.28179	5.08988	3.50581	5.65505	3.04606	0.06636	0.0	2.04736	0.0	3.82631	0.0	4.24951	0.02475	0.0	0.0	13.96252	0.04881	0.0	0.0	0.0	0.0	0.01485	0.0	1.19878	0.0	0.0	0.04889	4.80666	0.0	0.80629	1.73007	1.31865	1.9379	0.0289	0.0	0.01559	0.0	4.79301	1.07341	2.16937	1.98223	2.20508	3.9877	0.40528	0.25886	1.16427	4.6544	3.96288	1.01727	0.86162	0.72401	2.06069	0.59792	3.99828	2.17351	0.45086	0.40648	1.09656	3.48103	3.05797	3.34085	0.92581	0.5499	1.1553	0.87088	0.69179	4.33098	2.14919	0.70014	4.26758	0.99734	0.15607	0.10451	0.28689	3.17753	0.10765	1.33559	18.67877	4.24175	1.71827	0.68785	4.33872	1.1203	0.07797	0.21603	0.3075
s__Roseburia_intestinalis	0	1.7683	0.18488	0.1951	0.29024	0.38336	0.00229	0.0795	0.05611	0.06289	0.1201	0.08662	0.11075	0.00603	0.0	1.19534	0.00925	0.0	0.0	0.13365	0.00232	0.0	0.76258	0.0	0.11354	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02593	0.0	0.0	0.0	0.0	0.0	1.48282	0.18648	0.21224	0.20973	0.40344	0.03265	0.08691	0.09571	0.07068	0.0	0.0	0.0	0.0	0.09011	0.09939	0.0	0.08922	0.2291	0.0	0.59696	0.08843	0.6124	0.03134	0.0	0.0	0.57476	0.0	0.0	0.05302	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00723	0.0	0.0	0.15975	0.0	0.0	0.0	0.0	0.0	0.0	0.07259	0.0	0.0	0.01626	0.0	0.19534	0.14747	0.24486	0.0	0.0	0.36311	0.07655	0.28898	0.73018	0.0	0.0	0.0	0.0	0.17471	0.1588	0.1108	0.26706	0.09475	0.01344	0.07003	0.0	0.12608	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01471	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02266	0.0	0.0	0.0	3.41766	0.0	0.0	0.47286	0.0	0.0	0.0	0.0	0.0	0.0	0.22097	0.22617	0.27058	0.20744	0.15679	0.12215	0.04583	0.20394	0.0	0.05289	0.01399	0.22481	0.6547	0.0	0.0411	0.0	0.0	0.46624	0.06791	0.30275	0.0	0.16894	0.02769	0.05649	0.21111	1.21926	0.04114	0.01817	0.0	0.0	0.51124	0.69194	0.07167	0.09066	0.0	0.0	0.15045	0.04625	0.0	0.11069	0.21034	0.22194	0.0973	0.76683	0.09165	0.12936	0.0	0.0	0.14275
s__Prevotella_sp_885	0	1.75299	1.00347	0.60527	0.59563	0.03021	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1565	0.0	0.0	1.38017	1.00597	0.52134	0.37741	0.01167	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09932	0.0	0.68831	0.0	0.18883	0.0	0.47479	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.84776	0.69002	0.0	0.0	0.0	0.04701	0.0	0.0	0.0	0.0	0.0	0.0	2.2184	0.77283	0.49864	0.0	0.0	0.0	0.0	0.0	0.69077	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06482	1.00279	0.0	0.00154	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14302	0.54905	0.0	0.0	0.0	0.0	0.0	0.0	0.63295	0.0	0.59015	0.0	0.0	0.0	0.0	0.0	0.0	2.41642	7.04357	0.22636	3.91082	1.26867	6.44624	0.50561	0.73936	0.72122	0.0	0.0	0.0	1.48515	4.95034	0.60487	0.21685	1.88878	0.74631	2.82676	0.57952	0.37532	0.71937	0.19438	1.46125	0.01178	0.0	0.22908	0.47261	0.59582	0.0	0.0	0.0	0.0	3.26692	0.17715	1.45627	0.0038	0.0	0.26247	0.5027
