clade_name	NCBI_tax_id	Ahn.Mel01	Ahn.Mel04	Ahn.Mel07	Ahn.Mel10	Ahn.Mel13	Ahn.Mel16	Ahn.Mel19	Ahn.Mel22	Ahn.Mel25	Ahn.Mel26	Ahn.Mel27	Ahn.Mel28	Ahn.Mel29	Ahn.Mel30	Ahn.Mel31	Ahn.Mel32	Ahn.Mel34	Ahn.Mel35	Ahn.Mel37	Ahn.Mel38	Ahn.Mel40	Ahn.Mel42	Ahn.Mel43	Ahn.Mel44	Ahn.Mel45	Ahn.Mel46	Ahn.Mel47
s__Butyrivibrio_crossotus	0	44.32072	0.0	0.05269	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.72289	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Faecalibacterium_prausnitzii	0	10.74838	5.1948	2.03602	5.33528	7.65693	3.14788	5.06101	3.49716	8.34344	0.01095	7.59958	0.34751	12.79135	0.01531	10.01409	7.99664	5.05176	0.02855	0.00679	4.02703	10.40268	36.93779	0.11382	5.34633	0.2512	4.32765	0.00293
s__Bacteroides_vulgatus	0	6.87841	1.16295	12.69821	0.0228	15.1411	15.64947	12.93409	0.03019	8.38677	7.3038	0.02298	0.01169	9.93635	23.23692	0.03588	12.7232	17.93921	0.00499	5.30759	1.07243	0.74959	7.02197	0.71087	0.14829	8.39991	4.24376	4.76057
s__Alistipes_putredinis	0	6.18636	0.05413	5.74639	1.04521	0.06974	5.42757	0.04273	5.07592	0.00029	1.27609	0.00239	0.00147	3.08043	0.0	9.98668	8.68938	2.18112	7.81624	0.0	0.0	0.78722	0.0	3.24017	5.45477	7.83211	8.43682	6.47752
s__Roseburia_intestinalis	0	3.2009	0.48605	0.0034	0.00888	0.02529	0.8168	3.22833	0.30865	0.0	0.60555	0.90079	0.0292	1.123	0.0	0.62832	0.3489	4.52829	12.15575	0.0	0.12561	0.0	0.41801	0.00096	0.56991	0.37578	0.09634	0.0
s__Eubacterium_eligens	0	2.12744	0.88352	0.0	3.4019	0.27583	0.0	0.0	0.0	0.0	0.0	0.01353	0.0	6.61719	0.0	1.13056	4.74169	0.0333	0.0	0.0	0.42034	25.4278	0.86785	0.00084	2.9945	0.00218	0.07755	0.52063
s__Ruminococcus_bicirculans	0	2.0001	0.0	0.0	0.29174	5.24796	5.08904	0.0	0.00018	0.89971	0.0	0.0	0.0	0.0	0.0	0.0	2.97463	0.01362	0.08035	0.0	0.0	1.85965	5.98856	0.00122	1.58155	0.0	0.07121	0.0
s__Bacteroides_pectinophilus	0	1.83995	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Fusicatenibacter_saccharivorans	0	1.83081	1.78967	0.08718	0.60721	10.76822	2.23263	0.32704	0.00221	2.11249	10.83164	0.09877	0.10763	0.64499	0.00228	1.36014	3.56834	7.07918	0.01327	0.0	1.8268	1.27576	9.01382	0.05113	1.06793	0.00321	4.65932	0.00795
s__Bacteroides_uniformis	0	1.81479	5.46924	22.81659	5.17172	5.3137	11.82864	8.42278	33.1294	9.35891	3.69317	14.05863	5.58928	4.58409	11.74776	5.87135	7.91881	1.67421	6.53135	11.51765	0.48336	1.05816	4.97174	11.35622	2.50352	26.84449	9.28291	7.10823
s__Parasutterella_excrementihominis	0	1.35024	0.0	0.19292	0.0	0.3119	1.53838	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06654	0.00825	1.19123	0.0	0.31551	0.13292	0.72013	0.00878	2.03602	0.47117	0.10427	0.64949
s__Parabacteroides_distasonis	0	1.25155	1.45096	1.22579	1.45114	2.40037	0.01637	3.87979	2.39456	1.64533	0.00223	0.00533	0.0034	1.77639	14.76338	5.1987	0.6	0.50433	1.09296	3.69679	0.99255	0.44975	0.19227	3.8723	1.78214	0.79904	3.95713	3.72189
s__Roseburia_sp_CAG_303	0	1.11103	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.20138	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Alistipes_finegoldii	0	1.10724	1.66803	0.462	0.12684	0.16733	7.27273	0.00564	5.09067	0.00646	0.00392	2.44335	3.17542	1.0245	0.01248	12.68901	5.77313	0.0	0.0	0.0	0.00495	0.01295	0.16308	0.91697	0.00249	2.43907	0.13818	16.9567
s__Bacteroides_dorei	0	1.03178	7.81029	0.00525	1.27364	0.03267	0.02358	4.67028	8.60028	0.02246	0.28791	27.43299	48.22671	1.55937	0.03183	9.40322	2.19008	0.03068	13.24928	5.05816	0.97462	2.01181	0.64352	33.21011	20.16678	0.0459	1.03276	2.16216
