clade_name	NCBI_tax_id	H1	H10	H11	H12	H13	H14	H15	H16	H17	H18	H19	H2	H20	H21	H22	H23	H24	H25	H26	H27	H3	H4	H5	H6	H7	H8	H9	IT1	IT11	IT13	IT14	IT2	IT3	IT4	IT5	IT6	IT7	IT8
s__Prevotella_copri	0	25.79368	36.77261	29.08933	37.77846	16.78118	11.52479	13.5016	48.37351	22.47007	70.86622	42.75824	13.56774	15.10238	7.99387	6.22158	31.45923	26.03981	2.03987	4.01022	10.98854	21.05408	8.46057	13.52933	21.52784	74.40234	29.63565	20.31003	0.0	2.79686	0.17041	0.0	0.02849	0.01417	0.0	21.78097	0.0	0.0	0.0
s__Prevotella_sp_CAG_1092	0	15.56074	0.23845	0.17147	0.12548	1.03063	0.87043	0.7832	0.67391	0.31985	0.51116	0.11266	0.28107	6.3305	1.82084	0.0	3.20943	1.15841	0.0	0.02453	0.26218	0.46618	0.25152	0.44879	0.82781	0.06476	3.3607	0.37677	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Phascolarctobacterium_succinatutens	0	8.4686	1.49316	2.01359	1.6021	5.69437	6.20869	7.66209	4.08117	3.91268	2.11312	0.57123	7.36493	14.28584	4.24551	13.84474	2.54768	6.93641	14.08285	15.63194	12.40652	3.98401	26.34544	7.48937	2.18679	0.60235	0.47187	0.0	0.0	0.94426	0.0	0.0	0.71587	0.0	1.39011	2.72831	0.0	0.0	0.0
s__Eubacterium_siraeum	0	8.00181	0.39518	0.57813	0.27988	0.0	0.0	0.05496	0.7984	0.29219	0.04352	0.04482	0.21046	9.06259	1.26144	3.07401	0.0112	0.21911	1.76714	2.88354	0.0	0.0	0.45728	11.05368	0.0	0.10706	0.06259	0.0	0.0	0.0	0.0	3.68545	0.51905	0.0	1.38964	0.0	0.0	7.86115	0.12913
s__Firmicutes_bacterium_CAG_534	0	4.61781	1.14039	1.22228	1.37489	0.0	0.0	6.153	0.21535	0.0139	0.0	0.05204	0.0	9.79906	0.0	0.28772	0.0	0.0	0.1373	0.20136	0.0	0.0	0.0	0.04213	0.0	0.0	0.07349	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Faecalibacterium_prausnitzii	0	4.00615	5.85736	6.47922	5.42517	8.37237	12.62361	5.29745	12.58735	5.41123	1.97154	2.41511	13.36308	3.24465	10.39638	9.73638	7.1524	13.98279	13.52345	7.91214	8.42225	13.42455	5.43175	3.65045	1.84377	0.9982	1.18961	4.62708	19.55841	14.95696	10.12076	21.71825	1.95743	9.35764	13.36509	2.77846	12.15011	36.80331	9.92186
s__Prevotella_sp_AM42_24	0	2.4561	1.47272	0.81203	1.1289	1.43353	0.93924	1.12046	0.01912	1.21154	0.38547	8.91705	0.09069	1.39165	4.87151	1.9265	8.18872	2.86856	0.47941	1.40692	0.41921	2.42175	0.35823	1.28569	8.32704	1.04578	2.92007	0.01559	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Clostridium_sp_CAG_413	0	2.34071	0.35664	0.60197	0.296	0.09585	0.12173	0.0	0.17768	0.0	0.0	0.0066	0.9574	2.41586	3.82715	2.55816	0.0	0.0	2.84183	2.11956	0.0	0.0	0.0	1.38446	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Prevotella_sp_CAG_520	0	2.10267	0.01159	0.00759	0.0	23.71735	21.2004	0.6984	3.72523	32.0012	8.00555	0.07853	11.34727	1.54859	21.9355	0.68436	12.64201	16.55105	0.58133	0.63187	0.92781	8.12586	1.04172	22.67401	10.12774	4.336	9.33895	0.00765	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Roseburia_faecis	0	2.05207	0.35309	0.20337	0.56689	0.0	0.0	0.09716	0.03727	0.0	0.0	0.13947	0.27296	1.74971	0.0	0.0	0.01298	0.07551	0.0	0.0	0.0	0.62145	0.0	1.66451	0.0	4.67187	0.0695	0.19156	1.46309	0.39208	15.8199	12.86946	0.83751	1.03238	9.80664	0.01374	22.9522	9.26281	0.0
s__Eubacterium_rectale	0	1.94948	7.0945	3.83647	8.2169	0.77283	0.49667	5.21686	0.83164	0.5355	0.15444	19.68078	9.38139	1.77383	0.15117	1.42029	12.86721	2.53907	0.03242	0.27033	1.16714	1.34179	0.11949	1.80688	7.19084	0.01754	0.27566	25.94198	1.18421	24.88912	0.41066	3.66844	1.09043	19.61136	0.0	1.24284	0.0	1.14686	1.47973
s__Firmicutes_bacterium_CAG_238	0	1.59091	1.81293	2.61303	2.20658	1.20009	1.06986	0.24673	0.02239	0.63643	0.0	0.08935	0.0	2.66703	1.60298	4.20406	0.0	0.1851	3.62966	5.35695	0.45577	0.96279	0.14777	1.07233	0.0	0.0	0.7306	0.00275	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Treponema_berlinense	0	1.49335	0.36897	0.15809	0.20987	0.05978	0.03198	0.06419	0.0	0.18527	0.0	0.0	0.0	1.57061	0.0	0.0	0.32325	0.97123	0.0	0.0	0.47192	0.03499	0.07132	0.11797	0.0	0.02322	6.29025	0.32006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
