clade_name	NCBI_tax_id	P10E0	P10E7	P10E90	P11E0	P11E7	P11E90	P12E0	P12E7	P12E90	P13E0	P13E7	P13E90	P14E0	P14E7	P14E90	P15E0	P15E7	P15E90	P17E0	P17E7	P17E90	P18E0	P18E7	P18E90	P19E0	P19E7	P19E90	P1E0	P1E7	P1E90	P20E0	P20E7	P20E90	P21E0	P21E7	P21E90	P22E0	P22E7	P22E90	P23C0	P23C7	P23C90	P25C0	P25C7	P25C90	P2E0	P2E7	P2E90	P38C0	P38C7	P38C90	P3E0	P3E7	P3E90	P4E0	P4E7	P4E90	P5E0	P5E7	P5E90	P6C0	P6C7	P6C90	P7C0	P7C7	P7C90	P8C0	P8C7	P8C90	P9E0	P9E7	P9E90
s__Bacteroides_uniformis	0	20.80117	27.4047	11.88727	23.44965	12.1702	29.59361	0.0	0.0	0.0	8.35565	10.25723	7.85079	1.33426	1.26562	1.37383	12.54105	15.95318	9.48299	9.97155	23.23986	15.30472	28.91692	37.84064	39.47422	5.15244	6.12281	2.30221	3.90149	3.96451	12.16623	16.13604	34.49517	14.55421	15.22612	14.30484	6.94893	10.43601	0.0092	11.91657	8.75318	6.10092	18.28814	12.80381	12.17041	13.75352	8.47791	8.92781	16.14254	20.37925	9.88779	18.6334	16.64191	23.37682	33.23347	0.67864	1.06423	14.26497	0.0	0.0	2.4667	29.31969	18.04045	21.46995	1.02146	5.02769	13.54907	17.66538	25.85273	25.83608	3.13718	3.48307	7.60342
s__Alistipes_putredinis	0	10.97087	5.7991	7.42057	22.19617	13.87579	4.75346	0.0	0.0	0.0	9.47427	6.07799	9.91617	1.30134	0.96311	1.53133	5.14033	1.36179	0.40119	9.88898	5.50934	14.74346	0.02574	0.00925	0.03628	2.9378	3.97333	4.4209	6.93265	7.32521	12.43717	0.0	0.0	0.0	2.27934	6.05705	0.27542	9.43252	12.00823	5.62927	14.44964	6.88056	10.94927	11.74663	6.97325	12.58152	19.09387	15.77111	19.30425	12.63999	22.28273	10.09034	0.0	0.0	0.0	0.0	0.0	0.0	20.36588	13.28034	5.21151	14.35944	14.30748	13.48082	26.68634	34.04104	18.16611	13.78967	12.29938	17.04416	18.92474	18.15055	16.38009
s__Bacteroides_vulgatus	0	8.2559	7.23011	16.94051	16.39781	0.77637	11.12982	0.0	0.0	0.0	1.15468	0.43259	0.24593	4.80755	6.21789	4.18311	21.51209	19.49483	34.88411	4.63807	12.38516	4.3824	12.1213	1.0434	9.97598	2.38707	2.67994	1.49461	0.59856	0.74758	0.89646	22.75622	3.65737	11.54819	3.35175	6.40733	0.80476	0.0	0.0	0.0	2.89903	1.47521	6.72285	8.74263	14.32898	16.38212	5.28253	3.10076	13.11394	9.21351	6.00847	15.03162	0.0	0.0	0.03534	4.44019	19.10689	26.42877	31.40784	25.01741	54.68723	0.0	0.00027	0.01206	1.84861	3.43746	6.73533	0.0	0.0	0.0	30.31484	10.87792	18.687
s__Bacteroides_intestinalis	0	6.74988	5.97377	4.4734	0.8469	0.36112	3.30803	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.72347	3.36578	3.53047	0.0	0.0	0.0	0.89888	3.75308	0.20067	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.1859	4.81032	2.36321	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.67632	0.08388	0.74573	0.00775	0.1806	0.29331	0.0	0.0	0.0	2.82149	0.18748	1.17688
s__Oscillibacter_sp_CAG_241	0	6.15871	0.01018	1.66844	0.00089	0.0	0.00152	0.0	0.0	0.0	0.00604	0.0	0.02102	0.44529	0.06771	1.19164	0.0	0.0	0.0	0.0	0.0	0.0	0.00114	0.0	0.0	2.1894	0.01795	0.75354	0.00504	0.00762	0.03538	0.0	0.0	0.0	0.0	0.0	0.0	1.4267	0.0	0.29861	0.00023	0.00038	0.00119	0.09455	0.01392	0.06402	0.00168	0.00079	0.0	0.00022	0.00056	0.00042	0.19859	0.0003	0.25561	0.0	0.0	0.0	0.0	0.0	0.0	0.49114	0.26762	0.5622	0.1658	0.15592	0.1238	0.0	0.0	0.0	0.0	0.0	0.0
s__Alistipes_finegoldii	0	4.003	1.53617	3.09257	0.14002	0.16413	0.18047	0.0	0.0	0.0	0.26136	0.14486	1.74813	0.0286	0.03856	0.0489	1.37668	0.08728	2.1517	24.44885	2.87813	7.20382	1.22733	1.17368	3.35829	1.13913	1.77915	0.88854	0.98518	1.66565	3.43396	0.0	0.0	0.0	0.0	0.0	0.0	0.24575	0.09846	0.16074	9.09047	7.42759	15.54147	0.0	0.0	0.0	0.21555	0.23421	0.39669	0.28896	0.58027	0.24118	1.5367	1.47794	0.87058	0.0	0.0	0.0	2.15083	3.04529	0.70833	3.27541	3.70777	4.25309	0.76039	1.20331	0.78944	0.0	0.0	0.0	0.07005	0.02401	0.35262
s__Eubacterium_rectale	0	3.72832	0.0	1.23528	0.14138	0.0	4.2291	0.0	0.0	0.14588	1.23203	0.0	2.46651	1.23571	0.0	1.05535	3.48496	0.0	0.34867	0.74754	0.40377	0.27981	2.00042	0.0	0.977	0.60539	0.0	0.26299	0.0	0.00145	0.46237	0.28739	0.0	0.0	0.00338	0.0	0.0	1.02135	0.0	2.16723	0.00115	0.00114	0.07515	2.30597	1.30458	0.95956	0.0009	0.00081	0.0	0.54776	0.3575	0.11835	0.12788	0.0	0.14671	0.17993	0.0	1.93532	1.20396	0.03966	0.44557	1.72975	2.73551	3.51021	2.80657	2.72149	1.69691	0.29216	1.33538	0.81728	0.28818	0.0	0.0
s__Bacteroides_faecis	0	3.69796	2.09672	4.26313	1.41253	3.13126	2.65906	0.0	0.0	0.0	0.0	0.0	0.0	0.79182	2.49171	1.2401	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.65305	5.94829	5.94127	0.0	0.0	0.0	3.30255	1.65877	1.28552	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.21149	2.23261	2.55451
s__Parabacteroides_distasonis	0	2.80294	10.47816	3.04229	2.52223	16.0615	1.55193	0.0	0.0	0.0	2.14973	9.11652	2.10234	1.33772	2.85384	1.76027	0.49122	4.88693	5.82172	3.90301	5.59425	3.4958	0.10137	1.38627	0.54812	0.37239	0.7247	0.20077	2.01396	2.17514	0.41453	0.00013	0.0	0.0	0.60118	3.60908	3.00494	1.2286	4.42716	4.96097	0.8457	0.81307	0.83674	0.41471	0.52468	1.06944	1.91044	2.54377	1.19929	3.19454	4.34375	1.52679	1.15381	6.86914	0.91037	0.0	0.0	0.0	4.76517	29.11059	3.7061	3.91267	6.14765	4.22321	11.63943	9.53648	5.78083	3.53952	2.72703	2.14815	0.65097	3.38766	0.97784
s__Faecalibacterium_prausnitzii	0	2.56431	2.34411	2.32742	1.09838	1.08824	1.10962	1.48766	0.23607	1.40018	2.12576	0.81851	1.9573	1.09741	1.62776	1.16171	2.16189	0.60981	2.8897	1.1191	5.0852	0.92439	0.87852	1.69807	1.2346	2.2568	3.61236	2.44131	0.92673	0.67023	1.52169	3.73123	0.0	0.55404	0.28087	1.78511	0.11102	3.10337	0.51575	1.77792	1.05006	0.54695	0.57066	3.60616	2.47198	2.07234	6.07143	5.8722	3.88448	1.81211	2.4295	1.8834	3.49035	2.97297	2.49337	1.45392	0.59021	0.14492	0.76845	0.38041	0.03377	4.33235	2.23442	3.20985	7.22364	3.20967	3.14466	1.24632	1.4491	1.5652	5.02816	1.85141	4.87558
