clade_name	NCBI_tax_id	U_VS-1226-261	U_VS-1226-705	U_VS-1506-127	U_VS-1506-333	U_VS-1540-350	U_VS-1540-523	U_VS-1590-365	U_VS-1590-529	U_VS-1592-169	U_VS-1592-367	U_VS-1651-391	U_VS-1651-541	U_VS-1686-403	U_VS-1686-548	U_VS-3059-508	U_VS-3059-665	U_VS-3145-692	U_VS-3145-837	U_VS-4218-876	U_VS-4218-901	U_VS-P610052-1	U_VS-P610096-1	U_VS-P610119-1	U_VS-P610129-1
s__Bifidobacterium_adolescentis	0	37.95574	11.26399	0.61215	0.16394	1.02672	11.79927	0.0	0.00293	0.00798	0.09818	2.65731	4.59288	22.83507	0.35801	6.07411	4.4754	5.58239	10.40358	3.59813	2.49789	0.0	1.07742	0.0	0.0
s__Roseburia_faecis	0	10.55424	0.26153	1.96898	1.71016	0.07442	0.8427	0.01233	1.39946	2.35266	0.64138	3.96353	0.02399	0.07622	0.5384	0.47584	0.70208	2.04109	0.99906	0.11556	0.02822	0.01828	2.72426	0.97183	0.32787
s__Eubacterium_rectale	0	7.22491	14.22331	4.02339	8.17498	4.34123	2.54322	0.0759	14.74294	7.319	20.7779	10.25947	15.74745	1.94634	46.41468	6.85214	39.32045	8.62824	2.84076	0.03138	0.18726	23.31366	0.40422	1.99051	3.61635
s__Faecalibacterium_prausnitzii	0	7.07011	2.68062	8.28313	2.60181	1.18081	1.48461	0.50602	0.86969	4.04663	9.19399	5.47598	0.35195	0.41314	7.91992	2.07222	0.60402	1.18693	0.77696	0.69045	0.75661	6.88767	4.43171	4.16879	13.76793
s__Collinsella_aerofaciens	0	6.38597	0.91671	7.78055	1.85516	1.652	6.79127	1.9824	1.64953	4.48625	0.63034	1.10809	0.50483	6.86581	1.40445	3.73784	2.20029	4.33992	9.20732	8.40948	1.845	3.97029	2.55364	4.48839	3.26086
s__Lactobacillus_ruminis	0	4.4865	1.17482	8.4896	0.48286	6.11009	11.03988	0.0	0.00872	0.59439	0.67962	0.49692	0.01777	0.03147	0.07152	11.95094	3.95292	0.09856	0.0	0.00542	0.06843	0.0	0.0	0.04161	0.0
s__Escherichia_coli	0	2.80981	0.03517	1.35891	0.78428	26.62358	0.24775	7.24668	15.27886	26.19273	0.10808	4.08091	1.38156	2.6847	0.11619	10.75302	14.97098	35.77092	2.09523	9.95132	32.66365	5.5792	3.99891	7.33199	4.37783
s__Prevotella_copri	0	2.78117	2.95078	7.6766	5.19915	0.12851	31.61137	1.05694	2.58428	6.57692	22.88932	0.15613	1.08954	0.47524	13.25392	26.3211	5.87596	7.72053	7.16563	0.13086	0.81305	5.84199	38.67563	29.01647	16.70124
s__Eubacterium_sp_CAG_251	0	1.78691	0.68143	1.06149	0.0	0.0	0.00751	0.72765	0.01147	0.11496	1.98453	0.0	0.0	0.0	0.0	0.13554	0.08822	0.0	0.00062	0.0	0.0	1.49525	0.05778	0.00148	1.31966
s__Firmicutes_bacterium_CAG_110	0	1.67953	0.00675	0.00156	0.02028	0.09344	0.0	0.11196	0.07927	0.0	0.0	0.28536	0.10158	0.02244	0.00279	0.0	6e-05	0.04638	0.01835	0.01995	0.02584	0.10611	0.00392	0.00677	0.0066
