clade_name	NCBI_tax_id	CM.102_WGS	CM.103_WGS	CM.105_WGS	CM.107_WGS	CM.109_WGS	CM.111_WGS	CM.118_WGS	CM.126_WGS	CM.129_WGS	CM.13_WGS	CM.131_WGS	CM.132_WGS	CM.138_WGS	CM.139_WGS	CM.146_WGS	CM.147_WGS	CM.152_WGS	CM.157_WGS	CM.16_WGS	CM.160_WGS	CM.162_WGS	CM.164_WGS	CM.165_WGS	CM.168_WGS	CM.17_WGS	CM.172_WGS	CM.175_WGS	CM.176_WGS	CM.177_WGS	CM.178_WGS	CM.179_WGS	CM.18_WGS	CM.186_WGS	CM.187_WGS	CM.19_WGS	CM.194_WGS	CM.195_WGS	CM.199_WGS	CM.20_WGS	CM.203_WGS	CM.206_WGS	CM.208_WGS	CM.210_WGS	CM.211_WGS	CM.212_WGS	CM.215_WGS	CM.219_WGS	CM.220_WGS	CM.221_WGS	CM.222_WGS	CM.223_WGS	CM.224_WGS	CM.226_WGS	CM.227_WGS	CM.228_WGS	CM.231_WGS	CM.232_WGS	CM.233_WGS	CM.234_WGS	CM.235_WGS	CM.237_WGS	CM.239_WGS	CM.24_WGS	CM.247_WGS	CM.249_WGS	CM.25_WGS	CM.251_WGS	CM.253_WGS	CM.254_WGS	CM.255_WGS	CM.257_WGS	CM.259_WGS	CM.260_WGS	CM.261_WGS	CM.268_WGS	CM.270_WGS	CM.271_WGS	CM.273_WGS	CM.275_WGS	CM.278_WGS	CM.283_WGS	CM.284_WGS	CM.285_WGS	CM.289_WGS	CM.29_WGS	CM.291_WGS	CM.294_WGS	CM.30_WGS	CM.308_WGS	CM.31_WGS	CM.310_WGS	CM.315_WGS	CM.316_WGS	CM.317_WGS	CM.32_WGS	CM.328_WGS	CM.335_WGS	CM.339_WGS	CM.340_WGS	CM.342_WGS	CM.343_WGS	CM.345_WGS	CM.347_WGS	CM.358_WGS	CM.361_WGS	CM.364_WGS	CM.366_WGS	CM.367_WGS	CM.369_WGS	CM.370_WGS	CM.373_WGS	CM.375_WGS	CM.376_WGS	CM.378_WGS	CM.382_WGS	CM.389_WGS	CM.390_WGS	CM.392_WGS	CM.395_WGS	CM.397_WGS	CM.401_WGS	CM.402_WGS	CM.403_WGS	CM.408_WGS	CM.409_WGS	CM.41_WGS	CM.410_WGS	CM.412_WGS	CM.413_WGS	CM.418_WGS	CM.425_WGS	CM.432_WGS	CM.437_WGS	CM.438_WGS	CM.439_WGS	CM.44_WGS	CM.443_WGS	CM.445_WGS	CM.454_WGS	CM.46_WGS	CM.466_WGS	CM.47_WGS	CM.486_WGS	CM.490_WGS	CM.506_WGS	CM.507_WGS	CM.511_WGS	CM.512_WGS	CM.514_WGS	CM.520_WGS	CM.521_WGS	CM.525_WGS	CM.528_WGS	CM.530_WGS	CM.532_WGS	CM.536_WGS	CM.55_WGS	CM.553_WGS	CM.555_WGS	CM.57_WGS	CM.574_WGS	CM.580_WGS	CM.64_WGS	CM.65_WGS	CM.67_WGS	CM.7_WGS	CM.70_WGS	CM.75_WGS	CM.79_WGS	CM.80_WGS	CM.82_WGS	CM.86_WGS	CM.90_WGS	CM.94_WGS	CM.97_WGS
s__Prevotella_copri	0	24.49904	37.70893	50.08391	8.02153	23.64525	25.06187	37.89817	0.0	13.28646	18.37571	45.00846	29.20241	18.73916	68.04272	63.43609	60.0174	2.36246	53.49211	10.13252	80.89347	12.05215	64.44059	34.67016	33.22383	31.05766	65.65866	22.06827	31.19305	71.89274	7.97414	55.4063	2.74353	16.85374	28.26591	33.30836	50.07784	0.4487	12.14144	3.45577	29.08222	11.55526	12.96237	36.27259	32.76922	82.80897	68.50771	47.54232	49.0645	20.28043	50.62109	3.83202	31.36412	34.97559	22.84742	67.20635	37.46806	11.06987	24.96389	34.69453	52.99932	65.16783	36.81832	20.92505	46.80168	3.08509	22.38635	39.58048	19.4411	25.21467	5.31934	6.42679	32.6051	54.42082	21.26601	5.46565	27.29853	21.99568	15.42509	28.82404	17.75165	41.50311	51.19187	71.79331	25.3566	0.0	15.11908	35.77555	20.12073	0.0	14.49949	0.0	51.38616	0.0	60.08751	28.34189	68.69366	0.0	52.81354	50.63766	0.0	8.12334	71.06668	46.18392	19.99124	13.29769	11.98103	41.09044	72.32943	21.98479	43.90586	30.16543	4.40315	25.60376	37.0604	34.83899	74.7937	47.04217	0.0	15.9795	7.26449	0.0	69.45608	61.14238	49.56727	56.11576	46.42022	12.48946	53.66299	56.21951	45.65442	9.87176	37.66863	85.76289	0.0	24.0301	3.79392	51.4754	72.03081	11.72422	32.42946	34.17259	56.07507	47.6125	66.17849	26.37116	49.16356	0.0	0.10452	3.88139	0.0	0.0	0.0	0.0	0.0	56.45459	87.19241	24.93072	21.28363	18.40951	18.16724	43.32149	0.0	20.5085	4.66178	44.7455	4.66454	24.94848	29.15933	1.34333	36.57708	6.62919	15.88072	23.16326	29.70493	20.04652
s__Eubacterium_rectale	0	11.05714	17.11934	1.56295	8.12622	0.0	0.45723	1.42571	0.0	3.05327	0.59855	0.82516	6.62549	14.64852	0.12393	4.57282	2.86573	0.17447	0.14804	5.62313	3.18546	0.0	1.80169	2.39863	2.29321	2.81212	1.04538	13.66134	0.65899	5.63727	3.67099	4.88339	0.01028	0.0	2.08154	8.11406	1.64335	0.03804	0.0	0.15155	7.40734	12.88522	1.56125	3.74738	0.0	0.20993	1.4362	5.61371	3.96213	11.65059	4.57473	0.05214	0.46187	4.08113	5.50551	0.57326	1.65953	5.32629	0.0	0.62623	7.657	1.98233	2.40548	0.63574	0.67908	7.65874	0.59859	2.20295	14.35066	0.48966	1.43769	6.92658	1.01958	2.7234	1.63673	0.05537	1.19509	3.39534	0.31107	0.49932	4.93637	6.82493	11.75104	9.40615	1.17094	0.13306	0.39266	6.96383	1.09721	0.0	4.67174	29.08529	0.00487	0.0	0.0	0.09053	0.20305	3.72341	2.57494	12.09718	0.0	0.07303	0.42634	1.25308	2.36229	0.92332	3.60964	2.09336	3.97397	11.52339	1.86672	3.31546	8.24333	4.34493	7.75725	7.82895	0.59562	1.55214	8.33438	0.01796	0.14487	0.0	1.6234	10.77858	7.92204	5.76255	0.0	11.04488	2.57178	0.0098	2.27722	0.09513	13.6325	1.02866	13.64262	0.01371	0.47866	2.70521	0.45872	0.67195	8.37427	1.67541	1.49241	0.17429	4.10662	11.56944	1.2735	1.77612	7.12863	0.17822	29.68751	0.40613	34.06186	3.29006	0.0	0.0	4.82395	11.35094	13.46192	6.88069	5.93209	12.15548	0.94625	0.36975	1.98139	6.29219	13.44807	0.86128	1.58848	0.00933	0.36118	0.31545	2.87832	2.17621	6.88634	0.09693
s__Prevotella_sp_CAG_520	0	7.74377	0.0	8.57747	0.0	4.47656	11.94164	5.01432	0.0	0.77819	10.53125	10.95709	0.33059	0.0	0.01432	0.02133	1.12139	5.04392	2.69994	1.03396	0.0	0.0	0.0	3.37434	3.44171	8.69051	0.35795	0.03629	5.23239	0.00437	0.17001	0.68902	6.74154	11.91832	6.93459	3.17626	0.02819	0.00281	0.0	0.0	6.51732	5.43248	11.89334	0.68579	6.51628	0.37892	1.28956	2.77203	0.85168	0.01797	6.59471	0.52371	0.81652	0.54232	4.22507	0.06633	3.14009	2.89255	0.0	0.22153	2.70704	9.94538	0.08305	0.0	4.26213	0.28049	0.95534	4.6778	1.5922	2.94869	2.91258	4.69559	0.02845	0.0	5.24115	0.05284	7.33929	11.33469	1.66842	0.0	2.97612	0.0	0.01931	2.57008	0.0	0.0	1.7367	0.00396	20.927	0.0	0.35322	0.0	1.72932	0.0	0.0	2.44544	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.14214	0.00597	0.00135	0.0	14.89862	0.0	11.71423	0.0	10.60351	7.00136	0.20529	0.0	0.0	0.0	0.01474	0.0	0.0	0.0	3.16878	0.0	0.0	14.77263	0.00647	6.81416	0.0	2.00356	0.0	0.0	1.20809	0.0	39.03692	0.97384	18.80571	0.00306	0.0	5.94494	0.0	0.00521	7.72409	0.0	5.65847	1.55349	0.0	0.77597	0.0	0.0	0.0	0.0	0.0	0.0	15.68599	0.0	1.7109	0.0	0.0	0.00664	0.0	0.0	25.72721	0.68078	7.17394	1.99655	0.00554	0.0	3.74935	5.71435	0.16022	14.44104	22.20485	4.46288	0.83602
s__Eubacterium_eligens	0	7.04836	3.5534	0.13502	0.88798	1.45707	0.84667	0.55226	0.0	0.23488	2.28891	0.82951	1.82485	0.48354	1.13837	0.09048	2.60345	0.72194	1.87175	0.3213	0.03913	0.73361	1.05055	4.8758	1.90883	0.08407	1.3662	1.36856	0.98234	0.12007	0.88453	1.01756	0.0	0.27132	9.37572	0.24552	0.29234	0.76334	0.67757	3.31745	0.68333	5.34703	3.27711	5.26914	1.22884	0.06659	0.4648	1.44238	0.89513	1.45887	1.019	2.01813	0.22532	8.00903	6.68587	0.48155	0.44813	0.39458	0.0	1.34202	1.57472	1.80765	3.09895	0.24753	0.0	0.70701	0.59538	3.30864	3.60049	0.19514	0.0149	15.33454	11.94026	2.99404	0.30859	0.16575	5.6161	1.18519	0.0	1.03515	1.75625	0.13662	0.42301	0.2722	0.2685	0.69449	0.48505	0.11925	1.66066	1.03864	0.39427	0.09309	0.13342	0.0	0.21039	2.91185	0.03806	0.44831	0.28244	0.89807	0.0	0.0	0.44697	0.49971	2.91227	0.0	0.0	2.18999	0.42581	0.1003	0.13947	1.05358	0.83606	0.44754	0.24615	0.8346	0.1668	6.73627	0.76904	2.62452	2.97098	2.77383	0.31022	0.03631	0.24068	0.34826	2.51262	3.32768	0.02327	0.0	1.82011	0.0	0.65772	0.02743	0.29848	2.10073	6.66476	2.81453	0.0529	0.38763	0.57511	1.9779	0.65756	0.30446	0.16611	1.60128	1.37237	0.61234	0.11087	0.06195	0.41476	0.63845	1.77825	0.80051	1.09542	0.0364	0.0	2.17892	0.3674	0.88212	0.41884	0.00086	0.80056	0.138	1.6574	0.9472	2.98429	1.6873	5.81543	0.27423	0.71814	4.07194	0.36012	3.5795	0.4015	0.03679
s__Butyrivibrio_crossotus	0	6.12447	3.94278	0.09518	0.26115	0.43129	0.03029	0.02987	0.0	3.56739	0.21987	0.30407	0.42116	0.0	2.75437	0.0	0.0	26.62775	3.21799	0.30897	0.0	3.21732	0.0	7.95839	0.0	0.0	0.0	0.0	0.0	0.0	6.37554	0.0	0.02918	0.0	0.0	3.95507	0.0	13.9042	0.0	3.88986	0.0	0.02385	0.0	0.61032	1.02601	0.0	0.0	0.0	0.0	0.0	0.28584	1.99143	0.0	0.19114	0.0	0.0	0.0	7.66521	0.0	0.91325	0.0	0.13755	0.0	0.0	0.0	2.48771	30.23397	0.04649	0.0	0.28284	0.0	0.15366	0.75147	0.09004	0.0	0.14088	0.0	0.0	0.0	1.35785	0.78243	0.0	0.0	0.11473	0.0	0.0	7.32606	0.16382	1.26414	0.0	8.06668	0.0	4.04127	0.0	0.0	0.0	4.05783	0.0	0.75238	0.30815	0.0	0.0	0.0	0.0	0.0	4.43591	0.0	3.4814	0.0	10.98638	14.74862	0.0	13.15562	0.02572	0.0	0.39968	0.21051	0.0	0.0	19.64291	4.28195	0.0	0.18205	0.0	0.71832	5.70547	2.50405	0.44343	0.0	0.0	1.14107	6.09843	17.93226	0.0	0.0	0.08977	11.15197	0.0	0.0	1.247	0.48337	3.56808	0.0	0.0	0.0	0.98755	0.066	0.0	0.0	0.0	0.0	1.13973	0.0	0.0	0.0	0.30123	0.0	0.27598	19.24993	0.0	0.33171	0.0	5.70625	0.27752	14.0609	0.0	3.47722	0.0965	0.0	1.79785	0.25372	3.10631	0.56376	0.3833	0.88306	0.21784
s__Escherichia_coli	0	5.29922	0.0	0.23707	0.08107	1.76218	0.0	0.55934	1.78216	0.02514	0.0	4.16153	0.98816	14.82521	0.0	0.0	0.0	8.41577	0.13357	3.26043	0.16512	0.62306	3.43155	0.65412	10.65459	0.18401	0.04578	7.84399	7.00487	0.81784	0.08715	3.3296	0.30971	2.96712	2.30256	7.08959	2.14096	12.40556	0.0	1.2634	3.13845	1.03409	0.94381	1.44308	0.77868	2.28247	2.17744	1.4006	2.43011	1.32307	0.0	3.55073	41.33952	0.3685	0.27197	0.46136	4.81698	4.59437	0.0	3.72586	1.96497	0.02672	3.26423	0.15568	3.56608	23.12675	0.42134	2.25653	5.07899	3.00998	7.40178	0.0	0.80817	0.2591	0.0	18.01162	0.11984	0.2073	24.2348	0.0	0.39763	0.0	0.0	0.12796	0.13705	8.33656	0.39291	0.09603	0.29763	1.28323	0.00273	3.39398	0.0084	0.77586	0.21028	0.27834	0.01851	5.27384	0.3174	0.46951	4.77482	0.05605	0.15591	0.72399	2.19123	2.8929	5.73745	0.09224	0.05612	0.60497	0.70325	0.04264	0.614	10.15432	0.5351	3.60738	0.16696	0.0	0.05254	0.0	0.0	0.18655	0.05087	0.33701	3.80404	2.1489	0.70486	0.59509	1.15313	6.64152	0.9431	0.38576	0.7527	0.16788	0.42951	0.0	10.23399	0.20581	1.44275	2.80539	0.90436	4.1112	0.28044	1.08573	0.39049	2.33223	0.35114	0.04103	0.91053	0.0	0.43028	0.01157	0.27547	0.01402	0.20386	0.0	0.03536	4.25066	0.0	1.79521	3.96767	0.1975	0.05234	0.0	2.51976	0.80757	0.74695	6.56968	1.12418	0.04664	5.40897	0.10275	28.17015	0.0	0.0	9.25147
s__Prevotella_stercorea	0	5.22734	0.0	8.94444	13.27865	1.34456	3.18284	4.46485	0.0	0.20408	0.5601	21.34406	6.06027	5.26847	0.61191	5.81546	8.20361	0.44036	2.56511	1.7849	2.20262	0.0	0.0	14.44246	3.60272	10.60525	1.0645	9.22884	0.37884	2.09264	9.07661	0.04855	0.43026	1.6737	15.28091	3.08219	10.37354	20.09961	12.49472	0.0	6.71645	0.99897	15.33718	14.86561	0.72391	0.05358	3.57022	17.77211	1.12506	8.68493	0.851	6.94135	2.27408	24.36676	13.18012	6.99111	1.67493	0.19021	0.25253	0.64479	3.03864	0.80646	8.58806	0.0	0.33225	0.42334	4.91282	8.43723	1.49077	0.6652	1.35519	6.02622	17.59645	0.0	1.10124	0.2345	3.88764	10.66477	0.80015	3.3173	1.84244	2.4321	2.43667	0.17855	0.0	0.0	0.95503	4.75709	9.87761	55.68191	0.67307	0.0	0.10854	0.0	0.0	2.69659	0.0	0.0	10.75289	0.0	0.0	0.19884	0.0	0.0	0.0	15.74708	5.55118	5.76198	0.0	0.8818	0.0	0.78973	33.16699	0.82771	0.39354	30.25303	1.18423	0.0	0.0	11.00033	0.59378	0.0	0.0	0.2409	0.0	9.43791	1.09759	1.63276	0.65025	0.0	1.70633	0.10124	0.0	0.28062	0.0	2.83436	0.48127	1.41871	0.28388	0.0	0.9316	0.0	2.81345	1.49996	6.54388	2.00219	0.09121	0.0	0.05635	9.19646	0.0	0.0	0.0	0.0	0.0	5.17638	0.0	2.31087	0.0	0.0	14.46773	0.24957	27.04825	1.69	1.01638	0.7978	0.12877	18.68786	0.0	0.18259	5.15899	3.66205	3.0327	1.41477	1.53661	0.10204
s__Faecalibacterium_prausnitzii	0	3.40171	1.86069	3.16783	2.9449	1.56377	2.88428	2.35724	0.51457	3.91632	5.08052	2.4996	4.20641	4.43764	1.37134	5.15056	0.69416	1.30569	3.90995	7.975	1.69438	2.58402	2.19946	2.02849	1.25995	1.48943	1.39492	3.95708	1.90364	1.92862	5.41732	0.90822	4.36646	4.25944	5.77018	1.641	0.79124	1.4115	2.50971	3.90257	2.52807	7.48032	1.5255	0.52218	2.80718	1.48697	1.69954	2.98879	1.14145	5.61187	2.92447	2.17311	0.66759	1.93968	3.70589	2.33775	4.7557	1.45167	0.43903	2.45588	1.89028	2.79466	7.35634	2.81731	0.23741	5.88144	2.38251	3.44512	3.2319	5.0901	3.15673	6.10034	3.94721	2.74803	3.20985	1.8395	2.98732	5.64664	1.28279	3.9041	4.14501	2.89662	2.94101	2.28587	3.01269	3.92743	4.72599	3.99555	3.68393	2.34405	3.09705	3.24561	6.10266	0.0	0.9704	2.31287	4.05254	6.79077	1.47641	6.10951	1.13463	19.91769	2.33786	2.72817	4.93671	1.77714	1.18816	5.10644	0.57105	3.0253	1.18467	6.40961	1.1489	3.03798	3.16736	2.88098	1.05777	1.25086	3.42673	4.7328	4.70724	3.12726	1.48801	2.50615	3.49976	1.44541	1.02604	7.41433	3.22396	0.80282	2.45502	2.47458	2.45152	0.93968	6.0048	5.97902	5.78959	3.01628	3.62533	3.91412	3.98334	0.43243	1.17908	2.35313	1.99126	2.3951	2.41755	3.58817	8.44014	26.46087	7.5009	2.7991	4.34722	2.1208	7.52927	6.08337	1.79676	3.1002	2.32265	4.28243	4.04407	3.8966	2.72285	4.95012	2.76194	2.25235	2.60093	2.92987	6.17024	1.60012	2.45086	2.69264	1.37108	8.0989	14.34549	2.99667
s__Phascolarctobacterium_succinatutens	0	3.00467	0.94965	4.55754	7.17629	11.67906	8.95032	6.2853	1.63152	9.91857	9.20802	1.57331	4.09037	0.0	0.62752	4.69073	1.00322	5.11278	1.70211	5.83016	0.93651	0.0	0.0	0.53088	2.77641	1.18634	0.64002	4.85777	1.12029	1.82579	2.62615	2.88944	8.09357	7.8551	2.00335	4.39604	1.35717	0.75687	0.0	0.0	4.99035	0.13002	0.01689	0.85417	7.32245	1.25936	2.05617	1.21693	0.68046	2.53159	1.70191	5.94749	0.05947	8.36129	3.38691	0.50139	1.58904	3.53641	12.65817	2.81198	0.72288	1.70507	3.46914	6.76584	0.94407	1.1902	0.96838	1.412	0.57241	3.24	5.8995	2.86215	6.7963	3.19805	8.12367	12.30751	7.85784	3.88809	14.36844	3.62048	4.60906	1.75434	0.17362	1.62613	1.11401	2.52116	0.94868	0.07014	0.64513	0.0	8.67328	2.75464	9.41743	0.0	0.04902	4.0459	0.0	0.0	2.29228	0.48091	0.0	22.26463	0.0	0.0	0.0	2.26028	0.0	0.0	0.41062	3.89052	2.74914	5.50233	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.13406	0.0	0.0	2.02546	0.0	1.70453	0.0	2.39375	3.73956	0.50372	0.0	0.30194	0.57303	0.0	1.36443	0.0	4.30065	18.70252	0.0	0.14488	4.42968	5.88651	0.0	4.04827	3.02419	0.81924	6.9224	0.70593	0.0	5.1317	11.45399	0.0	0.0	0.0	2.43853	0.0	0.0	0.0	6.83456	0.0	0.0	0.96093	2.04874	0.0	2.93508	15.38816	2.86106	2.58802	3.39069	15.85498	5.77373	3.73625	2.92007	1.22528	11.51064	5.59364	10.41444
s__Ruminococcus_sp_CAG_488	0	2.2472	0.33262	0.01855	0.0	0.0	0.0	0.64698	0.0	0.0	0.16137	0.0	0.0	0.47631	0.80769	0.0	0.0	0.0	0.85843	3.71155	0.0	0.01009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07939	3.86419	0.0	0.28546	0.0	0.0	0.0	1.78684	0.0	0.00179	0.0	7.6574	0.0	0.0	0.01663	0.32281	0.37371	0.0	0.0	0.0	0.0	1.46935	0.0	0.0	0.0	0.41167	0.60542	0.2103	0.0	0.31047	0.0	0.0	0.00743	0.0	0.0	0.0	0.01329	0.20718	4.63377	2.80899	7.96119	1.22806	0.61527	0.71088	0.10496	5.91623	0.0	1.14056	0.2491	0.37108	0.21784	0.08284	0.0	0.0	0.11515	0.30881	0.0	1.45644	1.2385	0.0	0.00503	0.0	0.00927	0.0	0.0	0.28887	0.0	0.0	0.00059	0.4278	0.0	0.0	0.09832	1.67594	0.0	1.0349	0.0	0.03368	0.0	0.08793	0.78849	0.0	0.0	0.48515	1.64398	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.56702	0.0	0.0	0.0	0.01546	0.00729	0.0	0.0	0.0	0.02324	0.0	0.0	0.0	0.67001	0.59865	0.0	0.0	3.65023	0.0	0.0	0.0	0.0	0.0	0.32446	0.0	0.0	0.06222	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.51723	0.0	0.0	0.01632	0.0	0.0	0.96301	0.05525	0.0	19.03483	0.0	0.45872	0.06451	0.0	1.49109	0.0	0.79267	0.25007	0.66541
