clade_name	NCBI_tax_id	CA01	CA02	CA03	CA04	CA05	CA06	CA08	CA12	CA13	CA14	CA15	CA16	CA17	CA18	CA19	CA20	CA21	CA22	CA23	CA24	CA25	CA26	CA27	CA28	CA29	CA30	CA31	CA32	CA33	CA34	CA35	CA36	CA37	CA38	CA39	CA40	CA41
s__Ruminococcus_torques	0	29.15115	0.00703	2.32671	1.34445	1.17312	1.54853	1.17926	15.90777	1.38453	1.37294	4.20959	1.30995	1.27386	0.50714	5.93729	0.60277	0.0	3.3525	0.00792	3.75497	2.81397	0.0	0.13373	0.95341	0.0	0.77172	0.0	3.00532	0.14526	0.0	0.58637	0.00297	11.68633	3.95035	0.88599	11.93382	3.1786
s__Ruminococcus_gnavus	0	21.33354	0.18761	0.00952	0.0023	0.00881	1.09388	2.18744	1.2756	0.0	0.0	0.16919	0.13217	0.0	0.0	0.54491	0.21895	13.82521	9.53875	0.64877	0.62568	0.0	1.45389	0.17825	0.07625	0.24917	0.12183	30.41967	0.14536	0.02452	0.7022	0.0	0.7763	1.29272	0.1877	0.0	0.08223	0.0
s__Blautia_sp_CAG_257	0	12.81393	0.49943	0.0	0.0	0.0397	1.96066	0.03578	0.14189	0.0	0.0	0.25685	0.0	0.0	0.0	4.10183	0.00048	4.46698	3.14658	0.12458	3.71833	0.0	7.97021	0.0	0.02109	0.00326	0.0	3.62199	0.09269	0.0	0.11861	0.0	0.31319	7.46055	0.43003	0.0	0.06997	0.0
s__Anaerostipes_hadrus	0	8.2974	7.82178	0.24699	1.63711	0.33156	0.55803	1.32736	7.33243	0.66421	0.57541	3.19483	0.07205	0.04418	0.08061	6.21597	0.59709	6.18348	6.40353	3.07029	0.00297	0.49154	0.0	1.17889	0.91458	0.0	0.2187	0.0	0.17916	0.24735	5.8875	0.58928	0.0	0.0	0.0	0.15614	0.50942	0.04099
s__Blautia_hansenii	0	6.49733	0.0647	0.0	0.0	0.0	0.0	0.01814	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00248	0.00033	1.11723	4.21719	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.23827	0.0	0.0	0.0	0.0	0.0	0.07545	0.0	0.0	0.0	0.0
s__Bifidobacterium_longum	0	3.10274	1.29057	0.25565	0.53401	0.595	1.64404	0.41562	0.98575	1.347	1.02268	0.11213	1.30259	0.38263	0.0	6.30948	0.25132	2.74665	2.32694	0.01041	0.03615	0.37363	0.38582	0.60074	0.84799	4.52052	0.44651	0.0	0.6527	0.3924	0.7468	1.50712	0.0	0.0	0.0	2.42786	0.39046	1.63391
s__Collinsella_aerofaciens	0	2.28631	0.0	2.50288	0.59749	1.81853	2.29992	0.0	3.95442	0.0	0.0	0.74868	12.80648	1.11927	4.40493	2.74603	0.67914	0.0694	5.44989	4.0766	0.00256	1.32909	1.51934	1.8725	12.49086	0.00123	3.69901	0.0	4.15734	2.74909	5.20221	4.96255	2.35125	0.00201	0.96837	1.86864	3.9257	14.82878
s__Catenibacterium_mitsuokai	0	2.11327	0.78071	0.0	0.0	0.0	0.0	0.0	1.04957	0.0	0.0	0.0	0.0	1.45783	4.1864	0.0	0.0	0.0	0.0	0.0	0.0	0.2562	0.34551	0.16661	0.0	0.0	0.0	0.0	0.0	0.36136	0.0	0.0	0.0	0.0	0.0	0.14118	0.0	0.0
s__Coprococcus_comes	0	1.92286	1.87059	0.74816	0.38371	0.0	0.0	0.0	0.82821	1.16069	0.9867	0.64014	0.8235	0.61546	1.68727	0.0	1.38134	0.0	0.0	1.63121	1.0186	2.3006	0.16136	0.4421	2.79256	7.21686	1.80346	0.0	1.7705	0.12915	1.79428	0.0	0.0	0.0	0.0	0.55534	2.80983	2.91747
s__Erysipelatoclostridium_ramosum	0	1.45962	0.06016	0.0	0.0	0.10781	0.23072	0.09353	0.01099	0.00145	0.00322	0.0	0.0	0.0	0.0	0.88819	0.0	1.17863	0.71678	1.49234	0.39564	0.0	0.0	0.0	0.01154	0.04744	0.0	0.48768	0.0	0.0	0.01839	0.0	0.08921	0.27069	0.0562	0.0	0.02805	0.0
s__Lactococcus_lactis	0	1.44638	0.08336	0.0	0.0	0.02177	0.01695	0.01156	0.00429	0.0	0.0	0.03175	0.0	0.01065	0.0	0.00365	0.00592	0.11124	0.05577	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10986	0.0	0.01653	0.02344	0.1139	0.0	0.0	0.0
