clade_name	NCBI_tax_id	S01-01-D	S01-02-D	S01-05-R	S01-06-R	S03-01-D	S03-03-R	S04-01-D	S04-02-D	S04-03-D	S04-04-D	S04-05-R	S04-06-R	S04-07-R	S04-08-R	S07-01-D	S07-03-R	S12-01-D	S12-02-D	S12-03-R	S12-04-R	S13-01-D	S13-02-D	S13-03-R	S13-04-R	S14-01-D	S14-02-D	S14-03-R	S14-04-R	S17-01-D	S17-02-D	S17-03-R	S17-04-R	S20-01-D	S20-02-D	S20-03-R	S20-04-R	S21-01-D	S21-02-D	S21-03-R	S21-04-R	S27-01-D	S27-02-D	S27-03-R	S27-04-R	S31-01-D	S31-02-D	S31-03-R	S31-04-R
s__Neisseria_flavescens	0	12.96829	2.49138	0.0	0.01946	0.1592	0.0	0.0	0.00272	0.0	0.0	0.01086	0.02074	0.03026	0.0	0.0	1.12598	0.52215	0.0	20.25511	2.29636	0.0	0.0	0.03309	0.0	1.10253	0.3196	7.04709	0.42593	0.01367	0.15499	0.83068	0.23484	0.0	0.0	0.0	0.0	0.07627	0.12412	0.00895	0.0	0.89832	1.34066	4.16489	14.97428	0.0	0.0	0.00559	0.0
s__Alloprevotella_tannerae	0	9.56379	2.48602	0.0	0.30172	0.05553	0.04783	1.13978	1.49557	0.60479	0.0	1.50527	0.10689	0.0	0.0	4.65521	2.06569	8.82626	0.98177	0.03497	0.02279	0.0	0.01579	0.0	0.0	0.00926	0.0	0.1422	0.0	7.14862	7.10902	6.37104	0.0	0.14706	0.13744	0.0	0.0	5.90334	6.63939	6.19574	4.56623	8.99132	11.97985	8.85369	0.77884	1.24686	2.51936	0.87258	6.84831
s__Capnocytophaga_granulosa	0	7.36557	11.48681	0.0	0.0	0.03299	0.0	0.30667	0.3997	0.21923	0.00284	3.5516	10.27965	0.04302	0.0	0.5868	0.9895	0.70131	0.20895	1.4692	3.05792	1.43514	0.32888	0.57249	1.45819	0.07591	1.53981	0.0	0.00964	0.24302	0.57657	2.10543	1.06302	0.07704	0.00706	0.00018	0.01242	0.0	0.13874	1.24395	0.47712	0.05893	0.18438	0.30719	0.83597	0.03431	0.01864	1.41592	0.1743
s__Fusobacterium_nucleatum	0	6.46062	7.32295	2.53354	0.53618	8.47214	13.73645	3.8579	2.76144	2.65151	5.95104	9.69016	3.45378	1.59508	43.92647	9.69042	8.76788	13.71019	14.28908	2.03124	9.88589	11.04632	12.84362	12.6248	13.88129	0.07956	0.21024	0.18717	0.0161	10.54109	6.80998	8.00084	0.89476	12.9826	3.46593	0.1967	6.00346	5.35933	4.94878	3.30943	4.12871	4.70731	2.88711	4.23493	3.1899	2.89397	1.81406	1.34917	3.01536
s__Corynebacterium_matruchotii	0	6.33286	7.77621	0.0	2.11935	3.20849	0.0	1.54039	0.40941	1.66181	0.696	17.9269	16.06448	3.34721	0.0	6.00667	7.87395	3.70067	1.43803	4.20324	7.76915	7.07865	0.75649	16.93596	8.41702	8.32998	16.84216	0.81774	0.06897	0.60314	0.85379	2.63286	36.48646	1.25193	0.56619	0.04888	0.23699	0.5007	9.37765	12.38641	14.2005	7.70598	2.29835	16.0322	15.69154	1.91141	0.7673	22.57686	6.04895
s__Porphyromonas_sp_oral_taxon_278	0	6.25776	0.03798	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.51798	3.30009	2.68874	0.25822	4.90483	2.07624	0.18722	0.76024	0.50453	0.73422	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00551	4.71972	0.61534	1.40467	0.07589	0.96282	0.0077	0.01076	0.02802	0.08083	4.6256	0.76498
s__Capnocytophaga_leadbetteri	0	4.03376	3.0323	0.0	0.0	0.19503	0.00325	1.18965	1.34302	0.50914	0.09913	5.97544	3.39592	1.19116	0.01972	0.06426	0.99188	1.70353	1.03697	0.51872	2.65086	1.16036	0.14989	0.29607	0.18026	2.85373	5.59602	0.64367	0.74685	0.19625	0.57966	4.17542	0.37044	0.00205	3.14222	0.0	10.35443	0.24161	2.08318	2.99637	0.17818	0.13786	0.24818	1.3285	1.87867	0.0	0.0	0.26822	0.01256
s__Leptotrichia_buccalis	0	3.05613	3.97852	0.0	0.0	0.00283	0.0	0.1214	0.17005	0.15892	0.0	0.00091	0.0	0.0	0.0	0.92988	1.31726	0.08195	0.01043	0.11458	1.18234	0.0	0.21456	0.0246	1.01251	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04237	0.01771	0.0	0.0	0.0	0.04448	0.12784	0.12312	0.01435	0.08001	0.17544	0.70244	0.34105	0.0602	0.49266	0.23073
s__Treponema_denticola	0	2.80772	6.56015	0.0	0.0	6.76793	4.2692	4.8772	3.74797	9.55271	7.83137	0.41423	0.39254	0.0	0.0	2.63205	0.38869	0.72897	1.31114	0.0	0.2602	7.99549	7.91639	0.0044	0.32059	0.00141	0.0	0.03748	0.0	0.0	0.0	0.0	0.0	7.64565	3.51949	0.00577	0.00303	1.87058	0.21003	0.01504	0.23767	3.42837	0.39361	1.85059	0.91487	10.65409	6.27468	0.06772	0.08528
s__Veillonella_parvula	0	2.55151	2.72198	31.44781	17.88937	4.19041	0.67501	1.00029	0.22147	0.14587	0.0	0.66327	3.80929	0.01553	1.00443	2.6377	6.56364	0.70724	0.09572	12.35675	5.28151	13.70447	3.38423	12.51029	3.55202	0.3414	0.67593	0.26652	2.85155	12.87713	5.35844	1.14485	2.19201	0.75159	0.01409	55.34263	0.1055	0.01818	0.54511	2.07618	0.6814	1.28463	0.40023	0.68358	0.66854	0.40884	0.22956	1.68354	3.34564
