clade_name	NCBI_tax_id	TZ_10742	TZ_12739	TZ_14139	TZ_16581	TZ_21460	TZ_21618	TZ_24827	TZ_25806	TZ_27689	TZ_29321	TZ_37609	TZ_38244	TZ_39227	TZ_39371	TZ_40311	TZ_41014	TZ_42041	TZ_42864	TZ_43638	TZ_47979	TZ_60579	TZ_61717	TZ_65172	TZ_65642	TZ_67706	TZ_70090	TZ_73414	TZ_76219	TZ_81781	TZ_83627	TZ_83788	TZ_83893	TZ_83985	TZ_86768	TZ_86771	TZ_87532	TZ_90808	TZ_91827	TZ_93321	TZ_99300
s__Methanobrevibacter_smithii	0	10.20031	0.51691	0.09539	21.09625	0.32799	17.12043	1.96388	10.71959	2.86403	8.75849	17.53468	12.77401	8.17131	26.73424	0.06367	0.03795	16.14027	15.37521	4.7482	0.66424	18.50977	0.0	0.09379	0.38008	0.01151	16.32059	0.90484	7.99848	0.11394	24.72261	0.0	3.28829	0.54062	0.1145	6.54564	0.18569	0.59837	8.98053	0.0	10.2138
s__Ruminococcus_torques	0	8.90267	12.87669	29.79628	0.85892	3.64671	2.79434	13.13964	1.32218	8.68064	2.69845	3.21906	1.97023	3.16034	2.15323	23.80514	2.90755	3.13271	3.96209	0.65577	1.74063	0.55614	2.32555	4.70572	17.38004	11.07841	1.52236	16.66494	0.83229	0.11887	0.57425	0.7656	9.83152	2.45904	0.16663	11.92514	20.3433	2.73909	1.11046	8.35639	4.09629
s__Holdemanella_biformis	0	8.18964	1.11887	3.05883	0.20763	6.78324	0.6705	0.47404	0.16688	1.36701	0.58694	0.08431	0.06799	0.0	1.08914	7.99057	4.0651	0.31002	0.61317	0.0	0.0	0.27386	0.0	0.81092	2.74334	3.01662	0.50068	2.66621	0.27323	0.06733	0.07386	0.07727	1.48513	0.58194	0.15797	1.06425	1.66862	0.07085	2.23172	0.04707	0.59751
s__Treponema_berlinense	0	6.96587	0.33423	0.26764	0.24577	0.23328	0.14267	0.07789	1.08954	1.10422	0.0	7.45124	4.20955	1.93046	1.24056	0.0	3.2912	4.06739	0.57289	0.32443	9.54747	0.39	0.37324	1.18995	5.67111	0.0	0.51634	1.56579	2.74647	0.0	0.72603	0.0	8.57492	2.20083	0.0	0.08722	0.0516	1.89935	0.05908	0.39133	3.90655
s__Collinsella_aerofaciens	0	6.90404	3.33897	6.94826	6.47557	24.2243	12.20604	8.10446	2.21617	3.02308	2.84354	4.58793	3.85912	0.7665	16.2906	21.97512	12.32201	6.32294	2.12425	0.82408	5.41034	5.63306	6.94531	8.10686	3.30209	6.76615	2.7961	5.96459	3.64093	1.04742	8.41173	3.41726	9.38308	4.32606	0.94362	12.10983	18.70635	3.73554	8.11561	7.31105	10.10971
s__Ruminococcus_bromii	0	6.75604	2.54687	0.0	0.27507	14.08316	1.47578	28.41236	0.03397	11.59554	0.0	1.28335	5.19827	1.37297	6.79165	0.05221	0.45884	5.05177	0.04948	5.02625	3.52812	3.3478	0.69521	0.15342	0.27143	0.43029	1.03835	0.04961	1.86091	1.21633	0.57319	1.37421	0.53252	1.15998	1.59309	2.28244	3.89137	0.38927	18.54585	0.87213	1.78426
s__Anaerostipes_hadrus	0	6.48273	5.46885	3.34936	7.85152	6.19821	19.44858	1.84211	3.07297	0.74609	0.04718	1.58882	4.67298	2.59633	3.05316	2.21272	7.59785	19.50831	2.87196	0.08503	1.53743	1.56286	11.20207	14.55146	4.73155	19.28374	16.21607	12.0728	2.43447	0.14752	1.71576	3.43165	9.28432	1.9225	0.31991	11.88624	8.73615	2.87079	2.03975	3.58972	16.07598
s__Prevotella_sp_CAG_873	0	6.46657	0.0	0.0	2.27884	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.00578	0.0	0.0	0.0	0.0	0.0	0.0	0.33274	0.0	0.0	0.0	2.5049	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09645
s__Dorea_formicigenerans	0	5.62642	2.83622	7.51789	2.9689	2.20127	4.17735	2.55157	0.70978	1.23622	1.12936	0.89491	0.6474	0.27468	1.95284	2.79647	6.87838	0.931	1.17836	0.17078	0.3782	0.5143	0.98754	3.70797	3.91425	4.56237	1.08396	5.74879	2.91366	0.51343	0.17711	0.303	5.22891	1.2056	0.54099	1.26192	3.79181	0.37274	1.10498	0.38904	0.77571
s__Ruminococcus_sp_CAG_488	0	4.19172	0.0	0.0	0.13791	0.14372	1.84144	0.0	0.0	0.02073	0.0	0.05993	0.0	0.39421	0.01746	1.92094	0.0	0.0	0.0	0.0	0.52702	0.16037	23.27504	1.48307	0.07236	1.30607	0.05644	0.18524	2.98779	0.0	0.57923	0.23115	0.04546	0.0	0.0	0.34456	0.0	0.04958	0.58034	0.0	0.01134
