clade_name	NCBI_tax_id	SK_CT101OSL_t1M14	SK_CT101RCR_t1M14	SK_CT102OSL_t1M14	SK_CT102RCL_t1M14	SK_CT102RCR_t1M14	SK_CT104OSL_t1M14	SK_CT104OSR_t1M14	SK_CT104RCL_t1M14	SK_CT104RCR_t1M14	SK_CT105OSL_t1M14	SK_CT105OSR_t1M14	SK_CT105RCL_t1M14	SK_CT105RCR_t1M14	SK_CT106OSL_t1M14	SK_CT106OSR_t1M14	SK_CT106RCL_t1M14	SK_CT106RCR_t1M14	SK_CT107OSL_t1M14	SK_CT107OSR_t1M14	SK_CT107RCL_t1M14	SK_CT107RCR_t1M14	SK_CT108OSL_t1M14	SK_CT108OSR_t1M14	SK_CT108RCR_t1M14	Steph_2	Steph_3	Steph_4	Steph_5	Steph_6	Steph_7	Steph_b2_1	Steph_b2_10	Steph_b2_11	Steph_b2_12	Steph_b2_13	Steph_b2_14	Steph_b2_16	Steph_b2_17	Steph_b2_18	Steph_b2_2	Steph_b2_20	Steph_b2_21	Steph_b2_22	Steph_b2_23	Steph_b2_24	Steph_b2_25	Steph_b2_26	Steph_b2_28	Steph_b2_29	Steph_b2_30	Steph_b2_31	Steph_b2_32	Steph_b2_33	Steph_b2_34	Steph_b2_35	Steph_b2_36	Steph_b2_39	Steph_b2_40	Steph_b2_43	Steph_b2_45	Steph_b2_46	Steph_b2_47	Steph_b2_48	Steph_b2_49	Steph_b2_5	Steph_b2_50	Steph_b2_51	Steph_b2_52	Steph_b2_53	Steph_b2_54	Steph_b2_55	Steph_b2_56	Steph_b2_57	Steph_b2_58	Steph_b2_6	Steph_b2_60	Steph_b2_61	Steph_b2_62	Steph_b2_63	Steph_b2_64	Steph_b2_65	Steph_b2_66	Steph_b2_67	Steph_b2_68	Steph_b2_70	Steph_b2_71	Steph_b2_72	Steph_b2_74	Steph_b2_9
s__Staphylococcus_epidermidis	0	38.60496	0.0	8.00938	25.45301	26.14139	39.9682	24.58827	0	31.98812	2.16064	7.43056	2.78544	11.0226	1.80868	82.53601	1.88971	21.47114	23.59436	0.0	21.57491	12.49324	0	4.52799	0.0	0	89.61158	80.61573	0.61895	0.79368	0	33.57181	74.0849	3.60873	0.09919	25.37128	48.24595	0.0	24.09754	4.09608	7.71642	5.01103	37.056	42.79752	0.0	29.46786	0.0	0.66075	34.52246	13.25182	23.2242	16.48565	5.15778	87.92859	89.41608	0.0	0.0	0.78332	2.4316	0	12.85031	2.90661	0.62829	1.25784	11.34461	88.60528	45.541	0.0	1.0337	76.8319	61.95928	4.0259	55.96382	12.189	12.94602	43.64445	2.01647	91.49833	89.34184	2.01033	0.0	24.16535	6.88256	8.10992	0	16.9314	2.76945	7.27154	83.46605	68.52964
s__Corynebacterium_kroppenstedtii	0	24.91541	0.0	0.0	0.00891	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	3.40767	0.02402	0.09786	1.08653	0.0	0.0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.48206	0.0	0.0	0.0	0.0	0.0	2.88713	0.47529	0.0	0.0	0.0	0.0	0.0	16.6886	23.97434	48.5682	13.81705	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01942	0.0	0.0	0.02153	0.0	0.01181	0.01874	1.19293	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0
s__Pediococcus_acidilactici	0	12.26149	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0
s__Cutibacterium_acnes	0	9.31907	0.0	4.06502	50.19514	4.8818	55.94707	65.8601	100	32.35166	53.29425	10.661	34.4559	19.76397	42.21817	3.4793	39.88911	25.73125	11.21022	6.0302	57.01813	46.45557	0	0.0356	39.92877	0	1.86692	4.62001	98.66282	97.62349	100	35.24405	7.98863	0.0	0.02523	0.09764	3.85416	0.0	37.65175	91.64187	85.11536	5.37997	1.29446	0.1297	48.15455	20.01362	0.0	0.0	0.0	62.66649	19.95426	34.94616	24.17778	1.91019	0.64514	0.0	0.0	73.69689	49.78226	100	0.0	0.0	0.08569	0.30378	0.74667	0.0	0.67719	26.00756	3.05127	0.01495	3.01244	1.98221	27.73342	49.11895	56.79342	0.0	8.25373	1.23284	2.81723	7.65739	0.23802	48.92168	85.3208	65.01861	100	62.04093	40.81936	15.88413	15.38284	6.774
s__Malassezia_restricta	0	3.54279	0.0	4.01043	2.03465	3.51796	0.32913	0.27855	0	0.0	1.83056	1.77366	1.75097	4.02372	7.15472	0.49315	2.88822	25.23441	0.0	0.0	0.85888	0.0	0	0.89287	0.0	0	0.47826	0.0141	0.38689	1.03527	0	25.30029	8.25798	0.0	0.0	0.0	0.08403	0.0	0.0	1.9162	4.3844	0.1354	1.34383	0.32899	0.0	8.03161	0.0	0.0	0.0	5.15115	5.91874	0.0	0.0	0.72619	0.76801	0.0	0.0	1.17581	1.75486	0	1.53194	2.63711	0.51948	0.40469	0.92435	0.0	1.00267	0.0	0.57053	0.0	0.0	0.0	1.033	4.91614	3.53233	0.0	0.05236	0.55271	1.61133	0.46459	0.0	5.40933	3.88908	2.52173	0	3.28227	0.0	0.47108	1.1511	9.81423
s__Cutibacterium_granulosum	0	3.00043	0.0	0.25961	11.31793	19.96453	0.91321	0.95419	0	0.0	0.04397	0.61155	0.05323	3.21684	0.55344	0.71864	0.0	3.54299	0.0	0.0	0.0	0.0	0	0.52555	0.0	0	0.0	0.0	0.14917	0.14167	0	3.20862	1.20762	0.0	0.0	0.01901	0.0	0.0	0.0	0.0	2.39254	0.01628	4.83538	5.33094	0.0	0.95327	0.0	0.0	0.0	0.0	16.38421	0.0	0.0	0.03487	0.0	0.0	0.0	0.0	0.49203	0	0.0	0.06815	0.0	0.0	0.0	0.0	0.0	0.0	0.04376	0.0	0.0	0.0	8.32849	23.83089	22.7298	0.0	0.13798	1.62286	4.95902	0.40196	0.0	0.0	1.91454	1.84831	0	0.0	0.0	0.0	0.0	0.33665
s__Lactobacillus_fermentum	0	2.21721	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.05315	0.0	0.0
s__Staphylococcus_capitis	0	2.01854	0.0	66.73487	6.17713	40.11151	0.03996	0.10859	0	0.0	0.58764	5.30284	2.97585	3.43327	2.66903	9.94005	5.12263	17.44472	0.0	0.0	2.88513	0.0	0	0.01029	0.0	0	5.65799	8.46776	0.15346	0.20145	0	2.44103	3.7897	0.0	0.35193	1.04878	13.588	0.0	20.56346	0.23511	0.11876	39.02028	31.02921	18.0213	0.0	10.53257	0.0	0.0	0.0	0.09345	10.31211	0.0	56.84739	0.23444	0.18908	0.0	0.0	4.21837	2.91549	0	78.47825	89.6768	1.26311	1.31506	82.4142	0.0	46.98614	0.0	1.04897	0.0	0.0	0.10912	0.0	0.10501	0.27225	0.0	0.0	1.94519	0.77026	3.02602	0.0	21.50364	1.28837	7.36435	0	17.7454	13.81662	12.30439	0.0	1.00271
s__Corynebacterium_accolens	0	1.05654	0.0	0.0	0.01966	0.0	0.03582	0.0	0	0.0	0.0	0.20863	0.0	0.04494	0.64655	0.04696	0.51355	0.46638	0.0	0.0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0.0	0.00425	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05272	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.05963	0.0	3.45228	0.0	0.46143	0.0	0.0	0.0	0.0	0.53059	0.10624	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0
s__Dolosigranulum_pigrum	0	1.03348	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.58067	0.0	0.09086	0.0	0.00069	0.0	0.01453	0.0	0.0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0.11026	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2547	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	7.73221
