clade_name	NCBI_tax_id	C16-20002-TZ	C16-20003-TZ	C16-20005-TZ	C16-20070-TZ	C16-20071-TZ	C16-20072-TZ	C16-20073-TZ	C16-20117-TZ	C16-20118-TZ	C16-20119-TZ	C16-20123-TZ	C16-20135-TZ	C16-20152-TZ	C16-20153-TZ	C16-20197-TZ	C16-20198-TZ	C16-20211-TZ	C16-20212-TZ	C16-20215-TZ	C16-20237-TZ	C16-20238-TZ	C16-20246-TZ	C16-20247-TZ	C16-20248-TZ	C16-20340-TZ	C16-20341-TZ	C16-20345-TZ	C16-20346-TZ	C16-20347-TZ	C16-20371-TZ	C16-20372-TZ	C16-20373-TZ	C16-20374-TZ	C16-20415-TZ	C16-20416-TZ	C16-20417-TZ	C16-20437-TZ	C16-20438-TZ	C16-20439-TZ	C16-20440-TZ	C16-20441-TZ	C16-20470-TZ	C16-20471-TZ	C16-20473-TZ	C16-20474-TZ	C16-20475-TZ	C16-20491-TZ	C16-20492-TZ	C16-20493-TZ	C16-20494-TZ	C16-20548-TZ	C16-20549-TZ	C16-20550-TZ	C16-20551-TZ	C16-20554-TZ	C16-20557-TZ	C16-20558-TZ	C16-20625-TZ	C16-20626-TZ	C16-20627-TZ	C16-20645-TZ	C16-20646-TZ	C16-20647-TZ	C16-20648-TZ	C16-20649-TZ	C16-20650-TZ	C16-20651-TZ	C16-20652-TZ
s__Ruminococcus_bromii	0	41.0932	13.03345	0.0	0.0	4.98054	11.10009	0.00689	0.64652	0.0	0.00442	0.0	0.0	0.73789	0.0	5.26207	1.49297	2.56659	0.36164	1.22406	0.41818	0.78641	1.8865	0.0225	0.17843	1.60958	0.6282	0.37593	0.0	5.12377	2.47088	0.0	2.62394	8.70866	0.0	0.0	0.0	1.2297	0.67288	0.0	1.97729	0.38131	0.30693	0.97618	0.0	9.10214	1.51668	0.0	0.0	0.01206	1.22688	1.77605	0.25918	1.29193	1.52639	2.34366	0.0	0.21277	0.0	0.0	0.0	0.34996	1.1779	0.47508	2.2693	1.60617	0.52205	0.0	0.44219
s__Prevotella_copri	0	8.46306	38.9441	15.24984	18.25113	3.53955	34.07113	26.42584	3.38081	81.39169	51.60137	0.00217	0.00045	26.9529	20.3151	38.06863	2.56185	18.6357	16.13693	25.07564	38.48322	29.47387	0.0267	71.39353	0.0881	0.0	46.28266	4.34433	46.81671	0.00937	28.82627	46.77519	12.45667	18.91449	0.04453	42.8073	85.62293	27.10117	31.04738	34.91944	33.42534	39.32873	46.87028	8.58597	1.86303	11.05925	81.23958	0.24237	0.0	51.5953	44.86164	42.89352	41.09844	18.72798	61.79709	0.27431	11.77886	41.84048	44.38503	37.85072	20.63487	43.29231	44.97085	15.2447	28.65304	33.5292	20.46247	29.74543	18.22059
s__Eubacterium_rectale	0	7.71571	2.32209	18.68503	3.87062	0.08181	1.80753	16.05157	0.07482	0.18951	0.4959	0.2514	0.0	3.20725	8.27253	1.08388	0.65428	1.02511	0.80607	0.38333	3.03345	9.80569	4.22755	1.03831	2.75619	0.06821	8.36618	4.15567	0.23387	0.0	12.79152	0.09171	11.87898	14.17269	0.0	9.83007	2.74188	13.0346	0.66384	1.78443	0.99042	2.47178	6.44285	0.56209	0.18345	1.74652	0.00059	0.0	0.0	1.5827	9.51716	18.14204	16.82715	4.25913	3.705	10.60868	0.0	14.61001	0.27498	6.98041	0.91107	0.15174	1.00666	3.92356	2.49101	2.05866	4.54172	0.0	3.57495
s__Faecalibacterium_prausnitzii	0	7.00592	5.40713	2.5516	1.36347	14.70425	2.61644	0.0017	2.104	4.57667	0.68494	1.51687	1.08146	1.32508	1.9878	1.82301	2.42076	4.55103	2.32004	0.68804	3.39899	8.96267	6.17033	2.11711	2.86248	0.37177	0.32263	7.87205	1.254	11.97935	2.46118	1.91968	3.98962	5.57958	0.01907	2.77599	0.90931	4.16838	4.23631	2.32685	1.85814	2.74545	1.43368	4.21328	0.92772	5.78963	1.5267	0.27068	0.0	1.32527	2.29772	2.5028	3.04275	1.95886	2.68679	0.88176	0.25617	3.44676	3.35611	3.02592	7.59283	4.76671	4.95849	9.72677	4.08298	7.08655	7.85493	0.71958	7.99793
s__Bifidobacterium_longum	0	5.8972	0.0	0.0	0.25983	0.0	0.1048	0.0	0.0	0.12833	0.0	0.17003	0.96174	0.0	0.00837	0.11335	0.0	0.0	0.0	0.0	0.0	0.0	1.67747	0.17264	0.5365	1.46001	0.16936	0.65424	0.0	0.09806	0.0	0.06787	0.0	0.0	0.27443	0.26432	0.20198	0.02001	0.0	0.0	0.0	0.0	0.0	0.50635	0.0	0.34632	0.0101	0.0	20.13337	0.0	0.0	0.0	0.0	0.0	0.0	0.12997	0.27537	0.0	0.0	0.0	1.01788	0.0	0.0	0.0	0.0	0.0	0.0	3.28639	0.0
s__Bacteroides_vulgatus	0	4.05295	0.23006	1.17396	3.64681	0.11859	0.43294	0.0	3.89234	0.22622	2.09177	4.93305	7.75796	1.46214	3.98342	0.02073	4.34428	0.5188	0.0	0.79193	0.0	0.0	34.82154	1.53677	15.41517	0.00057	4.91858	21.84028	0.22417	0.0	0.0	0.0	0.0	0.0	0.0	0.34025	1.1285	3.48251	0.04474	0.5629	0.0	0.01041	0.05916	5.60151	0.61617	0.45652	0.21741	0.0	0.0	0.0	0.06465	0.0	0.0103	0.0	0.20052	1.69435	5.8227	0.57773	0.0	0.0	16.95101	0.0	0.15313	0.07946	0.0	0.0	0.0	0.4023	0.0
s__Dorea_longicatena	0	3.73071	1.58778	0.50993	0.01684	0.06074	0.35895	0.24422	0.03316	0.0843	0.27029	0.0	0.29619	0.79412	0.30237	0.37937	0.36258	0.34782	0.22427	0.28698	0.20685	0.15328	0.16898	0.20372	0.31133	0.26329	0.25787	0.73664	0.1546	0.70218	0.26898	3.35753	0.72746	0.4549	0.0	0.1602	0.07489	0.32705	0.62551	0.1013	0.21335	0.07124	0.09904	0.21466	0.03813	0.87336	0.04409	0.0	0.0	0.02963	0.03335	0.79603	0.05795	0.34707	0.66436	1.49105	0.0	0.40963	0.07536	0.82754	0.71474	0.02998	0.3003	1.1069	0.32529	0.32288	1.2989	0.57195	0.39348
s__Escherichia_coli	0	3.41781	0.08662	6.60209	0.434	0.12721	0.0	1.74813	0.11728	0.1276	0.6704	0.00692	0.0	2.7078	5.47343	0.31307	4.52061	0.33208	0.14058	1.14624	0.0	0.0	0.38647	0.0	0.82179	0.03259	5.95622	0.29194	0.0	0.63441	0.0	2.00188	0.68582	0.87415	41.76788	0.2223	1.1581	0.04424	1.31843	0.23432	0.19201	0.03845	0.12421	0.37372	4.60184	0.93587	0.26714	47.11549	14.98116	9.39529	0.50723	0.03217	0.14161	0.0	0.89427	0.0263	9.56505	0.09647	0.01302	0.30093	0.54776	0.20403	0.37943	0.5679	0.02881	0.11671	0.01844	3.63945	0.01434
s__Prevotella_sp_CAG_279	0	2.32585	0.0	2.62849	0.0	0.01062	7.68924	0.80522	2.25783	0.03847	0.06513	0.0	31.5476	0.31839	5.31258	12.72809	0.28311	3.82698	0.08229	3.62995	0.97489	8.88495	0.0	0.0	0.0	0.0	0.0	3.92972	1.2153	0.0	5.27148	1.07383	1.40825	4.86941	0.0	10.55699	0.0	0.0	1.27969	1.00922	1.87749	0.48132	0.52982	0.0	0.0	0.0	0.0	0.0	0.0	0.97988	1.18055	0.2447	0.22233	0.18076	3.3495	0.0	0.0	2.12346	0.02461	0.72597	9.81085	0.13607	0.03333	0.33254	0.40415	0.24404	0.0	4.12612	2.52278
s__Eubacterium_siraeum	0	2.22226	2.42226	0.0	0.34994	2.81215	0.0	0.03313	3.00784	0.0	0.03289	0.0	0.0	0.40309	1.27561	2.30804	0.91046	0.81794	0.03303	0.02113	0.13838	0.81606	0.06119	0.0	0.05926	0.37063	0.0	0.49162	0.0	1.77699	0.0	0.0	0.15022	0.0	0.0	0.25956	0.0	3.28473	0.13612	0.01682	0.0	0.22469	0.00379	0.0	0.16556	6.46541	0.0	0.0	0.0	0.0	0.0	0.07748	0.18667	0.06333	0.0	0.13369	0.0	0.0	0.59893	0.0	0.0	9.51779	0.11773	0.18964	0.0	2.47754	0.0	0.0	0.2102
