clade_name	NCBI_tax_id	C16-20005-GH	C16-20006-GH	C16-20007-GH	C16-20008-GH	C16-20009-GH	C16-20010-GH	C16-20011-GH	C16-20029-GH	C16-20030-GH	C16-20032-GH	C16-20047-GH	C16-20048-GH	C16-20049-GH	C16-20050-GH	C16-20065-GH	C16-20066-GH	C16-20073-GH	C16-20074-GH	C16-20108-GH	C16-20110-GH	C16-20111-GH	C16-20112-GH	C16-20113-GH	C16-20124-GH	C16-20125-GH	C16-20126-GH	C16-20127-GH	C16-20138-GH	C16-20241-GH	C16-20242-GH	C16-20243-GH	C16-20244-GH	C16-20245-GH	C16-20246-GH	C16-20247-GH	C16-20273-GH	C16-20274-GH	C16-20275-GH	C16-20288-GH	C16-20292-GH	C16-20362-GH	C16-20363-GH	C16-20374-GH	C16-20375-GH
s__Prevotella_copri	0	23.40241	27.00293	34.85515	20.35912	36.31118	30.71758	0.84322	15.17232	52.23663	44.95728	1.31915	3.39248	11.53423	1.14686	15.48998	0.00131	3.0658	45.20982	9.61055	47.44246	5.29538	19.67262	40.8708	55.63767	5.21079	0.00024	40.2392	31.14356	39.20873	13.19783	0.0	19.69444	8.71158	16.71932	15.35536	37.95588	6.03165	9.59853	0.0028	14.02864	22.98489	13.10072	1.05933	0.28901
s__Prevotella_sp_CAG_520	0	17.1939	39.12203	0.00963	0.02723	0.11126	1.74361	0.0	0.00205	0.00278	3.97508	0.0	0.0	0.0	0.0	14.97869	0.0	0.0	0.0	0.0	0.0	2.89168	0.0081	20.58917	0.0	0.05031	0.0	0.00089	0.0	11.87275	6.1263	0.0	42.90507	0.0	44.04861	0.0	6.91338	0.0	0.0	0.0	0.0	0.0086	4.09544	0.40742	0.0
s__Prevotella_sp_CAG_5226	0	9.43975	0.0	6.15674	0.0	0.0	4.32941	0.0	1.08054	0.0	0.64318	0.0	0.0	0.0	0.0	0.70303	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00163	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.4227	0.0	0.0	0.0	0.00171	0.0	1.05812
s__Butyrivibrio_crossotus	0	7.59587	0.76266	3.92892	0.0	0.84672	2.20856	0.0	42.79785	0.70774	0.08633	23.50414	4.87887	0.0	18.1374	0.22317	0.0	0.22146	0.0	14.01481	4.09938	16.43319	1.40329	0.0	0.0	2.07881	4.08617	1.56422	0.0	0.0	14.98909	0.68049	0.0	0.04159	0.0	0.0	8.47371	0.0	0.0	0.0	0.0	10.78844	5.58086	0.0	0.02921
s__Butyrivibrio_sp_CAG_318	0	4.2339	0.0	0.0	0.47132	1.03507	0.36515	0.0	0.2128	0.0	0.0	0.0	0.27546	0.0	0.0	1.08061	0.0	0.0	0.0	4.7764	0.0	25.92444	10.70752	0.0	0.0	0.0	0.0089	0.46304	0.0	0.35085	0.0	0.00772	0.0	0.30642	0.0	0.0	2.37898	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Eubacterium_rectale	0	4.17021	0.05127	8.05915	5.59821	0.27498	0.89396	0.00956	0.92596	2.6201	3.47126	1.55419	0.0853	1.3283	0.27777	2.27811	0.0	5.61202	1.51064	12.02964	4.20717	0.08861	1.86652	0.98193	0.0	11.76617	15.93913	2.03172	21.31142	1.60403	1.74395	4.37176	7.23289	2.21461	6.05766	0.0	0.0	5.38403	5.21801	6.33883	10.10257	22.50273	11.65964	4.94676	19.2202
s__Prevotella_sp_CAG_1092	0	3.45463	0.0	3.0786	7.76365	4.17529	0.0	0.0	0.0	0.0	2.67118	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.82682	0.7572	0.0	1.35325	1.23864	1.1814	0.0	0.22931	0.0	0.0	0.0	0.0	0.0	2.79077	0.06726	0.0
s__Faecalibacterium_prausnitzii	0	2.67777	2.61987	2.97648	6.04799	2.84001	5.60066	0.24215	5.03872	8.7149	5.24595	6.90282	3.12735	29.90331	19.64386	12.83063	0.9132	10.14719	2.69111	13.38403	5.2449	4.85736	3.89012	5.71871	16.41233	6.72906	5.26506	28.94007	10.06529	4.17689	7.86554	1.22784	2.84756	4.3009	4.86373	3.64025	2.21753	0.0	2.78826	7.03896	5.17871	3.52098	7.12067	10.89124	0.68363
s__Roseburia_inulinivorans	0	2.42322	1.57121	9.04159	0.02157	2.83328	5.54621	0.0	0.17154	0.37286	1.65849	0.45842	0.42515	2.91185	1.09384	0.2034	0.0	12.75302	1.63377	0.20211	6.07194	1.24981	3.3015	0.43199	0.48015	2.4024	3.8068	2.21982	1.51729	0.67418	0.01737	0.0	2.79805	1.17147	3.01394	0.5208	3.0482	0.28005	0.54148	0.57172	1.56261	2.65174	0.35543	0.04937	0.02427
s__Prevotella_sp_AM42_24	0	2.28627	0.0	1.49622	0.10183	6.58341	2.37123	0.0	0.6741	1.65562	2.40511	0.0	0.0	0.0	0.0	2.73508	0.0	0.0	13.41118	1.04855	7.68459	1.65533	4.50473	9.6146	0.0	0.08866	0.0	0.0	10.30988	5.74974	2.69761	0.0	0.0	0.66261	0.0	0.0	1.04337	0.0	0.0	0.0	6.41138	0.37461	18.10423	0.20133	0.31293
s__Prevotella_sp_CAG_279	0	2.09166	2.13123	0.05639	0.46333	0.23363	0.27088	0.0	0.99097	1.17676	0.0	0.0	0.0	0.0	0.0	0.73265	0.0	0.0	0.0	0.0	0.0	0.31266	0.0	0.0	1.29068	10.29767	0.0	0.0	0.0	0.74298	1.39762	10.5103	0.55327	10.92588	0.35335	0.0	0.0	0.0	0.0	0.67741	1.75781	2.03859	0.6039	0.11153	0.0
s__Bacteroides_sp_CAG_530	0	2.02307	6.26218	2.8426	3.13146	0.0	1.4283	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33232	0.0	0.0	0.0	0.33839	0.30133	0.0	2.66426	0.0	2.90847	0.0	0.32876	2.96002	0.0	0.0	2.1898	0.32368	0.42996	0.37818	0.0
s__Clostridium_sp_CAG_590	0	1.58925	0.0	0.0	0.0	0.0	0.73845	0.0	0.06817	0.0	0.0	0.0	0.0	0.14623	0.0	0.0	0.0	0.0	0.0	0.04111	0.50452	0.0	0.0	0.00284	0.0	0.0	0.00843	0.0	0.0	0.00786	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23829	0.41108	0.32069	0.0
s__Ruminococcus_bromii	0	1.18662	1.2891	1.1587	2.89797	2.07583	0.00223	0.02249	1.00523	0.66203	2.94026	6.63859	3.99253	2.31627	0.00156	0.6611	3.92952	0.0	0.64687	0.10237	0.0337	2.11662	14.65787	2.43178	0.0	0.00849	1.62656	0.0	0.55737	0.0	0.00638	0.05061	0.0049	0.89054	0.00805	0.0	1.00671	0.0	0.0	0.0	0.00157	0.0	0.68522	5.8908	0.00918
s__Mitsuokella_multacida	0	1.1765	0.0	0.0	0.0	0.18964	0.03715	0.0	0.0	0.00627	0.0	0.0	0.0	0.0	0.0	0.0	1.32347	0.0	0.0	0.0	0.79833	0.0	0.0	0.0	0.0116	0.0	0.0	0.07724	0.0	3.46404	0.0	0.02457	0.0	0.0	0.0	0.0	0.26208	0.0	0.0	0.0	5.22325	0.02583	0.04091	0.17269	0.1676
s__Bacteroides_pectinophilus	0	1.15897	0.0	0.0	0.0	0.0	0.0	0.0	0.41572	0.38364	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.76218	0.0	0.0	0.0	0.27497	0.0	0.0	0.0	0.0	0.0	0.01717	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Prevotella_stercorea	0	1.14695	2.92921	1.50031	9.0405	22.16916	11.71325	0.45638	6.59687	6.8645	4.57273	0.00136	0.0	0.0	0.0	6.89027	0.0	0.0	0.00076	0.0	0.0	0.18598	4.80967	1.61542	0.0	0.00374	0.0	5.4025	0.0	0.92914	1.65433	0.0	3.1857	0.19457	3.70884	0.0	6.5096	0.0	0.0	0.0	0.0	3.18608	10.82649	0.27209	0.0
s__Dorea_longicatena	0	1.09364	0.1471	2.63849	0.09446	0.8479	0.43099	0.01578	0.30189	0.52405	0.25031	0.32838	0.42686	0.58057	0.28836	0.08018	0.57967	0.83086	0.31481	0.19629	0.27835	0.27917	0.59973	0.27181	0.08435	0.45378	0.15118	0.35146	0.03747	0.51023	0.41253	0.122	0.4656	3.20376	0.49192	1.22989	0.76934	4.79129	0.84611	2.06666	2.58475	0.62137	0.32183	1.46308	0.36925
s__Eubacterium_sp_CAG_180	0	0.99306	0.0	0.03091	0.01459	0.03743	0.04132	0.00947	0.0	0.0	0.05408	0.0	2.70635	0.0	0.0	0.00314	0.0	0.0	0.0	0.0	0.0	0.6469	0.0	0.08201	0.0	0.01148	0.11019	0.0	0.0	7.02809	0.0	0.0	0.0	0.03724	0.0	0.0	3.68916	0.0	0.0	4.70648	0.0	2.11133	0.0	0.00124	0.0
s__Coprococcus_comes	0	0.96596	0.30204	0.33853	1.14047	0.08896	0.13881	0.03097	0.13218	0.26334	0.16705	0.18911	0.46174	0.23018	0.54428	0.33262	0.0	1.55845	0.01826	0.08065	0.06687	1.13911	0.68355	0.17673	0.10337	0.21095	0.08162	0.39173	0.07866	0.06965	0.49399	0.03419	0.07897	0.25785	0.0796	0.1131	0.51147	3.23561	0.15877	0.57634	1.08925	0.32169	0.16861	1.73384	0.42657
s__Anaerostipes_hadrus	0	0.70512	0.23113	0.5421	1.21112	0.03555	0.04712	0.01034	0.06703	0.06976	0.06743	0.0661	0.18636	0.06128	0.11304	0.0	0.0	2.37095	0.19692	0.00085	0.09376	0.01517	0.04274	0.01499	0.03187	0.25991	0.17562	0.0671	0.31108	0.02902	0.03078	0.02545	1.13464	2.42074	1.73457	9.44662	0.13822	0.0	0.24066	0.0226	0.09734	0.12771	0.0159	0.29845	0.12626
s__Eubacterium_eligens	0	0.68165	1.76102	1.47772	1.37953	1.84667	4.09923	0.00443	2.57514	0.70272	1.3427	2.74749	3.65841	1.30556	3.21677	0.19479	0.0	0.56595	0.23733	7.98446	1.83759	1.14165	1.43024	0.13297	2.82213	8.16457	3.11923	0.5701	1.75815	0.74505	1.30766	4.83025	1.77524	4.57501	1.41374	1.48965	1.6145	0.0	0.05786	1.50807	1.40067	1.1895	3.58816	1.63365	2.14941
s__Eubacterium_siraeum	0	0.67399	0.0	0.0	0.12573	0.00428	0.16442	0.0	0.03196	0.0	0.00318	0.3888	1.40461	0.0	0.48195	0.05943	0.0	0.0	0.00059	0.03384	0.0258	0.0	0.11521	0.0	0.0	0.0	0.01775	0.00842	1.46454	0.04207	0.00432	0.0	0.0	0.0	0.0	0.0	0.46213	0.0	0.0	0.06646	0.0	0.02318	0.00549	0.22663	0.01261
s__Catenibacterium_mitsuokai	0	0.66813	0.0	0.099	0.0	0.02242	0.13971	0.0	0.05499	0.42643	0.09017	0.04264	0.0	0.37866	0.0	0.49585	0.0	0.0	0.0	0.0	0.04007	0.45804	0.20964	0.05561	0.0	0.63629	0.0	0.0	0.0	0.86497	0.20101	0.0	0.0	0.38786	0.0	0.0	1.05673	0.0	0.0	0.0	1.11575	0.42534	0.07406	2.21779	0.0166
s__Dorea_formicigenerans	0	0.66625	0.35045	0.62973	0.46718	0.21494	0.32133	0.00599	0.22546	0.15061	0.65504	0.19429	0.27659	0.50638	0.12683	0.94169	0.0	0.13447	0.11646	0.12723	0.33213	0.3314	0.24877	0.04153	0.08969	0.23116	0.18113	0.19144	0.08703	0.44046	0.38183	0.07152	0.35644	0.77581	0.50694	0.21053	0.48027	0.89178	0.69335	1.52802	1.13794	0.85595	0.6799	0.54359	0.19256
s__Eubacterium_hallii	0	0.50784	0.2121	0.09996	0.09552	0.06904	0.13908	0.0	0.13508	0.28019	0.0981	0.04913	0.19986	0.05933	0.34037	0.02736	0.0	0.22667	0.05948	0.14569	0.35808	0.04265	0.11568	0.02104	0.1757	0.13732	0.39356	0.06283	0.00727	0.39773	0.09231	0.20891	0.02368	1.04927	0.01913	0.06645	0.43933	0.01356	0.64349	0.45138	0.31904	0.36922	0.07886	2.56948	0.07808
s__Oscillibacter_sp_57_20	0	0.50641	0.22569	0.87792	2.84679	0.33447	0.71961	0.0	1.60319	0.3531	0.44204	4.97236	4.20528	4.2305	2.04726	3.19949	0.0	0.02736	1.87	1.42893	0.51134	0.78856	0.19045	0.1435	0.1669	0.50198	1.44112	0.85385	0.29142	0.14601	1.50988	0.0	0.05031	1.94218	0.03997	0.0	0.45319	0.0	0.33757	0.72428	0.08352	0.24816	0.56724	1.29816	0.85841
s__Phascolarctobacterium_succinatutens	0	0.48899	0.0	0.4229	0.95099	2.29216	1.28034	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.66665	0.0	0.0	4.05232	0.0	0.0	0.0	11.42776	0.52272	0.69826	0.0	0.0	4.79865	0.0	0.0	2.70308	3.91573	0.69561	0.0	0.82165	0.0	0.0	0.0	0.0	2.54582	0.00496	0.20288	3.45823	0.5333	0.79262
s__Collinsella_aerofaciens	0	0.45355	0.18652	1.10384	0.64513	0.45667	0.67951	0.26144	0.72272	0.39932	0.25712	0.16983	0.79396	0.38988	0.35011	1.32156	0.0	0.65758	0.59103	0.17543	0.52225	0.19245	0.1667	0.15613	0.14483	0.29585	0.08479	0.08978	0.13968	0.44312	0.37367	0.02305	0.19259	0.33433	0.29983	0.15377	0.41655	1.18749	1.43324	0.5691	2.37004	1.02775	0.48259	1.02767	0.02668
s__Ruminococcus_torques	0	0.38477	1.67581	2.50535	1.07445	0.89791	1.79539	0.16109	0.38572	0.46132	10.11437	0.49561	1.09906	0.66363	0.59932	1.37697	0.0	2.71984	2.01928	1.19032	0.64271	0.53398	0.46944	0.53039	0.01423	0.75891	0.13139	1.62206	0.39988	0.2058	1.64465	0.06279	0.17945	3.94275	0.36705	5.61865	0.15768	0.29411	1.00481	0.27973	0.46596	1.47421	0.38535	0.77681	0.68994
s__Fusicatenibacter_saccharivorans	0	0.37977	0.12879	0.14708	0.02786	0.0611	0.09935	0.0	0.05895	0.10264	0.03338	0.17283	0.08432	0.43202	0.44611	0.01392	0.0	0.46636	0.0514	0.02133	0.26285	0.02568	0.06572	0.03257	0.02284	0.12538	0.15258	0.11033	0.06483	0.07393	0.01115	0.04589	0.06855	2.1974	0.11433	0.3939	0.11222	0.0	0.9687	0.56463	0.38411	0.12449	0.03204	0.60869	0.5341
s__Megasphaera_elsdenii	0	0.32966	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17552	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00197	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5438	0.00522	0.0	0.0	0.0
s__Agathobaculum_butyriciproducens	0	0.2831	0.08251	0.05695	0.10316	0.0247	0.02796	0.0	0.04677	0.02305	0.09693	0.0752	0.17254	0.16498	0.03517	0.02137	0.0	0.38009	0.03273	0.01249	0.0821	0.0	0.0383	0.02384	0.02706	0.02863	0.0068	0.01436	0.06591	0.07838	0.04024	0.00461	0.16609	0.2381	0.16934	0.41311	0.07242	0.0	0.02577	0.26778	0.06936	0.03403	0.02942	0.0961	0.00164
s__Gemmiger_formicilis	0	0.2546	0.00494	0.08026	0.06503	0.13202	0.01736	0.01297	0.10854	0.05609	0.02107	0.08141	0.09588	0.27422	0.20971	0.03228	0.0	0.00794	0.0312	0.14153	0.06098	0.08785	0.00571	0.01094	0.09518	0.18135	0.27507	0.00878	0.05264	0.03697	0.05293	0.03619	0.09418	0.32119	0.13508	0.10482	0.11937	0.0	0.28274	0.20955	0.29352	0.09794	0.02661	0.16707	0.02408
s__Blautia_wexlerae	0	0.22637	0.10384	0.16088	0.40179	0.01704	0.01267	0.01848	0.01799	0.0	0.27721	0.02258	0.13079	0.0	0.24439	0.04525	0.01337	1.25034	0.08149	0.17861	0.00891	0.01825	0.01712	0.13066	0.33127	0.18767	0.88646	0.08219	0.18903	0.02281	0.02483	0.11994	0.12403	0.65735	0.15869	1.6262	0.06483	0.0	0.07582	0.16767	0.09777	0.12893	0.0033	0.17515	0.67569
