clade_name	NCBI_tax_id	CM_A01_I1_18	CM_A01_M0_18	CM_A04_I1_18	CM_A04_M0_18	CM_A06_I1_18	CM_A06_M0_18	CM_D02_I1_18	CM_D02_M0_18	CM_D03_I12_18	CM_D03_M0_18	CM_D04_I1_18	CM_D04_M0_18	CM_D05_I1_18	CM_D05_M0_18	CM_D06_I1_18	CM_D06_M0_18	CM_D07_I1_18	CM_D07_M0_18	CM_D08_I1_18	CM_D08_M0_18	CM_D09_I1_18	CM_D09_M0_18	CM_D10_I1_18	CM_D10_M0_18	CM_D11_I1_18	CM_D11_M0_18	CM_D13_I1_18	CM_D13_M0_18	CM_D15_I1_18	CM_D15_M0_18	CM_D21_I1_18	CM_D21_M0_18	CM_D21B_I12_18	CM_D24_I1_18	CM_D24_M0_18	CM_D26_M0_18	CM_D26A_I13_18	CM_D26AB_I1_18	CM_D26K_I12_18	CM_D33_I1_18	CM_D33_M0_18	CM_D39_I1_18	CM_D39_M0_18	CM_D40_I1_18	CM_D40_M0_18	CM_D43_I1_18	CM_D43_M0_18	CM_D48_M0_18	CM_D50_I1_18	CM_D50_M0_18
s__Prevotella_sp_CAG_5226	0	15.27028	0.00595	0.0	0.0	0.01507	0.00561	0.0011	0.01517	2.17644	1.92121	0.0338	0.04099	0.0	0.00095	0.26489	0.55096	0.0	0.43801	0.0	0.0	1.68718	2.45414	7.24796	0.35519	0.0	0.79293	0.07976	0.0	0.77816	3.10608	3.18725	3.01038	0.0	2.84961	0.02092	0.0	0.0	0.0	0.0	0.0	1.54955	0.0	0.7094	0.0	0.00059	0.07977	0.0	2.7831	0.00074	3.98803
s__Prevotella_copri	0	12.51026	4.71557	8.23099	61.60007	29.70282	31.54692	49.53191	12.3277	39.00704	18.85736	37.18992	8.875	2.96354	21.49204	66.75533	53.61678	0.1825	36.55404	26.18409	16.58671	34.90548	36.13262	1.26518	33.23078	10.7919	6.14981	5.1686	75.72085	35.18435	47.95364	24.32881	28.22954	0.06746	18.74103	37.89572	8.00355	58.37032	57.30005	0.00562	0.00193	6.94909	29.37322	9.49817	7.42451	31.14066	36.60223	58.97637	57.76182	0.6712	11.19728
s__Bifidobacterium_bifidum	0	10.35027	0.0	12.7466	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8174	0.00304	4.67419	0.0	0.0	0.0	0.0	0.0	0.03038	0.0	0.0379	0.13456	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.00155	0.00028	0.00024	10.72617	3.3126	0.0	17.81428	0.0	27.3499	0.00516	0.02544	4.59787	0.0	4.22785	0.0
s__Bifidobacterium_adolescentis	0	10.12272	0.0	0.0	1.13303	0.0	0.0	0.0	15.37708	1.0716	5.57281	0.0	0.00246	0.0	0.01667	0.09432	1.91551	0.0	0.59312	1.09549	2.28104	0.0	1.87116	0.00225	6.23547	0.01185	2.19013	0.36403	0.0	1.34899	3.10316	0.05295	0.04225	0.01179	1.27748	0.00774	7.34466	0.0	0.77518	0.0	0.0	5.48495	0.0	0.75092	0.0	4.62655	1.36132	0.0	0.0	0.00458	0.98204
s__Prevotella_sp_885	0	7.18323	0.29066	0.0	1.67437	1.08119	0.71566	5.76109	0.89824	3.81748	0.68481	0.00053	0.0	0.0	1.29284	9.20849	1.53922	0.0	2.42923	2.55164	0.0	0.93008	1.87887	0.0	1.42072	0.0	0.0	0.20179	0.0	1.75563	2.17599	0.0	0.0	0.0	4.15247	6.0006	0.0	2.02403	0.0	0.0	0.0	0.0	0.0	1.35989	0.12347	0.08461	0.01953	13.22306	0.0	0.00046	0.0
s__Prevotella_stercorea	0	5.98244	0.60633	0.0	0.0	0.07018	0.0611	0.09312	1.85775	0.11982	1.29428	0.57077	0.52292	0.0	12.89804	1.15419	0.06398	0.01835	1.5641	0.0	0.0	0.62572	0.23981	0.50227	1.00513	0.00327	2.18778	0.16691	0.0	1.13441	0.2537	0.0	0.0	0.0	1.57236	20.51329	0.54632	0.53214	0.56775	0.0	0.0	0.16845	0.0	0.7205	0.0	0.0581	0.02767	0.09733	0.0	0.0	1.1969
s__Eubacterium_sp_CAG_180	0	4.6507	0.3505	0.0	0.0	0.04513	0.03643	0.0	2.74979	0.00071	5.75155	0.0	2.49165	0.0	0.0	0.00685	0.87811	1.16124	2.5732	0.30538	3.19917	0.0	0.17199	7.42772	0.95709	7.51819	3.08631	0.23699	0.0	0.0	0.08705	0.0	0.00924	0.0	0.14812	0.0	3.84434	0.03595	0.0	0.0	0.0	0.72178	0.0	0.0	0.0	3.14602	0.0	0.02374	0.0	0.61788	0.00707
s__Roseburia_inulinivorans	0	3.76008	0.28071	0.0	1.13453	0.03038	0.08208	2.78992	0.07897	0.6345	0.09047	0.49381	0.0	9.05155	1.58181	0.17541	0.03122	0.00364	0.28596	0.54246	0.4424	3.08368	0.61183	1.3639	0.16605	0.56374	0.44814	0.08145	0.55334	2.66774	0.53556	1.01181	1.25174	0.0	0.12864	2.64275	0.23884	0.38931	0.42123	0.0	0.0	0.98186	0.21085	0.14509	0.0	0.59869	0.43275	0.0	0.48459	0.0	2.53578
s__Eubacterium_rectale	0	3.75291	3.34364	0.00311	5.86089	15.46149	26.08902	17.10161	3.62662	3.20554	1.08197	11.84568	0.46134	1.23141	0.84931	0.37928	1.907	0.0	9.18378	12.67539	12.79806	25.03259	22.23492	12.60033	5.32255	0.75298	23.94748	1.5156	1.68124	8.24856	4.88334	12.01377	11.7826	0.02971	2.26462	0.73963	10.76675	0.89146	4.40287	0.0	0.0	5.33193	0.00377	1.0678	0.0	1.24691	0.17774	0.60652	8.3125	0.01712	5.88944
s__Faecalibacterium_prausnitzii	0	3.63464	16.28632	2.9921	13.21244	16.32615	8.76618	6.03763	4.4132	5.0154	6.37452	7.16476	23.14429	26.77765	13.26343	1.80074	3.9756	6.82875	12.35295	8.73526	8.4206	6.20242	3.19729	4.44981	5.23375	2.98394	9.76161	1.29944	6.32802	5.76132	10.40644	23.35969	20.68205	0.05297	13.0566	7.19517	13.59869	11.66251	7.61564	0.0	0.0	12.26994	10.91101	7.23542	0.18428	7.537	23.71631	2.55883	5.46284	1.30883	15.31353
