clade_name	NCBI_tax_id	M_C100	M_C101	M_C105	M_C106	M_C109	M_C110	M_C111	M_C114	M_C115	M_C117	M_C118	M_C119	M_C120	M_C123	MV_C101	MV_C106	MV_C111	MV_C112	MV_C113	MV_C114	MV_C115	MV_C117	MV_C118	MV_C120	V1_C101	V1_C106	V1_C109	V1_C110	V1_C111	V1_C113	V1_C115	V1_C118	V1_C120	V2_C100	V2_C101	V2_C105	V2_C106	V2_C109	V2_C110	V2_C111	V2_C112	V2_C114	V2_C115	V2_C116	V2_C117	V2_C118	V2_C119	V2_C120	V3_C100	V3_C101	V3_C105	V3_C106	V3_C110	V3_C111	V3_C112	V3_C113	V3_C114	V3_C115	V3_C116	V3_C117	V3_C118	V3_C119	V3_C120
s__Ruthenibacterium_lactatiformans	0	18.21878	0.0831	0.10625	2.04178	2.20199	0.15368	0.33958	2.18848	2.56857	0.27266	1.20009	0.04202	0.87318	0.01744	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Bifidobacterium_adolescentis	0	10.16483	0.0	32.37049	0.07836	0.95034	0.0	0.0	0.0	5.765	7.24337	20.34624	7.70166	4.41896	38.71215	0.0	0.0	0.0	0.0	0.05763	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	5.96823	0.0	0.0	0.0	0.64603	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.58169	0.0	0.0	0.0	0.0	0.0	0.01142	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0328	0.0	0.0	0.0
s__Gordonibacter_pamelaeae	0	8.37067	0.08921	0.35519	2.12774	0.84931	0.05729	2.77379	0.93575	0.0816	0.19599	0.39944	0.06858	4.46295	0.13166	0.0	0.0	0.0	0.0	0.00937	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.00101	0.03791	0.0	0.11693	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11242	0.22736	0.00055	0.0	0.1145	0.0	0.0	0.0	0.0	0.07275	0.0	0.0	0.0
s__Bifidobacterium_longum	0	8.27212	0.0	3.58568	3.01418	1.28317	15.76449	24.87773	24.55856	1.6975	3.14664	13.20251	2.27645	5.77665	12.51183	0.0	0.0	0.0	0.0	0.01393	0.0	0.0	0.0	1.35546	0.0	0.0	0.0	0.19315	1.44182	6.79335	0.0	0	7.29316	0.0	0.00061	0.0	15.72553	0.0	0.0	9.18563	82.5559	0.03339	0.0	0.0	0.0	2.46382	0.00136	0.05093	0.05403	0.0	0.0	64.37639	0.0	72.38645	88.41154	0.19681	0.00182	0.0	0.00088	0.0	3.8101	0.0	0.02358	0.0
s__Asaccharobacter_celatus	0	5.53912	0.12175	0.75154	0.80091	0.00116	0.20728	0.0	0.0	0.07681	0.77762	2.41674	0.12445	1.1741	0.15073	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Eggerthella_lenta	0	5.44559	0.05308	0.30746	3.39216	6.73479	0.0411	5.69647	6.63855	0.14624	0.34206	0.99717	0.01674	1.03661	0.05077	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00406	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.02041	0.63499	0.0	1.07963	0.0	0.0	0.01391	0.0	0.0	0.01853	0.0	0.0	0.0	0.0	0.0	0.9514	3.49725	0.01291	0.0	1.70485	0.0	0.0	0.0	0.0	0.96546	0.0	0.0	0.0
s__Faecalibacterium_prausnitzii	0	5.05148	0.0	5.40271	11.39243	0.0	16.98725	5.84332	6.25617	20.00088	11.53764	6.26624	10.75796	11.34927	9.98748	0.0	0.0	0.0	0.0	0.69479	0.0	0.0	0.0	0.0	0.0	2.90761	0.0	0.0	0.0	0.0	0.0	0	1.27233	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Adlercreutzia_equolifaciens	0	4.09486	0.03401	0.3334	0.33156	0.00248	0.19795	0.0	0.0	0.05635	0.66477	1.21321	0.07141	0.97836	0.18728	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Akkermansia_muciniphila	0	3.41748	0.0	0.00466	0.0	3.32305	0.0	0.0	0.0	0.0	3.0342	9.43782	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Ruminococcus_bromii	0	3.30575	2.0755	0.0	1.777	0.0	0.0	2.77267	0.0	1.02558	0.0	4.39602	0.0	0.0	0.0	0.0	0.0	0.0	0.12195	0.0	0.0	0.0	0.0	0.0	0.0	3.64868	0.0	0.0	0.0	0.0	0.0	0	0.60397	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
