clade_name	NCBI_tax_id	op146_M1	op147_M1	op151_M1	op152_M1	op153_M1	op155_M1	op157_M1	op158_M1	op159_M1	op160_M1	op161_M1	op162_M1	op163_M1	op164_M1	op167_M1	op168_M1	op174_M1	op175_M1	op176_M1	op177_M1
s__Eubacterium_rectale	0	20.28221	0.15784	6.71961	0.79806	10.63726	0.0075	18.09752	7.49454	1.44132	6.56697	0.0	0.20957	4.87888	8.15481	3.55726	3.95047	0.0	0.19843	12.7253	0.39971
s__Collinsella_aerofaciens	0	14.42816	6.8413	7.5361	15.47173	7.23505	0.01672	5.71685	14.23426	7.79966	5.75917	0.0	3.55397	7.71186	14.82711	6.89826	6.83555	0.00186	2.18614	8.25808	2.62901
s__Clostridium_sp_CAG_964	0	7.8404	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.93743
s__Bifidobacterium_longum	0	7.35034	5.83484	4.03011	4.55598	3.31818	39.95798	0.0	0.0	11.52992	0.0	0.0	10.66868	0.0	0.01729	0.0	5.57674	7.33008	0.0	1.47735	0.00699
s__Streptococcus_thermophilus	0	6.85542	0.05239	0.0	12.84808	1.60253	0.0154	0.0	0.0	0.60998	0.0	0.0	0.0	0.98138	0.62559	0.05436	0.16722	0.0	0.0	0.76269	0.6472
s__Blautia_sp_CAG_257	0	6.61546	0.0	0.0	0.0	0.04834	0.09066	0.0	0.0	0.0	0.0	1.79669	14.38001	0.0296	0.09573	0.0	0.0	2.43423	0.0	0.0	0.0
s__Faecalibacterium_prausnitzii	0	4.65526	2.64714	4.0623	6.11183	6.12704	0.02663	11.89047	4.48357	5.52758	4.77743	0.0	8.46002	2.27667	4.03294	9.59912	4.10189	8.57435	1.37998	11.72343	11.35383
s__Blautia_obeum	0	3.32512	2.11281	0.22402	1.49655	0.0	0.0	4.70051	1.45744	2.83005	0.57976	0.0	2.40331	3.42995	1.71393	0.84115	0.61158	7.52018	0.25938	1.23723	0.84798
s__Bacteroides_vulgatus	0	2.85087	0.02	0.64904	0.93065	0.38475	0.0	0.11725	0.63418	0.09349	2.45128	0.0	0.12572	0.09228	0.01304	0.3561	0.0	3.24546	3.54127	0.4838	0.85845
s__Bacteroides_uniformis	0	2.39943	0.10824	12.64285	0.03445	0.33479	0.0	0.79633	0.58864	1.81893	3.18565	0.0	1.76226	0.21519	0.45468	0.0517	0.94393	6.14023	2.44251	0.46174	0.62461
