clade_name	NCBI_tax_id	SAMEA1966431	SAMEA2017457	SAMEA2017458	SAMEA2017459	SAMEA2017460	SAMEA2055106	SAMEA2055107	SAMEA2055108	SAMEA2055109	SAMEA2055266	SAMEA2055267	SAMEA2055268	SAMEA2055269	SAMEA2055272	SAMEA2055273	SAMEA2055274	SAMEA2055275	SAMEA2055276	SAMEA2055277	SAMEA2055278	SAMEA2055279	SAMEA2055280	SAMEA2055281	SAMEA2055282	SAMEA2055283	SAMEA2055284	SAMEA2055285	SAMEA2055286	SAMEA2055287	SAMEA2055288	SAMEA2055289	SAMEA2055290	SAMEA2055291	SAMEA2055292	SAMEA2055293	SAMEA2055294
s__Bacteroides_thetaiotaomicron	0	14.08759	0.02967	0.06666	0.95651	0.25777	0.01286	0.01133	0.38085	0.24586	0.17254	0.02772	0.2548	0.37955	0.50248	0.89002	0.1123	0.01945	2.52083	0.04475	0.14523	0.07135	0.36881	0.05427	0.03742	0.41216	0.11878	0.03097	0.06239	2.1467	0.60589	0.48155	0.3707	0.0	0.16061	0.26753	0.38989
s__Bacteroides_ovatus	0	13.04369	0.31308	2.43329	3.46893	1.02496	0.05866	0.0108	0.51288	0.07819	0.1402	0.04257	0.06164	0.12737	0.01773	3.53796	0.25587	1.21165	1.64382	0.31378	0.04849	0.01163	0.07394	0.03564	0.50859	0.09078	0.06033	0.1912	0.33806	0.52913	0.0886	0.91681	0.34491	0.01648	0.31513	0.75514	0.13341
s__Bifidobacterium_pseudocatenulatum	0	9.05172	0.0	0.0	0.0	12.84284	0.20673	0.0	0.96527	1.14841	0.04682	0.04177	0.03546	0.64237	3.47982	0.0	0.0	0.0	0.0	0.36526	0.0	0.0	0.0	0.07806	0.0	0.40694	0.02556	0.17926	0.38747	0.501	0.20373	0.06045	0.08813	2.03382	0.0	0.0	8.36876
s__Anaerostipes_hadrus	0	7.25128	1.86679	6.90874	1.24578	1.66169	32.23257	0.56868	8.31269	9.94682	2.32893	2.45628	6.49134	7.58274	3.0511	2.40162	11.92585	0.0	0.63497	15.18893	8.79979	4.31479	2.15462	0.56674	1.82191	1.54783	6.48012	2.36261	4.08703	1.06133	0.5051	2.52771	3.09541	9.33964	0.66245	1.79873	2.12241
s__Bacteroides_massiliensis	0	5.89975	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04381	0.42566	0.0	0.0	0.0	0.0	0.0	0.0	0.2113	1.75791	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Faecalibacterium_prausnitzii	0	5.50705	6.07049	4.46862	5.19593	8.3074	0.64972	7.37198	4.08372	4.6252	10.65269	6.06987	8.31027	5.63263	4.14867	5.38222	9.8928	0.0	4.03005	4.01922	2.53353	0.56072	4.37746	3.15832	8.69282	4.50903	1.92708	4.54514	4.89294	2.58086	10.54369	6.92015	9.14146	6.2327	8.68102	18.32253	3.21436
s__Citrobacter_braakii	0	5.28153	0.0	0.0	0.32203	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04654	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Proteobacteria_bacterium_CAG_139	0	5.22228	4.25536	0.76642	0.0	0.68259	0.0	0.0	0.0	0.0	0.00332	0.0	0.0	0.0	0.94532	0.20301	0.00233	0.0	0.18142	0.0	0.0	0.0	0.0	0.0	0.00251	0.0	0.0	0.00112	0.01524	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Fusicatenibacter_saccharivorans	0	5.00869	1.97713	7.15117	1.30458	2.59576	0.08796	0.57802	4.80132	3.01524	1.46881	1.18978	0.95171	0.59162	5.50287	3.47094	8.2515	0.0	0.9254	4.14875	2.67724	0.48038	1.0937	1.01365	1.08568	1.7974	1.75776	2.2181	3.01699	0.17428	0.86794	2.15152	2.51915	3.5778	0.40671	3.63171	0.26443
s__Eubacterium_eligens	0	2.98788	0.73065	0.53947	0.81443	0.09444	1.11612	3.16106	0.14012	0.05256	0.19156	0.70139	6.18212	1.22771	0.00731	0.33508	0.2667	0.0	0.0	0.0	0.59336	0.0	9.61722	1.76386	3.83083	0.43378	5.66777	7.07182	1.95461	0.0	0.0	4.22958	1.50215	0.10748	5.72641	0.25422	0.10775
