clade_name	NCBI_tax_id	G102195	G102196	G102197	G102198	G102199	G102200	G102201	G102202	G102203	G102204	G102205	G102206	G102207	G102208	G102209	G102210	G102211	G102212	G102213	G102214	G102215	G102216	G102217	G102218	G102219	G102220	G102221	G102222	G102223	G102224	G102225	G102226	G102227	G102228	G102229	G102230	G102231	G102232	G102233	G102234	G102235	G102236	G102237	G102238	G102239	G102240	G102241	G102242	G102243	G102244	G102245	G102246	G102247	G102248	G102249	G102250	G102251	G102252	G102253	G102254	G102255	G102256	G102257	G102258	G102259	G102260	G102261	G102262	G102263	G102264	G102265	G102266	G102267	G102268	G102269	G102270	G102271	G102272	G102273	G102274	G102275	G102276	G102277	G102278	G102279	G102280	G102281	G102282	G102283	G102284	G102285	G102286	G102287	G102288	G102289	G102290	G102291	G102292	G102293	G102294	G102295	G102296	G102297	G102298	G102299	G102300	G102301	G102302	G102303	G102304	G102305	G102306	G102307	G102308	G102309	G102310	G102311	G102312	G102313	G102314	G102315	G102316	G102317	G102318	G102319	G102320	G102321	G102322	G102323	G102324	G102325	G102326	G102327	G102328	G102329	G102330	G102331	G102332	G102334	G102335	G102336	G102338	G102339	G102340	G102341	G102342	G102343	G102344	G102345	G102346	G102347	G102348	G102350	G102351	G102352	G102353	G102354	G102355	G102356	G102358	G102359	G102360	G102361	G102362	G102363	G102364	G102365	G102366	G102367	G102368	G102369	G102370	G102371	G102372	G102374	G102375	G102376	G102377	G102378	G102379	G102380	G102382	G102383	G102384	G102385	G104617	G104618	G104619	G104620	G104621	G104622	G104623	G104624	G104625	G104626	G104627	G104628	G104629	G104631	G104632	G104633	G104634	G104635	G104636	G104637	G104639	G104640	G104641	G104642	G104643	G104644	G104645	G104647	G104648	G104649	G104650	G104651	G104652	G104653	G104655	G104656	G104657	G104658	G104659	G104660	G104661	G104662	G104663	G104664	G104665	G104666	G104667	G104668	G104669	G104670	G104671	G104672	G104673	G104674	G104675	G104676	G104677	G104678	G104679	G104680	G104681	G104682	G104683	G104684	G104685	G104686	G104687	G104688	G104690	G104691	G104693	G104694	G104696	G104697	G104698	G104699	G104700	G104701	G104702	G104703	G104705	G104706	G104708	G104709	G104711	G104712
s__Eubacterium_sp_CAG_180	0	14.07638	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.33467	14.24821	8.8378	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.80986	10.62227	16.66741	0.0	0.0	0.0	0.0	7.81618	12.48155	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.38322	0.33663	4.69224	0.0	0.0	0.0	0.0	23.25429	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.82068	18.88389	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	4.51591	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	11.96416	0.0	0.0	0.0	0.0	0.0
s__Roseburia_faecis	0	9.60842	3.29601	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.32115	0.0	0.0	0.0	0.0	0.0	0.0	6.35389	0.31144	0.00749	0.0	0.0	0.0	0.0	0.0	0.03404	0.12423	1.31841	0	0.0	0.0	0.0	0.0	0.43069	1.22805	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.42955	0.0	0.0	0.0	0.0	9.85733	0.61959	2.64607	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.96122	14.52486	7.47457	0.0	0.0	0.0	0.0	0.0	0.9205	3.53845	9.68894	0.0	0.0	0.0	0.0	0.0	3.98162	0.00375	4.11263	0.0	0.0	0.0	0.0	0.0	12.37193	6.41152	5.80546	0.0	0.0	0.0	0.0	0.0	8.58852	1.7305	3.08479	0.0	0.0	0.0	0.0	0.0	1.77624	0.21241	7.49876	0	0.0	0.0	0.0	0.0	0.56563	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.64165	0.79201	0.0	0.0	0.0	0.0	0.0	3.26466	0.0	0.0	0.0	0.0	0.0	0.31855	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03636	0.0	0.0	0.0	0.0	0.0	0.0	3.96507	6.9921	2.33963	0.0	0.0	0.0	0.0	0.0	1.96347	0.0	0.08361	0.0	0.0	0.0	0.0	0.73077	2.78083	1.03546	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.03599	0.0	0.0	0.0	0.0	0.0	0.0	0.90493	0.0	0.0	0.0	0.0	0.0	0.00166	0.0	0.0	0.0	0.0	0.0	0.16494	0.10466	0.08563	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.95144	14.73361	0.35745	0.0	0.0	0.0	0.0	0.0	14.91775	5.92832	0.0	0.0	0.0	0.0	0.0	0.15162	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	5.73088	18.98866	0	4.67882	1.63315	0.0	0.0	1.50743	0.87193	0.0	0.09186	0.0	9.2597	15.5305	0	0.63398	2.22006	0.0	0.0	5.85788	3.70323	0.0	0.0
s__Faecalibacterium_prausnitzii	0	7.57761	12.54671	10.62079	0.0	0.0	0.0	0.0	0.0	1.71352	7.80903	10.4644	0.0	0.0	0.0	0.0	0.0	2.52066	2.01688	1.85668	0.0	0.0	0.0	0.0	0.0	4.25002	9.0744	6.34341	0	0.0	0.0	0.00096	0.0	6.3979	7.87289	2.44896	0.0	0.0	0.0	0.0	0.0	9.12753	0.0	5.05526	0.0	0.0	0.0	0.0	15.299	4.39748	11.9201	0.0	0.0	0.0	0.0	0.0	3.07993	1.52796	3.49262	0.0	0.0	0.0	0.0	0.0	0.17275	4.87801	0.48849	0.0	0.0	0.0	0.0	0.0	2.76484	9.36431	7.78038	0.0	0.0	0.0	0.0	0.0	4.45225	3.09744	13.15296	0.0	0.0	0.0	0.0	0.0	2.71988	3.43757	1.29292	0.0	0.0	0.0	0.0	0.0	5.54497	6.90263	3.3334	0.0	0.0	0.0	0.0	0.0	4.45355	3.01763	3.8038	0	0.0	0.0	0.0	0.0	0.72444	9.75007	3.80974	0.0	0.0	0.0	0.0	0.0	7.24172	2.59761	1.925	0.0	0.0	0.0	0.0	0.0	2.95723	8.07401	4.149	0.0	0.0	0.0	0.0	0.0	4.68214	1.26234	7.26451	0.0	0.0	0.0	2.82356	13.01332	6.73109	0.0	0.0	0.0	0.0	0.0	3.66523	4.13212	7.35487	0.62195	0.0	0.0	0.02109	0.44196	13.06052	4.88532	0.0	0.0	0.0	0.0	3.30361	5.27651	5.62899	0.0	0.0	0.0	0.0	0.0	6.73463	0.0	2.57092	0.0	0.0	0.0	0.0	0.96097	4.16959	3.49294	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.45165	4.45307	0.0	0.0	0.0	0.0	4.0176	0.0	0.00119	0.0	0.0	0.0	0.0	3.50332	0.74161	14.33369	0.0	0.0	0.0	0.0	1.01795	1.34922	3.28786	0.0	0.0	0.0	0.0	0.35568	1.27436	1.53327	0.0	0.0	0.0	0.0	12.78928	13.75664	6.47545	0.0	0.0	0.0	0.0	0.0	9.08155	3.11811	0.0	0.0	0.0	0.0	0.0	0.93315	7.59239	3.98364	0.0	0.0	0.0	0.0	2.14676	0.91752	0	6.40134	7.2934	0	13.55778	7.8465	6.48205	0.0	5.65307	4.07525	1.74962	3.15409	0.0	4.15259	7.39187	0	6.04454	3.88888	2.95031	3.181	5.07252	8.29785	0.9012	3.47801
s__Eubacterium_rectale	0	6.80504	2.54672	6.1392	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01678	0.15048	2.99245	0.0	0.0	0.0	0.0	0.0	0.32556	0.00785	1.43219	0	0.0	0.0	0.0	0.0	1.98773	0.32238	1.38533	0.0	0.0	0.0	0.0	0.0	1.91018	0.0	1.25229	0.0	0.0	0.0	0.0	0.0	5.84307	1.3193	0.0	0.0	0.0	0.0	0.0	0.76767	0.31998	0.40149	0.0	0.0	0.0	0.0	0.0	0.0	0.06608	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.45397	0.0	0.0	0.0	0.0	0.0	0.0	0.04259	0.03505	0.39571	0.0	0.0	0.0	0.0	0.0	1.86095	0.00692	3.43785	0.0	0.0	0.0	0.0	0.0	0.1684	1.74998	0.0	0.0	0.0	0.0	0.0	0.0	24.6496	2.46573	17.0714	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.88891	2.96327	33.52529	0.0	0.0	0.0	0.0	0.0	0.22468	0.73001	3.30633	0.0	0.0	0.0	0.0	0.0	1.87699	3.65483	2.45427	0.0	0.0	0.0	0.06149	1.37761	3.19177	0.0	0.0	0.0	0.0	0.0	0.5739	0.148	3.02173	0.0	0.0	0.0	0.0	1.67668	0.11705	1.34988	0.0	0.0	0.0	0.0	5.83224	0.24531	1.54612	0.0	0.0	0.0	0.0	0.0	0.4773	0.0	0.07965	0.0	0.0	0.0	0.0	1.0101	1.79068	5.0364	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.83175	0.0	0.0	0.0	0.0	0.0	0.0	0.80998	0.2375	4.23967	0.0	0.0	0.0	0.0	1.80773	0.07151	9.86541	0.0	0.0	0.0	0.0	2.69583	0.06133	1.99486	0.0	0.0	0.0	0.0	1.36988	2.92433	6.93621	0.0	0.0	0.0	0.0	0.0	1.39525	0.65521	0.0	0.0	0.0	0.0	0.0	0.00341	0.45282	9.77977	0.0	0.0	0.0	0.0	0.86382	0.26545	0	0.3247	0.26113	0	6.15414	12.31286	3.67543	0.0	0.16896	0.24807	0.00526	0.21628	0.0	0.28059	1.03896	0	2.59692	1.16798	0.90682	2.70103	10.26171	4.51046	16.62213	8.07473
s__Alistipes_putredinis	0	6.61496	4.99001	8.41593	0.0	0.0	0.0	0.0	0.0	3.87755	4.21529	5.49795	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.10849	2.84464	14.41625	0	0.0	0.0	0.0	0.0	4.24589	2.18332	1.18291	0.0	0.0	0.0	0.0	0.0	12.78993	0.0	12.34453	0.0	0.0	0.0	0.0	7.01781	9.28627	7.72071	0.0	0.0	0.0	0.0	0.0	1.30683	3.29892	2.59311	0.0	0.0	0.0	0.0	0.0	2.91288	8.16924	6.93129	0.0	0.0	0.0	0.0	0.0	7.54444	1.42461	8.11415	0.0	0.0	0.0	0.0	0.0	5.76187	0.58153	2.3387	0.0	0.0	0.0	0.0	0.0	3.65216	12.70201	5.78318	0.0	0.0	0.0	0.0	0.0	7.12932	6.49948	0.0	0.0	0.0	0.0	0.0	0.0	4.67049	5.79415	6.99861	0	0.0	0.0	0.0	0.0	9.18069	11.82233	10.12312	0.0	0.0	0.0	0.0	0.0	3.84207	1.71371	3.7843	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.84173	12.26293	5.52147	0.0	0.0	0.0	0.0	0.0	10.94877	10.74002	12.28731	0.0	0.0	0.0	0.0	0.77739	3.80768	4.81839	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.22411	0.37501	10.70559	0.0	0.0	0.0	0.0	5.86699	8.49967	10.23987	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.05817	0.87027	0.0	0.0	0.0	0.0	6.76625	0.0	0.0	0.0	0.0	0.0	0.0	6.33555	7.45485	0.87473	0.0	0.0	0.0	0.0	7.60399	4.48902	6.92887	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.7939	8.56863	10.04704	0.0	0.0	0.0	0.0	0.0	0.82712	1.16811	0.0	0.0	0.0	0.0	0.0	5.15397	3.7965	4.5903	0.0	0.0	0.0	0.0	0.0	0.0	0	8.30934	7.00718	0	0.0	0.0	0.0	0.0	0.20482	0.10333	7.02986	4.22921	0.0	0.0	0.0	0	5.68636	6.31227	0.03705	0.03007	15.57571	9.60529	3.79339	6.31745
s__Fusicatenibacter_saccharivorans	0	6.05059	1.83454	3.50961	0.0	0.0	0.0	0.0	0.0	4.4978	3.90454	0.0	0.0	0.0	0.0	0.0	0.0	0.83906	0.32043	1.06436	0.0	0.0	0.0	0.0	0.0	0.76014	0.82107	0.98792	0	0.0	0.0	0.0	0.0	0.09758	0.13693	0.24058	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.75308	0.0	0.0	0.0	0.0	0.0	0.0	6.13013	0.0	0.0	0.0	0.0	0.0	0.03853	0.00888	0.0	0.0	0.0	0.0	0.0	0.0	2.12199	2.07245	1.56846	0.0	0.0	0.0	0.0	0.0	0.49224	3.59687	1.62125	0.0	0.0	0.0	0.0	0.0	0.4506	0.0	1.30123	0.0	0.0	0.0	0.0	0.0	2.07219	2.21434	3.71313	0.0	0.0	0.0	0.0	0.0	1.78873	5.48352	0.0	0.0	0.0	0.0	0.0	0.0	0.16062	0.05332	2.09044	0	0.0	0.0	0.0	0.0	3.03486	1.76827	2.54158	0.0	0.0	0.0	0.0	0.0	4.98618	5.80824	17.54808	0.0	0.0	0.0	0.0	0.0	6.4319	1.62803	1.21575	0.0	0.0	0.0	0.0	0.0	6.33054	2.16879	4.00784	0.0	0.0	0.0	12.59089	3.71595	2.7038	0.0	0.0	0.0	0.0	0.0	1.2343	2.7379	5.92642	0.0	0.0	0.0	0.15026	0.00542	0.0	1.32726	0.0	0.0	0.0	0.0	1.8241	3.3759	0.98116	0.0	0.0	0.0	0.0	0.0	4.16126	0.0	0.80095	0.0	0.0	0.0	0.0	3.96758	2.16286	2.11344	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01092	7.40856	0.0	0.0	0.0	0.0	4.96484	0.0	0.0	0.0	0.0	0.0	0.0	1.44112	0.27258	1.7344	0.0	63.26459	1.61672	0.62541	0.0	0.03683	1.26541	0.0	0.0	8.59372	0.0	4.11817	1.47165	0.728	0.0	0.0	0.0	0.0	3.7628	4.0629	3.78355	0.0	0.0	0.0	0.0	0.0	3.22149	1.6965	0.0	0.0	0.0	0.0	0.0	0.06923	0.31183	1.58965	0.0	0.0	0.0	0.0	1.28291	0.70565	0	2.03128	1.37384	0	2.2579	1.74003	0.67993	0.0	0.95557	0.30011	1.27621	0.35266	0.0	0.37594	0.94247	0	1.4051	1.08531	0.90559	2.88189	4.94703	1.88284	0.0	0.0
s__Methanobrevibacter_smithii	0	3.3223	0.15604	0.26577	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07516	0.0	1.16327	0.0	0.0	0.0	0.0	0.0	0.0	0.38598	3.04147	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.94509	0.90112	0.35283	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	1.93093	0.08179	0.77943	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.16968	0.68341	2.40798	0.0	0.0	0.0	0.0	0.0	0.00763	0.0	0.0	0.0	0.0	0.0	0.0	5.56104	2.91299	0.9426	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17728	0.51694	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.66135	0.0	0.55368	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.52967	1.00987	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Bacteroides_vulgatus	0	3.26768	23.72101	13.92389	0.0	16.98988	50.88315	29.05058	38.57492	0.0	0.0024	1.57583	0.0	0.0	0.00114	0.0	0.0	5.72102	11.18322	1.15308	0.0	0.0	0.0	0.0	0.0	3.47625	12.44688	2.93602	0	0.0	0.0	0.0	0.0	1.34117	1.10144	0.88871	0.0	0.0	0.0	0.0	0.0	6.10504	0.93323	14.72294	9.66551	0.07628	0.21711	0.0	8.21934	6.17153	5.46049	0.0	0.0	0.0	0.0	0.0	1.45881	9.34936	0.0	0.0	0.0	0.0	0.0	0.0	1.01482	6.66297	1.56964	0.0	0.0	0.0	0.68676	0.02214	5.06269	1.58018	9.81111	0.0	0.0	0.0	0.0	0.0	9.61488	4.63822	3.95675	0.0	6.81689	8.69106	0.0	12.89409	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.41313	7.95277	0.0	0.0	0.0	0.0	0.0	0.0	0.68227	0.09999	0.53032	0	0.0	0.0	0.0	0.0	2.32756	9.80795	6.40016	0.44865	0.0	0.0	0.24626	0.00808	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.34881	6.67281	9.07859	0.0	0.0	0.0	0.0	0.0464	13.64574	10.11961	21.06248	12.6043	0.22848	13.00387	8.97478	3.22263	0.65084	0.0	0.0	0.0	0.0	0.0	7.89838	16.34236	5.42848	0.0	0.0	0.0	0.0	2.80697	0.49066	2.95984	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.30555	0.82163	11.43407	0.24775	0.24594	7.90799	15.68056	0.49889	3.09955	2.61975	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.13452	3.26206	0.0	0.0	0.0	0.0	9.50931	0.0	0.0012	0.00037	0.00564	0.83273	5.97153	12.31054	7.34019	4.52313	27.21681	6.24803	2.52232	17.81005	0.0	0.0514	0.04351	0.00082	0.0	0.0	0.0	0.0	6.7651	11.90108	0.0	0.0	0.0	0.0	0.00856	0.01135	0.00482	0.0	0.0	0.0	0.0	0.0	8.35016	8.81202	0.0	0.0	0.0	0.0	0.0	20.17055	19.37865	14.61764	39.50575	2.28249	8.02379	0.45536	0.0	0.0	0	4.44598	4.27016	0	0.0	0.0	30.55932	0.0	0.00959	0.0	11.69108	24.20756	0.0	20.61916	9.28216	0	23.4232	24.75804	5.43935	1.87499	3.9967	16.1243	3.83049	3.90751
s__Faecalitalea_cylindroides	0	3.05745	0.05972	0.16184	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.39118	0.08598	0.10797	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01143	0.03198	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	7.24585	0.46303	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Bifidobacterium_adolescentis	0	3.02018	0.70059	0.71901	0.0	0.0	0.0	0.0	0.0	0.44927	6.55897	0.0	2.27799	23.75219	8.97202	16.42106	6.5057	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00878	0.0	1.36288	0.9782	0	0.0	0.0	0.0	0.0	22.45996	37.52179	32.51737	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.83304	0.83826	3.27027	0.0	0.0	0.0	0.0	0.0	9.03147	6.2822	3.21789	0.0	0.0	0.0	0.0	0.0	3.89129	8.34996	6.15838	0.0	0.0	20.34097	0.0	0.0	5.46906	1.37389	4.71446	0.0	3.07924	2.66488	1.10493	5.08817	4.74199	0.23629	0.0	0.0	0.0	0.0	0.0	0.0	0.8712	0.54565	1.55867	0	0.0	0.0	0.0	0.0	3.91501	3.94987	12.31137	0.0	14.34727	15.69421	9.81266	11.61525	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.41447	1.84018	0.82594	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.89806	5.2177	6.7411	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.70886	1.0941	0.51706	0.0	0.0	0.0	0.0	9.6916	8.73225	14.11721	0.0	0.26559	0.4782	5.13481	1.89985	0.01782	7.01947	4.35578	0.19881	0.16937	0.09767	0.03757	2.57372	0.45049	1.48646	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21797	0.0	0.0	0.15347	3.74129	0.29661	1.86301	0.36317	0.06259	0.28229	0.0	0.0	8.07601	2.94525	0.00976	2.56164	0.0832	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	5.12473	1.5344	0	5.79817	3.49369	1.36794	0.0	0.0	0.31652	0.0	0.0	0.0	2.17905	2.40983	0	0.0	0.0	2.50369	7.54734	0.88953	0.61115	3.44936	10.25295
