clade_name	NCBI_tax_id	YEZ_BA1	YEZ_BA10	YEZ_BA11	YEZ_BA12	YEZ_BA13	YEZ_BA15	YEZ_BA16	YEZ_BA17	YEZ_BA18	YEZ_BA19	YEZ_BA2	YEZ_BA20	YEZ_BA21	YEZ_BA22	YEZ_BA3	YEZ_BA4	YEZ_BA5	YEZ_BA6	YEZ_BA7	YEZ_BA8	YEZ_N-1	YEZ_N-10	YEZ_N-11	YEZ_N-12	YEZ_N-13	YEZ_N-14	YEZ_N-15	YEZ_N-16	YEZ_N-17	YEZ_N-18	YEZ_N-19	YEZ_N-2	YEZ_N-20	YEZ_N-21	YEZ_N-22	YEZ_N-23	YEZ_N-24	YEZ_N-25	YEZ_N-26	YEZ_N-27	YEZ_N-28	YEZ_N-29	YEZ_N-3	YEZ_N-30	YEZ_N-31	YEZ_N-32	YEZ_N-33	YEZ_N-34	YEZ_N-35	YEZ_N-36	YEZ_N-37	YEZ_N-38	YEZ_N-39	YEZ_N-4	YEZ_N-40	YEZ_N-41	YEZ_N-42	YEZ_N-43	YEZ_N-44	YEZ_N-45	YEZ_N-46	YEZ_N-47	YEZ_N-48	YEZ_N-8	YEZ_N-9
s__Prevotella_copri	0	42.34141	0.42562	0.02166	0.08181	0.03045	0.74404	0.26857	6.57197	0.18032	0.28614	0.09518	28.52762	0.1369	0.17821	0.30613	0.04659	43.22338	84.31528	0.23802	0.04245	0.16468	13.30928	0.33183	0.28272	44.42323	0.3719	0.31482	0.1569	0.116	67.25628	70.12143	0.11699	0.35719	47.3504	0.04161	0.0277	0.01274	0.17274	0.06294	0.07744	95.93307	0.04026	1.67641	88.41267	0.12234	0.00968	0.16625	96.14893	0.01921	0.21213	55.027	0.68068	59.94093	79.74906	0.81055	77.02838	21.71645	62.04007	16.41113	0.2736	0.68138	3.37771	84.09759	0.26681	0.12897
s__Prevotella_stercorea	0	18.65789	0.24666	0.00312	0.0	0.02186	35.22781	0.10198	7.07119	0.07453	0.06447	0.03491	0.0	0.01102	0.05228	0.08224	0.0248	12.20607	0.07373	0.04653	0.01385	0.01963	23.60473	0.08285	0.0812	16.92478	0.03719	0.00623	0.00183	0.00308	0.0016	25.14914	0.04047	0.0122	6.69185	0.00109	0.0	0.0	0.01031	0.0045	0.01754	0.0	0.0	1.87873	0.02836	0.0003	0.00275	0.04503	0.02117	0.00149	0.0538	1.55647	0.09047	0.02888	6.11688	0.13376	0.01207	53.92232	0.05459	14.94784	0.04844	0.20356	6.47897	0.00572	0.09244	0.01715
s__Phascolarctobacterium_succinatutens	0	5.38796	0.0	0.0	0.0	3.75502	0.01206	0.0081	12.34353	0.0	0.0	0.0	0.0	0.0	0.02196	0.00271	0.0	2.48102	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.74487	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25481	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00414	2.82619	0.0	0.0	0.0	0.0	2.80121	0.0	1.14	0.00052	0.0	0.97834	0.0	0.0	0.0	0.0	0.0	0.0	0.00587	2.61086	0.0	0.0	0.0
s__Mitsuokella_multacida	0	5.35257	0.0	0.0	0.0	2.92248	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00085	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04381	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.64527	0.0	0.0	0.0	0.0	0.0	0.34968	0.0	0.0	0.0	0.01146	4.05296	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Faecalibacterium_prausnitzii	0	4.31189	0.04699	0.99766	28.72165	2.60059	4.76872	0.2081	15.4732	1.16232	10.28653	4.40376	5.41879	4.36269	2.48225	2.43963	4.12019	3.13482	2.67085	1.17655	0.50872	2.45428	2.96321	4.45591	3.08142	4.29821	2.58778	4.04926	2.53882	3.05404	10.10636	2.14222	0.52206	1.95026	0.6035	1.72814	0.64225	1.59493	0.39626	6.08952	10.73004	0.51096	4.98303	2.51531	0.44538	3.68076	0.59814	1.50725	0.01356	1.97383	0.83321	1.1499	2.06646	10.5399	0.82832	1.61495	0.14607	6.55552	0.27824	10.00633	22.91882	1.32231	1.52512	0.45137	1.80486	0.01055
s__Klebsiella_pneumoniae	0	3.45779	2.13778	0.21004	0.09574	0.0	0.0	0.03601	0.16055	14.24712	0.9147	0.0	0.01511	0.02556	0.07489	0.0	0.0	0.00851	0.0	0.04065	0.00786	0.36403	0.0	0.0	0.0	0.34428	0.0	0.0	0.0	0.02855	2.28308	0.12391	0.0185	0.0	0.0021	0.07371	0.0	0.09871	0.07868	0.0	0.09246	0.0	0.0	19.88289	0.18442	0.0	0.01835	0.04577	0.01251	0.0	0.0	0.0052	0.01557	0.14005	0.10126	0.67333	0.11436	0.21918	9.47263	0.12963	0.00757	0.03913	0.00621	0.38104	0.0	0.0392
s__Collinsella_aerofaciens	0	2.91682	2.22674	0.03072	0.66571	0.42189	0.2655	0.0	0.04259	0.0	6.04229	6.95629	0.15338	0.0014	0.32936	0.26569	0.05986	0.25647	0.24642	0.0826	17.94938	0.55744	0.09165	0.0633	0.04756	0.71344	0.19829	0.00121	0.71937	0.25695	0.75587	0.01957	0.64442	0.07927	0.05517	0.0995	0.0	0.0	0.0	0.03221	1.62149	0.02087	0.0	0.05721	0.05736	0.00981	0.0	0.02231	0.00163	0.0	0.33529	0.13255	0.05169	1.25111	0.00159	0.23716	0.0	0.08563	0.02029	0.20804	0.0	0.41589	0.14096	0.03656	0.0	0.0
s__Escherichia_coli	0	1.99571	0.89218	0.10129	0.20142	0.13362	6.14928	1.34616	0.10312	29.4945	0.8227	0.03629	0.23588	0.12642	1.6425	0.79874	0.31835	0.0404	0.01971	0.76623	0.10885	0.30664	1.39252	0.01585	2.62716	0.57407	1.2941	0.04198	0.17934	0.59066	1.39043	0.00397	0.26296	0.0	0.59615	0.50638	0.0	1.24856	1.87397	0.07907	1.4572	0.08352	0.74866	39.77321	0.1246	0.10778	0.08059	0.14028	3.09874	0.03737	12.33799	0.03517	0.18709	2.3329	0.64728	0.69373	0.16811	1.59039	0.24983	0.11798	0.20119	3.87082	49.10221	0.14092	0.11316	0.06861
s__Alistipes_putredinis	0	1.75421	0.11829	4.07533	10.65393	28.34227	14.93307	24.66403	5.62019	0.61152	18.62763	3.17263	18.61471	11.48962	1.66959	11.3845	16.4303	6.45537	0.07267	28.07101	17.64791	0.01852	21.50708	8.44178	28.09043	0.62678	0.06975	0.16499	11.49751	4.18285	4.18239	0.37481	0.04688	7.70834	0.52201	0.00901	24.58266	0.01254	0.01565	15.40944	9.15876	0.2004	24.92749	6.77921	1.88497	27.76028	26.59793	25.14062	0.18486	16.95075	36.17852	0.24013	19.48728	4.29988	5.49348	9.79707	7.31466	0.02947	4.1874	6.67882	0.02817	7.56659	2.92248	5.82064	14.52529	1.69691
s__Prevotella_sp_AM42_24	0	1.59095	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00258	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00109	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.05837	0.0	0.0	0.0	0.0	0.0	0.0	0.00341	0.00078	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06719	0.0	0.0	0.0
