category_a	category_b	p_raw	p_fdr_bh	cliffs_delta	effect_magnitude
IBD	Infection/parasitic	0.17748917748917747	0.33279220779220775	0.5333333333333333	large
IBD	Metabolic	0.019314019314019312	0.07242757242757242	0.76	large
IBD	Neuropsychiatric	0.031746031746031744	0.09523809523809523	0.9	large
IBD	Other	0.017316017316017316	0.07242757242757242	0.8666666666666667	large
IBD	Cancer (CRC)	0.0018315018315018315	0.027472527472527472	0.9272727272727272	large
Infection/parasitic	Metabolic	0.2197802197802198	0.3603896103896104	0.4	medium
Infection/parasitic	Neuropsychiatric	0.11428571428571428	0.2857142857142857	0.6666666666666666	large
Infection/parasitic	Other	0.24025974025974026	0.3603896103896104	0.4444444444444444	medium
Infection/parasitic	Cancer (CRC)	0.007110536522301229	0.053329023917259216	0.7878787878787878	large
Metabolic	Neuropsychiatric	1.0	1.0	0.0	negligible
Metabolic	Other	0.7127872127872128	0.8163265306122448	0.13333333333333333	negligible
Metabolic	Cancer (CRC)	0.3072263700681952	0.4189450500929935	0.2727272727272727	small
Neuropsychiatric	Other	0.7619047619047619	0.8163265306122448	0.16666666666666666	small
Neuropsychiatric	Cancer (CRC)	0.13772893772893774	0.29513343799058084	0.5454545454545454	large
Other	Cancer (CRC)	0.5248868778280543	0.6561085972850679	0.21212121212121213	small
