model	model_label	mean	median	n	wilcoxon_p_gt_0.5
capda-vae	CAPDA-VAE	0.5958902299052924	0.5139377119950662	11	0.1201171875
xgb-baseline	XGBoost SGB	0.5889276977862197	0.5214665815240528	11	0.08740234375
hyp-philrvae	Hyp-PhILR-NB	0.562463976409392	0.4792374275207557	11	0.232421875
diva-hyp-philr-nb	DIVA Hyp-PhILR-NB	0.5462666969524511	0.5339506172839505	11	0.31884765625
phylodiva-hyp-philr-nb	PhyloDIVA Hyp-PhILR-NB	0.5449685675124556	0.4995743669846276	11	0.38232421875
taxi-hyp-philrvae	TAXI Hyp-PhILR-NB	0.5327942425690604	0.4787582839204743	11	0.48291015625
xgb-coral	XGBoost SGB + CORAL	0.5151686319694035	0.4499042145593869	11	0.38232421875
phylodiva-beta-vae	PhyloDIVA Beta-VAE	0.5129962367617226	0.5192528735632184	11	0.71142578125
diva-beta-vae	DIVA Beta-VAE	0.5080669375136453	0.4583333333333333	11	0.8173828125
beta-vae	Beta-VAE	0.4955172537442959	0.4668050234142187	11	0.740234375
tree-dtm-vae	TreeDTM-VAE	0.4883447956436681	0.4401229385454563	11	0.767578125
diva-tree-dtm-vae	DIVA TreeDTM-VAE	0.48187140359376107	0.4561409110259685	11	0.79345703125
phylodiva-tree-dtm-vae	PhyloDIVA TreeDTM-VAE	0.46902952372795875	0.4574354744475375	11	0.8798828125
taxi-tree-dtm-vae	TAXI TreeDTM-VAE	0.4628214574900795	0.4495210727969348	11	0.9033203125
