study	single	loso	drop
YachidaS_2019	0.3299	0.3497089162728929	-0.019808916272892885
HanniganGD_2017	0.3832	0.3585537918871252	0.024646208112874768
ThomasAM_2018a	0.3994	0.4661877394636015	-0.0667877394636015
ZellerG_2014	0.5087	0.4865224200825809	0.022177579917419143
FengQ_2015	0.5387	0.5139377119950662	0.02476228800493374
VogtmannE_2016	0.5616	0.4448717948717949	0.11672820512820509
ThomasAM_2018b	0.705	0.715625	-0.010624999999999996
ThomasAM_2019_c	0.755	1.0	-0.245
WirbelJ_2018	0.7582	0.742948717948718	0.015251282051282011
YuJ_2015	0.7798	0.753103103103103	0.026696896896897027
GuptaA_2019	0.845	0.7233333333333334	0.12166666666666659
