model_key	model_label	n_rows	balanced_accuracy_mean	balanced_accuracy_median	balanced_accuracy_std	balanced_accuracy_sem	f1_macro_mean	f1_macro_median	f1_macro_std	f1_macro_sem	auroc_mean	auroc_median	auroc_std	auroc_sem	rmse_mean	rmse_median	rmse_std	rmse_sem	mae_mean	mae_median	mae_std	mae_sem
dsvae-sup	DSVAE supervised	42	0.6730857142857142	0.69815	0.19084285780795315	0.02944769227610634	0.6657476190476191	0.6939	0.19430577893078763	0.02998203260601419	0.7843214285714285	0.8167	0.14980835323955882	0.02311593075716833	0.2607119047619048	0.2455	0.0555563796357773	0.008572535489566182	0.10417142857142855	0.08875	0.054510998155057	0.008411229625102707
capda-vae	CAPDA-VAE	42	0.6692452380952382	0.7157	0.1945408681151986	0.030018307654708656	0.6599761904761904	0.7052	0.19988649072755635	0.030843155131428567	0.7806285714285714	0.78515	0.1543044413721708	0.023809692217755165	0.3924547619047619	0.38765	0.030976593857541836	0.004779792202633864	0.1777452380952381	0.17570000000000002	0.017244132298333128	0.0026608273808223087
xgboost-baseline	XGBoost SGB	42	0.6661523809523809	0.70855	0.1910510712439506	0.029479820306787863	0.6584285714285714	0.69855	0.19801699026107772	0.03055468494669522	0.7771785714285713	0.78415	0.1577578702543163	0.02434256786312606								
hyp-philrvae	Hyp-PhILR-NB	42	0.6286190476190477	0.6678	0.1964231088164517	0.030308743700347005	0.6203047619047619	0.6576500000000001	0.20040741424430453	0.030923535375136844	0.7444928571428572	0.7544	0.1615852586141252	0.02493314670865049	0.31938095238095243	0.3036	0.04502382696076378	0.006947327328159402	0.07122857142857142	0.0648	0.019748915199776017	0.003047323773442715
philrvae	PhILR-NB VAE	42	0.6277833333333332	0.6265499999999999	0.199073914348374	0.03071777187402066	0.6190857142857144	0.61295	0.20241298952272338	0.031233002359198028	0.7385238095238095	0.7180500000000001	0.1660793122452802	0.025626594238847004	0.31938333333333335	0.3039	0.04500165805436814	0.006943906591637559	0.07123571428571428	0.0648	0.019745821681246792	0.0030468464331704858
dsvae-unsup	DSVAE unsupervised	42	0.619002380952381	0.597	0.19862419410031013	0.030648378533198625	0.6105404761904762	0.59245	0.20221412469003733	0.03120231684932492	0.7236190476190478	0.7096	0.1738527274673922	0.026826058248265207	0.12587857142857142	0.12129999999999999	0.024055652301808512	0.0037118677356923605	0.03970714285714286	0.03665	0.013072805376739856	0.0020171776630334066
fuse-vae	PhyloFusion VAE	42	0.6126238095238096	0.6338	0.2074594192578204	0.03201168337267181	0.6048214285714286	0.6239	0.21201363340391324	0.03271441387185869	0.7222	0.6978	0.17038778153835143	0.026291405483976703	0.15625952380952382	0.14455	0.05091952071663297	0.007857052625040606	0.06267142857142857	0.0648	0.019765889387408333	0.0030499429474572662
beta-vae	Beta-VAE	42	0.6045190476190475	0.5668	0.19469253588871396	0.03004171050024337	0.5957714285714286	0.56055	0.19898474667085794	0.030704013002671594	0.7035166666666667	0.6605	0.17450667317824795	0.02692696426214359	0.1475952380952381	0.1288	0.052062284239032676	0.00803338486476136	0.059547619047619044	0.05455	0.019267845552670894	0.002973093115329313
tree-dtm-vae	TreeDTM-VAE	42	0.6008214285714286	0.5781000000000001	0.2043658502517701	0.03153433531169935	0.5924285714285714	0.5644	0.20703074507827457	0.03194553751072564	0.7002309523809523	0.68765	0.1768122974534808	0.027282729811565938	0.32494285714285714	0.30945	0.04640598228286554	0.007160598524527638	0.07278095238095239	0.06634999999999999	0.019972618306012786	0.003081841912131974
hyp-vae	Hyperbolic VAE	42	0.5989857142857142	0.59875	0.1953746926360937	0.030146969571563306	0.5908476190476192	0.5951500000000001	0.19978714311779028	0.030827825462430933	0.7013404761904763	0.6540999999999999	0.16524630405744561	0.025498058284918277	0.16916666666666666	0.15905	0.050717306742886416	0.007825850331482366	0.06499047619047618	0.06259999999999999	0.018777955543718233	0.002897501445834958
nmf	NMF	42	0.5937809523809524	0.61635	0.18742031052975783	0.02891958176567716	0.5835690476190477	0.6025	0.19061015058592215	0.029411784772186582	0.7120404761904761	0.6894	0.15788721825269006	0.02436252669258602								
hyp-tax-vae	Hyp+Tax VAE	42	0.5923238095238096	0.58065	0.18482755814149632	0.028519511386546195	0.5836952380952382	0.5771	0.18940034119574306	0.029225107130466353	0.705695238095238	0.7075	0.159446270409511	0.024603093663149115	0.15822142857142857	0.15034999999999998	0.05072193221541846	0.007826564057389218	0.06043571428571429	0.057050000000000003	0.019137828984966913	0.0029530311233820156
tax-vae	Tax-aware VAE	42	0.5919928571428571	0.5742	0.19168117252081568	0.029577047044623536	0.5827619047619047	0.5676	0.1940693501295298	0.029945550849952585	0.6944333333333335	0.65125	0.15626906231688464	0.0241128398109302	0.17461904761904762	0.16985	0.05771713715199384	0.008905947612774162	0.06569285714285714	0.06420000000000001	0.019081371235395966	0.002944319503491898
graph-vae	Graph VAE	42	0.5761119047619048	0.57405	0.20214421946861622	0.0311915302394798	0.5655095238095238	0.5597000000000001	0.20381602872596005	0.03144949600838559	0.6727785714285714	0.6216999999999999	0.16925059575600634	0.026115933908231595	0.22771666666666665	0.22835	0.05026774612823822	0.007756481622631132	0.07738333333333333	0.07455	0.023420648765947676	0.00361388456287126
treeprior-vae	TreePrior VAE	42	0.5532214285714285	0.5297000000000001	0.18237968240461153	0.028141795960053947	0.5432904761904762	0.52015	0.18445791351499208	0.028462473982381106	0.637897619047619	0.5974999999999999	0.16309612082553998	0.02516627780920292	0.2330785714285714	0.23075	0.04985931199917784	0.007693458868278266	0.07801666666666666	0.0763	0.022681473224688834	0.0034998273006449786
vanilla-vae	Vanilla VAE	42	0.5494833333333334	0.5553	0.18947359159146454	0.029236409911912228	0.5405119047619048	0.55145	0.19183837735331188	0.02960130427690793	0.6536571428571428	0.63005	0.15895613774945275	0.024527464551776297	0.24573571428571428	0.2382	0.03496435691322522	0.005395117400980878	0.08282619047619047	0.07975	0.022610121406388208	0.0034888174760553054
