model_key	study	single_balanced_accuracy	loso_balanced_accuracy	gap
beta-vae	FengQ_2015	0.4173	0.3956531849178305	0.02164681508216948
beta-vae	GuptaA_2019	0.8233	0.6133333333333333	0.20996666666666675
beta-vae	HanniganGD_2017	0.304	0.3078686745353412	-0.003868674535341232
beta-vae	ThomasAM_2018a	0.3645	0.4668050234142187	-0.10230502341421871
beta-vae	ThomasAM_2018b	0.5224	0.5580357142857143	-0.035635714285714326
beta-vae	ThomasAM_2019_c	0.5675	1.0	-0.4325
beta-vae	VogtmannE_2016	0.5065	0.3358974358974359	0.17060256410256402
beta-vae	WirbelJ_2018	0.5661	0.5089743589743589	0.057125641025641105
beta-vae	YachidaS_2019	0.2909	0.3149284154599927	-0.024028415459992736
beta-vae	YuJ_2015	0.6387	0.5366366366366366	0.10206336336336341
beta-vae	ZellerG_2014	0.4598	0.4125570137323927	0.04724298626760731
capda-vae	FengQ_2015	0.5387	0.5139377119950662	0.02476228800493374
capda-vae	GuptaA_2019	0.845	0.7233333333333334	0.12166666666666659
capda-vae	HanniganGD_2017	0.3832	0.3585537918871252	0.024646208112874768
capda-vae	ThomasAM_2018a	0.3994	0.4661877394636015	-0.0667877394636015
capda-vae	ThomasAM_2018b	0.705	0.715625	-0.010624999999999996
capda-vae	ThomasAM_2019_c	0.755	1.0	-0.245
capda-vae	VogtmannE_2016	0.5616	0.4448717948717949	0.11672820512820509
capda-vae	WirbelJ_2018	0.7582	0.742948717948718	0.015251282051282011
capda-vae	YachidaS_2019	0.3299	0.3497089162728929	-0.019808916272892885
capda-vae	YuJ_2015	0.7798	0.753103103103103	0.026696896896897027
capda-vae	ZellerG_2014	0.5087	0.4865224200825809	0.022177579917419143
hyp-philrvae	FengQ_2015	0.4505	0.4155795837693291	0.034920416230670936
hyp-philrvae	GuptaA_2019	0.8637	0.7333333333333334	0.13036666666666663
hyp-philrvae	HanniganGD_2017	0.3068	0.4174806674806675	-0.11068066748066746
hyp-philrvae	ThomasAM_2018a	0.3745	0.4747445721583653	-0.1002445721583653
hyp-philrvae	ThomasAM_2018b	0.5916	0.684375	-0.09277499999999994
hyp-philrvae	ThomasAM_2019_c	0.5915	1.0	-0.4085
hyp-philrvae	VogtmannE_2016	0.5137	0.3846153846153846	0.12908461538461546
hyp-philrvae	WirbelJ_2018	0.6658	0.6491025641025641	0.016697435897435886
hyp-philrvae	YachidaS_2019	0.3278	0.3377242966120016	-0.009924296612001615
hyp-philrvae	YuJ_2015	0.6266	0.610910910910911	0.01568908908908906
hyp-philrvae	ZellerG_2014	0.452	0.4792374275207557	-0.027237427520755697
tree-dtm-vae	FengQ_2015	0.3952	0.4295026361949824	-0.03430263619498242
tree-dtm-vae	GuptaA_2019	0.865	0.5666666666666667	0.29833333333333334
tree-dtm-vae	HanniganGD_2017	0.262	0.2874643874643875	-0.025464387464387506
tree-dtm-vae	ThomasAM_2018a	0.3935	0.3746168582375478	0.018883141762452205
tree-dtm-vae	ThomasAM_2018b	0.58	0.6258928571428571	-0.04589285714285718
tree-dtm-vae	ThomasAM_2019_c	0.5485	0.9575	-0.40900000000000003
tree-dtm-vae	VogtmannE_2016	0.5501	0.3256410256410256	0.22445897435897444
tree-dtm-vae	WirbelJ_2018	0.6343	0.5374358974358974	0.0968641025641026
tree-dtm-vae	YachidaS_2019	0.2917	0.2897622975643417	0.0019377024356583283
tree-dtm-vae	YuJ_2015	0.5639	0.5371871871871872	0.026712812812812792
tree-dtm-vae	ZellerG_2014	0.4791	0.4401229385454563	0.038977061454543716
