model_key	model_label	n_rows	balanced_accuracy_mean	balanced_accuracy_median	balanced_accuracy_std	balanced_accuracy_sem	f1_macro_mean	f1_macro_median	f1_macro_std	f1_macro_sem
capda-vae	CAPDA-VAE	11	0.5958902299052924	0.5139377119950662	0.20382973611047064	0.061456977799598744	0.272337066326432	0.2750058883923872	0.06226247396201982	0.018772842241026592
xgb-baseline	XGBoost SGB	11	0.5889276977862196	0.5214665815240528	0.19977153854108334	0.060233385193890564	0.27667111217836454	0.2741227820852101	0.05366979881663477	0.016182053204421617
hyp-philrvae	Hyp-PhILR-NB	11	0.5624639764093919	0.4792374275207557	0.19613881292539448	0.05913807720902213	0.2675587567495189	0.2516118508063228	0.04959043859223706	0.014952079818146415
diva-hyp-philr-nb	DIVA Hyp-PhILR-NB	11	0.5462666969524511	0.5339506172839505	0.19582487313291408	0.0590434208000749	0.2714868108251538	0.27186554261067	0.05421265411012394	0.01634573023387269
phylodiva-hyp-philr-nb	PhyloDIVA Hyp-PhILR-NB	11	0.5449685675124556	0.4995743669846276	0.1861266530951108	0.05611929743646583	0.2668340722614259	0.2669989756274544	0.0458054321763029	0.013810857444442645
taxi-hyp-philrvae	TAXI Hyp-PhILR-NB	11	0.5327942425690602	0.4787582839204743	0.18302788806463247	0.05518498462559575	0.25909023481679433	0.2501135591914207	0.049052063476310956	0.014789753613056327
xgb-coral	XGBoost SGB + CORAL	11	0.5151686319694035	0.4499042145593869	0.15552773286452454	0.04689337585511403	0.23682473376531885	0.2270853942729014	0.03875107230044025	0.011683887913135871
phylodiva-beta-vae	PhyloDIVA Beta-VAE	11	0.5129962367617226	0.5192528735632184	0.17174148092893576	0.05178200483465977	0.24776479717250713	0.2413944777868157	0.04929366733309512	0.014862599916770493
diva-beta-vae	DIVA Beta-VAE	11	0.5080669375136453	0.4583333333333333	0.18377879827491417	0.05541139257275496	0.24977828926911297	0.2387055439189274	0.05202177523367839	0.015685155398028575
beta-vae	Beta-VAE	11	0.4955172537442959	0.4668050234142187	0.1962514598661451	0.05917204153959042	0.24059339747576053	0.22994418984651	0.05672703306708475	0.017103844013963983
tree-dtm-vae	TreeDTM-VAE	11	0.4883447956436681	0.4401229385454563	0.1936331998000945	0.05838260642662124	0.23110260681076286	0.2280980403934282	0.05701608623326117	0.017190996822752293
diva-tree-dtm-vae	DIVA TreeDTM-VAE	11	0.481871403593761	0.4561409110259685	0.125791025568402	0.03792742125494473	0.24536818181602718	0.2457224147854984	0.03765560258089522	0.011353591365051622
phylodiva-tree-dtm-vae	PhyloDIVA TreeDTM-VAE	11	0.4690295237279589	0.4574354744475375	0.13284841673604825	0.040055304755112986	0.23472654990095065	0.2338115964084909	0.03843269371932742	0.011587893159059781
taxi-tree-dtm-vae	TAXI TreeDTM-VAE	11	0.4628214574900795	0.4495210727969348	0.10083850852654708	0.030403954291055493	0.2312836987374425	0.2329443085855008	0.01984659069614799	0.005983972246080114
