study	display_name	model	model_key	rmse	mae	recon_loss	kl_divergence	balanced_accuracy	f1_macro	auroc	balanced_accuracy_std	f1_macro_std	auroc_std	n_seeds	latent_dim	epochs
BedarfJR_2017	BedarfJR_2017	Hyp-PhILR-NB VAE	hyp-philrvae	0.3875	0.1122	669.1241	35.8232	0.6921	0.6837	0.7597	0.0139	0.014	0.0108	5	32.0	
BedarfJR_2017	BedarfJR_2017	Hyp+Tax VAE	hyp-tax-vae	0.1748	0.0831	0.0076	22.5396	0.6809	0.6704	0.7186	0.0175	0.0181	0.0183	5	10.0	100.0
BedarfJR_2017	BedarfJR_2017	dsvae-sup	dsvae-sup	0.2615	0.1173	126.9265	8.5846	0.6371	0.6291	0.6883	0.0164	0.0175	0.0176	5	32.0	100.0
BedarfJR_2017	BedarfJR_2017	NMF (k=16)	nmf					0.6253	0.6139	0.6832	0.0101	0.0091	0.0127	5		
BedarfJR_2017	BedarfJR_2017	PhyloFusion VAE	fuse-vae	0.2034	0.1011	0.0104	12.5001	0.6192	0.6083	0.6717	0.0164	0.0174	0.017	5	9.0	100.0
BedarfJR_2017	BedarfJR_2017	XGBoost (SGB)	xgboost-baseline					0.6182	0.6068	0.6409	0.0137	0.0144	0.0196	5		
BedarfJR_2017	BedarfJR_2017	PhILR-VAE	philrvae	0.3879	0.1122	687.2662	184.7855	0.6173	0.606	0.6861	0.0107	0.0112	0.0116	5	48.0	
BedarfJR_2017	BedarfJR_2017	Hyperbolic VAE	hyp-vae	0.1901	0.0893	0.0098	18.8281	0.6161	0.6052	0.6562	0.0351	0.0368	0.0238	5	20.0	100.0
BedarfJR_2017	BedarfJR_2017	Tax-aware VAE	tax-vae	0.1923	0.0896	0.0093	15.6533	0.5518	0.5385	0.6028	0.0225	0.0223	0.0238	5	6.0	100.0
BedarfJR_2017	BedarfJR_2017	$\beta$-VAE	beta-vae	0.2082	0.1018	0.0109	15.4383	0.5505	0.5368	0.5754	0.0137	0.0116	0.018	5	15.0	100.0
BedarfJR_2017	BedarfJR_2017	dsvae-unsup	dsvae-unsup	0.1848	0.0771	91.2097	13.1747	0.5411	0.5286	0.5184	0.0137	0.0161	0.0146	5	32.0	100.0
BedarfJR_2017	BedarfJR_2017	TreePrior VAE	treeprior-vae	0.2452	0.1076	0.0155	12.8285	0.5356	0.5215	0.5479	0.017	0.0179	0.0108	5	5.0	100.0
BedarfJR_2017	BedarfJR_2017	TreeDTM-VAE	tree-dtm-vae	0.3944	0.1145	-1075.3315	4.5744	0.5141	0.4994	0.5191	0.0153	0.0164	0.0156	5	24.0	
BedarfJR_2017	BedarfJR_2017	Vanilla VAE	vanilla-vae	0.3016	0.1244	0.0226	0.0002	0.4672	0.4523	0.475	0.0106	0.0096	0.0094	5	14.0	100.0
BedarfJR_2017	BedarfJR_2017	Graph VAE	graph-vae	0.2973	0.1234	0.0219	5.087	0.4464	0.4331	0.4195	0.0078	0.0098	0.0081	5	8.0	100.0
BrooksB_2017	BrooksB_2017	dsvae-unsup	dsvae-unsup	0.0918	0.0181	25.6873	10.949	0.9165	0.88	0.9976	0.0149	0.0158	0.0015	5	32.0	100.0
BrooksB_2017	BrooksB_2017	Hyperbolic VAE	hyp-vae	0.1184	0.0387	0.0036	15.1156	0.905	0.8776	0.9875	0.009	0.0103	0.0021	5	12.0	100.0
BrooksB_2017	BrooksB_2017	$\beta$-VAE	beta-vae	0.1117	0.0421	0.0033	23.2898	0.9	0.8994	0.9992	0.0	0.0	0.0009	5	16.0	100.0
BrooksB_2017	BrooksB_2017	XGBoost (SGB)	xgboost-baseline					0.9	0.8994	0.999	0.0	0.0	0.0017	5		
BrooksB_2017	BrooksB_2017	Tax-aware VAE	tax-vae	0.1131	0.0537	0.0033	17.8969	0.8993	0.8884	0.9175	0.0003	0.0061	0.0078	5	13.0	100.0
BrooksB_2017	BrooksB_2017	TreeDTM-VAE	tree-dtm-vae	0.3902	0.0635	-573.5486	62.7174	0.8984	0.8673	0.924	0.0003	0.0063	0.0013	5	24.0	
BrooksB_2017	BrooksB_2017	PhILR-VAE	philrvae	0.3805	0.0611	139.0757	32.605	0.898	0.896	0.9995	0.0044	0.0041	0.0002	5	16.0	
BrooksB_2017	BrooksB_2017	PhyloFusion VAE	fuse-vae	0.1019	0.0375	0.0028	27.9112	0.8735	0.8703	0.9782	0.025	0.0256	0.0041	5	20.0	100.0
