study	display_name	model	model_key	rmse	mae	recon_loss	kl_divergence	balanced_accuracy	f1_macro	auroc	balanced_accuracy_std	f1_macro_std	auroc_std	n_seeds	latent_dim	epochs
BedarfJR_2017	BedarfJR_2017	Vanilla VAE	vanilla-vae	0.3072	0.1424	0.0241	0.135	0.708	0.7001	0.7669	0.014	0.0148	0.0115	5	14	100.0
BedarfJR_2017	BedarfJR_2017	Hyp-PhILR-NB VAE	hyp-philrvae	0.2169	0.1169	77.8884	41.4109	0.6684	0.6605	0.7461	0.0112	0.0108	0.0096	5	20	
BedarfJR_2017	BedarfJR_2017	dsvae-sup	dsvae-sup	0.2615	0.1173	126.3465	8.5846	0.6371	0.6291	0.6883	0.0164	0.0175	0.0176	5	32	100.0
BedarfJR_2017	BedarfJR_2017	$\beta$-VAE	beta-vae	0.1647	0.081	0.0068	30.821	0.6254	0.6135	0.6584	0.0155	0.016	0.009	5	13	100.0
BedarfJR_2017	BedarfJR_2017	Tax-aware VAE	tax-vae	0.3103	0.1381	0.0267	6.3097	0.6182	0.6083	0.6335	0.0158	0.0168	0.0157	5	16	100.0
BedarfJR_2017	BedarfJR_2017	TreeNB-VAE	treenbvae	0.254	0.1068	108.9435	20.2312	0.6157	0.6035	0.6243	0.0123	0.0127	0.0125	5	16	
BedarfJR_2017	BedarfJR_2017	Hyperbolic VAE	hyp-vae	0.1659	0.0895	0.0072	44.9125	0.5968	0.5847	0.6134	0.0107	0.0115	0.0128	5	24	100.0
BedarfJR_2017	BedarfJR_2017	PhyloFusion VAE	fuse-vae	0.1979	0.1094	0.0104	24.7203	0.5943	0.5828	0.6455	0.0148	0.0144	0.0202	5	11	100.0
BedarfJR_2017	BedarfJR_2017	TreePrior VAE	treeprior-vae	0.2972	0.1214	0.0218	0.0027	0.5914	0.5795	0.6038	0.0196	0.0215	0.0149	5	11	100.0
BedarfJR_2017	BedarfJR_2017	PhILR-VAE	philrvae	0.1591	0.0776	83.2772	32.0218	0.5859	0.5752	0.5966	0.0111	0.011	0.0123	5	20	
BedarfJR_2017	BedarfJR_2017	PhILR-Gauss VAE	philr-gauss-vae	0.3094	0.2402	0.0975	11.7233	0.5583	0.5456	0.5888	0.0186	0.0199	0.0279	5	4	
BedarfJR_2017	BedarfJR_2017	dsvae-unsup	dsvae-unsup	0.1848	0.0771	93.5241	13.1747	0.5411	0.5286	0.5184	0.0137	0.0161	0.0146	5	32	100.0
BedarfJR_2017	BedarfJR_2017	Hyp-PhILR-ZINB VAE	hyp-philr-zinb	0.259	0.1184	81.3386	36.3046	0.5361	0.5207	0.5437	0.0176	0.0167	0.0084	5	13	
BedarfJR_2017	BedarfJR_2017	Hyp+Tax VAE	hyp-tax-vae	0.2971	0.1218	0.0224	0.6833	0.5301	0.5139	0.5582	0.0143	0.0175	0.0178	5	4	100.0
BedarfJR_2017	BedarfJR_2017	TreeDirichlet VAE	treedirichlet-vae	0.3432	0.2485	-2473.8052	14.8935	0.5206	0.5018	0.528	0.0186	0.0195	0.0151	5	6	
BedarfJR_2017	BedarfJR_2017	Graph VAE	graph-vae	0.2971	0.1215	0.0225	0.0418	0.4118	0.3981	0.3837	0.0089	0.0105	0.0159	5	6	100.0
BrooksB_2017	BrooksB_2017	dsvae-unsup	dsvae-unsup	0.0918	0.0181	25.7699	10.949	0.9165	0.88	0.9976	0.0149	0.0158	0.0015	5	32	100.0
BrooksB_2017	BrooksB_2017	Tax-aware VAE	tax-vae	0.1178	0.0434	0.0049	18.3753	0.9114	0.8978	0.9994	0.0562	0.0531	0.0001	5	20	100.0
BrooksB_2017	BrooksB_2017	PhILR-VAE	philrvae	0.048	0.0104	18.7233	38.5655	0.8994	0.8961	0.9939	0.0003	0.0046	0.0014	5	15	
BrooksB_2017	BrooksB_2017	TreeNB-VAE	treenbvae	0.0652	0.0116	19.5069	16.9103	0.8992	0.8851	0.9494	0.0006	0.0075	0.0022	5	10	
BrooksB_2017	BrooksB_2017	Hyperbolic VAE	hyp-vae	0.1013	0.0387	0.003	13.1284	0.8934	0.8837	0.9981	0.0135	0.0185	0.0003	5	9	100.0
